sen_str,swapped_sen_str,leaf_rule
Këtë më e përforcuan edhe fashat e mbështjella në kokë .,Këtë e përforcuan më edhe fashat e mbështjella në kokë .,[0] -> [4]
Prania e tij më e zhbënte edhe skutën më të errët të frikës .,Prania e tij e zhbënte më edhe skutën më të errët të frikës .,[0] -> [4]
"Hadi më u shfaq atë ditë , kur gatiteshim të dilnim nga shtëpia me Margën për të vajtur në spital dhe unë po ndihesha si lëkurë qeni .","Hadi u shfaq më atë ditë , kur gatiteshim të dilnim nga shtëpia me Margën për të vajtur në spital dhe unë po ndihesha si lëkurë qeni .",[0] -> [4]
"Nuk shqetësohem po të më quajnë të çmendur , nuk është as turp , as diçka e rrallë të jesh i çmendur .","Nuk shqetësohem po të quajnë më të çmendur , nuk është as turp , as diçka e rrallë të jesh i çmendur .",[0] -> [4]
"Kjo më ndodh edhe në ditët e hirta , kur ngjyra e mugët e qiellit nuk përmbahet të dyndet deri në skutat më të thella të dhomës ;","Kjo ndodh më edhe në ditët e hirta , kur ngjyra e mugët e qiellit nuk përmbahet të dyndet deri në skutat më të thella të dhomës ;",[0] -> [4]
"Kur unë i dhashë zë asaj dëshire , mami vuri buzën në gaz dhe , duke harkuar vetullën e majtë , më kujtoi se , tashmë , nuk isha më një fëmijë .","Kur unë i dhashë zë asaj dëshire , mami vuri buzën në gaz dhe , duke harkuar vetullën e majtë , kujtoi më se , tashmë , nuk isha më një fëmijë .",[0] -> [4]
"Jam përpjekur shpesh të i gjej një domethënie , por askush nuk ishte në gjendje të më e shpjegonte .","Jam përpjekur shpesh të i gjej një domethënie , por askush nuk ishte në gjendje të e shpjegonte më .",[0] -> [4]
"Sëmundjen e saj , kur , siç thashë , më u shfaq Hadi , Marga më e bëri të ditur në rrethana aspak dinjitoze për mua .","Sëmundjen e saj , kur , siç thashë , më u shfaq Hadi , Marga e bëri më të ditur në rrethana aspak dinjitoze për mua .",[0] -> [4]
"Ky lajm më u duk se e gjallëroi kapedanin , se kur u largua komisari , ai tha nëpër dhëmbë :","Ky lajm u duk më se e gjallëroi kapedanin , se kur u largua komisari , ai tha nëpër dhëmbë :",[0] -> [4]
"Isha i këputur , nuk gjeta forca të pyesja së paku ku ndodhesha , një trullosje më përpiu sërishmi , një rënie në boshllëk dhe më bëri përshtypje se kësaj radhe nuk dëgjova krisma .","Isha i këputur , nuk gjeta forca të pyesja së paku ku ndodhesha , një trullosje përpiu më sërishmi , një rënie në boshllëk dhe më bëri përshtypje se kësaj radhe nuk dëgjova krisma .",[0] -> [4]
