sen_str,swapped_sen_str,leaf_rule
"ἄλλο δέ τοι ἐρέω , σὺ δ̓ ἐνὶ φρεσὶ βάλλεο σῇσι ·","ἄλλο δέ ἐρέω τοι , σὺ δ̓ ἐνὶ φρεσὶ βάλλεο σῇσι ·",[0] -> [1] -> [17] -> [19] -> [21]
"ἀλλ̓ ἄγε μοι τὸ σκῆπτρον ἀνάσχεο , καί μοι ὄμοσσον ἦ μὲν τοὺς ἵππους τε καὶ ἅρματα ποικίλα χαλκῷ δωσέμεν , οἳ φορέουσιν ἀμύμονα Πηλεΐωνα , σοὶ δ̓ ἐγὼ οὐχ ἅλιος σκοπὸς ἔσσομαι οὐ δ̓ ἀπὸ δόξης ·","ἀλλ̓ ἄγε τὸ σκῆπτρον ἀνάσχεο μοι , καί μοι ὄμοσσον ἦ μὲν τοὺς ἵππους τε καὶ ἅρματα ποικίλα χαλκῷ δωσέμεν , οἳ φορέουσιν ἀμύμονα Πηλεΐωνα , σοὶ δ̓ ἐγὼ οὐχ ἅλιος σκοπὸς ἔσσομαι οὐ δ̓ ἀπὸ δόξης ·",[0] -> [1] -> [17] -> [19] -> [21]
"ἀρχὴν δ̓ ἄν , εἰ μὴ τλημονεστάτη γυνὴ πασῶν ἔβλαστε , τάσδε δυσμενεῖς χοὰς οὐκ ἄν ποθ̓ ὅν γ̓ ἔκτεινε , τῷδ̓ ἐπέστεφε .","ἀρχὴν δ̓ ἄν , εἰ μὴ τλημονεστάτη γυνὴ πασῶν ἔβλαστε , τάσδε δυσμενεῖς χοὰς οὐκ ἄν ποθ̓ ἐπέστεφε ὅν γ̓ ἔκτεινε , τῷδ̓ .",[0] -> [1] -> [17] -> [19] -> [21]
"αὐτὰρ ἐπεὶ πόσιος καὶ ἐδητύος ἐξ ἔρον ἕντο , τοῖς ἄρα μύθων ἦρχε Γερήνιος ἱππότα Νέστωρ ·","αὐτὰρ ἐπεὶ πόσιος καὶ ἐδητύος ἐξ ἔρον ἕντο , ἄρα μύθων ἦρχε τοῖς Γερήνιος ἱππότα Νέστωρ ·",[0] -> [1] -> [17] -> [19] -> [21]
"οὐ μὰ γὰρ Ἀπόλλωνα Διῒ φίλον , ᾧ τε σὺ Κάλχαν εὐχόμενος Δαναοῖσι θεοπροπίας ἀναφαίνεις , οὔ τις ἐμεῦ ζῶντος καὶ ἐπὶ χθονὶ δερκομένοιο σοὶ κοίλῃς παρὰ νηυσί βαρείας χεῖρας ἐποίσει συμπάντων Δαναῶν , οὐ δ̓ ἢν Ἀγαμέμνονα εἴπῃς , ὃς νῦν πολλὸν ἄριστος Ἀχαιῶν εὔχεται εἶναι .","οὐ μὰ γὰρ Ἀπόλλωνα Διῒ φίλον , ᾧ τε σὺ Κάλχαν εὐχόμενος Δαναοῖσι θεοπροπίας ἀναφαίνεις , οὔ τις ἐμεῦ ζῶντος καὶ ἐπὶ χθονὶ δερκομένοιο κοίλῃς παρὰ νηυσί βαρείας χεῖρας ἐποίσει σοὶ συμπάντων Δαναῶν , οὐ δ̓ ἢν Ἀγαμέμνονα εἴπῃς , ὃς νῦν πολλὸν ἄριστος Ἀχαιῶν εὔχεται εἶναι .",[0] -> [1] -> [17] -> [19] -> [21]
"ἀχλὺν δ̓ αὖ τοι ἀπ̓ ὀφθαλμῶν ἕλον ἣ πρὶν ἐπῆεν , ὄφῤ εὖ γιγνώσκῃς ἠμὲν θεὸν ἠδὲ καὶ ἄνδρα .","ἀχλὺν δ̓ αὖ ἀπ̓ ὀφθαλμῶν ἕλον τοι ἣ πρὶν ἐπῆεν , ὄφῤ εὖ γιγνώσκῃς ἠμὲν θεὸν ἠδὲ καὶ ἄνδρα .",[0] -> [1] -> [17] -> [19] -> [21]
πολλάκι δή μοι τοῦτον Ἀχαιοὶ μῦθον ἔειπον καί τέ με νεικείεσκον ·,πολλάκι δή τοῦτον Ἀχαιοὶ μῦθον ἔειπον μοι καί τέ με νεικείεσκον ·,[0] -> [1] -> [17] -> [19] -> [21]
μάντι κακῶν οὐ πώ ποτέ μοι τὸ κρήγυον εἶπας ·,μάντι κακῶν οὐ πώ ποτέ τὸ κρήγυον εἶπας μοι ·,[0] -> [1] -> [17] -> [19] -> [21]
"καὶ νῦν ἐν Δαναοῖσι θεοπροπέων ἀγορεύεις ὡς δὴ τοῦδ̓ ἕνεκά σφιν ἑκηβόλος ἄλγεα τεύχει , οὕνεκ̓ ἐγὼ κούρης Χρυσηΐδος ἀγλά̓ ἄποινα οὐκ ἔθελον δέξασθαι , ἐπεὶ πολὺ βούλομαι αὐτὴν οἴκοι ἔχειν ·","καὶ νῦν ἐν Δαναοῖσι θεοπροπέων ἀγορεύεις ὡς δὴ τοῦδ̓ ἕνεκά ἑκηβόλος ἄλγεα τεύχει σφιν , οὕνεκ̓ ἐγὼ κούρης Χρυσηΐδος ἀγλά̓ ἄποινα οὐκ ἔθελον δέξασθαι , ἐπεὶ πολὺ βούλομαι αὐτὴν οἴκοι ἔχειν ·",[0] -> [1] -> [17] -> [19] -> [21]
κεῖθεν κεῖθεν ἄῤ ἡμῖν δεσμῶτιν ἄγων ἤλυθε ποίμνην ·,κεῖθεν κεῖθεν ἄῤ δεσμῶτιν ἄγων ἤλυθε ἡμῖν ποίμνην ·,[0] -> [1] -> [17] -> [19] -> [21]
