sen_str,swapped_sen_str,leaf_rule
geːdeːti hoːs =oː tiːsimh =jeːb =ka / ʃaːwi =ka / oː= sjaːm tami =t / malia =ka hoːj itdagʷiːgʷ //,geːdeːti hoːs =oː tiːsimh =jeːb =ka / ʃaːwi =ka / oː= sjaːm tami =t / malia =ka itdagʷiːgʷ hoːj //,[0]
ʃaːwi suːr // beːtiːt ti= takat sangi =hoːb / ɖaːbeː hoːj itdagʷiːgʷ / gʷargʷadi hoːj / hakʷar =a =iːt oː= meːk //,ʃaːwi suːr // beːtiːt ti= takat sangi =hoːb / ɖaːbeː hoːj itdagʷiːgʷ / gʷargʷadi hakʷar hoːj / =a =iːt oː= meːk //,[0]
i= jam =eː =da jʔi =hoːb / ʔaːrbiː =t hoːj sanni /,i= jam =eː =da jʔi =hoːb / ʔaːrbiː =t sanni hoːj /,[0]
naː =t hoːj agam i= damaːn =i /,naː =t agam hoːj i= damaːn =i /,[0]
naːn hoːk ammar~rijaːt =u //,naːn ammar~rijaːt hoːk =u //,[0]
oːn allaːji adʔimeːtiːt / ombaroː jaːbi / hoːn jhaksa / tara aslimsa / nijad =hoːk nijad indi =hoːb / allaː bareːsoːkna =ka / nhas =ka nijaː =ju / indi eːn /,oːn allaːji adʔimeːtiːt / ombaroː jaːbi / jhaksa hoːn / tara aslimsa / nijad =hoːk nijad indi =hoːb / allaː bareːsoːkna =ka / nhas =ka nijaː =ju / indi eːn /,[0]
mirkʷaːj hoː ka= daja nuːn i= ginʔ =iːb /,mirkʷaːj ka= daja hoː nuːn i= ginʔ =iːb /,[0]
j= handi dh =i iwinna / naː =t hoːj agam /,j= handi dh =i iwinna / naː =t agam hoːj /,[0]
asganif daːji =t siganfoːj aːn hinin / barijoːk ribijaːb =a / oː= kaːm niʃabb =eːt areːna =aj / idiːn =heːb ini //,asganif daːji =t siganfoːj aːn hinin / ribijaːb barijoːk =a / oː= kaːm niʃabb =eːt areːna =aj / idiːn =heːb ini //,[0]
kass =eː eːn i= ʤinsa i= xadaːra =jeːb hoːj iːbrina /,kass =eː eːn i= ʤinsa i= xadaːra =jeːb iːbrina hoːj /,[0]
dhaːj jʔeːtiːt / i= ɖeːfa dhaːj kʷiltiːt / jaː iraːnaj umbaruːk / amaːg darab =iːb thaja / amaːg na saktnija / uːn uː= dhaj / hoːk gʷirjaamjaːn / tara w= haːʃ =iː giːga =jaː / tara aslima indi =hoːb / ka= adi indi eːn //,dhaːj jʔeːtiːt / i= ɖeːfa dhaːj kʷiltiːt / jaː iraːnaj umbaruːk / amaːg darab =iːb thaja / amaːg na saktnija / uːn uː= dhaj / gʷirjaamjaːn hoːk / tara w= haːʃ =iː giːga =jaː / tara aslima indi =hoːb / ka= adi indi eːn //,[0]
naː =t hoːk bi= idʔiːn =eːk / allaːj =i =da gʷirjaamni nijad //,naː =t bi= idʔiːn hoːk =eːk / allaːj =i =da gʷirjaamni nijad //,[0]
uː= dhaj dhaːj jʔi =t geːb askineːna =aːt // oːt ti= dirʔa =t =oː areː / i= luːbja hoːj iːbri /,uː= dhaj dhaːj jʔi =t geːb askineːna =aːt // oːt ti= dirʔa =t =oː areː / i= luːbja iːbri hoːj /,[0]
oːn i= soːk =iːb // kiraːj ahiːt gali =b / gaw // dikʷkʷaːn hoːj iːfi =jeː =naː =iːb // aki ini //,oːn i= soːk =iːb // kiraːj ahiːt gali =b / gaw // dikʷkʷaːn iːfi hoːj =jeː =naː =iːb // aki ini //,[0]
ʃaːwi suːr // beːtiːt ti= takat sangi =hoːb / ɖaːbeː hoːj itdagʷiːgʷ / gʷargʷadi hoːj / hakʷar =a =iːt oː= meːk //,ʃaːwi suːr // beːtiːt ti= takat sangi =hoːb / ɖaːbeː itdagʷiːgʷ hoːj / gʷargʷadi hoːj / hakʷar =a =iːt oː= meːk //,[0]
umbaruːk ontʔabit / oːn oː= firʔa wi= tifirʔa =jeː =joː =na =ji =da / uːn ani / siʤin =iːb iːfi tak akajeː / i= siʤin =iː tifirʔa =heːb =ajt / naː =t gaːt / ijaːw =hoːk andi,umbaruːk ontʔabit / oːn oː= firʔa tifirʔa wi= =jeː =joː =na =ji =da / uːn ani / siʤin =iːb iːfi tak akajeː / i= siʤin =iː tifirʔa =heːb =ajt / naː =t gaːt / ijaːw =hoːk andi,[0]
eːn i= gabal i= tʔa / hadiːdti =jeː =naː =iːb // riba eːfeːn /,eːn i= gabal tʔa / hadiːdti i= =jeː =naː =iːb // riba eːfeːn /,[0]
tʔa mhasi suːr aba =aj hoːj hiːreːran =eːk / t= ʔaba =t =i dh =i tʔiit tirib /,tʔa mhasi suːr aba =aj hiːreːran hoːj =eːk / t= ʔaba =t =i dh =i tʔiit tirib /,[0]
jaː iraːni / bak tʔiit =eː =na ini =hoːb jhaː / oːn oː= gaw suːriː / dhaj hanka =oːk // hoːj akaːb =a /,jaː iraːni / bak tʔiit =eː =na ini =hoːb jhaː / oːn oː= gaw suːriː / dhaj hanka =oːk // akaːb hoːj =a /,[0]
tak / kaːm =i / hoː kʷiɖja ini //,tak / kaːm =i / kʷiɖja hoː ini //,[0]
uː= tak wi= mitjati =ji / uː= dhaj suːriː hoːj gʷirijaamiːn =i / tak =u,uː= tak wi= mitjati =ji / uː= dhaj suːriː gʷirijaamiːn hoːj =i / tak =u,[0]
w= ʔaraːw =iji =da jʔi =jaːt / bak tʔiit =eː =naː =t =i uːn uː= meːk / hoː giːgja /,w= ʔaraːw =iji =da jʔi =jaːt / bak tʔiit =eː =naː =t =i uːn uː= meːk / giːgja hoː /,[0]
waːʤʤa =i ʔeːjan =eːb oː= doːr / hoːj adif //,waːʤʤa =i ʔeːjan =eːb oː= doːr / adif hoːj //,[0]
