sen_str,swapped_sen_str,leaf_rule
編輯 惠勒斯蒂芬 在 工作 上 給 了 吉卜林 很大 壓力 ， 但是 基普林 的 寫作 興致 勢不可擋 。,編輯 惠勒斯蒂芬 在 工作 上 吉卜林 給 了 很大 壓力 ， 但是 基普林 的 寫作 興致 勢不可擋 。,[0] -> [1]
豐臣 秀吉 將 關白 之 職 讓給 了 外甥 豐臣 秀次 後 ， 自稱 太閤 。,豐臣 秀吉 將 關白 之 職 外甥 豐臣 秀次 讓給 了 後 ， 自稱 太閤 。,[0] -> [1]
默多克 性情 孤僻 ， 偶爾 會 大發 脾氣 ， 曾 把 麥克佛森 的 狗 扔出 窗外 。,默多克 性情 孤僻 ， 偶爾 會 大發 脾氣 ， 曾 把 麥克佛森 的 狗 窗外 扔出 。,[0] -> [1]
每个 科系 也 各自 有 自己 的 收藏 ， 供给 学生 最多 的 艺术 资源 。,每个 科系 也 各自 有 自己 的 收藏 ， 学生 供给 最多 的 艺术 资源 。,[0] -> [1]
紹榮 鋼鐵 1997 年 將 調景 嶺 廠房 搬往 屯門 ， 而 原先 位 於 調景 嶺 的 舊 廠房 以 127億 元 售予 太古 地產 及 新鴻基 地產 ， 而 該 用地 其後 發展 為 住宅 項目 維景灣 畔 。,紹榮 鋼鐵 1997 年 將 調景 嶺 廠房 屯門 搬往 ， 而 原先 位 於 調景 嶺 的 舊 廠房 以 127億 元 售予 太古 地產 及 新鴻基 地產 ， 而 該 用地 其後 發展 為 住宅 項目 維景灣 畔 。,[0] -> [1]
吳 之 父親 將 其 送往 英國 寄宿 學校 讀 高中 ， 但 他 又 因 偷竊 而 被 學校 開除 。,吳 之 父親 將 其 英國 寄宿 學校 送往 讀 高中 ， 但 他 又 因 偷竊 而 被 學校 開除 。,[0] -> [1]
这 次 战役 ， 从 军事 上 总结 ， 腓特烈 过 于 低估 了 敌人 ， 当初 在 布拉格 战役 大胜 后 ， 没有 穷追 不舍 ， 而是 停 下来 围攻 坚城 ， 给 了 奥 军 喘息 之 机 。,这 次 战役 ， 从 军事 上 总结 ， 腓特烈 过 于 低估 了 敌人 ， 当初 在 布拉格 战役 大胜 后 ， 没有 穷追 不舍 ， 而是 停 下来 围攻 坚城 ， 奥 军 给 了 喘息 之 机 。,[0] -> [1]
瓦伊什維爾卡斯 虔信 東正 教 ， 他 自願 將 立陶宛 大公 國 的 頭銜 交給 他 的 妹夫 斯瓦爾恩 ， 沒 留下 子女 。,瓦伊什維爾卡斯 虔信 東正 教 ， 他 自願 將 立陶宛 大公 國 的 頭銜 他 的 妹夫 斯瓦爾恩 交給 ， 沒 留下 子女 。,[0] -> [1]
最后 ， 法院 判令 朱 建华 支付 曾 成杰 方 180余万 元 工程 款 。,最后 ， 法院 判令 朱 建华 曾 成杰 方 支付 180余万 元 工程 款 。,[0] -> [1]
1961 年 08 月 ， 在 教总 理事 扩大 会议 上 秘指 当年 曾 争取 到 拉萨 答应 不 把 “ 最后 目标 ” 列入 教育 法令 中 。,1961 年 08 月 ， 在 教总 理事 扩大 会议 上 秘指 当年 曾 争取 到 拉萨 答应 不 把 “ 最后 目标 ” 教育 法令 中 列入 。,[0] -> [1]
1996 年 4 月 17 日 ， 李 柱铭 抵达 美国 华盛顿 ， 他 承认 向 美国 争取 把 香港 问题 国际 化 ， 呼吁 国际 亦 应 给予 中国 压力 ， 以 保证 香港 政权 移交 后 得 以 高度 自治 。,1996 年 4 月 17 日 ， 李 柱铭 抵达 美国 华盛顿 ， 他 承认 向 美国 争取 把 香港 问题 国际 化 ， 呼吁 国际 亦 应 中国 给予 压力 ， 以 保证 香港 政权 移交 后 得 以 高度 自治 。,[0] -> [1]
雖然 發表 精選 集 是 為了 和 過去 說 「 拜拜 」 ， 卻 不想 將 「 懷舊 」 作 為 主 旋律 ， 「 所有 你 想 要 的 」 代表 了 快樂 與 希望 ， 蕭 瑋 作 為 此次 發布 會 的 主創 人員 ， 承諾 為 所有 歌迷 呈現 一 場 獨特 而 有趣 的 演出 ， 因為 音樂 帶給 他 的 就是 快樂 。,雖然 發表 精選 集 是 為了 和 過去 說 「 拜拜 」 ， 卻 不想 將 「 懷舊 」 主 旋律 作 為 ， 「 所有 你 想 要 的 」 代表 了 快樂 與 希望 ， 蕭 瑋 作 為 此次 發布 會 的 主創 人員 ， 承諾 為 所有 歌迷 呈現 一 場 獨特 而 有趣 的 演出 ， 因為 音樂 帶給 他 的 就是 快樂 。,[0] -> [1]
789 年 ， 查理 大帝 規定 每座 修道 院 都 要 辦 一 所 學校 ， 由 有 學問 的 修士 教導 年輕 人 「 七 藝 」 ， 並 閱讀 古典 作品 。,789 年 ， 查理 大帝 規定 每座 修道 院 都 要 辦 一 所 學校 ， 由 有 學問 的 修士 年輕 人 教導 「 七 藝 」 ， 並 閱讀 古典 作品 。,[0] -> [1]
目前 博爱 校区 并 无 餐厅 进驻 ， 仅 有 理发 部 、 外工 房 ， 不过 周遭 有 许多 小吃 店 ， 提供 学生 饮食 的 服务 。,目前 博爱 校区 并 无 餐厅 进驻 ， 仅 有 理发 部 、 外工 房 ， 不过 周遭 有 许多 小吃 店 ， 学生 提供 饮食 的 服务 。,[0] -> [1]
绍荣 钢铁 1997 年 将 调景 岭 厂房 搬往 屯门 ， 而 原先 位 于 调景 岭 的 旧 厂房 以 127亿 元 售予 太古 地产 及 新鸿基 地产 ， 而 该 用地 其后 发展 为 住宅 项目 维景湾 畔 。,绍荣 钢铁 1997 年 将 调景 岭 厂房 屯门 搬往 ， 而 原先 位 于 调景 岭 的 旧 厂房 以 127亿 元 售予 太古 地产 及 新鸿基 地产 ， 而 该 用地 其后 发展 为 住宅 项目 维景湾 畔 。,[0] -> [1]
现在 的 天星 码头 ， 多 了 一 位 闸口 服务 员 ， 他 把 闸机 收集 的 代币 运回 售卖 机 ， 循环 再用 。,现在 的 天星 码头 ， 多 了 一 位 闸口 服务 员 ， 他 把 闸机 收集 的 代币 售卖 机 运回 ， 循环 再用 。,[0] -> [1]
另外 ， “ 春绯 ” 这 个 名字 在 初期 设定 时 ， 给予 作者 一 种 “ 遥阳 ” 的 感觉 ； 但 描绘 到 了 第4 卷 时 ， 她 觉得 那 种 感觉 变成 了 “ 春日 ” 。,另外 ， “ 春绯 ” 这 个 名字 在 初期 设定 时 ， 作者 给予 一 种 “ 遥阳 ” 的 感觉 ； 但 描绘 到 了 第4 卷 时 ， 她 觉得 那 种 感觉 变成 了 “ 春日 ” 。,[0] -> [1]
柏拉圖 認為 ， 將 權力 授予 精心 培育 的 守護者們 安全 得 多 。,柏拉圖 認為 ， 將 權力 精心 培育 的 守護者們 授予 安全 得 多 。,[0] -> [1]
刘 惠鸣 已 把 粤 剧 艺术 冲出 香港 。,刘 惠鸣 已 把 粤 剧 艺术 香港 冲出 。,[0] -> [1]
我 来 中国 以后 ， 见 到 一 位 穆斯林 女士 她 在 另外 的 大学 学习 ， 她 学习 教 外国人 汉语 专业 ， 第一 次 看 到 我们 她 对 我们 很 热情 ， 那 时候 ， 她 请 我们 去 爬山 ， 这 是 第一 次 去 爬山 我 觉得 很 既 积极 又 兴奋 ， 等 着 什么 时候 太阳 出来 了 。,我 来 中国 以后 ， 见 到 一 位 穆斯林 女士 她 在 另外 的 大学 学习 ， 她 学习 外国人 教 汉语 专业 ， 第一 次 看 到 我们 她 对 我们 很 热情 ， 那 时候 ， 她 请 我们 去 爬山 ， 这 是 第一 次 去 爬山 我 觉得 很 既 积极 又 兴奋 ， 等 着 什么 时候 太阳 出来 了 。,[0] -> [1]
異形 攻擊 Brett 並 將 他 拖進 一 個 通風 井 。,異形 攻擊 Brett 並 將 他 一 個 通風 井 拖進 。,[0] -> [1]
不過 ， 滙豐 市值 龐大 ， 令 股價 長期 不動 ， 投資 界 把 它 叫作 「 大笨 象 」 ， 當 「 大笨 象 」 的 股價 急速 起飛 時 ， 外界 往往 視 此 為 利好 消息 ， 或 股市 走勢 可以 熾熱 的 信號 。,不過 ， 滙豐 市值 龐大 ， 令 股價 長期 不動 ， 投資 界 把 它 「 大笨 象 」 叫作 ， 當 「 大笨 象 」 的 股價 急速 起飛 時 ， 外界 往往 視 此 為 利好 消息 ， 或 股市 走勢 可以 熾熱 的 信號 。,[0] -> [1]
此 舉動 強調 了 公司 對 用戶 的 期望 ， 希望 用戶 不要 只 把 其 產品 當作 提高 生產率 的 工具 。,此 舉動 強調 了 公司 對 用戶 的 期望 ， 希望 用戶 不要 只 把 其 產品 提高 生產率 的 工具 當作 。,[0] -> [1]
秦 月香 為 保護 女兒 采青 誤殺 桑 老三 ， 被 知縣 蕭 汝章 利用 ， 將 月香 的 舊 主子 、 采青 生父 青城 富商 沈 淵 捲入 是非 漩渦 。,秦 月香 為 保護 女兒 采青 誤殺 桑 老三 ， 被 知縣 蕭 汝章 利用 ， 將 月香 的 舊 主子 、 采青 生父 青城 富商 沈 淵 是非 漩渦 捲入 。,[0] -> [1]
采用 呼吸 管 之后 ， 潜艇 只 需 将 呼吸 管 伸出 海面 就 可 进行 充电 ， 不仅 降低 了 潜艇 被 发现 的 机率 ， 也 扩展 了 潜艇 可以 充电 的 时机 。,采用 呼吸 管 之后 ， 潜艇 只 需 将 呼吸 管 海面 伸出 就 可 进行 充电 ， 不仅 降低 了 潜艇 被 发现 的 机率 ， 也 扩展 了 潜艇 可以 充电 的 时机 。,[0] -> [1]
另外 ， 「 春緋 」 這 個 名字 在 初期 設定 時 ， 給予 作者 一 種 「 遙陽 」 的 感覺 ； 但 描繪 到 了 第4 卷 時 ， 她 覺得 那 種 感覺 變成 了 「 春日 」 。,另外 ， 「 春緋 」 這 個 名字 在 初期 設定 時 ， 作者 給予 一 種 「 遙陽 」 的 感覺 ； 但 描繪 到 了 第4 卷 時 ， 她 覺得 那 種 感覺 變成 了 「 春日 」 。,[0] -> [1]
劉 惠鳴 已 把 粵 劇 藝術 衝出 香港 。,劉 惠鳴 已 把 粵 劇 藝術 香港 衝出 。,[0] -> [1]
但 他 把 家人 留 在 了 巴黎 ， 而 不是 讓 他們 長途跋涉 回國 。,但 他 把 家人 巴黎 留 在 了 ， 而 不是 讓 他們 長途跋涉 回國 。,[0] -> [1]
電視 台 把 一 個 跋扈 專橫 、 亂倫 篡國 的 武 則天 演成 柔弱 堪憐 的 女子 ， 這 是 我們 所 不能 容忍 的 。,電視 台 把 一 個 跋扈 專橫 、 亂倫 篡國 的 武 則天 柔弱 堪憐 的 女子 演成 ， 這 是 我們 所 不能 容忍 的 。,[0] -> [1]
每個 科系 也 各自 有 自己 的 收藏 ， 供給 學生 最多 的 藝術 資源 。,每個 科系 也 各自 有 自己 的 收藏 ， 學生 供給 最多 的 藝術 資源 。,[0] -> [1]
1961 年 08 月 ， 在 教總 理事 擴大 會議 上 秘指 當年 曾 爭取 到 拉薩 答應 不 把 「 最後 目標 」 列入 教育 法令 中 。,1961 年 08 月 ， 在 教總 理事 擴大 會議 上 秘指 當年 曾 爭取 到 拉薩 答應 不 把 「 最後 目標 」 教育 法令 中 列入 。,[0] -> [1]
這 並 沒有 阻止 投資者們 成群結隊 地 把 錢 投到 基金 中 去 。,這 並 沒有 阻止 投資者們 成群結隊 地 把 錢 基金 中 投到 去 。,[0] -> [1]
精神 健康 急救 提供 的 介入 包括 评估 情况 、 非 批判 性 的 聆听 、 给予 当事 人 支持 、 鼓励 寻求 专业 协助 及 其他 支援 。,精神 健康 急救 提供 的 介入 包括 评估 情况 、 非 批判 性 的 聆听 、 当事 人 给予 支持 、 鼓励 寻求 专业 协助 及 其他 支援 。,[0] -> [1]
电视 台 把 一 个 跋扈 专横 、 乱伦 篡国 的 武 则天 演成 柔弱 堪怜 的 女子 ， 这 是 我们 所 不能 容忍 的 。,电视 台 把 一 个 跋扈 专横 、 乱伦 篡国 的 武 则天 柔弱 堪怜 的 女子 演成 ， 这 是 我们 所 不能 容忍 的 。,[0] -> [1]
球隊 高層 並 不 情願 給 這樣 一 位 接近 退休 的 老將 一 份 新 合同 。,球隊 高層 並 不 情願 這樣 一 位 接近 退休 的 老將 給 一 份 新 合同 。,[0] -> [1]
默多克 性情 孤僻 ， 偶尔 会 大发 脾气 ， 曾 把 麦克佛森 的 狗 扔出 窗外 。,默多克 性情 孤僻 ， 偶尔 会 大发 脾气 ， 曾 把 麦克佛森 的 狗 窗外 扔出 。,[0] -> [1]
在 她 寫 的 歌 成功 獲得 歌曲 出版 協議 之後 ， 貝貝 於 1991 年 將 家 搬往 田納西州 的 納什維爾 。,在 她 寫 的 歌 成功 獲得 歌曲 出版 協議 之後 ， 貝貝 於 1991 年 將 家 田納西州 的 納什維爾 搬往 。,[0] -> [1]
在 1948 年 春天 ， 帶 著 能 把 丁丁 歷險記 拍成 電影 的 希望 ， 這 位 比利時 藝術家 給 華特 · 迪士尼 寫 了 封 信 ， 徒勞 地 尋求 他 的 幫助 。,在 1948 年 春天 ， 帶 著 能 把 丁丁 歷險記 電影 拍成 的 希望 ， 這 位 比利時 藝術家 給 華特 · 迪士尼 寫 了 封 信 ， 徒勞 地 尋求 他 的 幫助 。,[0] -> [1]
瓦尔那 原意 是 “ 颜色 ” 或 “ 阶层 ” ， 在 该 理论 中 主要 指 四 种 不同 的 阶层 ， 经典 中 根据 一些 原则 区分 四 种 阶层 ， 并 明确 规范 彼此 的 义务 与 权利 ， 然而 实际 社会 中 ， 种姓 并非 依据 该 理论 的 规范 划分 ， 因 此 不能 将 瓦尔那 理论 与 种姓 制度 画上 等号 。,瓦尔那 原意 是 “ 颜色 ” 或 “ 阶层 ” ， 在 该 理论 中 主要 指 四 种 不同 的 阶层 ， 经典 中 根据 一些 原则 区分 四 种 阶层 ， 并 明确 规范 彼此 的 义务 与 权利 ， 然而 实际 社会 中 ， 种姓 并非 依据 该 理论 的 规范 划分 ， 因 此 不能 将 瓦尔那 理论 与 种姓 制度 等号 画上 。,[0] -> [1]
女 房东 将 房子 租予 了 一 个 神秘 租客 ， 该 租客 多 年 来 都 足不出户 ， 又 用 头纱 把 整块 面 蒙蔽 。,女 房东 将 房子 一 个 神秘 租客 租予 了 ， 该 租客 多 年 来 都 足不出户 ， 又 用 头纱 把 整块 面 蒙蔽 。,[0] -> [1]
此套 電影 引起 了 一 位 名 叫 馬 徐 維邦 的 中國 人 興趣 ， 他 把 此 電影 拍成 華 語 版 ， 不單 引起 更大 的 轟動 ， 而且 更為 中國 電影 史 上 第一 部 恐怖 片 。,此套 電影 引起 了 一 位 名 叫 馬 徐 維邦 的 中國 人 興趣 ， 他 把 此 電影 華 語 版 拍成 ， 不單 引起 更大 的 轟動 ， 而且 更為 中國 電影 史 上 第一 部 恐怖 片 。,[0] -> [1]
火 提供 了 天然 光源 外 的 另 一 選擇 ， 也 給予 人類 抵禦 外來 食肉 動物 的 入侵 的 能力 。,火 提供 了 天然 光源 外 的 另 一 選擇 ， 也 人類 給予 抵禦 外來 食肉 動物 的 入侵 的 能力 。,[0] -> [1]
1860 年 签订 的 中 俄 北京 条约 中 规定 清 政府 须 将 此地 大 部份 割予 沙俄 ， 今 归 俄罗斯 滨海 边疆 区 所 管 。,1860 年 签订 的 中 俄 北京 条约 中 规定 清 政府 须 将 此地 大 部份 沙俄 割予 ， 今 归 俄罗斯 滨海 边疆 区 所 管 。,[0] -> [1]
因 此 ， 德国 决定 将 大洋 洲 划入 日本 的 未来 领土 中 。,因 此 ， 德国 决定 将 大洋 洲 日本 的 未来 领土 中 划入 。,[0] -> [1]
