sen_str,swapped_sen_str,leaf_rule
"Homogenní tělesa , která mají různé fyzikální vlastnosti v různoběžných směrech , nazýváme anizotropní .","Homogenní tělesa , která mají různé fyzikální vlastnosti v různoběžných směrech , anizotropní nazýváme .",[0] -> [2] -> [4]
Nazýváme je hmoty beztvaré nebo amorfní .,hmoty beztvaré nebo amorfní Nazýváme je .,[0] -> [2] -> [4]
"Vyskytují - li se tyto izotopy v přírodě , nazýváme je přirozeně radioaktivní , jde - li o uměle vyrobené izotopy , pak se jmenují uměle radioaktivní .","Vyskytují - li se tyto izotopy v přírodě , přirozeně radioaktivní nazýváme je , jde - li o uměle vyrobené izotopy , pak se jmenují uměle radioaktivní .",[0] -> [2] -> [4]
"Prosím proto všechny vedoucí , aby by do # prosince podali náležitě zdůvodněné návrhy na odměnu pro jednotlivé pracovníky oddělení , a to za ukončené práce nebo ukončené etapy práce , za zásluhy o úspěšné plnění úkolů oddělení , za mimořádné úkoly nebo pracovní výkony .","všechny vedoucí Prosím proto , aby by do # prosince podali náležitě zdůvodněné návrhy na odměnu pro jednotlivé pracovníky oddělení , a to za ukončené práce nebo ukončené etapy práce , za zásluhy o úspěšné plnění úkolů oddělení , za mimořádné úkoly nebo pracovní výkony .",[0] -> [2] -> [4]
"Prosíme autory , aby by rukopisy příspěvků pro redakci Slova a slovesnosti odevzdali upravené podle těchto jednotících pokynů .","autory Prosíme , aby by rukopisy příspěvků pro redakci Slova a slovesnosti odevzdali upravené podle těchto jednotících pokynů .",[0] -> [2] -> [4]
"Poté , co Severní Karolína v roce 2013 přijala zákon omezující volební práva , Campbell obcházel kostely a učil lidi potýkat se s komplikacemi jejich voličské registrace .","Poté , co Severní Karolína v roce 2013 přijala zákon omezující volební práva , Campbell obcházel kostely a lidi učil potýkat se s komplikacemi jejich voličské registrace .",[0] -> [2] -> [4]
"Daří se nám přesvědčovat lidi , říká Jaroslav Vlk , že si můžeme svépomocí postavit dílo v obrovské hodnotě .","Daří se nám lidi přesvědčovat , říká Jaroslav Vlk , že si můžeme svépomocí postavit dílo v obrovské hodnotě .",[0] -> [2] -> [4]
"Žádáme vedoucí , aby by zjistili ve svém oddělení u všech pracovníků :","vedoucí Žádáme , aby by zjistili ve svém oddělení u všech pracovníků :",[0] -> [2] -> [4]
"Hlas , který se nepodobal lidskému , vyzýval všechny stanice hovořící česky , aby by odpověděly .","Hlas , který se nepodobal lidskému , všechny stanice hovořící česky vyzýval , aby by odpověděly .",[0] -> [2] -> [4]
"Dále vybídl členy ÚR , aby by začali ve svých odděleních připravovat podklady pro kontrolu komplexních hodnocení z * .","Dále členy ÚR vybídl , aby by začali ve svých odděleních připravovat podklady pro kontrolu komplexních hodnocení z * .",[0] -> [2] -> [4]
"Žádám vedoucí oddělení , aby by do # června odevzdali do sekretariátu ÚJČ návrh plánu vědeckých styků se zahraničím na rok # .","vedoucí oddělení Žádám , aby by do # června odevzdali do sekretariátu ÚJČ návrh plánu vědeckých styků se zahraničím na rok # .",[0] -> [2] -> [4]
