sen_str,swapped_sen_str,leaf_rule
""" Det skylder jeg mit land , "" siger han , men indrømmer samtidig , at det ikke var realistisk nok , og at han gerne ville opleve "" rigtig "" krig .",""" Det mit land skylder jeg , "" siger han , men indrømmer samtidig , at det ikke var realistisk nok , og at han gerne ville opleve "" rigtig "" krig .",[0] -> [1]
Jeg røg en cigaret i snevejret uden for forretningen for at give hende tid til at køle af .,Jeg røg en cigaret i snevejret uden for forretningen for at hende give tid til at køle af .,[0] -> [1]
"Alligevel er det blevet en uhyre flot bog , der viser os Rushdie som eminent læser og fortolker af især den fantastiske litteratur , som den skabes af Den 3. Verdens største romanforfattere Gabriel GarcÀia Márquez og Mario Vargas Llosa eller deres europæiske slægtninge Italo Calvino og Günter Grass .","Alligevel er det blevet en uhyre flot bog , der os viser Rushdie som eminent læser og fortolker af især den fantastiske litteratur , som den skabes af Den 3. Verdens største romanforfattere Gabriel GarcÀia Márquez og Mario Vargas Llosa eller deres europæiske slægtninge Italo Calvino og Günter Grass .",[0] -> [1]
"Oluf Terp har et svar på de spørgsmål , mange gode mænd stiller ham i disse tider .","Oluf Terp har et svar på de spørgsmål , mange gode mænd ham stiller i disse tider .",[0] -> [1]
""" Alle , der har været så tæt på branden , at de har kunnet fornemme lugten , risikerer inden for 24 timer at pådrage sig væske i lungerne .",""" Alle , der har været så tæt på branden , at de har kunnet fornemme lugten , risikerer inden for 24 timer at sig pådrage væske i lungerne .",[0] -> [1]
"En af dem , der fik besøg , var Ove Andersen , der dog ikke tog sig tid til en snak med de to evangelister : "" Vi havde gæster og var ved at spise , men ellers havde jeg inviteret dem ind .","En af dem , der fik besøg , var Ove Andersen , der dog ikke sig tog tid til en snak med de to evangelister : "" Vi havde gæster og var ved at spise , men ellers havde jeg inviteret dem ind .",[0] -> [1]
"Han har boet mange år i Sharjeh og fik et pas til De Forenede Arabiske Emirater i 1986 , hvilket giver ham nationalt tilhørsforhold til både Irak og De Forenede Arabiske Emirater .","Han har boet mange år i Sharjeh og fik et pas til De Forenede Arabiske Emirater i 1986 , hvilket ham giver nationalt tilhørsforhold til både Irak og De Forenede Arabiske Emirater .",[0] -> [1]
"I mange arbejdsfunktioner i såvel den offentlige som den private sektor vil det ikke være muligt at give medarbejderen fri til at deltage i uddannelse , med mindre der ansættes erstatningsarbejdskraft i kursusperioden .","I mange arbejdsfunktioner i såvel den offentlige som den private sektor vil det ikke være muligt at medarbejderen give fri til at deltage i uddannelse , med mindre der ansættes erstatningsarbejdskraft i kursusperioden .",[0] -> [1]
"Hvis Bo kun ønskede sig en smule tilfældig tidsfordriv , blev det i hvert fald ikke med hende .","Hvis Bo kun sig ønskede en smule tilfældig tidsfordriv , blev det i hvert fald ikke med hende .",[0] -> [1]
"Lad os forestille os , at det lokale olieforureningsberedskab i stedet for havde sendt en enkelt mand ud med en traktor og en sprøjtedunk fyldt med gensplejsede bakterier designede til at nedbryde spildolie i koldt saltholdigt vand .","Lad os os forestille , at det lokale olieforureningsberedskab i stedet for havde sendt en enkelt mand ud med en traktor og en sprøjtedunk fyldt med gensplejsede bakterier designede til at nedbryde spildolie i koldt saltholdigt vand .",[0] -> [1]
