sen_str,swapped_sen_str,leaf_rule
"Nadat Generaal Thomas zijn orders aan Stevens gegeven had , liep hij weg zonder Sosabowski een hand te geven , of zelfs maar een korte hoofdknik .","Nadat Generaal Thomas zijn orders aan Stevens gegeven had , liep hij weg zonder een hand te geven Sosabowski , of zelfs maar een korte hoofdknik .",[0] -> [1]
"Bovendien waren de Amerikanen niet ingesteld op junglegevechten , terwijl de Vietnamezen zich in het hun vertrouwde oerwoud verscholen en zelfs de Amerikanen vanuit een tunnelstelsel aanvielen .","Bovendien waren de Amerikanen niet ingesteld op junglegevechten , terwijl de Vietnamezen zich in het vertrouwde hun oerwoud verscholen en zelfs de Amerikanen vanuit een tunnelstelsel aanvielen .",[0] -> [1]
"Deze had het college gevraagd of het de waarheid van de geruchten over een eventuele vestiging van Progil aan de Moerdijk zoals die in het Vrije Volk van 13 maart zijn gepubliceerd , kon bevestigen .","Deze had gevraagd het college of het de waarheid van de geruchten over een eventuele vestiging van Progil aan de Moerdijk zoals die in het Vrije Volk van 13 maart zijn gepubliceerd , kon bevestigen .",[0] -> [1]
"Beide groepen wilden hun leden Vlaams verenigingsleven bieden , Vlaamsbewust en Vlaamstrijdend maken , zo , dat zij dit bewustzijn en deze strijdbaarheid zouden uitdragen over heel het Vlaamse land .","Beide groepen wilden Vlaams verenigingsleven bieden hun leden , Vlaamsbewust en Vlaamstrijdend maken , zo , dat zij dit bewustzijn en deze strijdbaarheid zouden uitdragen over heel het Vlaamse land .",[0] -> [1]
"Hermelien neemt meer rigoreuze maatregelen , en laat terloops vallen dat ze van plan is Magnus Stoker te vragen haar te begeleiden naar het Kerstfeestje bij Professor Slakhoorn .","Hermelien neemt meer rigoreuze maatregelen , en laat terloops vallen dat ze van plan is te vragen Magnus Stoker haar te begeleiden naar het Kerstfeestje bij Professor Slakhoorn .",[0] -> [1]
"Ook zal de heer Lems de minister een oordeel vragen over de "" pogingen van burgemeester mr. L. J. R. ridder van Rappard om een van de wethouders tot het nemen van ontslag te bewegen . ""","Ook zal de heer Lems een oordeel vragen de minister over de "" pogingen van burgemeester mr. L. J. R. ridder van Rappard om een van de wethouders tot het nemen van ontslag te bewegen . """,[0] -> [1]
"De conservatieve regering-Demirel staat zowel in parlementaire als in andere opzichten zeer zwak , en de vier resterende opiumprovincies kunnen haar tienduizenden broodnodige stemmen opleveren .","De conservatieve regering-Demirel staat zowel in parlementaire als in andere opzichten zeer zwak , en de vier resterende opiumprovincies kunnen tienduizenden broodnodige stemmen opleveren haar .",[0] -> [1]
Om goodwill te kweken bij de andere Arabische staten kon men niet anders dan Jordanië de onafhankelijkheid geven .,Om goodwill te kweken bij de andere Arabische staten kon men niet anders dan de onafhankelijkheid geven Jordanië .,[0] -> [1]
"Lang hebben twee partijenblokken tegenover elkaar gestaan , zonder dat de een de ander iets wilde toegeven .","Lang hebben twee partijenblokken tegenover elkaar gestaan , zonder dat de een iets wilde toegeven de ander .",[0] -> [1]
"Er is weinig kans , dat Den Haag het met sluiting bedreigde Artis financieel tegemoet zal komen .","Er is weinig kans , dat Den Haag financieel tegemoet zal komen het met sluiting bedreigde Artis .",[0] -> [1]
Dat was de raad te gortig en het voorstel werd dan ook afgestemd met alleen de stemmen van de indieners voor .,Dat was te de raad gortig en het voorstel werd dan ook afgestemd met alleen de stemmen van de indieners voor .,[0] -> [1]
"Iedereen die meer wil weten over de duivensport kan ter plaatse kennis vergaren , want het duivenpaleis wordt ook voorzien van een informatiekantoortje , waar de geinteresseerde de "" fijne kneepjes "" van het weduwnaarschap kunnen worden uitgelegd .","Iedereen die meer wil weten over de duivensport kan ter plaatse kennis vergaren , want het duivenpaleis wordt ook voorzien van een informatiekantoortje , waar de "" fijne kneepjes "" van het weduwnaarschap kunnen worden uitgelegd de geinteresseerde .",[0] -> [1]
We hopen de nog onbekende mr. Rijpstra spoedig te leren kennen en als gewest van de hem toegeschreven kwaliteiten te profiteren .,We hopen de nog onbekende mr. Rijpstra spoedig te leren kennen en als gewest van de toegeschreven hem kwaliteiten te profiteren .,[0] -> [1]
Zijn vader had hem een goed geleid land nagelaten en hij kon zelfs enige van de strenge wetten van Abd al-Rahman Khan terugdraaien .,Zijn vader had een goed geleid land nagelaten hem en hij kon zelfs enige van de strenge wetten van Abd al-Rahman Khan terugdraaien .,[0] -> [1]
In Hasselt hebben er begin 21ste eeuw veel stadsvernieuwingsprojecten plaatsgevonden die de stad een nieuw gezicht hebben gegeven .,In Hasselt hebben er begin 21ste eeuw veel stadsvernieuwingsprojecten plaatsgevonden die een nieuw gezicht hebben gegeven de stad .,[0] -> [1]
"Duitsland zou een nieuwe mark invoeren en de herstelbetalingen hervatten , maar de VS zouden Duitsland het geld lenen .","Duitsland zou een nieuwe mark invoeren en de herstelbetalingen hervatten , maar de VS zouden het geld lenen Duitsland .",[0] -> [1]
Ook al omdat Nederlandse verpleegsters hem gedurende vele jaren hebben bijgestaan .,Ook al omdat Nederlandse verpleegsters gedurende vele jaren hebben bijgestaan hem .,[0] -> [1]
hij zei ons te zullen vragen de trein te willen missen,hij zei te zullen vragen ons de trein te willen missen,[0] -> [1]
"Hoe ze via België verder zijn gegaan , is mij niet bekend .","Hoe ze via België verder zijn gegaan , is niet bekend mij .",[0] -> [1]
