sen_str,swapped_sen_str,leaf_rule
Marazawe erezur raʔe tɨ iʔi zekwehe izupe,Marazawe erezur raʔe tɨ izupe iʔi zekwehe,[0] -> [1]
"— Kwa , nankwaw tɨ , iʔi wi zote zekaipo hoko izupe no .","— Kwa , nankwaw tɨ , izupe iʔi wi zote zekaipo hoko no .",[0] -> [1]
"Nan , ahaputar ihe , iʔi izupe .","Nan , ahaputar ihe , izupe iʔi .",[0] -> [1]
"Kwa , ihe rihi no tɨ , iʔi zekaipo zawar uhu izupe .","Kwa , ihe rihi no tɨ , izupe iʔi zekaipo zawar uhu .",[0] -> [1]
Nezewe miar wanekon izupe wa .,Nezewe miar izupe wanekon wa .,[0] -> [1]
"— Taʔe ipɨpor xe zo tur kwez xe , iʔi zekaipo zakare izupe aʔe no .","— Taʔe ipɨpor xe zo tur kwez xe , izupe iʔi zekaipo zakare aʔe no .",[0] -> [1]
"— Kwa , nezewe tue , iʔi zekaipo uzeupe .","— Kwa , nezewe tue , uzeupe iʔi zekaipo .",[0] -> [1]
Tɨkɨʔɨr ipɨʔa ukwaw tuwe maʔe uzeapomaʔekwer izupe aʔe .,Tɨkɨʔɨr ipɨʔa ukwaw tuwe maʔe izupe uzeapomaʔekwer aʔe .,[0] -> [1]
"— Maʔenpete tuen azur aipo pa , iʔi zekaipo kwarer uzeupe aʔe kurɨ .","— Maʔenpete tuen azur aipo pa , uzeupe iʔi zekaipo kwarer aʔe kurɨ .",[0] -> [1]
"Maʔe inemahɨ xe kɨn , iʔi kuzagwer uzeupeupe wa .","Maʔe inemahɨ xe kɨn , uzeupeupe iʔi kuzagwer wa .",[0] -> [1]
"Uhem oho aʔe zawar iziwapɨrer tupawpe wa kurɨ , teko romo zekaipo uwuz kurɨ , iʔi maizupe , hekatu tanaʔag kurɨ tɨ iʔi izupe .","Uhem oho aʔe zawar iziwapɨrer tupawpe wa kurɨ , teko romo zekaipo uwuz kurɨ , iʔi maizupe , hekatu tanaʔag kurɨ tɨ izupe iʔi .",[0] -> [1]
"Kwa ! Napunerkwaw imonohaw newe tɨ , iʔi tɨkɨʔɨr izupe","Kwa ! Napunerkwaw imonohaw newe tɨ , izupe iʔi tɨkɨʔɨr",[0] -> [1]
"Iazu mehe , apoʔoputar ihe nehe , iʔi izupe .","Iazu mehe , apoʔoputar ihe nehe , izupe iʔi .",[0] -> [1]
Heʔe pa azur roko ihe no pa iʔi zekwehe izupe,Heʔe pa azur roko ihe no pa izupe iʔi zekwehe,[0] -> [1]
"Maʔe tue te aipo ma , iʔi uzeupe .","Maʔe tue te aipo ma , uzeupe iʔi .",[0] -> [1]
"Wazewɨrawer nahetakwaw wapɨpor , iʔi zekaipo awara uzeupe .","Wazewɨrawer nahetakwaw wapɨpor , uzeupe iʔi zekaipo awara .",[0] -> [1]
"— Awi azur tekoko tamuz , iʔi zekaipo kwarer izupe aʔe no .","— Awi azur tekoko tamuz , izupe iʔi zekaipo kwarer aʔe no .",[0] -> [1]
