sen_str,swapped_sen_str,leaf_rule
dàgà nan sai zoːmoː ya jeː ya kaːmàː mishì //,dàgà nan sai zoːmoː ya jeː ya mishì kaːmàː //,[0] -> [1] -> [3]
shiː kòː < ankà cêː mai [ gàː raːnak =kà //] //,shiː kòː < ankà mai cêː [ gàː raːnak =kà //] //,[0] -> [1] -> [3]
tundà wandà akà ràsu < akà baː shì //,tundà wandà akà ràsu < akà shì baː //,[0] -> [1] -> [3]
koːwaː akà sâː mishì koːwaː akà sâː mishì koːwaː akà sâː mishì koːwa: akà cêː yà ci //,koːwaː akà sâː mishì koːwaː akà sâː mishì koːwaː akà mishì sâː koːwa: akà cêː yà ci //,[0] -> [1] -> [3]
sanyin ƙàshiː bà zâi shìgeː kà ba //,sanyin ƙàshiː bà zâi kà shìgeː ba //,[0] -> [1] -> [3]
taːkìː < zaːsù ɗaukàː shi sù dingà zubàː mashì //,taːkìː < zaːsù ɗaukàː shi sù dingà mashì zubàː //,[0] -> [1] -> [3]
shiː kuma dà ya ci ya ci ya ci àbîn ya yi mishì yawàː //,shiː kuma dà ya ci ya ci ya ci àbîn ya mishì yi yawàː //,[0] -> [1] -> [3]
shinàː ta yi mai askìn geːmèː |c shinàː ta yi mà Dòːdoː askìn geːmèː //,shinàː ta mai yi askìn geːmèː |c shinàː ta yi mà Dòːdoː askìn geːmèː //,[0] -> [1] -> [3]
ìdan taːkìn na gar̃gajiyaː kèːnan < zaːsù ɗaukèː akèː zubàː mashì //,ìdan taːkìn na gar̃gajiyaː kèːnan < zaːsù ɗaukèː akèː mashì zubàː //,[0] -> [1] -> [3]
òːho mishì !//,mishì òːho !//,[0] -> [1] -> [3]
dà ta ga zoːmoː yanàː kwànce < sai ta jeː ta cêː mashì //+,dà ta ga zoːmoː yanàː kwànce < sai ta jeː ta mashì cêː //+,[0] -> [1] -> [3]
dà ta kai mishì < sai ya shaː |c sai ya mutù //,dà ta mishì kai < sai ya shaː |c sai ya mutù //,[0] -> [1] -> [3]
duy yandà kakèː cîn mân shaːnuː < à wannàn zaːmàniː < bâː yandà zaːʼà yi sanyìn ƙàshiː yà shìgeː kà ba //,duy yandà kakèː cîn mân shaːnuː < à wannàn zaːmàniː < bâː yandà zaːʼà yi sanyìn ƙàshiː yà kà shìgeː ba //,[0] -> [1] -> [3]
eː tòː < ai na yi makà na zaːmàni: kèːnan ai !//,eː tòː < ai na makà yi na zaːmàni: kèːnan ai !//,[0] -> [1] -> [3]
yànzu in ka cêː tà makà sai tà cêː zaːtà jeː boːkòː //,yànzu in ka cêː makà tà sai tà cêː zaːtà jeː boːkòː //,[0] -> [1] -> [3]
in na jeː zân ròːƙeː shì yà yi hàƙuriː //,in na jeː zân shì ròːƙeː yà yi hàƙuriː //,[0] -> [1] -> [3]
kuma yà cêː makà shiː maː gidan =shì an kwaːna bàʼà ci ba //,kuma yà makà cêː shiː maː gidan =shì an kwaːna bàʼà ci ba //,[0] -> [1] -> [3]
ta kwaɗàntaː mishì //,ta mishì kwaɗàntaː //,[0] -> [1] -> [3]
yaz zoː |c ya' îskèː mùzuːruː |c yac cêː mai [ inàː gàyyaː. //] //,yaz zoː |c ya' îskèː mùzuːruː |c yac mai cêː [ inàː gàyyaː. //] //,[0] -> [1] -> [3]
kaː ga dai < àkwai loːkàcin dà akà îskeː ka dà àbin =kà < à ƙwaːcèː maː //,kaː ga dai < àkwai loːkàcin dà akà îskeː ka dà àbin =kà < à maː ƙwaːcèː //,[0] -> [1] -> [3]
kaː ganiː dai na farkoː < àkwai shiː |a ainihin wânnan gidaː naːmù |a wandà akèː cêː mashì gidan Àlhajì Iːdi //,kaː ganiː dai na farkoː < àkwai shiː |a ainihin wânnan gidaː naːmù |a wandà akèː mashì cêː gidan Àlhajì Iːdi //,[0] -> [1] -> [3]
ham mù zoː gidaː < ani hwaɗàː maː //,ham mù zoː gidaː < ani maː hwaɗàː //,[0] -> [1] -> [3]
eː < yanàː dà yâːraː kàmaː =naː waɗàndà sukèː tallàfaː mashì //,eː < yanàː dà yâːraː kàmaː =naː waɗàndà sukèː mashì tallàfaː //,[0] -> [1] -> [3]
sai ta kai mashì duːkàː hakà //,sai ta mashì kai duːkàː hakà //,[0] -> [1] -> [3]
sai yà cêː makà àbin dà yakè dà shiː < shiː maː gàː shi //,sai yà makà cêː àbin dà yakè dà shiː < shiː maː gàː shi //,[0] -> [1] -> [3]
shiː nèː ta jeː ta faɗàː mà sarkîn wai gàː shi wai yaːrinyàn < tanàː kai mishì |c tà kai mà su Èmeːka àbinci //,shiː nèː ta jeː ta faɗàː mà sarkîn wai gàː shi wai yaːrinyàn < tanàː mishì kai |c tà kai mà su Èmeːka àbinci //,[0] -> [1] -> [3]
sai ya cêː tòː naː gayàː makà kà yi tùnàːnin dà àbin dà ka ci //,sai ya cêː tòː naː makà gayàː kà yi tùnàːnin dà àbin dà ka ci //,[0] -> [1] -> [3]
eː < shiː ita wânnan gaːnuwaː < an saːmoː tà nèː dòːmin dug gàrin dà akà cêː makà àkwai gaːnuwaː ta dàliːlìn eː yaːƙìː //,eː < shiː ita wânnan gaːnuwaː < an saːmoː tà nèː dòːmin dug gàrin dà akà makà cêː àkwai gaːnuwaː ta dàliːlìn eː yaːƙìː //,[0] -> [1] -> [3]
kàreː yac cêː mai [ kanàː gàyyaː //= ìn ji baːbù dàːmisàː ?//] //,kàreː yac mai cêː [ kanàː gàyyaː //= ìn ji baːbù dàːmisàː ?//] //,[0] -> [1] -> [3]
koːwaː akà sâː mishì koːwaː akà sâː mishì koːwaː akà sâː mishì koːwa: akà cêː yà ci //,koːwaː akà mishì sâː koːwaː akà sâː mishì koːwaː akà sâː mishì koːwa: akà cêː yà ci //,[0] -> [1] -> [3]
koːwaː akà sâː mishì koːwaː akà sâː mishì koːwaː akà sâː mishì koːwa: akà cêː yà ci //,koːwaː akà sâː mishì koːwaː akà mishì sâː koːwaː akà sâː mishì koːwa: akà cêː yà ci //,[0] -> [1] -> [3]
