sen_str,swapped_sen_str,leaf_rule
nu LÚ.MEŠ ZABAR.DAB a-še-eš-ni a-ku-wa-an-na pí-an-zi,nu LÚ.MEŠ ZABAR.DAB a-ku-wa-an-na pí-an-zi a-še-eš-ni,[0]
nu mu ÉRIN.MEŠ pí-iš-ke-u-an da-a-er,nu ÉRIN.MEŠ pí-iš-ke-u-an mu da-a-er,[0]
nu mu Ù-it ki-i me-mi-iš-ta DINGIR-LIM-ni wa-a t-ta am-mu-uk tar-na-aḫ-ḫi,nu mu Ù-it ki-i me-mi-iš-ta wa-a t-ta am-mu-uk tar-na-aḫ-ḫi DINGIR-LIM-ni,[0]
nu mu NAM.RA ku-in pa-ra-a pí-i-e-er n a-aš 4 LI-IM NAM.RA e-eš-ta,nu NAM.RA ku-in pa-ra-a pí-i-e-er mu n a-aš 4 LI-IM NAM.RA e-eš-ta,[0]
nu mi-e-ú-uš ku-i-uš d UTU-uš tu-u-ri-ya-an ḫar-ši nu-u š-ma-aš ka-a-ša DUMU NAM.LÚ.U19.LU-aš ḫal-ki-in šu-uḫ-ḫa-aš,nu mi-e-ú-uš ku-i-uš d UTU-uš tu-u-ri-ya-an ḫar-ši nu-u ka-a-ša DUMU NAM.LÚ.U19.LU-aš ḫal-ki-in šu-uḫ-ḫa-aš š-ma-aš,[0]
nu mu Ù-it ki-i me-mi-iš-ta DINGIR-LIM-ni wa-a t-ta am-mu-uk tar-na-aḫ-ḫi,nu Ù-it ki-i me-mi-iš-ta mu DINGIR-LIM-ni wa-a t-ta am-mu-uk tar-na-aḫ-ḫi,[0]
ták-ku ÌR-aš ḫu-wa-a-i n a-aš A-NA KUR Lu-ú-i-ya pa-iz-zi ku-i-š a-an a-ap-pa ú-wa-te-ez-zi nu-u š-še 6 GÍN KÙ.BABBAR pa-a-i,ták-ku ÌR-aš ḫu-wa-a-i n a-aš A-NA KUR Lu-ú-i-ya pa-iz-zi ku-i-š a-an a-ap-pa ú-wa-te-ez-zi nu-u 6 GÍN KÙ.BABBAR pa-a-i š-še,[0]
up-pé-eš-šar-MEŠ ma-a t-ta ku-e up-pa-aḫ-ḫu-un nu ḫu-u-ma-an LÚ ṬE4-ME KA ma-ni-ya-[aḫ-ḫu-un],up-pé-eš-šar-MEŠ ma-a t-ta ku-e up-pa-aḫ-ḫu-un nu ḫu-u-ma-an ma-ni-ya-[aḫ-ḫu-un] LÚ ṬE4-ME KA,[0]
ma-a-an wa mu 1-an DUMU KA pa-iš-ti ma-an wa-r a-aš mu LÚ MU-TI YA ki-ša-ri,ma-a-an wa 1-an DUMU KA pa-iš-ti mu ma-an wa-r a-aš mu LÚ MU-TI YA ki-ša-ri,[0]
nu URU Ne-e-ša-an iš-pa-an-di na-ak-ki-it da-a-aš URU Ne-e-ša-aš LUGAL-un IṢ-BAT Ù DUMU.MEŠ URU Ne-e-ša i-da-a-lu na-at-ta ku-e-da-ni-ik-ki ták-ki-iš-ta,nu URU Ne-e-ša-an iš-pa-an-di na-ak-ki-it da-a-aš URU Ne-e-ša-aš LUGAL-un IṢ-BAT Ù i-da-a-lu ták-ki-iš-ta DUMU.MEŠ URU Ne-e-ša na-at-ta ku-e-da-ni-ik-ki,[0]
nu mu ÉRIN.MEŠ pé-eš-ke-u-an da-a-ir,nu ÉRIN.MEŠ pé-eš-ke-u-an mu da-a-ir,[0]
ma-aḫ-ḫa-an ma A-BU YA ŠEŠ YA ku-in LÚ tu-u-ḫu-kán-ta-ḫi-ti ti-ya-an ḫar-ta n a-an ar-ḫa ti-it-ta-nu-ut nu am-mu-uk LUGAL-ez-na-an-ni ti-it-ta-nu-ut,ma-aḫ-ḫa-an ma A-BU YA ŠEŠ YA ku-in LÚ tu-u-ḫu-kán-ta-ḫi-ti ti-ya-an ḫar-ta n a-an ar-ḫa ti-it-ta-nu-ut nu am-mu-uk ti-it-ta-nu-ut LUGAL-ez-na-an-ni,[0]
ma-aḫ-ḫa-an ma A-BU YA ŠEŠ YA ku-in LÚ tu-u-ḫu-kán-ta-ḫi-ti ti-ya-an ḫar-ta n a-an ar-ḫa ti-it-ta-nu-ut nu am-mu-uk LUGAL-ez-na-an-ni ti-it-ta-nu-ut,ma-aḫ-ḫa-an ma A-BU YA ŠEŠ YA ku-in ti-ya-an LÚ tu-u-ḫu-kán-ta-ḫi-ti ḫar-ta n a-an ar-ḫa ti-it-ta-nu-ut nu am-mu-uk LUGAL-ez-na-an-ni ti-it-ta-nu-ut,[0]
BE-LÍ NI wa-a n-na-aš ŠA URU A-ri-ip-ša-a i-wa-ar URU Ḫa-at-tu-ši ša-a-ru-wa-u-wa-an-zi le-e ma-ni-ya-aḫ-ti,BE-LÍ NI wa-a n-na-aš ŠA URU A-ri-ip-ša-a i-wa-ar ša-a-ru-wa-u-wa-an-zi le-e ma-ni-ya-aḫ-ti URU Ḫa-at-tu-ši,[0]
LÚ.MEŠ URU Nu-ḫaš-ši wa ku-it ku-u-ru-ur nu wa-a š-ma-aš i-it ḫal-ki-ḪI.A-uš ar-ḫa ḫar-ni-ik nu wa-r a-aš kán an-da ḫa-at-ke-eš-nu-ut,LÚ.MEŠ URU Nu-ḫaš-ši wa ku-it ku-u-ru-ur nu wa-a i-it š-ma-aš ḫal-ki-ḪI.A-uš ar-ḫa ḫar-ni-ik nu wa-r a-aš kán an-da ḫa-at-ke-eš-nu-ut,[0]
ták-ku LÚ.U19.LU-an EL-LAM KIR4 še-et ku-iš-ki wa-a-ki 1 MA.NA KÙ.BABBAR pa-a-i,ták-ku KIR4 še-et ku-iš-ki wa-a-ki LÚ.U19.LU-an EL-LAM 1 MA.NA KÙ.BABBAR pa-a-i,[0]
up-pé-eš-šar-MEŠ ma-a t-ta ku-e up-pa-aḫ-ḫu-un nu ḫu-u-ma-an LÚ ṬE4-ME KA ma-ni-ya-[aḫ-ḫu-un],up-pé-eš-šar-MEŠ ma-a ku-e up-pa-aḫ-ḫu-un t-ta nu ḫu-u-ma-an LÚ ṬE4-ME KA ma-ni-ya-[aḫ-ḫu-un],[0]
nu URU Ḫa-at-tu-ši GEŠTIN-an ar-kam-ma-na-an-ni pé-e ḫar-ker,nu GEŠTIN-an ar-kam-ma-na-an-ni pé-e ḫar-ker URU Ḫa-at-tu-ši,[0]
n a-an kán URU KÙ.BABBAR-ši pa-ra-a ne-eḫ-ḫu-un,n a-an kán pa-ra-a ne-eḫ-ḫu-un URU KÙ.BABBAR-ši,[0]
nam-ma-a š-ma-aš kán ÉRIN.MEŠ iš-ḫi-iḫ-ḫu-un,nam-ma-a kán ÉRIN.MEŠ iš-ḫi-iḫ-ḫu-un š-ma-aš,[0]
nu wa-a n-na-aš za ÌR-an-ni da-a,nu wa-a n-na-aš za da-a ÌR-an-ni,[0]
ma-a-n a-aš-ta MUL.ḪI.A-eš ú-en-zi nu uš a-ap-pa iš-ḫi-i š-ši pé-en-na-i,ma-a-n a-aš-ta MUL.ḪI.A-eš ú-en-zi nu uš a-ap-pa pé-en-na-i iš-ḫi-i š-ši,[0]
