sen_str,swapped_sen_str,leaf_rule
그러면서 사회 역사적으로 인류에게 공헌할 자아가 어떤것인가 하는 물음에도 스스로 골몰하게 되는 게 바로 사춘기입니다 .,그러면서 사회 역사적으로 공헌할 인류에게 자아가 어떤것인가 하는 물음에도 스스로 골몰하게 되는 게 바로 사춘기입니다 .,[0] -> [1]
어느날은 자기가 가진 네 개의 가시에 대해 이야기하면서 어린 왕자에게 이렇게 말하기도 했다 .,어느날은 자기가 가진 네 개의 가시에 대해 이야기하면서 이렇게 말하기도 어린 왕자에게 했다 .,[0] -> [1]
종교는 믿는 사람에게 확신을 주지만 그 확신은 이성에 기초한 것이 아니다 .,종교는 확신을 주지만 믿는 사람에게 그 확신은 이성에 기초한 것이 아니다 .,[0] -> [1]
실로 그는 일제말의 암흑기를 적에게 굽히지 않고 살다 간 희귀한 민족운동자였다 .,실로 그는 일제말의 암흑기를 굽히지 적에게 않고 살다 간 희귀한 민족운동자였다 .,[0] -> [1]
"그리고 흑인들에게 장려하여 면제품의 의복을 입게 할 수 있다는 희망에서 , 아프리카에 있어서의 무자비한 제국주의가 활기에 박차를 가했다 .","그리고 장려하여 흑인들에게 면제품의 의복을 입게 할 수 있다는 희망에서 , 아프리카에 있어서의 무자비한 제국주의가 활기에 박차를 가했다 .",[0] -> [1]
그는 확집이냐 퇴행이냐를 결정짓는 것은 결국 국민정신에 있다고 보고 있어 이것이 우리에게 의미하는 바는 사뭇 크다고 보여진다 .,그는 확집이냐 퇴행이냐를 결정짓는 것은 결국 국민정신에 있다고 보고 있어 이것이 의미하는 우리에게 바는 사뭇 크다고 보여진다 .,[0] -> [1]
경제계는 정경유착이나 정경일치에 한눈을 팔지 말고 오직 고객창조를 통해서 이윤을 내고 그 이윤을 근로자에게 공정하게 분배하는데 전념하기 바란다 .,경제계는 정경유착이나 정경일치에 한눈을 팔지 말고 오직 고객창조를 통해서 이윤을 내고 그 이윤을 공정하게 근로자에게 분배하는데 전념하기 바란다 .,[0] -> [1]
오직 문제가 되는 것은 당신들에게 그것들을 적절히 이용할 능력이 없다는 것이다 .,오직 문제가 되는 것은 그것들을 적절히 이용할 능력이 없다는 당신들에게 것이다 .,[0] -> [1]
이런 광통신 기술의 빠른 행보를 그대로 실수요자에게 혜택으로 돌리는 데는 기술의 발전 ( Technology Push ) 만으로 충분하지 못했다 .,이런 광통신 기술의 빠른 행보를 그대로 혜택으로 돌리는 실수요자에게 데는 기술의 발전 ( Technology Push ) 만으로 충분하지 못했다 .,[0] -> [1]
그러나 야조프 등이 비행기에 올랐을 때 고르비는 또다른 비행기에 올랐으며 이때를 놓치지 않고 루츠꼬이가 잽싸게 야조프와 클류치꼬프 등에게 수갑을 채웠다 .,그러나 야조프 등이 비행기에 올랐을 때 고르비는 또다른 비행기에 올랐으며 이때를 놓치지 않고 루츠꼬이가 잽싸게 수갑을 채웠다 야조프와 클류치꼬프 등에게 .,[0] -> [1]
따라서 부인이 할 수 없이 남편에게 도움을 요청함으로써 사실이 들통 난 것이다 .,따라서 부인이 할 수 없이 도움을 요청함으로써 남편에게 사실이 들통 난 것이다 .,[0] -> [1]
"이 외에도 장편부문은 금상 ( 1팀 ) 1500만원 , 은상 ( 1팀 ) 1000만원 , 동상 ( 2팀 ) 300만원이 주어지며 , 단편부문은 금상 ( 1팀 ) 1000만원 , 은상 ( 1팀 ) 500만원 , 동상 ( 2팀 ) 200만원의 상금이 수여된다 .","이 외에도 금상 ( 1팀 ) 1500만원 , 은상 ( 1팀 ) 1000만원 , 동상 ( 2팀 ) 300만원이 주어지며 장편부문은 , 단편부문은 금상 ( 1팀 ) 1000만원 , 은상 ( 1팀 ) 500만원 , 동상 ( 2팀 ) 200만원의 상금이 수여된다 .",[0] -> [1]
그는 다수의 논문을 통해 은행권 발효의 유효성을 재무 당국자에게 건의했다 .,그는 다수의 논문을 통해 은행권 발효의 유효성을 건의했다 재무 당국자에게 .,[0] -> [1]
그러므로 5위권으로 밀린 국제경쟁력의 책임은 우리 모두에게 있다고 생각하고 국민 각자가 맡은 바 책임과 소명에 충실해야 한다 .,그러므로 5위권으로 밀린 국제경쟁력의 책임은 있다고 우리 모두에게 생각하고 국민 각자가 맡은 바 책임과 소명에 충실해야 한다 .,[0] -> [1]
예비 부부님들은 웨딩 플래너한테 얘기하지 마시고 직접 가서 상담해보세요 . .,예비 부부님들은 얘기하지 웨딩 플래너한테 마시고 직접 가서 상담해보세요 . .,[0] -> [1]
종업원과 주인의 불친절한 인상은 손님들에게 대접 받기 위해 식당을 운영하는 것 같다 .,종업원과 주인의 불친절한 인상은 대접 받기 손님들에게 위해 식당을 운영하는 것 같다 .,[0] -> [1]
"그리스인들의 조직화된 자연철학이 보석가공업자 , 대장장이 및 연금사들에게 전해졌을 때 그것은 감수성이 예민한 사람들의 주의를 끌었다 .","그리스인들의 조직화된 자연철학이 전해졌을 보석가공업자 , 대장장이 및 연금사들에게 때 그것은 감수성이 예민한 사람들의 주의를 끌었다 .",[0] -> [1]
그런가 하면 주인공에게 과업을 주거나 좋은 뜻의 시련을 주기도 합니다 .,그런가 하면 과업을 주거나 좋은 뜻의 시련을 주기도 주인공에게 합니다 .,[0] -> [1]
이 세상에 자기와 같은 꽃은 하나뿐이라고 그의 꽃은 그에게 말해 주었던 것이다 .,이 세상에 자기와 같은 꽃은 하나뿐이라고 그의 꽃은 말해 그에게 주었던 것이다 .,[0] -> [1]
가령 주용한에게 조선이 있고 채석장이 있다 .,가령 조선이 있고 채석장이 있다 주용한에게 .,[0] -> [1]
노 대통령이 이산가족에게 특별한 애착을 갖게 된 것은 노 대통령의 어머니 김태향 여사 ( 84 ) 의 뜻이기도 하다 .,노 대통령이 특별한 애착을 갖게 이산가족에게 된 것은 노 대통령의 어머니 김태향 여사 ( 84 ) 의 뜻이기도 하다 .,[0] -> [1]
온갖 일과 모든 소유를 그에게 맡기자 하늘이 요셉을 보아 그 이집트 인 집에 복을 내렸다 .,온갖 일과 모든 소유를 맡기자 그에게 하늘이 요셉을 보아 그 이집트 인 집에 복을 내렸다 .,[0] -> [1]
다시 말해 누가 누구에게 돌을 던질 수 있느냐 이것입니다 .,다시 말해 누가 돌을 던질 누구에게 수 있느냐 이것입니다 .,[0] -> [1]
회사는 승객에게 액세스 요금을 부과할지 여부는 각 항공사 브랜드가 결정할 문제 라 고 BBC에게 말했다 .,회사는 액세스 요금을 부과할지 승객에게 여부는 각 항공사 브랜드가 결정할 문제 라 고 BBC에게 말했다 .,[0] -> [1]
그러나 같은 시기에 왜왕의 직위보다 훨씬 높은 칭호를 부여받았던 백제왕이 왜왕에게 조공을 바치는 등의 해괴한 일에 대해선 어떻게 설명하겠는가 ?,그러나 같은 시기에 왜왕의 직위보다 훨씬 높은 칭호를 부여받았던 백제왕이 조공을 바치는 왜왕에게 등의 해괴한 일에 대해선 어떻게 설명하겠는가 ?,[0] -> [1]
그러나 조선시대 퇴계 이황선생이 사율시를 지어 이곳에서 은거하던 요수 ( 樂水 ) 신권 ( 愼權 ) 선생에게 보내 수승대로 고칠 것을 권해 수승대로 고쳐 불리게 되었다 .,그러나 조선시대 퇴계 이황선생이 사율시를 지어 보내 이곳에서 은거하던 요수 ( 樂水 ) 신권 ( 愼權 ) 선생에게 수승대로 고칠 것을 권해 수승대로 고쳐 불리게 되었다 .,[0] -> [1]
"예컨대 아버지가 12 마지기 논을 갖고 있으며 아들이 3 형제라 할 때 , 장자에게 6 마지기 그리고 차남과 삼남에게 각각 3 마지기씩을 준다 .","예컨대 아버지가 12 마지기 논을 갖고 있으며 아들이 3 형제라 할 때 , 장자에게 6 마지기 그리고 각각 3 마지기씩을 차남과 삼남에게 준다 .",[0] -> [1]
이번에는 방앗간쟁이 딸은 자기 반지를 주기로 하고 난쟁이에게 먼젓번처럼 짚을 자아 황금으로 만들게 했다 .,이번에는 방앗간쟁이 딸은 자기 반지를 주기로 하고 먼젓번처럼 짚을 자아 황금으로 만들게 난쟁이에게 했다 .,[0] -> [1]
"하기야 , 그들에게 문학비평은 다채로운 감수성을 제공하며 , 문학연구는 객관적인 신뢰감을 부여한다 .","하기야 , 문학비평은 다채로운 감수성을 제공하며 , 문학연구는 객관적인 신뢰감을 부여한다 그들에게 .",[0] -> [1]
"동방에 관해서는 틀린 부분도 포함하여 , 중세에 이르기까지 헤로도토스의 기술이 일반인들에게 신뢰를 받았다 .","동방에 관해서는 틀린 부분도 포함하여 , 중세에 이르기까지 헤로도토스의 기술이 신뢰를 받았다 일반인들에게 .",[0] -> [1]
특히 통 반장의 선거운동은 실제로 집권여당에게 엄청난 프리미엄을 가져다 준다 .,특히 통 반장의 선거운동은 실제로 엄청난 프리미엄을 가져다 집권여당에게 준다 .,[0] -> [1]
"노관구 전남도 지역정보담당은 "" 정보화마을의 농촌체험프로그램은 어른들에게는 옛 추억을 떠올리게 하고 아이들에겐 색다른 경험을 안겨주기 때문에 도시민들에게 인기가 높으며 이용객들도 꾸준히 늘고 있다 "" 고 말했다 .","노관구 전남도 지역정보담당은 "" 정보화마을의 농촌체험프로그램은 옛 추억을 떠올리게 어른들에게는 하고 아이들에겐 색다른 경험을 안겨주기 때문에 도시민들에게 인기가 높으며 이용객들도 꾸준히 늘고 있다 "" 고 말했다 .",[0] -> [1]
그 꽃은 나에게 향기를 풍겨주고 내 마음을 밝게 해주었어 .,그 꽃은 향기를 풍겨주고 나에게 내 마음을 밝게 해주었어 .,[0] -> [1]
"그러면 내가 네게 한 가지 비밀을 선물할께 . ""","그러면 내가 한 가지 비밀을 선물할께 네게 . """,[0] -> [1]
어느 날 그녀는 귀하에게 어떤 손님 이야기를 해주었다 .,어느 날 그녀는 어떤 손님 이야기를 해주었다 귀하에게 .,[0] -> [1]
""" 지금 우리에게는 매우 귀중한 투수 "" 라고 대만 언론에 소개했다 .",""" 지금 매우 귀중한 투수 우리에게는 "" 라고 대만 언론에 소개했다 .",[0] -> [1]
그 별에 다가가자 그는 가로등 켜는 사람에게 공손히 인사했다 .,그 별에 다가가자 그는 공손히 인사했다 가로등 켜는 사람에게 .,[0] -> [1]
성령의 세례를 받은 자는 그 결과로써 자신에게 허락된 성령의 은사를 발견하고 그리스도의 복음과 교회를 위해 활용해야 한다 .,성령의 세례를 받은 자는 그 결과로써 허락된 자신에게 성령의 은사를 발견하고 그리스도의 복음과 교회를 위해 활용해야 한다 .,[0] -> [1]
이 반움집 형태는 종래의 움집과 더불어 삼국시대 후반까지도 지역에 따라서는 그리고 경제력이 연약하였던 일반민들에게 널리 이용되었을 것이다 .,이 반움집 형태는 종래의 움집과 더불어 삼국시대 후반까지도 널리 이용되었을 지역에 따라서는 그리고 경제력이 연약하였던 일반민들에게 것이다 .,[0] -> [1]
"첫째는 , 한의 공주를 흉노 선우에게 출가시키는 것이었다 .","첫째는 , 한의 공주를 출가시키는 흉노 선우에게 것이었다 .",[0] -> [1]
어쩌면 인간이 신에게 기대하는 역할과 성품을 갖춘 인물들이라고 해도 지나친 말은 아닐 것입니다 .,어쩌면 인간이 기대하는 신에게 역할과 성품을 갖춘 인물들이라고 해도 지나친 말은 아닐 것입니다 .,[0] -> [1]
"조명래 단국대 교수는 "" 정부가 주택을 매입해 전세 세입자와 지분을 절반씩 나눠 갖는 지분형주택은 소유권을 인정하면서 주거 안정을 꾀할 수 있는 방안 "" 이라며 "" 공공성을 확보하지 않은 채 규제를 완화하고 세제지원을 강화하려는 정책은 결국 상위계층과 고가 주택 보유자들에게만 혜택이 돌아가고 실효성은 떨어질 수 있다 "" 고 지적했다 .","조명래 단국대 교수는 "" 정부가 주택을 매입해 전세 세입자와 지분을 절반씩 나눠 갖는 지분형주택은 소유권을 인정하면서 주거 안정을 꾀할 수 있는 방안 "" 이라며 "" 공공성을 확보하지 않은 채 규제를 완화하고 세제지원을 강화하려는 정책은 결국 혜택이 돌아가고 상위계층과 고가 주택 보유자들에게만 실효성은 떨어질 수 있다 "" 고 지적했다 .",[0] -> [1]
부르주아 민주주의 철저한 완수라는 임무가 누구에게 요청되고 있었던가는 명확하였다 .,부르주아 민주주의 철저한 완수라는 임무가 요청되고 누구에게 있었던가는 명확하였다 .,[0] -> [1]
학문적 성격을 갖는 이론은 작품을 해명하는 데서 그쳐야 하며 작품에 대한 평가와 방향제시는 비평가에게 맡겨야 한다는 주장은 이런 측면에서 볼 때 매우 잘못된 것이다 .,학문적 성격을 갖는 이론은 작품을 해명하는 데서 그쳐야 하며 작품에 대한 평가와 방향제시는 맡겨야 비평가에게 한다는 주장은 이런 측면에서 볼 때 매우 잘못된 것이다 .,[0] -> [1]
"오직 일본만이 이 같은 압력에 저항 , 백인세계의 방법과 기술 , 무기를 받아들임으로써 1905년 1월 포트 아서에서 그들에게 최초로 굴욕적인 패배를 안겨주었다 .","오직 일본만이 이 같은 압력에 저항 , 백인세계의 방법과 기술 , 무기를 받아들임으로써 1905년 1월 포트 아서에서 최초로 굴욕적인 패배를 안겨주었다 그들에게 .",[0] -> [1]
"라고 어른들에게 말한다면 , 그들은 어깨를 으쓱하며 여러분들을 어린아이로 취급할 것이다 .","라고 말한다면 어른들에게 , 그들은 어깨를 으쓱하며 여러분들을 어린아이로 취급할 것이다 .",[0] -> [1]
그리고 그의 종인 의사들에게 아버지에게 약을 바르도록 명했다 .,그리고 아버지에게 약을 바르도록 명했다 그의 종인 의사들에게 .,[0] -> [1]
이클즈는 실재와 마주서서 다음과 같은 최고의 찬사를 포퍼에게 보내고 있다 .,이클즈는 실재와 마주서서 다음과 같은 최고의 찬사를 보내고 포퍼에게 있다 .,[0] -> [1]
