sen_str,swapped_sen_str,leaf_rule
"Līdz ar to pētnieks nonāk pie vispārinoša secinājuma , ka teātris kalpo kā kultūras atmiņas repozitārijs , bet uz kultūras atmiņu , līdzīgi kā individuālo atmiņu , iespējams iedarboties .","ar to Līdz pētnieks nonāk pie vispārinoša secinājuma , ka teātris kalpo kā kultūras atmiņas repozitārijs , bet uz kultūras atmiņu , līdzīgi kā individuālo atmiņu , iespējams iedarboties .",[0] -> [1] -> [2] -> [8]
"Šo sistēmu vajagot vairāk pielietot , un līdz ar to runa varētu būt par sāls daudzuma samazinājumu .","Šo sistēmu vajagot vairāk pielietot , un ar to līdz runa varētu būt par sāls daudzuma samazinājumu .",[0] -> [1] -> [2] -> [8]
Līdz ar to pašvaldība uz 20 gadiem aizņemsies vairāk nekā 43 772 eiro .,ar to Līdz pašvaldība uz 20 gadiem aizņemsies vairāk nekā 43 772 eiro .,[0] -> [1] -> [2] -> [8]
"Lietuvas darbaspēka imigrācijas politikas pamatā ir princips , ka ar imigrācijas starpniecību tiek apmierināta tā pieprasījuma daļa , ko nav iespējams apmierināt ar vietējo darbaspēku , un līdz ar to darba devēji uzsāk procedūru darbinieku meklēšanai ārvalstīs .","Lietuvas darbaspēka imigrācijas politikas pamatā ir princips , ka ar imigrācijas starpniecību tiek apmierināta tā pieprasījuma daļa , ko nav iespējams apmierināt ar vietējo darbaspēku , un ar to līdz darba devēji uzsāk procedūru darbinieku meklēšanai ārvalstīs .",[0] -> [1] -> [2] -> [8]
Līdz ar to strauji tiek celtas arī cenas .,ar to Līdz strauji tiek celtas arī cenas .,[0] -> [1] -> [2] -> [8]
Līdz ar to padomes locekļu skaits tiks samazināts no 11 līdz septiņiem .,ar to Līdz padomes locekļu skaits tiks samazināts no 11 līdz septiņiem .,[0] -> [1] -> [2] -> [8]
"Analizējamā gadījumā prasītājas norādītais , ka viņa neoficiāli darba devēju informējusi par grūtniecību , ir fakts , kas varētu liecināt par diskriminācijas iespējamību , līdz ar to pierādīšanas pienākums bija pārceļams uz darba devēju , nepieprasot pierādīt , ka informēšana par grūtniecību ir notikusi .","Analizējamā gadījumā prasītājas norādītais , ka viņa neoficiāli darba devēju informējusi par grūtniecību , ir fakts , kas varētu liecināt par diskriminācijas iespējamību , ar to līdz pierādīšanas pienākums bija pārceļams uz darba devēju , nepieprasot pierādīt , ka informēšana par grūtniecību ir notikusi .",[0] -> [1] -> [2] -> [8]
"Tāpat ar faktiem nav apstiprinājušies Krievijas paziņojumi par Krimas etnisko krievu vajāšanu , un līdz ar to arī šis Krievijas arguments neiztur nekādu kritiku .","Tāpat ar faktiem nav apstiprinājušies Krievijas paziņojumi par Krimas etnisko krievu vajāšanu , un ar to līdz arī šis Krievijas arguments neiztur nekādu kritiku .",[0] -> [1] -> [2] -> [8]
"Aizķeršanās saistīta ar konkursu , jo tika apstrīdēti tā rezultāti , līdz ar to pēc vairākiem pārtraukumiem , kas saistīti ar iepirkumu uzraudzības biroju , nonāca pie tā , ka konkurss tika pārtraukts un sākta sarunu procedūra ar nacionālo būvkompāniju .","Aizķeršanās saistīta ar konkursu , jo tika apstrīdēti tā rezultāti , ar to līdz pēc vairākiem pārtraukumiem , kas saistīti ar iepirkumu uzraudzības biroju , nonāca pie tā , ka konkurss tika pārtraukts un sākta sarunu procedūra ar nacionālo būvkompāniju .",[0] -> [1] -> [2] -> [8]
"Katrā ziņā , nebūtu vēlams lietot krēmus ar ķīmiskām sastāvdaļām , jo caur ādu šīs vielas nonāk sievietes un līdz ar to arī bērniņa organismā .","Katrā ziņā , nebūtu vēlams lietot krēmus ar ķīmiskām sastāvdaļām , jo caur ādu šīs vielas nonāk sievietes un ar to līdz arī bērniņa organismā .",[0] -> [1] -> [2] -> [8]
