sen_str,swapped_sen_str,leaf_rule
"Graçie de i çetroin , che me son arrivæ ; m' é arrivou ascì a vòstra lettia de a settemaña passâ , à a quæ daggo replica , e no capiscio comm' a l' é che no m' aggiæ mandou o conto de sta spediçion insemme à l' atro de o meise de dexembre .","Graçie de i çetroin , che me son arrivæ ; é arrivou m' ascì a vòstra lettia de a settemaña passâ , à a quæ daggo replica , e no capiscio comm' a l' é che no m' aggiæ mandou o conto de sta spediçion insemme à l' atro de o meise de dexembre .",[0] -> [2]
"O destende a man , ô tocca e o ghe dixe : « Öscì che veuggio , stanni ben ! » .","O destende a man , ô tocca e o dixe ghe : « Öscì che veuggio , stanni ben ! » .",[0] -> [2]
"Quaranta , che aloa n' aiva dixeutto ò zu de lì .","Quaranta , che aloa aiva n' dixeutto ò zu de lì .",[0] -> [2]
"E se sente unna voxe da o çê : « Ti t' ê o mæ figgio , quello ch' o m' é cao , e inte de ti me compiaxo » .","E se sente unna voxe da o çê : « Ti t' ê o mæ figgio , quello ch' o é cao m' , e inte de ti me compiaxo » .",[0] -> [2]
Ma figua te un pö se à i mæ nevi ghe saieiva cao che ghe portesse quarcösa de quella rumenta ch' a l' impe e sganzie de e butteghe pe i turisti ...,Ma figua te un pö se à i mæ nevi ghe saieiva cao che portesse ghe quarcösa de quella rumenta ch' a l' impe e sganzie de e butteghe pe i turisti ...,[0] -> [2]
"Se m' appenso quelli momenti , m' accòrzo che no l' é scangiou ninte .","Se m' appenso quelli momenti , accòrzo m' che no l' é scangiou ninte .",[0] -> [2]
"Quande t' â finisci ti m' avvisi , eh ?","Quande t' â finisci ti avvisi m' , eh ?",[0] -> [2]
"O m' à dæto o primmo pâ de scarpe ch' agge mai rotto inte a mæ vitta , e ch' o no m' é duou manco pe eutto giorni .","O m' à dæto o primmo pâ de scarpe ch' agge mai rotto inte a mæ vitta , e ch' o no é duou m' manco pe eutto giorni .",[0] -> [2]
"Spero solo che n' aggian parlou co a poliçia , saiæ giusto quello ch' o m' ammanca .","Spero solo che n' aggian parlou co a poliçia , saiæ giusto quello ch' o ammanca m' .",[0] -> [2]
"Leva te de chì , che ti me fæ perde o segno !","Leva te de chì , che ti fæ me perde o segno !",[0] -> [2]
"Graçie de i çetroin , che me son arrivæ ; m' é arrivou ascì a vòstra lettia de a settemaña passâ , à a quæ daggo replica , e no capiscio comm' a l' é che no m' aggiæ mandou o conto de sta spediçion insemme à l' atro de o meise de dexembre .","Graçie de i çetroin , che me son arrivæ ; m' é arrivou ascì a vòstra lettia de a settemaña passâ , à a quæ daggo replica , e no capiscio comm' a l' é che no aggiæ mandou m' o conto de sta spediçion insemme à l' atro de o meise de dexembre .",[0] -> [2]
"E lê o ghe dixe : « andemmo se ne da quarche atra parte in gïo pe i paixi de i contorni , coscì predico lì ascì : l' é ben pe quello che son vegnuo ! » .","E lê o dixe ghe : « andemmo se ne da quarche atra parte in gïo pe i paixi de i contorni , coscì predico lì ascì : l' é ben pe quello che son vegnuo ! » .",[0] -> [2]
"Pe quello che me fæ scrive de vòstra figgia , a Tëxinin , che passou Pasqua vorriësci mandâ chì à Milan pe arvî unna butega de scioî fresche comme quella che tegnî à Zena , me despiaxe de no poei ëse ve de nisciun aggiutto e de no poei ve dâ e informaçioin che ve servan , perché fin oua no conoscio ancon guæi de persoñe , e quelle pöche no s' accapiscian ni de scioî fresche e ni de scioî finte .","Pe quello che me fæ scrive de vòstra figgia , a Tëxinin , che passou Pasqua vorriësci mandâ chì à Milan pe arvî unna butega de scioî fresche comme quella che tegnî à Zena , despiaxe me de no poei ëse ve de nisciun aggiutto e de no poei ve dâ e informaçioin che ve servan , perché fin oua no conoscio ancon guæi de persoñe , e quelle pöche no s' accapiscian ni de scioî fresche e ni de scioî finte .",[0] -> [2]
E Gexù o ghe braggia : « Taxi !,E Gexù o braggia ghe : « Taxi !,[0] -> [2]
""" Da a muxica popolare de l' Etæ de Mezo e de a Renascion - ne conta o Luca Franco Ferrari , esperto de muxica antiga - s' é sviluppou de i modelli fisci in sce i quæ i sunnoei de corte improvvisavan "" .",""" Da a muxica popolare de l' Etæ de Mezo e de a Renascion - conta ne o Luca Franco Ferrari , esperto de muxica antiga - s' é sviluppou de i modelli fisci in sce i quæ i sunnoei de corte improvvisavan "" .",[0] -> [2]
"Coscì m' ò dovuo çercâ o mæ quarto patron , e o l' é stæto un fratte de a confraternia de a Merced , ch' o m' à fæto conosce e donnettiñe de e quæ ò contou , e che divan d' ëse seu parente .","Coscì m' ò dovuo çercâ o mæ quarto patron , e o l' é stæto un fratte de a confraternia de a Merced , ch' o à fæto m' conosce e donnettiñe de e quæ ò contou , e che divan d' ëse seu parente .",[0] -> [2]
O gh' à fæto pròpio de mäprô .,O à fæto gh' pròpio de mäprô .,[0] -> [2]
"L' ò trovou imbrægo , cösa ch' a no m' é gustâ guæi .","L' ò trovou imbrægo , cösa ch' a no é gustâ m' guæi .",[0] -> [2]
"Sto Zane o l' ea vestio de pei de camelo , con unna çenta de pelle in gïo à a vitta , o mangiava e grillasse e l' amê sarvægo e o diva : « Apreuvo à mi me ven un ch' o l' é ciù fòrte che mi : mi no son manco degno d' ascoacciâ me à desligâ ghe i ligammi de i cäsæ .","Sto Zane o l' ea vestio de pei de camelo , con unna çenta de pelle in gïo à a vitta , o mangiava e grillasse e l' amê sarvægo e o diva : « Apreuvo à mi ven me un ch' o l' é ciù fòrte che mi : mi no son manco degno d' ascoacciâ me à desligâ ghe i ligammi de i cäsæ .",[0] -> [2]
"L' é vegnuo da lê un leproso : ô pregava in zenoggion e o ghe diva : « Se ti veu , ti ti me peu fâ stâ ben ! » .","L' é vegnuo da lê un leproso : ô pregava in zenoggion e o diva ghe : « Se ti veu , ti ti me peu fâ stâ ben ! » .",[0] -> [2]
"Lê o ghe va arente , o â piggia pe a man e o â tïa sciù ; a freve a gh' é passâ e a s' é missa à servî li .","Lê o va ghe arente , o â piggia pe a man e o â tïa sciù ; a freve a gh' é passâ e a s' é missa à servî li .",[0] -> [2]
"Seguo , gh' é de quelle gexe che restan averte , e gh' é a poscibilitæ de vixitâ le : neuvamente m' é intravegnuo à Montegraçie derê à o pòrto , e n' é vasciuo a peña .","Seguo , gh' é de quelle gexe che restan averte , e gh' é a poscibilitæ de vixitâ le : neuvamente é intravegnuo m' à Montegraçie derê à o pòrto , e n' é vasciuo a peña .",[0] -> [2]
