sen_str,swapped_sen_str,leaf_rule
"Vrylik vorleert en bure in sou 'ne jåre meyr wo en daglöynder , äver de weydagen van disse letste klasse syn doch de grötsten , dän wee uut de hand in den mund leaven müt , wee up det swyniken , wat hee sik inslacht , un up de tüffelen , dee hee sik wint , eaven sou seyre anweasen is , wo up de pår grossen , dee hee vordeent , den is de sorge üm dat dääglike broud nich vremd un det is ne gaar to swåre sorge .","Vrylik vorleert en bure in sou 'ne jåre meyr wo en daglöynder , äver de weydagen van disse letste klasse syn doch de grötsten , dän is de sorge üm dat dääglike broud nich vremd wee uut de hand in den mund leaven müt , wee up det swyniken , wat hee sik inslacht , un up de tüffelen , dee hee sik wint , eaven sou seyre anweasen is , wo up de pår grossen , dee hee vordeent , den un det is ne gaar to swåre sorge .",[0] -> [4]
"En huusknecht , dee eyrst vöär korte tyd van den lande koamen weer , köf sik en stük tüüg van twey eale un bröch dat to en snyder , dee skul em dår en lakensk jakke uut maken , dat hee sik in de stad ouk seen låten kun .","En huusknecht , dee eyrst vöär korte tyd van den lande koamen weer , köf sik en stük tüüg van twey eale un bröch dat to en snyder , dee skul dår en lakensk jakke uut maken em , dat hee sik in de stad ouk seen låten kun .",[0] -> [4]
See sea dat see Elsa heyten en vanaf den dag kwam see elken åvend evven by et weideken ümme et peard wat to te stoppen .,See sea dat see Elsa heyten en vanaf den dag kwam see elken åvend evven by et weideken ümme wat to te stoppen et peard .,[0] -> [4]
"„ Seg du myn vaderen men , ik kaeme neet “ , sagde Hiärmen , „ weyt hee dan neet meyr , dat hee my nülik selver sagd het , ik söl my med keyne slechte lüde upholden ? “","„ Seg du myn vaderen men , ik kaeme neet “ , sagde Hiärmen , „ weyt hee dan neet meyr , dat hee nülik selver sagd my het , ik söl my med keyne slechte lüde upholden ? “",[0] -> [4]
Ik stå in der gemeynde earem deenste ; God het my dat ambt giaven ; ik sal der gemeynde syn woord klårmaken .,Ik stå in der gemeynde earem deenste ; God het dat ambt giaven my ; ik sal der gemeynde syn woord klårmaken .,[0] -> [4]
"» Un worum hest du em niks geaven , wän hee doch vorleagen is ? «","» Un worum hest du niks geaven em , wän hee doch vorleagen is ? «",[0] -> [4]
"‘ Nim dik in acht ! ’ sean de lüde to öäm , ‘ wän du oaver den bekke geist , sou gröte nich wear , wän dik “ Goden åvend ” eboaden wardt . ’","‘ Nim dik in acht ! ’ sean de lüde to öäm , ‘ wän du oaver den bekke geist , sou gröte nich wear , wän “ Goden åvend ” eboaden dik wardt . ’",[0] -> [4]
"Hee werdt dy seggen , wat dee skrivt bedüdt . «","Hee werdt seggen dy , wat dee skrivt bedüdt . «",[0] -> [4]
"– Weg was dat bleyke gesichte , weg was de vordreetlikheid , dee wyle de ganse reise em as en gryses spenweave öäverspunnen hadde , un hee sag sou fideel un kreagel uut , as en olden junggeselle van veertig jåren , dee sik ne bruud van achttein anhandeld het .","– Weg was dat bleyke gesichte , weg was de vordreetlikheid , dee wyle de ganse reise em as en gryses spenweave öäverspunnen hadde , un hee sag sou fideel un kreagel uut , as en olden junggeselle van veertig jåren , dee ne bruud van achttein anhandeld sik het .",[0] -> [4]
"» O « , sead ik un löyg , » ik wil my dår man mål en rys van upneamen , wän ik my mål en skip bouwen do ; dän ik ward doch in mynen leaven niks anders as en kaptein , un du wist jo ouk wol niks anders nich as ne lüt kapteinsvrouwe warden , nich ? «","» O « , sead ik un löyg , » ik wil dår man mål en rys van upneamen my , wän ik my mål en skip bouwen do ; dän ik ward doch in mynen leaven niks anders as en kaptein , un du wist jo ouk wol niks anders nich as ne lüt kapteinsvrouwe warden , nich ? «",[0] -> [4]
