sen_str,swapped_sen_str,leaf_rule
"Si luy fut mis autour ung colier d' or tout couvert de rubis , de diamans , et d' esmerauldes ,","Si fut mis luy autour ung colier d' or tout couvert de rubis , de diamans , et d' esmerauldes ,",[0] -> [1] -> [11]
"et quant il s' en voulut aller , tous deux luy donnastes vostre fille pour icelle marier ou bon luy sembleroit ,","et quant il s' en voulut aller , tous deux donnastes luy vostre fille pour icelle marier ou bon luy sembleroit ,",[0] -> [1] -> [11]
"et alla veoir toutes les compaignies l' une après l' autre , sauf celle de ce mareschal de Bourgongne , lequel n' aymoit pas le roy , à cause que despièça en Lorrayne que ledict seigneur luy avoit donné Espinal et puis osté pour la donner au duc Jehan de Calabre , dont grant dommaige en avoit eu ledict mareschal .","et alla veoir toutes les compaignies l' une après l' autre , sauf celle de ce mareschal de Bourgongne , lequel n' aymoit pas le roy , à cause que despièça en Lorrayne que ledict seigneur avoit donné luy Espinal et puis osté pour la donner au duc Jehan de Calabre , dont grant dommaige en avoit eu ledict mareschal .",[0] -> [1] -> [11]
"et leur vouloient bailler logis pour trois cens chevaulx ,","et vouloient bailler leur logis pour trois cens chevaulx ,",[0] -> [1] -> [11]
mais le neu de ceste matière ne luy fut jamais descouvert,mais le neu de ceste matière ne fut jamais descouvert luy,[0] -> [1] -> [11]
"Comment le populaire fut tantost dessevré d' avec les seigneurs , par quoy , voyant que resister ne pouvoient , si vindrent tous a la mercy du roy de France en la forme que les embassadeurs leur avoient denuncié ,","Comment le populaire fut tantost dessevré d' avec les seigneurs , par quoy , voyant que resister ne pouvoient , si vindrent tous a la mercy du roy de France en la forme que les embassadeurs avoient denuncié leur ,",[0] -> [1] -> [11]
"Et desavoua ledict Morvillier , disant ne luy avoir point donné charge d' aucunes parolles qu' il avoit dictes .","Et desavoua ledict Morvillier , disant ne avoir point donné luy charge d' aucunes parolles qu' il avoit dictes .",[0] -> [1] -> [11]
"« Mais ou a il si tost trouvé telle provision , dit le roy , comme il nous a envoyé ,","« Mais ou a il si tost trouvé telle provision , dit le roy , comme il a envoyé nous ,",[0] -> [1] -> [11]
"Et ycelui monseigneur Phelippe laissa au Roy , son frere , la duchié de Touraine , que le roy Jehan , son pere , li avoit donnée l' an mil CCC LX .","Et ycelui monseigneur Phelippe laissa au Roy , son frere , la duchié de Touraine , que le roy Jehan , son pere , avoit donnée li l' an mil CCC LX .",[0] -> [1] -> [11]
"« Voulentiers , dirent ilz , car il nous a commandé que aux Anglois ne soit riens refusé , pour ce qu' ilz sont venus en sa compaignie . »","« Voulentiers , dirent ilz , car il a commandé nous que aux Anglois ne soit riens refusé , pour ce qu' ilz sont venus en sa compaignie . »",[0] -> [1] -> [11]
"des autres m' a esté compté par les Angloys demourans avecques monsr de Bourgongne , tandiz que je y estoye .","des autres a esté compté m' par les Angloys demourans avecques monsr de Bourgongne , tandiz que je y estoye .",[0] -> [1] -> [11]
"Quant le roy d' Espaigne et la royne virent que le roy de France s' en vouloit retourner en France , si ne sçavoient en quelle maniere ilz le devoient remercier ne regracier le bien et l' honneur qu' il leur avoit fait ,","Quant le roy d' Espaigne et la royne virent que le roy de France s' en vouloit retourner en France , si ne sçavoient en quelle maniere ilz le devoient remercier ne regracier le bien et l' honneur qu' il avoit fait leur ,",[0] -> [1] -> [11]
"et après qu' ilz eurent longuement passé temps , le roy s' en alla retraire et aussi toutes ses gens , qui moult furent joyeux du recueil et de l' honneur que la royne leur avoit fait .","et après qu' ilz eurent longuement passé temps , le roy s' en alla retraire et aussi toutes ses gens , qui moult furent joyeux du recueil et de l' honneur que la royne avoit fait leur .",[0] -> [1] -> [11]
"L' aultre point si est que si ledict roy d' Espaigne la nous octroye , et puis quant nous l' aurons veue , et elle ne nous est agreable , ce seroit une aultre grant villenye de luy avoir fait perdre son premier mariage ,","L' aultre point si est que si ledict roy d' Espaigne la nous octroye , et puis quant nous l' aurons veue , et elle ne est agreable nous , ce seroit une aultre grant villenye de luy avoir fait perdre son premier mariage ,",[0] -> [1] -> [11]
"Il venoit à nous dix hommes , vingt hommes , que de pied que de cheval , les gens de pied lasséz et blesséz , tant de l' outraige que leur avions fait le matin , que aussi des ennemys .","Il venoit à nous dix hommes , vingt hommes , que de pied que de cheval , les gens de pied lasséz et blesséz , tant de l' outraige que avions fait leur le matin , que aussi des ennemys .",[0] -> [1] -> [11]
"« Ma chere dame et mere , j' ay entendu ce que m' avez mandé ,","« Ma chere dame et mere , j' ay entendu ce que avez mandé m' ,",[0] -> [1] -> [11]
"Encores disoit ledict Morvillier qu' il ne povoit penser qui avoit meu ledict conte de prendre ceste alliance avecques ledict duc de Bretaigne , sinon une pension que le roy luy avoit donné avec le gouvernement de Normandie que le roy luy avoit osté .","Encores disoit ledict Morvillier qu' il ne povoit penser qui avoit meu ledict conte de prendre ceste alliance avecques ledict duc de Bretaigne , sinon une pension que le roy luy avoit donné avec le gouvernement de Normandie que le roy avoit osté luy .",[0] -> [1] -> [11]
