sen_str,swapped_sen_str,leaf_rule
"Lo gost es pas marrit , siáu segur que n' ai agut manjat e puei tot me reven : òc , es aquò : es la sopa de farineta .","Lo gost es pas marrit , siáu segur que n' ai agut manjat e puei tot reven me : òc , es aquò : es la sopa de farineta .",[0] -> [10] -> [11]
"e que digó en occitan : "" Qu' ei ua idèa de las bonas , mes qu' ei de dòu har que sia un estrangèr qui ns' amuisha çò que cau har "" .","e que digó en occitan : "" Qu' ei ua idèa de las bonas , mes qu' ei de dòu har que sia un estrangèr qui amuisha ns' çò que cau har "" .",[0] -> [10] -> [11]
"Mai l' òme a de besonh d' ideau e d' illusions per far avans , mai que mai quora va mau qu' aquò vos laissa l' esperança .","Mai l' òme a de besonh d' ideau e d' illusions per far avans , mai que mai quora va mau qu' aquò laissa vos l' esperança .",[0] -> [10] -> [11]
"Prumeramentz es estat establit que , quant lo senhor entrara en pocession de la senhorie de Bearn , que jure a- -los baroos et a tot la cort de Bearn que eg los sera fideu senhor et que judyara dreytureramentz ab lor et que no los fara prejudici .","Prumeramentz es estat establit que , quant lo senhor entrara en pocession de la senhorie de Bearn , que jure a- -los baroos et a tot la cort de Bearn que eg sera fideu senhor los et que judyara dreytureramentz ab lor et que no los fara prejudici .",[0] -> [10] -> [11]
"- Ièr e anèit èi pres un Gròs Peis que m' a demandat de lo daishar anar , e que m' a ensenhat un endret ont èi pres de peis tan qu' èi volgut .","- Ièr e anèit èi pres un Gròs Peis que a demandat m' de lo daishar anar , e que m' a ensenhat un endret ont èi pres de peis tan qu' èi volgut .",[0] -> [10] -> [11]
"Item , que si jo trey o mustri cartes , letres o priviledges en cort , que mon adversari no- -n aura copia per treger si jo no- -m vulh ;","Item , que si jo trey o mustri cartes , letres o priviledges en cort , que mon adversari no- -n aura copia per treger si jo no- vulh -m ;",[0] -> [10] -> [11]
"Lo se vira , lo se revira d' aquí que , d' un còp , lo metòde li venga per resòlvre la question ont buta dempuèi dos jorns .","Lo se vira , lo se revira d' aquí que , d' un còp , lo metòde venga li per resòlvre la question ont buta dempuèi dos jorns .",[0] -> [10] -> [11]
"De la jornada que veniá de passar , de tot çò qu' aviá ausit , foguèron las paraulas que li faguèron mai de plaser .","De la jornada que veniá de passar , de tot çò qu' aviá ausit , foguèron las paraulas que faguèron li mai de plaser .",[0] -> [10] -> [11]
"Mès , mèslèu de vos ac condar tot ara , diguem sonque que Tot un Hormatge ! ei un moment de partatge dab aqueths varossencs prestits d' umanitat a era lenga shucosa , un moment que vos darà hame de sorríder .","Mès , mèslèu de vos ac condar tot ara , diguem sonque que Tot un Hormatge ! ei un moment de partatge dab aqueths varossencs prestits d' umanitat a era lenga shucosa , un moment que darà vos hame de sorríder .",[0] -> [10] -> [11]
"Tòni , el , se planhissiá doçament , d' un gemegadís rauc e dolent , la Leà li fretava la cara amb una toalha nòva , d' aquelas blancas que , dempuèi son maridatge , servava dins lo cabinet de la cambra se per encàs .","Tòni , el , se planhissiá doçament , d' un gemegadís rauc e dolent , la Leà fretava li la cara amb una toalha nòva , d' aquelas blancas que , dempuèi son maridatge , servava dins lo cabinet de la cambra se per encàs .",[0] -> [10] -> [11]
"Item , que si domandi que hom m' a penherat , la penhere me deu hom donar a malhevar ;","Item , que si domandi que hom a penherat m' , la penhere me deu hom donar a malhevar ;",[0] -> [10] -> [11]
"lo bocin de tèrra qu' èran estats oblijats de vendre , la maire que s' atrantolissiá , l' ostal que li ploviá dedins ...","lo bocin de tèrra qu' èran estats oblijats de vendre , la maire que s' atrantolissiá , l' ostal que ploviá li dedins ...",[0] -> [10] -> [11]
"Sa decision , l' aviá presa dempuèi lo matin , enrantelada qu' èra d' aquela dolor contunha que li pegava a l' anma .","Sa decision , l' aviá presa dempuèi lo matin , enrantelada qu' èra d' aquela dolor contunha que pegava li a l' anma .",[0] -> [10] -> [11]
"Item , si augun hom me deu dar ab carte et jo dic que autres conventz me ago a la carte far , eg me aura jurar que aquegs combentz no me ago .","Item , si augun hom me deu dar ab carte et jo dic que autres conventz me ago a la carte far , eg me aura jurar que aquegs combentz no ago me .",[0] -> [10] -> [11]
"Mas , de lo vam que prenguèt , la branca li manquèt .","Mas , de lo vam que prenguèt , la branca manquèt li .",[0] -> [10] -> [11]
"Encara un d' aqueles rebalaires , se pensèt la Leà , de tot biais i serà per sos fraisses qu' a la Calmesiá degun li balharà pas un crostet , plan polit se l' Adèla li permèt de s' anar jaire a l' estable .","Encara un d' aqueles rebalaires , se pensèt la Leà , de tot biais i serà per sos fraisses qu' a la Calmesiá degun li balharà pas un crostet , plan polit se l' Adèla permèt li de s' anar jaire a l' estable .",[0] -> [10] -> [11]
"Bertran que la parlè polidament , mes era que 'u tornè responsa de mau hum , e l' obrèr que 's bevó lo cafè shens díser arren mei .","Bertran que parlè la polidament , mes era que 'u tornè responsa de mau hum , e l' obrèr que 's bevó lo cafè shens díser arren mei .",[0] -> [10] -> [11]
et lasbetz la cort lo fe aucider a- -lo cap de- -lo pont d' Ossaranh a un escuder loqual lo feri tal cop de l' espiut per davant que darrer li trego .,et lasbetz la cort lo fe aucider a- -lo cap de- -lo pont d' Ossaranh a un escuder loqual feri lo tal cop de l' espiut per davant que darrer li trego .,[0] -> [10] -> [11]
"Et si jurat no pot aver testimoni que la plague fosse leyau , que deu jurar ab un testimoni que aqueg lo fe aquere plague et que leyau ere .","Et si jurat no pot aver testimoni que la plague fosse leyau , que deu jurar ab un testimoni que aqueg fe lo aquere plague et que leyau ere .",[0] -> [10] -> [11]
Aquò lor fasiá pas un viure .,Aquò fasiá lor pas un viure .,[0] -> [10] -> [11]
"Item , si nulh homi ditz que no autreye la carte de cartulari ab que hom lo domane , si hom la trobe en memoriau , aqueg qui domana jurara sober santz que eg l' autreya et los testimonis , si negun n' i ave biu , et l' escrivaa .","Item , si nulh homi ditz que no autreye la carte de cartulari ab que hom domane lo , si hom la trobe en memoriau , aqueg qui domana jurara sober santz que eg l' autreya et los testimonis , si negun n' i ave biu , et l' escrivaa .",[0] -> [10] -> [11]
car pay et may li an dade .,car pay et may an dade li .,[0] -> [10] -> [11]
"Darnaudguilhem se rasclet la corniòla e comencet de fulhetar lo dorsier qu' aviá davant eu : "" Bon , recapitulem . ""","Darnaudguilhem rasclet se la corniòla e comencet de fulhetar lo dorsier qu' aviá davant eu : "" Bon , recapitulem . """,[0] -> [10] -> [11]
"Aquera règla de vita que rendó la mea existéncia atractiva e que desira que la relacion ad aquera e 'vs sia utila "" .","Aquera règla de vita que rendó la mea existéncia atractiva e que desira que la relacion ad aquera e sia utila 'vs "" .",[0] -> [10] -> [11]
