sen_str,swapped_sen_str,leaf_rule
"Qar falliz lor estoit li pains ,","Qar lor falliz estoit li pains ,",[0] -> [1] -> [17]
"Mes que qu' il l' en aveingne aprés , Eidier li voldra il adés ,","Mes que qu' il l' en aveingne aprés , li Eidier voldra il adés ,",[0] -> [1] -> [17]
"Rois , rent la moi , par la merite Que servi t' ai tote ma vite . »","Rois , rent la moi , par la merite Que t' servi ai tote ma vite . »",[0] -> [1] -> [17]
é dit m' ad qu' il sunt truve . »,é m' dit ad qu' il sunt truve . »,[0] -> [1] -> [17]
"Laissez de cest siecle les vanitez , ki profiter ne vus purrunt ,","Laissez de cest siecle les vanitez , ki vus profiter ne purrunt ,",[0] -> [1] -> [17]
Merci et pes li vindrent querre Totes les genz qui dit li orent Tant de honte con il plus porent ;,Merci et pes li vindrent querre Totes les genz qui li dit orent Tant de honte con il plus porent ;,[0] -> [1] -> [17]
é cumandé li ad qu' il seit ducs sur sun pople pur çó que garded nen as sun cumandement . »,é li cumandé ad qu' il seit ducs sur sun pople pur çó que garded nen as sun cumandement . »,[0] -> [1] -> [17]
Ou tolu le nos ont maufé . »,Ou nos tolu le ont maufé . »,[0] -> [1] -> [17]
"« Merci crier vos vuel Del grant oltrage et de l' orguel Que je vos ai dit come fole ,","« Merci vos crier vuel Del grant oltrage et de l' orguel Que je vos ai dit come fole ,",[0] -> [1] -> [17]
"Que vos avez tant fet por moi , Certes , que faillir ne vos doi A nul besoing que vos aiez .","Que vos avez tant fet por moi , Certes , que vos faillir ne doi A nul besoing que vos aiez .",[0] -> [1] -> [17]
Et tant a corteisie et san Que desloer nel me doit an .,Et tant a corteisie et san Que me desloer nel doit an .,[0] -> [1] -> [17]
"Trenchet li ad li quens le destre poign ,","li Trenchet ad li quens le destre poign ,",[0] -> [1] -> [17]
"Et mout i ot joie et leesce , Plus que conter ne vos porroie Qant lonc tans panssé i avroie ;","Et mout i ot joie et leesce , Plus que vos conter ne porroie Qant lonc tans panssé i avroie ;",[0] -> [1] -> [17]
Doner li volent baron un roi de paiiens felon :,li Doner volent baron un roi de paiiens felon :,[0] -> [1] -> [17]
Torner lor puise a male perte ! »,lor Torner puise a male perte ! »,[0] -> [1] -> [17]
"Et li rois ne vost plus atendre Por rien qu' an dire li seüst ,","Et li rois ne vost plus atendre Por rien qu' an li dire seüst ,",[0] -> [1] -> [17]
"si nun , venud nus est par aventure , par corruptiun de nature . »","si nun , nus venud est par aventure , par corruptiun de nature . »",[0] -> [1] -> [17]
Que rescorre et tolir li vialt .,Que li rescorre et tolir vialt .,[0] -> [1] -> [17]
"Par saint André , que l' en vet querre Outre la mer , jusque en Escoce , Mis m' en avez el cuer la boce , Qui n' en istra jusqu' a un an :","Par saint André , que l' en vet querre Outre la mer , jusque en Escoce , m' Mis en avez el cuer la boce , Qui n' en istra jusqu' a un an :",[0] -> [1] -> [17]
"Pardoné t' a son mautalent ,","t' Pardoné a son mautalent ,",[0] -> [1] -> [17]
"Mes tant demander vos volons , Sire , quant devant lui serons , De cui nos porrons nos loer Se nos ne vos savons nomer . »","Mes tant vos demander volons , Sire , quant devant lui serons , De cui nos porrons nos loer Se nos ne vos savons nomer . »",[0] -> [1] -> [17]
car bien savoit Que covant manti li avoit Et trespassez estoit li termes .,car bien savoit Que covant li manti avoit Et trespassez estoit li termes .,[0] -> [1] -> [17]
Toz an est vostres li pooirs Assez plus que dit ne vos ai .,Toz an est vostres li pooirs Assez plus que vos dit ne ai .,[0] -> [1] -> [17]
Et dit m' avez vostre pleisir ;,Et m' dit avez vostre pleisir ;,[0] -> [1] -> [17]
"A l' eschevir del seiremant , Rien de son preu n' i oblia Cele qui eschevi li a .","A l' eschevir del seiremant , Rien de son preu n' i oblia Cele qui li eschevi a .",[0] -> [1] -> [17]
Que bien et bel conter li sot .,Que bien et bel li conter sot .,[0] -> [1] -> [17]
Ja requerre ne li seüsse Riens nule qui me fust vehee .,Ja li requerre ne seüsse Riens nule qui me fust vehee .,[0] -> [1] -> [17]
