sen_str,swapped_sen_str,leaf_rule
"Boğaziçi'nin müteverrim güzelliğinde hassas ruhları necîb kederlerle mes'ûd eden ince mübhemiyetler titreşiyor ; azim ve gergin bir kanat vakur sessizliği , gayr-i mer'î mevcudiyetiyle manzara-i muhîtâta sesler , ilhamlar döküyordu .","Boğaziçi'nin müteverrim güzelliğinde hassas ruhları necîb kederlerle mes'ûd eden ince mübhemiyetler titreşiyor ; azim ve gergin bir kanat vakur sessizliği , gayr-i mer'î mevcudiyetiyle sesler , ilhamlar döküyordu manzara-i muhîtâta .",[0]
Artık fecri yalnız kümeslerimizde ki dargın ve mağrur horozlara bıraktık .,Artık fecri bıraktık yalnız kümeslerimizde ki dargın ve mağrur horozlara .,[0]
"Ez-cümle "" Hotel de Rabbouillet "" namıyla yad olunan gayet mühim bir meclis-i edebi vardır ki bu salon Fransa'nın en zeki en nazik üç kadını tarafından küşad edilmişti : Marquise de Rambouillet ile kerimeler Juliye Danjeon ve Angelic dö Ranboye bu salonda ilk defa olarak en büyük senyörlerle nam-ı asaleti bile olmayan üdeba yek - diğerine takdim ettiler .","Ez-cümle "" Hotel de Rabbouillet "" namıyla yad olunan gayet mühim bir meclis-i edebi vardır ki bu salon Fransa'nın en zeki en nazik üç kadını tarafından küşad edilmişti : Marquise de Rambouillet ile kerimeler Juliye Danjeon ve Angelic dö Ranboye bu salonda ilk defa olarak en büyük senyörlerle nam-ı asaleti bile olmayan üdeba takdim yek - diğerine ettiler .",[0]
"Güneş , bütün gün , insana doğru fakat acı şeyler söyleyen bir arkadaştır .","Güneş , bütün gün , doğru fakat acı şeyler söyleyen insana bir arkadaştır .",[0]
Zevali saatin adat ve muamelatımızda kabulü ve ezani saatin geri Safa düşüp camilere türbelere ve muvakkithanelere bırakılmış metruk bir eski saat haline gelişi hayatı tarz-ı rü'iyetimiz üzerinde vahim bir tesiri haiz olmamış değildir .,Zevali saatin adat ve muamelatımızda kabulü ve ezani saatin geri Safa düşüp gelişi camilere türbelere ve muvakkithanelere bırakılmış metruk bir eski saat haline hayatı tarz-ı rü'iyetimiz üzerinde vahim bir tesiri haiz olmamış değildir .,[0]
"Bir zamanlar Arapları mertebe-i aliâ-ı medeniyete ıs'âd eden evvela şiire , sonra felsefe daha sonra da erbab-ı fünûn değil miydi ? Bu gün garplılardan mesela Fransa'yı tarih-i tekâmül itibariyle tedkik edecek olsak görüyoruz ki on birinci asırda Cornei , Milavir , Racine gibi dühât-ı şiir eğilmiş ; sonra on sekizinci asırda yaşayan ve Voltaire , Rousseau , Montesquieu gibi mütefekkirler yetişmiş ...","Bir zamanlar Arapları ıs'âd mertebe-i aliâ-ı medeniyete eden evvela şiire , sonra felsefe daha sonra da erbab-ı fünûn değil miydi ? Bu gün garplılardan mesela Fransa'yı tarih-i tekâmül itibariyle tedkik edecek olsak görüyoruz ki on birinci asırda Cornei , Milavir , Racine gibi dühât-ı şiir eğilmiş ; sonra on sekizinci asırda yaşayan ve Voltaire , Rousseau , Montesquieu gibi mütefekkirler yetişmiş ...",[0]
"Memleketimizi uzun senelerden beri - kabiliyet-i milliyemize rağmen - tealliden mahrum bırakan yegâne sebep zannederim ki aramızda büyük adamlar , pek büyük adamlar kelimesidir .","Memleketimizi uzun senelerden beri - kabiliyet-i milliyemize rağmen - mahrum tealliden bırakan yegâne sebep zannederim ki aramızda büyük adamlar , pek büyük adamlar kelimesidir .",[0]
İlk gece ona hümayun semaisini çalacak ve ona çılgınlıklarını anlatacak idi .,İlk gece ona hümayun semaisini çalacak ve çılgınlıklarını anlatacak ona idi .,[0]
Millet ve memleketi Harb-i Umumî'ye sevk edenler kendi hayatları endişesine düşerek memleketten firâr etmişler .,Millet ve memleketi sevk Harb-i Umumî'ye edenler kendi hayatları endişesine düşerek memleketten firâr etmişler .,[0]
İlk gece ona hümayun semaisini çalacak ve ona çılgınlıklarını anlatacak idi .,İlk gece hümayun semaisini çalacak ona ve ona çılgınlıklarını anlatacak idi .,[0]
