sen_str,swapped_sen_str,leaf_rule
"ιος νι σεμ[ουν κνου]μανει κακουν αδακετ , τ̣ιτετικμενος αας κνουμ̣[---]","ιος νι κακουν αδακετ σεμ[ουν κνου]μανει , τ̣ιτετικμενος αας κνουμ̣[---]",[0] -> [2]
"[ι]ος α̣ν̣ σ̣[εμουν κακου]ν̣ κνου̣μ̣μανει δοκε[τ , ατ τ]ι αδειτου .","[ι]ος α̣ν̣ κακου]ν̣ δοκε[τ σ̣[εμουν κνου̣μ̣μανει , ατ τ]ι αδειτου .",[0] -> [2]
"ιος νι σεμουν του κνουμανει κακουν αδδακετ , [τιττ]ετικμενος ειτου .","ιος νι κακουν αδδακετ σεμουν του κνουμανει , [τιττ]ετικμενος ειτου .",[0] -> [2]
"ιος νι σεμον κνουμανι κακον αδ̣ακ˹ετ˺ , τιε τιτετικμεν̣[ος ειτου] .","ιος νι κακον αδ̣ακ˹ετ˺ σεμον κνουμανι , τιε τιτετικμεν̣[ος ειτου] .",[0] -> [2]
"ιος ν[ι σεμουν κ]νουμανει κακο[υν αδδακ]ε̣τ̣ , τιττεττικμε[νος α]τ [Τι] α̣δ̣ειτου γεγρειμε[ναν κε εγεδ]ου τιος ουτ[αν ακκε οι] βεκος ακκαλο̣[ς τιδρ]ε̣γρουν ειδο[υ] .","ιος ν[ι κακο[υν αδδακ]ε̣τ̣ σεμουν κ]νουμανει , τιττεττικμε[νος α]τ [Τι] α̣δ̣ειτου γεγρειμε[ναν κε εγεδ]ου τιος ουτ[αν ακκε οι] βεκος ακκαλο̣[ς τιδρ]ε̣γρουν ειδο[υ] .",[0] -> [2]
"ιος νι σεμουν κνουμανε κακουν αδδα̣κεττο̣ρ , δεως ζεμελως κ̣ε τιτε{τε}τι[̣κμενο]ς [ειτου] .","ιος νι κακουν αδδα̣κεττο̣ρ σεμουν κνουμανε , δεως ζεμελως κ̣ε τιτε{τε}τι[̣κμενο]ς [ειτου] .",[0] -> [2]
"[ιος νι σεμουν κνο]υνμανει κακουν αδ[δακετ , τιτ?τετικμε]νος ατ τι αδειτου .","[ιος νι κακουν αδ[δακετ σεμουν κνο]υνμανει , τιτ?τετικμε]νος ατ τι αδειτου .",[0] -> [2]
"ιος νι σεμουν κνουμανει κακον αδδακετ , γεγειμεναν εγεδου τιος ουταν α̣κ̣κε οι βεκος ακκαλος τιδρεγρουν ειτου ❧ αυτος κε ουα κο̣?ροκα γεγαριτμενος ας βαταν τευτους .","ιος νι κακον αδδακετ σεμουν κνουμανει , γεγειμεναν εγεδου τιος ουταν α̣κ̣κε οι βεκος ακκαλος τιδρεγρουν ειτου ❧ αυτος κε ουα κο̣?ροκα γεγαριτμενος ας βαταν τευτους .",[0] -> [2]
"[ιος νι κουμα][ν]ει κακ[ου]ν αδδακετ , τιττετικμενος ατ τι αδειτου . ☩","[ιος νι κακ[ου]ν αδδακετ κουμα][ν]ει , τιττετικμενος ατ τι αδειτου . ☩",[0] -> [2]
ιος κν̣[ουμανει ---],ιος ---] κν̣[ουμανει,[0] -> [2]
"ειος νι σεμουν κνουμανι κακον αδδακετ , ζειρα κε οι πετ̣ες κε τιττετικμενα ατ τιε αδειννου .","ειος νι κακον αδδακετ σεμουν κνουμανι , ζειρα κε οι πετ̣ες κε τιττετικμενα ατ τιε αδειννου .",[0] -> [2]
"αι κος [σεμουν του κνουμαν]ει κα[κουν αδδακετ] , γεγρ̣[ειμεναν εγεδου Τιος ουταν κε τοτο]σσει[τι βας βεκος] .","αι κος κα[κουν αδδακετ] [σεμουν του κνουμαν]ει , γεγρ̣[ειμεναν εγεδου Τιος ουταν κε τοτο]σσει[τι βας βεκος] .",[0] -> [2]
"ιος νι σ̣εμον κνουμανει κα̣κε̣ αδακετ , τιτετικμενος ας ιαν ε̣ιτου , με κε οι τοτοσσειτι βας βεκος .","ιος νι κα̣κε̣ αδακετ σ̣εμον κνουμανει , τιτετικμενος ας ιαν ε̣ιτου , με κε οι τοτοσσειτι βας βεκος .",[0] -> [2]
"ιος νι σεμον κνουμανε κακον̣ αδακετ , δεως ζεμελως τιτετικμενος ειτου .","ιος νι κακον̣ αδακετ σεμον κνουμανε , δεως ζεμελως τιτετικμενος ειτου .",[0] -> [2]
"ιος νι σεμουν κνουμανε κακεν αδδακετορ , δεως ζεμελως κε τιττετικμε-•νος ειτου .","ιος νι κακεν αδδακετορ σεμουν κνουμανε , δεως ζεμελως κε τιττετικμε-•νος ειτου .",[0] -> [2]
"ιος νι σεμουν κ[νου]μανι κακουν αδδ[α]κετ αινι μανκης , βα[ς] ιοι βεκος με βερε[τ] α̣τ τιη κε τιττετικμ[ε]νος ειτου .","ιος νι κακουν αδδ[α]κετ σεμουν κ[νου]μανι αινι μανκης , βα[ς] ιοι βεκος με βερε[τ] α̣τ τιη κε τιττετικμ[ε]νος ειτου .",[0] -> [2]
ιος σεμουν κνο[υ]μ̣[αν]ε̣ι̣ κακ̣[ουν] [---],ιος κακ̣[ουν] [---] σεμουν κνο[υ]μ̣[αν]ε̣ι̣,[0] -> [2]
"[]Τ[] ιος σεμου κνουμαν[ει κα]κου[ν] αδ̣[δακε]τ̣ , ατ τιη θ̣ιτ[τ]ετικμενο̣[ς αδ]ειτου .","[]Τ[] ιος κα]κου[ν] αδ̣[δακε]τ̣ σεμου κνουμαν[ει , ατ τιη θ̣ιτ[τ]ετικμενο̣[ς αδ]ειτου .",[0] -> [2]
ιος σεμουν κνουμανε κακουν [.....] [---],ιος κακουν [.....] σεμουν κνουμανε [---],[0] -> [2]
"[ι]ος σεμουν [κνο]υ̣μανει κα[κου]ν̣ αδδακετ , [αββ]ε̣ρετορ [.....]ε̣μερη [...]υ̣ ορβουν [....] τος τυ.[.. γεγ]α̣ριτμ[ενος ειτου] .","[ι]ος κα[κου]ν̣ αδδακετ σεμουν [κνο]υ̣μανει , [αββ]ε̣ρετορ [.....]ε̣μερη [...]υ̣ ορβουν [....] τος τυ.[.. γεγ]α̣ριτμ[ενος ειτου] .",[0] -> [2]
"[ιο]ς νι σεμουν κνουμανε κ̣[ακον] αββερετ ατ νου[.] μου[ρου]ν , τος νι με ζεμελος κε δεος κ̣ε τιη τιττετικμενος ε[ι]τ̣ου .","[ιο]ς νι κ̣[ακον] αββερετ σεμουν κνουμανε ατ νου[.] μου[ρου]ν , τος νι με ζεμελος κε δεος κ̣ε τιη τιττετικμενος ε[ι]τ̣ου .",[0] -> [2]
"ιος νι σεμουν κνουμανε κακουν αδακετ , ι?ος τιτετουκμενουν ειτου .","ιος νι κακουν αδακετ σεμουν κνουμανε , ι?ος τιτετουκμενουν ειτου .",[0] -> [2]
"ιος νι σ[εμ]ον τ[ου] κνουμαν[ε] κακουν τι α̣δ[δ]ακετ , διος [κ]ε σ̣ζεμελως κε̣ τιτ[τ]ε[τ]ικμεν[ος] ε̣ιτου , ατ τιη κε αδειτου .","ιος νι κακουν τι α̣δ[δ]ακετ σ[εμ]ον τ[ου] κνουμαν[ε] , διος [κ]ε σ̣ζεμελως κε̣ τιτ[τ]ε[τ]ικμεν[ος] ε̣ιτου , ατ τιη κε αδειτου .",[0] -> [2]
"[ιος] σεμον τι κνουμανι κ[ακ][ον α]βερετι ζ̣ει[ραι] παρταν , το[ς] [νι με] ζ̣ι[μελως] α τι ατιτικμενος [ειτ]ου .","[ιος] κ[ακ][ον α]βερετι σεμον τι κνουμανι ζ̣ει[ραι] παρταν , το[ς] [νι με] ζ̣ι[μελως] α τι ατιτικμενος [ειτ]ου .",[0] -> [2]
