sen_str,swapped_sen_str,leaf_rule
"În timp ce stați în pat , beți a doua doză în întregime , chiar înainte de a vă întinde din nou pentru a vă continua somnul .","În timp ce stați în pat , beți a doua doză în întregime , chiar înainte de a vă întinde din nou pentru a continua vă somnul .",[0] -> [16] -> [17]
"În ceea ce privește capacitatea de a ne onora cota alocată , putem sta liniștiți pentru că producția de caviar a următorilor ani a început deja .","În ceea ce privește capacitatea de a onora ne cota alocată , putem sta liniștiți pentru că producția de caviar a următorilor ani a început deja .",[0] -> [16] -> [17]
"V. Când funcționează , dispun de un număr suficient de medici veterinari care să efectueze toate sarcinile ce le revin .","V. Când funcționează , dispun de un număr suficient de medici veterinari care să efectueze toate sarcinile ce revin le .",[0] -> [16] -> [17]
Nu se putea hotărî să -i cumpere nimic .,Nu se putea hotărî să cumpere -i nimic .,[0] -> [16] -> [17]
"Și , sfiindu -se să ți le dea el , personal , m- a trimis pe mine .","Și , sfiindu -se să le dea ți el , personal , m- a trimis pe mine .",[0] -> [16] -> [17]
"să fim mai apropiați , să îndrăznim să stăm de vorbă , și- n anumite cazuri să ne permitem să -i solicităm indulgența .","să fim mai apropiați , să îndrăznim să stăm de vorbă , și- n anumite cazuri să ne permitem să solicităm -i indulgența .",[0] -> [16] -> [17]
"Era deja un om mort , îi trecu prin minte .","Era deja un om mort , trecu îi prin minte .",[0] -> [16] -> [17]
"Mi- e dor , mi- e dor De frații mei din Labrador .","Mi- e dor , e mi- dor De frații mei din Labrador .",[0] -> [16] -> [17]
"Un râs verde ne strâmba figura , ocupat fiecare a -și face cruce , cu limba , în cerul gurii .","Un râs verde ne strâmba figura , ocupat fiecare a face -și cruce , cu limba , în cerul gurii .",[0] -> [16] -> [17]
"Precis că O'Brien voise , în felul acesta , să -i dea un semn , să -i transmită o parolă .","Precis că O'Brien voise , în felul acesta , să dea -i un semn , să -i transmită o parolă .",[0] -> [16] -> [17]
"( 7 ) având în vedere experiența câștigată și rezultatele obținute de Consiliul internațional pentru uleiul de măsline în activitatea sa promoțională , trebuie , totuși , să se dea Comunității posibilitatea de a -i încredința în continuare realizarea acțiunilor care țin de domeniul său de competență ;","( 7 ) având în vedere experiența câștigată și rezultatele obținute de Consiliul internațional pentru uleiul de măsline în activitatea sa promoțională , trebuie , totuși , să se dea Comunității posibilitatea de a încredința -i în continuare realizarea acțiunilor care țin de domeniul său de competență ;",[0] -> [16] -> [17]
"Nevasta meșterului abia încăpea pe ușă , o știau și copiii , crescută din belșug , de- abia -i ajungeai la umăr .","Nevasta meșterului abia încăpea pe ușă , o știau și copiii , crescută din belșug , de- abia ajungeai -i la umăr .",[0] -> [16] -> [17]
"În 1878 , juriul felibrilor , de la Montpellier , îi decernează , la propunerea poetului Frédéric Mistral , un premiu pentru Cântecul gintei latine .","În 1878 , juriul felibrilor , de la Montpellier , decernează îi , la propunerea poetului Frédéric Mistral , un premiu pentru Cântecul gintei latine .",[0] -> [16] -> [17]
A. își propune să răspândească cultura și învățătura în rândul țăranilor .,A. propune își să răspândească cultura și învățătura în rândul țăranilor .,[0] -> [16] -> [17]
"Dar , în ultimul moment , când mulțimea încă îi mai presa ca pe niște sardele , mâna ei pipăi după a lui și i- o strânse în fugă .","Dar , în ultimul moment , când mulțimea încă îi mai presa ca pe niște sardele , mâna ei pipăi după a lui și o strânse i- în fugă .",[0] -> [16] -> [17]
Cheltuise bani mulți și socoti cât timp îi trebuia ca să -i pună la loc .,Cheltuise bani mulți și socoti cât timp trebuia îi ca să -i pună la loc .,[0] -> [16] -> [17]
Făt-frumos îi spuse ce avea de gând să facă .,Făt-frumos spuse îi ce avea de gând să facă .,[0] -> [16] -> [17]
"Avea acasă , cu a lui , doi copii mari , dați la liceu , să învețe , și nu i se întâmplase niciodată ce- a pățit în noaptea aia .","Avea acasă , cu a lui , doi copii mari , dați la liceu , să învețe , și nu se întâmplase i niciodată ce- a pățit în noaptea aia .",[0] -> [16] -> [17]
