sen_str,swapped_sen_str,leaf_rule
ٻئي ماڻهو جي مدد ڪرڻ سان پاڻ کي به ڪاميابي ملي ٿي .,ٻئي ماڻهو جي مدد ڪرڻ سان ڪاميابي ملي پاڻ کي به ٿي .,[0]
جاويد ھن کي ھي ڪتاب ڏنو .,جاويد ھي ڪتاب ڏنو ھن کي .,[0]
مظهر علي محمد علي کي خط لکيو آهي,مظهر علي خط لکيو محمد علي کي آهي,[0]
اهڙي طرح شڪارپور ضلعي ۾ بيگاري ڪئنال کي 9 هنڌن ڳڙهي تيغو ، عالم شاهه پير ، شاهه مقام ، ميان صاحب ، ڳوٺ محمد نواز کونهارو ، ڪي بي الهه بخش ، مهرو ماڙي ، ڪرمپور ۽ ٻيڙي پتڻ وٽان گهارا لڳا ،,اهڙي طرح شڪارپور ضلعي ۾ 9 هنڌن ڳڙهي تيغو ، عالم شاهه پير ، شاهه مقام ، ميان صاحب ، ڳوٺ محمد نواز کونهارو ، ڪي بي الهه بخش ، مهرو ماڙي ، ڪرمپور ۽ ٻيڙي پتڻ وٽان گهارا لڳا بيگاري ڪئنال کي ،,[0]
تو علي کي ڪتاب ڏنو .,تو ڪتاب ڏنو علي کي .,[0]
دنيا جو هر ملڪ پنهنجي تعليمي نظام کي بهتر ڪرڻ جي ڪوشش ڪري پيو .,دنيا جو هر ملڪ بهتر ڪرڻ جي ڪوشش ڪري پنهنجي تعليمي نظام کي پيو .,[0]
جيڪڏهن گوڙگڙٻڙ ڪن ته کين دڙڪادهمان ۽ ڌمڪيون ملن ٿيون .,جيڪڏهن گوڙگڙٻڙ ڪن ته دڙڪادهمان ۽ ڌمڪيون ملن کين ٿيون .,[0]
علي تو کي ڪتاب ڏيندو .,علي ڪتاب ڏيندو تو کي .,[0]
سو هنن کي چيائين ته : مان اوهان جو فيصلو ٻچا ڏسي پوءِ ڪندس .,سو چيائين هنن کي ته : مان اوهان جو فيصلو ٻچا ڏسي پوءِ ڪندس .,[0]
عبدالله دوستن کي پاڻي پياري ٿو .,عبدالله پاڻي پياري دوستن کي ٿو .,[0]
سليم گھوڙي کي پاڻي پياري ٿو .,سليم پاڻي پياري گھوڙي کي ٿو .,[0]
تڏهن گدڙ ، گداڙيءَ کي ٻڌايو ته : سڀ ڪوڙ وسري ويا آهن ،,تڏهن گدڙ ، ٻڌايو گداڙيءَ کي ته : سڀ ڪوڙ وسري ويا آهن ،,[0]
جڏهن ته گڊو ڪئنال کي ٻن هنڌن سکپور ۽ کاهي وٽان ۽ سنڌ ڪئنال کي 4 هنڌن سچل نون ، ڪارو ڪلر ، مريد سيٺار ۽ ٻگي واهه وٽان گهارا پئجي ويا آهن ،,جڏهن ته ٻن هنڌن سکپور ۽ کاهي وٽان ۽ سنڌ ڪئنال کي 4 هنڌن سچل نون ، ڪارو ڪلر ، مريد سيٺار ۽ ٻگي واهه وٽان گهارا پئجي گڊو ڪئنال کي ويا آهن ،,[0]
اڄ نامراد کي الاجي ڇا ٿيو آهي ،,اڄ ڇا ٿيو نامراد کي الاجي آهي ،,[0]
پر مون کي رڳو پيٽ ۾ چڪ هڻڻ ڏجئين .,پر رڳو پيٽ ۾ چڪ هڻڻ ڏجئين مون کي .,[0]
هلڻ وقت گداڙيءَ گدڙ کي چيو ته : گدڙ ، هلون ته هـُـنهين ٿا ، ڇونه ڪجهه پاڻي ڍُڪ پيو هلون ؟,هلڻ وقت گداڙيءَ چيو گدڙ کي ته : گدڙ ، هلون ته هـُـنهين ٿا ، ڇونه ڪجهه پاڻي ڍُڪ پيو هلون ؟,[0]
