sen_str,swapped_sen_str,leaf_rule
Прошу передати слово Давиду Арахамії .,Прошу Давиду Арахамії передати слово .,[0] -> [14] -> [15] -> [21] -> [22] -> [23]
"В нас є проблема свободи територіальних громад , бо людина живе в селищі , в селі і в місті - і вона не хоче , щоб який-небудь авторитет кримінальний по кличці "" Гоблін "" розповідав , що треба Криму .","В нас є проблема свободи територіальних громад , бо людина живе в селищі , в селі і в місті - і вона не хоче , щоб який-небудь авторитет кримінальний по кличці "" Гоблін "" розповідав , що Криму треба .",[0] -> [14] -> [15] -> [21] -> [22] -> [23]
Прошу передати слово Павлу Бакунцю .,Прошу Павлу Бакунцю передати слово .,[0] -> [14] -> [15] -> [21] -> [22] -> [23]
Прошу передати слово Олександру Колтуновичу .,Прошу Олександру Колтуновичу передати слово .,[0] -> [14] -> [15] -> [21] -> [22] -> [23]
"Володимире Михайловичу , прошу передати слово Олександру Морозу .","Володимире Михайловичу , прошу Олександру Морозу передати слово .",[0] -> [14] -> [15] -> [21] -> [22] -> [23]
Прошу передати слово Фролову .,Прошу Фролову передати слово .,[0] -> [14] -> [15] -> [21] -> [22] -> [23]
Прошу передати слово Нестору Івановичу .,Прошу Нестору Івановичу передати слово .,[0] -> [14] -> [15] -> [21] -> [22] -> [23]
Прошу передати слово Івану Кириленку .,Прошу Івану Кириленку передати слово .,[0] -> [14] -> [15] -> [21] -> [22] -> [23]
Прошу передати слово Ларисі Білозір .,Прошу Ларисі Білозір передати слово .,[0] -> [14] -> [15] -> [21] -> [22] -> [23]
Прошу передати слово Шевчуку .,Прошу Шевчуку передати слово .,[0] -> [14] -> [15] -> [21] -> [22] -> [23]
"Продавши свій шедевр Меценатові , еллінський скульптор споневажив саме мистецтво : Ти не продався , – гірше !","Меценатові Продавши свій шедевр , еллінський скульптор споневажив саме мистецтво : Ти не продався , – гірше !",[0] -> [14] -> [15] -> [21] -> [22] -> [23]
"Теліпаємо про паскуду Ковальського , який знов заклав начальнику , про Ковальську , котра вчора ляпала Зосі , що моє нове́ плаття — нікудишнє , про Ясю , яка вдруге народила близнят , про те , що обламалася газова плитка , а недавно ж лагодили , і тепер знов доведеться платити , про те , що Зося подерла десь свої чобітки і так далі і таке інше .","Теліпаємо про паскуду Ковальського , який знов заклав начальнику , про Ковальську , котра вчора Зосі ляпала , що моє нове́ плаття — нікудишнє , про Ясю , яка вдруге народила близнят , про те , що обламалася газова плитка , а недавно ж лагодили , і тепер знов доведеться платити , про те , що Зося подерла десь свої чобітки і так далі і таке інше .",[0] -> [14] -> [15] -> [21] -> [22] -> [23]
Прошу передати слово Артуру Герасимову .,Прошу Артуру Герасимову передати слово .,[0] -> [14] -> [15] -> [21] -> [22] -> [23]
Прошу передати слово Яременку .,Прошу Яременку передати слово .,[0] -> [14] -> [15] -> [21] -> [22] -> [23]
"Плакати й стрічки , що повишивали дівчата , сховані у великій шафі , ключі я віддав Петрові .","Плакати й стрічки , що повишивали дівчата , сховані у великій шафі , ключі я Петрові віддав .",[0] -> [14] -> [15] -> [21] -> [22] -> [23]
"Адже ми дуже добре розуміємо , що саме спільно прочитані книжки роблять нас єдиною , об'єднаною , успішною , креативною нацією , адже книжки допомагають нам осмислювати , переживати спільний досвід , книжки допомагають подолати паніку і тривогу , а ще книжки допомагають подолати ворога , в тому числі того , який найбільше зараз загрожує Україні – Володимира Путіна .","Адже ми дуже добре розуміємо , що саме спільно прочитані книжки роблять нас єдиною , об'єднаною , успішною , креативною нацією , адже книжки допомагають нам осмислювати , переживати спільний досвід , книжки допомагають подолати паніку і тривогу , а ще книжки допомагають подолати ворога , в тому числі того , який найбільше зараз Україні загрожує – Володимира Путіна .",[0] -> [14] -> [15] -> [21] -> [22] -> [23]
"У моральному кодексі Лесі Українки такі роздуми й вагання молодшого колеги по цеху ( до речі , дуже прихильно підтриманого земляками при початку творчого шляху ; Леся Українка присвятила Винниченкові розлогу аналітичну статтю , вилучену , зрозуміло , з академічного радянського зібрання творів ) мали сприйматися у кращому разі як безвідповідальні .","У моральному кодексі Лесі Українки такі роздуми й вагання молодшого колеги по цеху ( до речі , дуже прихильно підтриманого земляками при початку творчого шляху ; Леся Українка Винниченкові присвятила розлогу аналітичну статтю , вилучену , зрозуміло , з академічного радянського зібрання творів ) мали сприйматися у кращому разі як безвідповідальні .",[0] -> [14] -> [15] -> [21] -> [22] -> [23]
"Знову ж таки Сноу не хотів приносити клятву вірності Дені не з гордості , не з принципів сепаратизму півночі , а тому що ніс відповідальність перед своїми васалами , і не хотів присягати на вірність незнайомій йому людині .","Знову ж таки Сноу не хотів Дені приносити клятву вірності не з гордості , не з принципів сепаратизму півночі , а тому що ніс відповідальність перед своїми васалами , і не хотів присягати на вірність незнайомій йому людині .",[0] -> [14] -> [15] -> [21] -> [22] -> [23]
Прошу передати слово Марії Іоновій .,Прошу Марії Іоновій передати слово .,[0] -> [14] -> [15] -> [21] -> [22] -> [23]
Прошу передати слово Олександру Горенюку .,Прошу Олександру Горенюку передати слово .,[0] -> [14] -> [15] -> [21] -> [22] -> [23]
Я прошу передати слово Івченку .,Я прошу Івченку передати слово .,[0] -> [14] -> [15] -> [21] -> [22] -> [23]
"Я не хотів би в такому широкому загалі говорити про ці речі , але думаю , що жодна країна , в тому числі Будапештського меморандуму , не готова буде зараз допомагати Україні .","Я не хотів би в такому широкому загалі говорити про ці речі , але думаю , що жодна країна , в тому числі Будапештського меморандуму , не готова буде зараз Україні допомагати .",[0] -> [14] -> [15] -> [21] -> [22] -> [23]
