sen_str,swapped_sen_str,leaf_rule
"Mazkur qoʻmitaga rahbarlik qilish kishidan katta bilim , hayotiy tajriba , mulohazakorlik , qatʼiyat , tashabbuskorlik va shijoatni talab qiladi .","Mazkur qoʻmitaga rahbarlik qilish katta bilim , hayotiy tajriba , mulohazakorlik , qatʼiyat , tashabbuskorlik va shijoatni talab qiladi kishidan .",[0]
Olimlar yolgʻizlikka mahkum boʻlarmikinlar ?,Olimlar mahkum boʻlarmikinlar yolgʻizlikka ?,[0]
Qargʻalarning qagʻillashi Gʻanijonga sovuqni va yoʻl boʻyida oʻtirib qoʻlini koʻtargan haligi kishini eslatdi .,Qargʻalarning qagʻillashi sovuqni va yoʻl boʻyida oʻtirib qoʻlini koʻtargan haligi kishini eslatdi Gʻanijonga .,[0]
"Dadam arab , lotin , kirill imlolarida bemalol oʻqib - yoza olsa-da , dunyoviy ilmlarga , siyosatga oʻta befarq edi .","Dadam arab , lotin , kirill imlolarida bemalol oʻqib - yoza olsa-da , oʻta befarq dunyoviy ilmlarga , siyosatga edi .",[0]
Otam bu payt Oyshalarning Istanbuldagi uyiga koʻchib bordi .,Otam bu payt koʻchib Oyshalarning Istanbuldagi uyiga bordi .,[0]
Yana tabiatning dildiragan tanlariga iliq qon yugurdi …,Yana iliq qon yugurdi tabiatning dildiragan tanlariga …,[0]
"Kuz unga hayot tamom boʻlganini , ajal elchisi yoʻlda ekanini bildiradi .","Kuz hayot tamom boʻlganini , ajal elchisi yoʻlda ekanini bildiradi unga .",[0]
Ispaniya kutilmaganda Oʻrtayer dengizidan Italiyaga kirib kelayotgan muhojirlarni oʻziga qabul qilish toʻgʻrisidagi taklif bilan chiqqan .,Ispaniya kutilmaganda Oʻrtayer dengizidan Italiyaga kirib kelayotgan muhojirlarni qabul oʻziga qilish toʻgʻrisidagi taklif bilan chiqqan .,[0]
"Tabiiyki , ushbu manzara hech kimga yoqqani yoʻq .","Tabiiyki , ushbu manzara yoqqani hech kimga yoʻq .",[0]
Ispaniya kutilmaganda Oʻrtayer dengizidan Italiyaga kirib kelayotgan muhojirlarni oʻziga qabul qilish toʻgʻrisidagi taklif bilan chiqqan .,Ispaniya kutilmaganda chiqqan Oʻrtayer dengizidan Italiyaga kirib kelayotgan muhojirlarni oʻziga qabul qilish toʻgʻrisidagi taklif bilan .,[0]
Ota uni novvoyga shogirdlikka berdi .,Ota uni shogirdlikka berdi novvoyga .,[0]
Adabiyot menga kuchli boʻlishni oʻrgatgani uchun men undan doim qarzdorman .,Adabiyot kuchli boʻlishni oʻrgatgani menga uchun men undan doim qarzdorman .,[0]
"Yoʻq , ellikboshimiz Rahmonxoʻjaga xoʻrozni olib borib bergan edim , ishni bosdi - bosdi qilib yubordi .","Yoʻq , xoʻrozni olib ellikboshimiz Rahmonxoʻjaga borib bergan edim , ishni bosdi - bosdi qilib yubordi .",[0]
"Men sizga aytsam , mulla Norqoʻzi , gap paranjida emas .","Men aytsam sizga , mulla Norqoʻzi , gap paranjida emas .",[0]
Dashti Qipchoqdan kelgan qiz menga oʻsha asalni eslatadi .,Dashti Qipchoqdan kelgan qiz oʻsha asalni eslatadi menga .,[0]
Kelgusi mavsum uchun Oʻzbekiston klublariga 1 + 2 shaklida yoʻllanma ajratilgan .,Kelgusi mavsum uchun 1 + 2 shaklida yoʻllanma ajratilgan Oʻzbekiston klublariga .,[0]
Bu bolalarga anʼanaviy bogʻchalardagidek sharoitda tarbiyalanish imkonini beradi .,Bu anʼanaviy bogʻchalardagidek sharoitda tarbiyalanish imkonini beradi bolalarga .,[0]
"Yugurish nafaqat vazn tashlashga , balki tana va qalb uygʻunligiga erishishga yordam beradi .","Yugurish nafaqat vazn tashlashga , balki erishishga tana va qalb uygʻunligiga yordam beradi .",[0]
Bu odam hayoti dunyoning sirlariga yetaman deb koʻp urindi .,Bu odam hayoti yetaman dunyoning sirlariga deb koʻp urindi .,[0]
"Masalan , talabalar va kollej oʻquvchilari guvohnomalarini koʻrsatsa , ularga 25 foizlik chegirma taqdim etiladi .","Masalan , talabalar va kollej oʻquvchilari guvohnomalarini koʻrsatsa , 25 foizlik chegirma taqdim etiladi ularga .",[0]
Eng yangi LGALPHA 9 protsessori bozordagi yetakchi OLEDTV televizorlariga quvvat qoʻshadi .,Eng yangi LGALPHA 9 protsessori quvvat qoʻshadi bozordagi yetakchi OLEDTV televizorlariga .,[0]
"Yomgʻir ostida daraxt shoxiga chiqib olib , osmonga qarab qichqirgim keladi .","Yomgʻir ostida daraxt shoxiga chiqib olib , qarab osmonga qichqirgim keladi .",[0]
