sen_str,swapped_sen_str,leaf_rule
"Jabet 1 , tuddees na ko yitam jabetu ndaw ( diabète juvénile ) , ndax li mu di dal nit ki ci ag ndawam , diggante ba mu amee ay weer ba 35 at .","Jabet 1 , jabetu ndaw ( diabète juvénile ) tuddees na ko yitam , ndax li mu di dal nit ki ci ag ndawam , diggante ba mu amee ay weer ba 35 at .",[0] -> [1] -> [2]
"Kon moom Hegel da mu di mel ne mu a teg ci loxol Brusiya lay wa xeltu gi di rafetal , di baaxal seen jëfi jiite googu nu jiite woon bennalug Almaañ gi .","Kon moom Hegel da mu di mel ne mu a teg ci loxol Brusiya lay wa xeltu gi di rafetal , di baaxal seen jëfi jiite googu nu bennalug Almaañ gi jiite woon .",[0] -> [1] -> [2]
Ñi di door a falu ñu a yoral seen bopp suuf si walla boog ñu dénk ko ay ceddo .,Ñi di door a falu ñu a yoral seen bopp suuf si walla boog ñu ay ceddo dénk ko .,[0] -> [1] -> [2]
"Waaye matul ab royuwaay sunu jigéen ñi ci wàllu diine , ndax wax dëgg Yàlla nag , moom da mu amoon ay gëm-gëmi boppam , mu di la maam ya daan dund mu di ag xërëm ( animisme ) .","Waaye sunu jigéen ñi matul ab royuwaay ci wàllu diine , ndax wax dëgg Yàlla nag , moom da mu amoon ay gëm-gëmi boppam , mu di la maam ya daan dund mu di ag xërëm ( animisme ) .",[0] -> [1] -> [2]
"Bokk na ci yooyu , dagg Doox bu Warsaw gu Poloñ gi , dagg ko ci Brusiya , te jox ko Rusi .","Bokk na ci yooyu , dagg Doox bu Warsaw gu Poloñ gi , dagg ko ci Brusiya , te Rusi jox ko .",[0] -> [1] -> [2]
"Weer wi ñu séddale ko ñeenti ayu-bés , gu ci nekk am fukki fan .","Weer wi ñu ñeenti ayu-bés séddale ko , gu ci nekk am fukki fan .",[0] -> [1] -> [2]
"Abdu Juuf digoon na ma kër , waaye booba ba tey am na at , te gisuma dara .","Abdu Juuf kër digoon na ma , waaye booba ba tey am na at , te gisuma dara .",[0] -> [1] -> [2]
"Kon , mbokk sama , xarit sama dëgg la sax , àddina a dox , Nasaraan juuxsi fi , di làkk làkkam , te naan nu bàyyileen seen wos !","Kon , mbokk sama , xarit sama dëgg la sax , àddina a dox , Nasaraan juuxsi fi , di làkk làkkam , te naan nu seen wos bàyyileen !",[0] -> [1] -> [2]
"Nit ku ne am na sañ-sañ ci liggéey , ak ci tànnal boppam liggéey bi ko soob , ak ci am sàrti liggéey yu jub te baax ci moom , ak ci lu ko feg ci ñàkkum liggéey .","Nit ku ne am na sañ-sañ ci liggéey , ak ci liggéey bi ko soob tànnal boppam , ak ci am sàrti liggéey yu jub te baax ci moom , ak ci lu ko feg ci ñàkkum liggéey .",[0] -> [1] -> [2]
"Ma nataalaatal leen biir yeew bi , ndax ñu mën a jëli li ma leen wax noonu .","Ma biir yeew bi nataalaatal leen , ndax ñu mën a jëli li ma leen wax noonu .",[0] -> [1] -> [2]
"Su dee ni ko yenn waay-xeltu yi di waxee namm-namm xarala dëggantaan mu a di gësëm xelu nit ñi ba ñu xippi xool , gise neneen mbir yi leen wër .","Su dee ni ko yenn waay-xeltu yi di waxee namm-namm xarala dëggantaan mu a di gësëm xelu nit ñi ba ñu xippi xool , mbir yi leen wër gise neneen .",[0] -> [1] -> [2]
"Séddale nañu at mi def ko 4 xaaj , xaaj bu ci nekk am ñeenti weer .","Séddale nañu at mi 4 xaaj def ko , xaaj bu ci nekk am ñeenti weer .",[0] -> [1] -> [2]
"Yàlla dénk leen am-am , te Yàlla def Maam Moor Anta Sëli mi mujj di boroom këram bokkoon ci askan wu seen wërsëg melul noona ...","Yàlla am-am dénk leen , te Yàlla def Maam Moor Anta Sëli mi mujj di boroom këram bokkoon ci askan wu seen wërsëg melul noona ...",[0] -> [1] -> [2]
"Benn bi def sobe si ( puup yi ) , fekk am na pexe mu leen nal ba ñu wow , ñu def leen tos .","Benn bi def sobe si ( puup yi ) , fekk am na pexe mu leen nal ba ñu wow , ñu tos def leen .",[0] -> [1] -> [2]
"Nit ku ne am na sañ-sañ ci ñu ubbil ko , ci ag yemale gu ñeel ñépp , bunti liggéeyukaayi nguur gi .","Nit ku ne am na sañ-sañ ci ñu , bunti liggéeyukaayi nguur gi ubbil ko , ci ag yemale gu ñeel ñépp .",[0] -> [1] -> [2]
"Li ko waral mu a di ñoom da ñu gisoon ne li gën ci ñoom mu a di ñu sosal seen bopp ag bennoo gu ndawaan gu temb , ngir xeex ci bennoog nduwaan gu Brusiya gi .","Li ko waral mu a di ñoom da ñu gisoon ne li gën ci ñoom mu a di ñu ag bennoo gu ndawaan gu temb sosal seen bopp , ngir xeex ci bennoog nduwaan gu Brusiya gi .",[0] -> [1] -> [2]
"Beneen bii def saw mi ak ndoxum laablu mi , ñu suuxate ko flëer yi .","Beneen bii def saw mi ak ndoxum laablu mi , ñu flëer yi suuxate ko .",[0] -> [1] -> [2]
"Ndegam masuma woon a nataal xar nag , ma nataalal ko benn ci ñaari nataal yooyu kese ma mënoon .","Ndegam masuma woon a nataal xar nag , ma benn ci ñaari nataal yooyu kese ma mënoon nataalal ko .",[0] -> [1] -> [2]
Tudde naa ko Leon Werth,Leon Werth Tudde naa ko,[0] -> [1] -> [2]
"Booba Cerno Ba , mu ngi woon ca jawriñ ji ñu dénk gi Caada gi .","Booba Cerno Ba , mu ngi woon ca jawriñ ji ñu Caada gi dénk gi .",[0] -> [1] -> [2]
"Nit ku ne , mu a xam mu ngi nekk moom kenn , walla ci mbooloo , yeyoo na moomeel .","Nit ku ne , mu a xam mu ngi nekk moom kenn , walla ci mbooloo , moomeel yeyoo na .",[0] -> [1] -> [2]
Barag mu a di maqaama bi ñu joxoon buuru Waalo .,Barag mu a di maqaama bi ñu buuru Waalo joxoon .,[0] -> [1] -> [2]
Ci noonu mu xalaat a taxawal li ñu naan pajum kër ( ñu tudde ko Pecadom ci Frãse ) .,Ci noonu mu xalaat a taxawal li ñu naan pajum kër ( ñu Pecadom tudde ko ci Frãse ) .,[0] -> [1] -> [2]
"Nit ki am na lu ko war digganteem ak mbooloo mi nga xam ne , ci biiram rekk la yokkute ag jëmmam gu yaatu te matale mën ame .","Nit ki am na lu ko digganteem ak mbooloo mi nga xam ne , ci biiram rekk la yokkute ag jëmmam gu yaatu te matale mën ame war .",[0] -> [1] -> [2]
"Wante su nga leen nee "" CAP 21 "" , walla nga ne leen "" Coalition pour l' Aternative "" ñu bari da mu di mel ci ñoom ni ay waxi picc !","Wante su nga leen nee "" CAP 21 "" , walla nga "" Coalition pour l' Aternative "" ne leen ñu bari da mu di mel ci ñoom ni ay waxi picc !",[0] -> [1] -> [2]
Waxuma la nag suulaale gi waa Isipt yi daan suulaale néew bi ak i bagaasam te séeréer su yàgg sa daan ko def .,suulaale gi waa Isipt yi daan suulaale néew bi ak i bagaasam Waxuma la nag te séeréer su yàgg sa daan ko def .,[0] -> [1] -> [2]
"Ci benn ci téere-woyam bi mu tuddee "" Gànguneeg Penku-sowu-jànt "" walla "" Westöstlicher Diwan "" ci Almaa da mu ca di ñeel di ca bàkk diine Lislaam .","Ci benn ci téere-woyam bi mu "" Gànguneeg Penku-sowu-jànt "" walla "" Westöstlicher Diwan "" ci Almaa tuddee da mu ca di ñeel di ca bàkk diine Lislaam .",[0] -> [1] -> [2]
"Rax-ci-dolli , ay àtte yi ñu tudde àttey xam-xamu jëmm daldi feeñ , ay àtte yu niroo ci àdduna bi bépp , yu dul soppiku .","Rax-ci-dolli , ay àtte yi ñu àttey xam-xamu jëmm tudde daldi feeñ , ay àtte yu niroo ci àdduna bi bépp , yu dul soppiku .",[0] -> [1] -> [2]
"Seriñ Njaay a ngi doon àddu ca peggu ubbiteg 12eelu FIARA ( Fuwaar bi àddina bi jagleel mbey ak càmm ci Ndakaaru , 2 - 13 fewrie .","Seriñ Njaay a ngi doon àddu ca peggu ubbiteg 12eelu FIARA ( Fuwaar bi àddina bi mbey ak càmm jagleel ci Ndakaaru , 2 - 13 fewrie .",[0] -> [1] -> [2]
"Bu dee ca Siiselaa moom Daansirimaan mu a daaneeloon njiitug giirug Siise , daldi wutal nguur gi weneen tur wu yees mu di : Sirimaano .","Bu dee ca Siiselaa moom Daansirimaan mu a daaneeloon njiitug giirug Siise , daldi weneen tur wu yees mu di : Sirimaano wutal nguur gi .",[0] -> [1] -> [2]
