sen_str,swapped_sen_str,leaf_rule
Уи нахыс аишьцәа аҕьычра захьӡыз рхадыршҭит .,Уи нахыс аишьцәа захьӡыз аҕьычра рхадыршҭит .,[0] -> [1] -> [2] -> [3] -> [4]
"Сҩагылан , Мариа дзықәтәаз аҟәардә ашьҭахьала снадгылт .","Сҩагылан , дзықәтәаз Мариа аҟәардә ашьҭахьала снадгылт .",[0] -> [1] -> [2] -> [3] -> [4]
Ажәытәӡа зны Аҧсны дынхон Базала зыхьӡыз нхаҩык .,Ажәытәӡа зны Аҧсны дынхон зыхьӡыз Базала нхаҩык .,[0] -> [1] -> [2] -> [3] -> [4]
"Нас уара сҟәаҟәа уқәтәап , уашәа нҵәаанӡа узгалап .","Нас уара сҟәаҟәа уқәтәап , нҵәаанӡа уашәа узгалап .",[0] -> [1] -> [2] -> [3] -> [4]
Сара Сталини Бериеи сшьырцаз Лакоба исиҭаз адҵа насыгӡон .,Сара Сталини Бериеи сшьырцаз исиҭаз Лакоба адҵа насыгӡон .,[0] -> [1] -> [2] -> [3] -> [4]
"Абас Аҽи , Ажәи , Алеи ажәеимакра ишаҿыз ашҭа даақәлеит Аҧшәма .","Абас ажәеимакра ишаҿыз Аҽи , Ажәи , Алеи ашҭа даақәлеит Аҧшәма .",[0] -> [1] -> [2] -> [3] -> [4]
"– Аӡәгьы сшиҭахым здырхьеит … – акыр иаахәыцит Ашхырцәаҕь , нас иҵааит : – Аказы суазҵаауеит , Ашьхыц .","– сшиҭахым Аӡәгьы здырхьеит … – акыр иаахәыцит Ашхырцәаҕь , нас иҵааит : – Аказы суазҵаауеит , Ашьхыц .",[0] -> [1] -> [2] -> [3] -> [4]
"– Пиатаков аҵәца аанкыланы Лакоба даниныҳәоз , иахьарнахыс уареи сареи ҳаиҩызцәазааит ҳәа иеимҳәеи !","– Пиатаков аҵәца аанкыланы Лакоба даниныҳәоз , иахьарнахыс ҳаиҩызцәазааит уареи сареи ҳәа иеимҳәеи !",[0] -> [1] -> [2] -> [3] -> [4]
"– Арсҟатәи аҧара шәыманы аума , иҵегь аҧара рацәаны ишәымазар зышәҭаххаз .","– шәыманы Арсҟатәи аҧара аума , иҵегь аҧара рацәаны ишәымазар зышәҭаххаз .",[0] -> [1] -> [2] -> [3] -> [4]
"Уара уда хәарҭара злоу уаҳа акгьы ыҟаӡам , ус аума ? !","Уара уда злоу хәарҭара уаҳа акгьы ыҟаӡам , ус аума ? !",[0] -> [1] -> [2] -> [3] -> [4]
"– Аҵеиџь аҵа ааигәаны иҟазаап , – иҳәеит .","– ааигәаны Аҵеиџь аҵа иҟазаап , – иҳәеит .",[0] -> [1] -> [2] -> [3] -> [4]
"Аха аӡәгьы исеимҳәеит , саргьы исзымдырит амра ашәахәақәа сырблыр шалшоз .","Аха исеимҳәеит аӡәгьы , саргьы исзымдырит амра ашәахәақәа сырблыр шалшоз .",[0] -> [1] -> [2] -> [3] -> [4]
"Нас гәаныла ус иҳәеит : « Аашьаҩцәа џьара иҧхьактәуп , мамзар ажәлар гәаар ҟалоит » .","Нас гәаныла ус иҳәеит : « Аашьаҩцәа џьара иҧхьактәуп , мамзар гәаар ажәлар ҟалоит » .",[0] -> [1] -> [2] -> [3] -> [4]
"Наҳар уи аҧҳәыс лыбжьы игәы иасын , иблахаҵ ааиланаргьежьызшәа ибеит , идыргәаҟуаз иҧҳәыси ихәыҷи ракәызшәа игәы иныҵаххит .","Наҳар игәы иасын уи аҧҳәыс лыбжьы , иблахаҵ ааиланаргьежьызшәа ибеит , идыргәаҟуаз иҧҳәыси ихәыҷи ракәызшәа игәы иныҵаххит .",[0] -> [1] -> [2] -> [3] -> [4]
