sen_str,swapped_sen_str,leaf_rule
ālāni ša šēp Kašiyari ša Mamli Temannaya iṣbatu šēpī ya lū iṣbutū,ālāni ša šēp Kašiyari ša iṣbatu Mamli Temannaya šēpī ya lū iṣbutū,[0] -> [1] -> [2]
enūma dūru ša tamlê rabê ša ēkal bēlūti ya ša ištu pān šarrāni mahrûte ālikūt pāni ya ēpušū ēnah ma Aššur-bel-kala iššak Aššur ēpuš itūr īnah ma Tukulti-Ninurta iššak Aššur mār Adad-nerari iššak Aššur ma ašar šu umessi dannas su akšud,enūma ēnah dūru ša tamlê rabê ša ēkal bēlūti ya ša ištu pān šarrāni mahrûte ālikūt pāni ya ēpušū ma Aššur-bel-kala iššak Aššur ēpuš itūr īnah ma Tukulti-Ninurta iššak Aššur mār Adad-nerari iššak Aššur ma ašar šu umessi dannas su akšud,[0] -> [1] -> [2]
ina ūme šu ma Aššur-naṣir-apli rubû naʾdu pālih ilāni rabûti ša biblāt libbi šu Enlil ušakšidu šu ma naphar malkī lā māgirī šu ikšudu rabītu qās su kāšid ayyābī šu ša ina ašri namrāṣi uparriru kiṣir multarhī,ina ūme šu ma Aššur-naṣir-apli rubû naʾdu pālih ilāni rabûti ša biblāt libbi šu ušakšidu Enlil šu ma naphar malkī lā māgirī šu ikšudu rabītu qās su kāšid ayyābī šu ša ina ašri namrāṣi uparriru kiṣir multarhī,[0] -> [1] -> [2]
enūma Aššur bēlu nābû šumi ya mušarbû šarrūti ya kakka šu lā pādâ ana idât bēlūti ya lū itmuh ummānāt māt Lullume rapšāte ina qereb tamhāri ina kakkī lū ušamqit,enūma kakka šu lā pādâ ana idât bēlūti ya lū itmuh Aššur bēlu nābû šumi ya mušarbû šarrūti ya ummānāt māt Lullume rapšāte ina qereb tamhāri ina kakkī lū ušamqit,[0] -> [1] -> [2]
munakkir šumi ya Aššur u Ninurta ezziš likkalmū šu šarrūs su liskipū kussâ šu līkimū šu ina pān nakrī šu kamêši lušēšibū šu šum šu zēr šu ina māti luhalliqū,munakkir šumi ya ezziš likkalmū Aššur u Ninurta šu šarrūs su liskipū kussâ šu līkimū šu ina pān nakrī šu kamêši lušēšibū šu šum šu zēr šu ina māti luhalliqū,[0] -> [1] -> [2]
munakkir šiṭri ya u šumi ya Ištar bēltu rabītu kussâ šu līkimu šu ina pān nakrī šu kamîš lušēšib šu,munakkir šiṭri ya u šumi ya kussâ šu līkimu Ištar bēltu rabītu šu ina pān nakrī šu kamîš lušēšib šu,[0] -> [1] -> [2]
sītāt Nirbi ša ultu pān kakkī ya ipparšidūni ūrdūni šēpī ya iṣbutū,sītāt Nirbi ultu pān kakkī ya ipparšidūni ša ūrdūni šēpī ya iṣbutū,[0] -> [1] -> [2]
sītāt ummānāte šunu ša ištu pān kakkī ya ipparšidūni,sītāt ummānāte šunu ištu pān kakkī ya ipparšidūni ša,[0] -> [1] -> [2]
ina ālāni ša šiddi hūli ya šaknū libbi Kašiyari alpī immerī karānī diqār siparri qurpissī siparri attahar,ina ālāni šiddi hūli ya šaknū ša libbi Kašiyari alpī immerī karānī diqār siparri qurpissī siparri attahar,[0] -> [1] -> [2]
Libe āl dannūti šunu Surra Abuqu Arura Arube ša ina birīt Urini Aruni Etini šadê dannūte šaknū akšud,Libe āl dannūti šunu Surra Abuqu Arura Arube ina birīt Urini Aruni Etini šadê dannūte šaknū ša akšud,[0] -> [1] -> [2]
enūma bīt Sin u Šamaš ilāni rabûti bēlē ya ša šarrāni ālikūt pāni ya ēpušū ēnah,enūma ēnah bīt Sin u Šamaš ilāni rabûti bēlē ya ša šarrāni ālikūt pāni ya ēpušū,[0] -> [1] -> [2]
Kalhu mahrâ ša Šalmanu-ašared šar māt Aššur rubû ālik pāni ya ēpuš ālu šū,Kalhu mahrâ ša ēpuš Šalmanu-ašared šar māt Aššur rubû ālik pāni ya ālu šū,[0] -> [1] -> [2]
ēkal Aššur-naṣir-apli iššak Aššur nišīt Enlil u Ninurta narām Anim u Dagan kašūš ilāni rabûti šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarri rabê šarri danni šar kiššati šar māt Aššur mār Adad-nerari šarri rabê šarri danni šar kiššati šar māt Aššur ma eṭlu qardu ša ina tukulti Aššur bēli šu ittallaku ma ina malkī ša kibrāt erbetti šānin šu lā īšû rēʾû tabrâte lā ādiru tuqumti edû gapšu ša māhira lā īšû šar mušakniš lā kanšūte šu ša naphar kiššat nišī ipēlu zikaru dannu mukabbis kišād ayyābī šu dāʾiš kullat nakirē muparriru kiṣir multarhī šarru ša ina tukulti ilāni rabûti bēlē šu ittallaku ma mātāti kalî šina qās su ikšud huršānī kalî šunu ipēlu ma bilat sunu imhuru ṣābit līṭē šākin līte,ēkal Aššur-naṣir-apli iššak Aššur nišīt Enlil u Ninurta narām Anim u Dagan kašūš ilāni rabûti šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarri rabê šarri danni šar kiššati šar māt Aššur mār Adad-nerari šarri rabê šarri danni šar kiššati šar māt Aššur ma eṭlu qardu ša ina tukulti Aššur bēli šu ittallaku ma ina malkī ša kibrāt erbetti šānin šu lā īšû rēʾû tabrâte lā ādiru tuqumti edû gapšu māhira lā īšû ša šar mušakniš lā kanšūte šu ša naphar kiššat nišī ipēlu zikaru dannu mukabbis kišād ayyābī šu dāʾiš kullat nakirē muparriru kiṣir multarhī šarru ša ina tukulti ilāni rabûti bēlē šu ittallaku ma mātāti kalî šina qās su ikšud huršānī kalî šunu ipēlu ma bilat sunu imhuru ṣābit līṭē šākin līte,[0] -> [1] -> [2]
šallas sunu būša šunu ultu qereb šadê ušērida ālāni ša ina qereb huršānī dannūte šaknū appul aqqur ina išātāti ašrup,šallas sunu būša šunu ultu qereb šadê ušērida ālāni ina qereb huršānī dannūte šaknū ša appul aqqur ina išātāti ašrup,[0] -> [1] -> [2]
mannu ša šum ī unakkaru u šum šu išakkanu,mannu šum ī unakkaru ša u šum šu išakkanu,[0] -> [1] -> [2]
arki ilāni rabûti išīmū ma haṭṭi murte’ât nišī ana qāti ya umellû eli šarrāni šūt agê iššû ni melamme šarrūti īpirū ni siqr ī šurbâ eli naphar bēlē ušāterū šumu kabta Adad-nerari šar māt Aššur ibbû ni,arki išīmū ilāni rabûti ma haṭṭi murte’ât nišī ana qāti ya umellû eli šarrāni šūt agê iššû ni melamme šarrūti īpirū ni siqr ī šurbâ eli naphar bēlē ušāterū šumu kabta Adad-nerari šar māt Aššur ibbû ni,[0] -> [1] -> [2]
enūma kisirtu ša sippi āli šapla bīt Aššur ša Adad-nerari iššak Aššur mār Arik-den-ili iššak Aššur rubû ālik pāni ya ēpušu ēnah ma i’’abit,enūma ēnah kisirtu ša sippi āli šapla bīt Aššur ša Adad-nerari iššak Aššur mār Arik-den-ili iššak Aššur rubû ālik pāni ya ēpušu ma i’’abit,[0] -> [1] -> [2]
šarru ana rabûti šu šukunniš iqbi eṭlu ša Aššur tanatti qardūti šu šutarruhu,šarru ana rabûti šu šukunniš iqbi eṭlu ša Aššur šutarruhu tanatti qardūti šu,[0] -> [1] -> [2]
ultu ušmanni annīte ma attumuš ana ālāni ša ṣēr Niṣir ša ašar šunu mamma lā ēmuru allik,ultu ušmanni annīte ma attumuš ana ālāni ša ṣēr Niṣir ša ašar šunu lā ēmuru mamma allik,[0] -> [1] -> [2]
kīma qinni udīni ina qereb šadê dannas sunu iškunu ša ina šarrāni abbī ya mamma ina qereb šunu lā iṭhû,kīma qinni udīni ina qereb šadê dannas sunu iškunu ša ina šarrāni abbī ya ina qereb šunu lā iṭhû mamma,[0] -> [1] -> [2]
Kukunu ša pî nērebi ša šadê Matnu šaknu aktašad,Kukunu pî nērebi ša šadê Matnu šaknu ša aktašad,[0] -> [1] -> [2]
