sen_str,swapped_sen_str,leaf_rule
"Du gsehsch uus , wi wenn de nöime no hättisch z trinken übercho .","Du gsehsch uus , wi wenn nöime no hättisch z trinken übercho de .",[0] -> [2]
Mit däm Gliir vom Hung han i d Stimmig gloub definitiv kabutt gmacht gha .,Mit däm Gliir vom Hung han d Stimmig gloub definitiv kabutt gmacht i gha .,[0] -> [2]
Aber natürli hätt dä Dani üüs beraits druff vòrberaitet ghaa .,Aber natürli hätt üüs beraits druff vòrberaitet dä Dani ghaa .,[0] -> [2]
Und dä Hakan isch im Schtròòfruum vom Gägner ghògged und hätt sich d ' Schuä gschnüert wiä wild !,Und isch im Schtròòfruum vom Gägner ghògged dä Hakan und hätt sich d ' Schuä gschnüert wiä wild !,[0] -> [2]
"I main , das Ganze letscht Wuchä isch mier scho ächli iigfaarä .","I main , isch mier scho ächli iigfaarä das Ganze letscht Wuchä .",[0] -> [2]
"Isch das e Sach gsi , bis mer se gfunge hei gha .","Isch das e Sach gsi , bis se gfunge mer hei gha .",[0] -> [2]
"Ds Gueten isch immerhin gsi , dass i ungerdesse söfu müed bi gsi , dass i ändlech ha chönne go schlofe .","Ds Gueten isch immerhin gsi , dass i ungerdesse söfu müed bi gsi , dass ändlech ha chönne go schlofe i .",[0] -> [2]
"Dir weit mer doch nid verzöue , di Wäutsche heige vo eim Tag uf en anger ufghört Chuttlen ässe .","Dir weit mer doch nid verzöue , heige vo eim Tag uf en anger ufghört di Wäutsche Chuttlen ässe .",[0] -> [2]
"Am Louis hets offesichtlech leid to , dass er i nes Wäschpinäscht het gstoche .","Am Louis hets offesichtlech leid to , dass i nes Wäschpinäscht het gstoche er .",[0] -> [2]
"Irgendeinisch het de d Denise äuä gmerkt , dass es zimlech sinnlos isch mit mir .","Irgendeinisch het de äuä gmerkt d Denise , dass es zimlech sinnlos isch mit mir .",[0] -> [2]
"I ha so fescht mit der flache Hang uf dä Beizetisch ghoue , dass grad d Gleser hei aafo waggele .","I ha so fescht mit der flache Hang uf dä Beizetisch ghoue , dass grad hei aafo d Gleser waggele .",[0] -> [2]
Daas häd er doch scho maal ghaa !,Daas häd doch scho maal ghaa er !,[0] -> [2]
