sen_str,swapped_sen_str,leaf_rule
ዓለሙ ከ ሄድ ኧ ተስፋዬ ም ይ ሄድ ኣል ።,ዓለሙ ከ ሄድ ኧ ይ ሄድ ተስፋዬ ም ኣል ።,[0] -> [16] -> [17]
ራስ ኡ ን ከ ተመታ ኧ ወዲህ ማስታወስ አቃት ኧው ።,ራስ ኡ ን ከ ተመታ ኧ ወዲህ አቃት ማስታወስ ኧው ።,[0] -> [16] -> [17]
የ ልጅ ኡ ን ቁስል ሐኪም ኡ አዳን ኧ ው ።,የ ልጅ ኡ ን ቁስል አዳን ሐኪም ኡ ኧ ው ።,[0] -> [16] -> [17]
በ ርግጥ ካሳ ትናንት ወደ ጎንደር ሄድ ኦ ኣል ።,በ ርግጥ ትናንት ወደ ጎንደር ሄድ ካሳ ኦ ኣል ።,[0] -> [16] -> [17]
በ እንዲህ ሁኔታ የ በል ኡት ምግብ ኣል ይ ኣረካ ም ።,በ እንዲህ ሁኔታ ኣል ይ ኣረካ የ በል ኡት ምግብ ም ።,[0] -> [16] -> [17]
ጐማ ኤ ን ምስማር በሳ ብ ኝ ።,ጐማ ኤ ን በሳ ምስማር ብ ኝ ።,[0] -> [16] -> [17]
የ ልጅ ኣቸው መፈታት ስ ይ ሰማ ቤት ኣቸው ውስጥ ደስታ ሆን ኧ ።,የ ልጅ ኣቸው መፈታት ስ ይ ሰማ ቤት ኣቸው ውስጥ ሆን ደስታ ኧ ።,[0] -> [16] -> [17]
ምናልባት ካሳ በ ድንገት ወደ ጎንደር ሄድ ኦ ይ ሆን ኣል ።,ምናልባት በ ድንገት ወደ ጎንደር ሄድ ካሳ ኦ ይ ሆን ኣል ።,[0] -> [16] -> [17]
ቤት ህ ን ስ ኣል ት ቆልፍ እየሄድ ክ አንድ ቀን እቃ ህ ሁሉ ተወሳጅ ን ኧው ።,ቤት ህ ን ስ ኣል ት ቆልፍ እየሄድ ክ አንድ ቀን ተወሳጅ እቃ ህ ሁሉ ን ኧው ።,[0] -> [16] -> [17]
እስከ ኣሁን ማወቅ የ ኣል ቻል ኩ ት መምጣት ኣለ መምጣት ኡ ኣን ን ኧው ።,እስከ ኣሁን የ ኣል ቻል ማወቅ ኩ ት መምጣት ኣለ መምጣት ኡ ኣን ን ኧው ።,[0] -> [16] -> [17]
