sen_str,swapped_sen_str,leaf_rule
καὶ ἀναστρέψαντες ἤλθοσαν ἐπὶ τὴν πηγὴν τῆς κρίσεως ( αὕτη ἐστὶν Κάδης ) καὶ κατέκοψαν πάντας τοὺς ἄρχοντας Ἀμαλὴκ καὶ τοὺς Ἀμορραίους τοὺς κατοικοῦντας ἐν Ἀσασανθαμάρ .,καὶ ἀναστρέψαντες ἤλθοσαν ἐπὶ τὴν πηγὴν τῆς κρίσεως ( αὕτη ἐστὶν Κάδης ) καὶ κατέκοψαν πάντας τοὺς ἄρχοντας Ἀμαλὴκ καὶ τοὺς Ἀμορραίους κατοικοῦντας τοὺς ἐν Ἀσασανθαμάρ .,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [10]
"νῦν δὲ ἀπόδος τὴν γυναῖκα τῷ ἀνθρώπῳ , ὅτι προφήτης ἐστὶν καὶ προσεύξεται περὶ σου καὶ ζήσῃ · εἰ δὲ μὴ ἀποδίδως , γνῶθι ὅτι ἀποθανῇ σὺ καὶ πάντα τὰ σά .","νῦν δὲ ἀπόδος τὴν γυναῖκα τῷ ἀνθρώπῳ , ὅτι προφήτης ἐστὶν καὶ προσεύξεται περὶ σου καὶ ζήσῃ · εἰ δὲ μὴ ἀποδίδως , γνῶθι ὅτι ἀποθανῇ σὺ καὶ πάντα σά τὰ .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [10]
"καὶ ἐπακούσεταί μοι ἡ δικαιοσύνη μου ἐν τῇ ἡμέρᾳ τῇ αὔριον , ὅτι ἐστὶν ὁ μισθός μου ἐνώπιόν σου · πᾶν , ὃ ἐὰν μὴ ᾖ ῥαντὸν καὶ διάλευκον ἐν ταῖς αἰξὶν καὶ φαιὸν ἐν τοῖς ἀρνάσιν , κεκλεμμένον ἔσται παρ᾿ ἐμοί .","καὶ ἐπακούσεταί μοι ἡ δικαιοσύνη μου ἐν τῇ ἡμέρᾳ τῇ αὔριον , ὅτι ἐστὶν ὁ μισθός μου ἐνώπιόν σου · πᾶν ἐὰν μὴ ᾖ ῥαντὸν , ὃ καὶ διάλευκον ἐν ταῖς αἰξὶν καὶ φαιὸν ἐν τοῖς ἀρνάσιν , κεκλεμμένον ἔσται παρ᾿ ἐμοί .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [10]
"ὁ δὲ εἶπεν , Τίνα τὸν ἀρραβῶνά σοί δώσω ; ἡ δὲ εἶπεν , Τὸν δακτύλιόν σου καὶ τὸν ὁρμίσκον καὶ τὴν ῥάβδον τὴν ἐν τῇ χειρί σου . καὶ ἔδωκεν αὐτῇ καὶ εἰσῆλθεν πρὸς αὐτήν , καὶ ἐν γαστρὶ ἔλαβεν ἐξ αὐτοῦ .","ὁ δὲ εἶπεν , Τίνα τὸν ἀρραβῶνά σοί δώσω δὲ εἶπεν ; ἡ , Τὸν δακτύλιόν σου καὶ τὸν ὁρμίσκον καὶ τὴν ῥάβδον τὴν ἐν τῇ χειρί σου . καὶ ἔδωκεν αὐτῇ καὶ εἰσῆλθεν πρὸς αὐτήν , καὶ ἐν γαστρὶ ἔλαβεν ἐξ αὐτοῦ .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [10]
"ἤκουσεν δὲ Ἰακὼβ τὰ ῥήματα τῶν υἱῶν Λαβὰν λεγόντων , εἴληφεν Ἰακὼβ πάντα τὰ τοῦ πατρὸς ἡμῶν καὶ ἐκ τῶν τοῦ πατρὸς ἡμῶν πεποίηκεν πᾶσαν τὴν δόξαν ταύτην .","ἤκουσεν δὲ Ἰακὼβ τὰ ῥήματα τῶν υἱῶν Λαβὰν λεγόντων , εἴληφεν Ἰακὼβ πάντα τοῦ πατρὸς τὰ ἡμῶν καὶ ἐκ τῶν τοῦ πατρὸς ἡμῶν πεποίηκεν πᾶσαν τὴν δόξαν ταύτην .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [10]
"καὶ πᾶν ἑρπετόν , ὅ ἐστιν ζῶν , ὑμῖν ἔσται εἰς βρῶσιν · ὡς λάχανα χόρτου δέδωκα ὑμῖν τὰ πάντα .","καὶ πᾶν ἑρπετόν ἐστιν ζῶν , ὅ , ὑμῖν ἔσται εἰς βρῶσιν · ὡς λάχανα χόρτου δέδωκα ὑμῖν τὰ πάντα .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [10]
"εἶπεν δὲ Ἡσαῦ , καταλείψω μετὰ σου ἀπὸ τοῦ λαοῦ τοῦ μετ᾿ ἐμοῦ . ὁ δὲ εἶπεν , ἵνα τί τοῦτο ; ἱκανὸν ὅτι εὗρον χάριν ἐναντίον σου , κύριε .","εἶπεν δὲ Ἡσαῦ , καταλείψω μετὰ σου ἀπὸ τοῦ λαοῦ τοῦ μετ᾿ ἐμοῦ . δὲ εἶπεν ὁ , ἵνα τί τοῦτο ; ἱκανὸν ὅτι εὗρον χάριν ἐναντίον σου , κύριε .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [10]
"πλὴν ὧν ἔφαγον οἱ νεανίσκοι καὶ τῆς μερίδος τῶν ἀνδρῶν τῶν συμπορευθέντων μετ᾿ ἐμοῦ , Ἐσχώλ , Αὐνάν , Μαμβρῆ , οὗτοι λήμψονται μερίδα .","πλὴν ὧν ἔφαγον οἱ νεανίσκοι καὶ τῆς μερίδος τῶν ἀνδρῶν συμπορευθέντων τῶν μετ᾿ ἐμοῦ , Ἐσχώλ , Αὐνάν , Μαμβρῆ , οὗτοι λήμψονται μερίδα .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [10]
"καὶ εἶπεν τῷ πατρὶ αὐτῆς , μὴ βαρέως φέρε , κύριε · οὐ δύναμαι ἀναστῆναι ἐνώπιόν σου , ὅτι τὸ κατ᾿ ἐθισμὸν τῶν γυναικῶν μοί ἐστιν . ἠρεύνησεν δὲ Λαβὰν ἐν ὅλῳ τῷ οἴκῳ καὶ οὐχ εὗρεν τὰ εἴδωλα .","καὶ εἶπεν τῷ πατρὶ αὐτῆς , μὴ βαρέως φέρε , κύριε · οὐ δύναμαι ἀναστῆναι ἐνώπιόν σου , ὅτι μοί τὸ κατ᾿ ἐθισμὸν τῶν γυναικῶν ἐστιν . ἠρεύνησεν δὲ Λαβὰν ἐν ὅλῳ τῷ οἴκῳ καὶ οὐχ εὗρεν τὰ εἴδωλα .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [10]
καὶ Ἐλιβέμα ἔτεκεν τὸν Ἰεοὺς καὶ τὸν Ἰεγλὸμ καὶ τὸν Κορέ · οὗτοι υἱοὶ Ἡσαῦ οἳ ἐγένοντο αὐτῷ ἐν γῇ Χαναάν .,καὶ Ἐλιβέμα ἔτεκεν τὸν Ἰεοὺς καὶ τὸν Ἰεγλὸμ καὶ τὸν Κορέ · οὗτοι υἱοὶ Ἡσαῦ ἐγένοντο οἳ αὐτῷ ἐν γῇ Χαναάν .,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [10]
