sen_str,swapped_sen_str,leaf_rule
וַ יֵּט מֹשֶׁה אֶת  מַטֵּ הוּ עַל  אֶרֶץ מִצְרַיִם וַֽ יהוָה נִהַג רוּחַ קָדִים בָּ ה אָרֶץ כָּל  הַ יֹּום הַ הוּא וְ כָל  הַ לָּיְלָה הַ בֹּקֶר הָיָה וְ רוּחַ הַ קָּדִים נָשָׂא אֶת  הָ אַרְבֶּֽה,וַ מֹשֶׁה יֵּט אֶת  מַטֵּ הוּ עַל  אֶרֶץ מִצְרַיִם וַֽ יהוָה נִהַג רוּחַ קָדִים בָּ ה אָרֶץ כָּל  הַ יֹּום הַ הוּא וְ כָל  הַ לָּיְלָה הַ בֹּקֶר הָיָה וְ רוּחַ הַ קָּדִים נָשָׂא אֶת  הָ אַרְבֶּֽה,[0] -> [16] -> [28] -> [29]
וַ יֵּט מֹשֶׁה אֶת  יָדֹ ו עַל  הַ יָּם וַ יֹּולֶךְ יְהוָה  אֶת  הַ יָּם בְּ רוּחַ קָדִים עַזָּה כָּל  הַ לַּיְלָה וַ יָּשֶׂם אֶת  הַ יָּם לֶ ה חָרָבָה וַ יִּבָּקְעוּ הַ מָּֽיִם,וַ מֹשֶׁה יֵּט אֶת  יָדֹ ו עַל  הַ יָּם וַ יֹּולֶךְ יְהוָה  אֶת  הַ יָּם בְּ רוּחַ קָדִים עַזָּה כָּל  הַ לַּיְלָה וַ יָּשֶׂם אֶת  הַ יָּם לֶ ה חָרָבָה וַ יִּבָּקְעוּ הַ מָּֽיִם,[0] -> [16] -> [28] -> [29]
וַ יֹּאמֶר אֵלָי ו יְהוָה לֶךְ  רֵד וְ עָלִיתָ אַתָּה וְ אַהֲרֹן עִמָּ ךְ וְ הַ כֹּהֲנִים וְ הָ עָם אַל  יֶֽהֶרְסוּ לַ עֲלֹת אֶל  יְהוָה פֶּן  יִפְרָץ  בָּֽ ם,וַ יְהוָה יֹּאמֶר אֵלָי ו לֶךְ  רֵד וְ עָלִיתָ אַתָּה וְ אַהֲרֹן עִמָּ ךְ וְ הַ כֹּהֲנִים וְ הָ עָם אַל  יֶֽהֶרְסוּ לַ עֲלֹת אֶל  יְהוָה פֶּן  יִפְרָץ  בָּֽ ם,[0] -> [16] -> [28] -> [29]
וַ יֹּאמֶר פַּרְעֹה אֶֽל  יַעֲקֹב כַּ מָּה יְמֵי שְׁנֵי חַיֶּֽי ךָ,וַ פַּרְעֹה יֹּאמֶר אֶֽל  יַעֲקֹב כַּ מָּה יְמֵי שְׁנֵי חַיֶּֽי ךָ,[0] -> [16] -> [28] -> [29]
וַ יִּשְׁמַע אֱלֹהִים אֶת  קֹול הַ נַּעַר וַ יִּקְרָא מַלְאַךְ אֱלֹהִים  אֶל  הָגָר מִן  הַ שָּׁמַיִם וַ יֹּאמֶר לָ הּ מַה  לָּ ךְ הָגָר אַל  תִּירְאִי כִּֽי  שָׁמַע אֱלֹהִים אֶל  קֹול הַ נַּעַר בַּ אֲשֶׁר הוּא  שָֽׁם,וַ אֱלֹהִים יִּשְׁמַע אֶת  קֹול הַ נַּעַר וַ יִּקְרָא מַלְאַךְ אֱלֹהִים  אֶל  הָגָר מִן  הַ שָּׁמַיִם וַ יֹּאמֶר לָ הּ מַה  לָּ ךְ הָגָר אַל  תִּירְאִי כִּֽי  שָׁמַע אֱלֹהִים אֶל  קֹול הַ נַּעַר בַּ אֲשֶׁר הוּא  שָֽׁם,[0] -> [16] -> [28] -> [29]
וַ יָּבֹאוּ שֹֽׁטְרֵי בְּנֵי יִשְׂרָאֵל וַ יִּצְעֲקוּ אֶל  פַּרְעֹה לֵ אמֹר לָמָּה תַעֲשֶׂה כֹה לַ עֲבָדֶֽי ךָ,וַ שֹֽׁטְרֵי בְּנֵי יִשְׂרָאֵל יָּבֹאוּ וַ יִּצְעֲקוּ אֶל  פַּרְעֹה לֵ אמֹר לָמָּה תַעֲשֶׂה כֹה לַ עֲבָדֶֽי ךָ,[0] -> [16] -> [28] -> [29]
וַ יַּעַשׂ יְהוָה אֶת  הַ דָּבָר הַ זֶּה מִֽ מָּחֳרָת וַ יָּמָת כֹּל מִקְנֵה מִצְרָיִם וּ מִ מִּקְנֵה בְנֵֽי  יִשְׂרָאֵל לֹא  מֵת אֶחָֽד,וַ יְהוָה יַּעַשׂ אֶת  הַ דָּבָר הַ זֶּה מִֽ מָּחֳרָת וַ יָּמָת כֹּל מִקְנֵה מִצְרָיִם וּ מִ מִּקְנֵה בְנֵֽי  יִשְׂרָאֵל לֹא  מֵת אֶחָֽד,[0] -> [16] -> [28] -> [29]
וַ יְסַפֵּר מֹשֶׁה לְ חֹתְנֹ ו אֵת כָּל  אֲשֶׁר עָשָׂה יְהוָה לְ פַרְעֹה וּ לְ מִצְרַיִם עַל אֹודֹת יִשְׂרָאֵל אֵת כָּל  הַ תְּלָאָה אֲשֶׁר מְצָאָתַ ם בַּ ה דֶּרֶךְ וַ יַּצִּלֵ ם יְהוָֽה,וַ מֹשֶׁה יְסַפֵּר לְ חֹתְנֹ ו אֵת כָּל  אֲשֶׁר עָשָׂה יְהוָה לְ פַרְעֹה וּ לְ מִצְרַיִם עַל אֹודֹת יִשְׂרָאֵל אֵת כָּל  הַ תְּלָאָה אֲשֶׁר מְצָאָתַ ם בַּ ה דֶּרֶךְ וַ יַּצִּלֵ ם יְהוָֽה,[0] -> [16] -> [28] -> [29]
וַ יִּירָא יַעֲקֹב מְאֹד וַ יֵּצֶר לֹ ו וַ יַּחַץ אֶת  הָ עָם אֲשֶׁר  אִתֹּ ו וְ אֶת  הַ צֹּאן וְ אֶת  הַ בָּקָר וְ הַ גְּמַלִּים לִ שְׁנֵי מַחֲנֹֽות,וַ יַעֲקֹב יִּירָא מְאֹד וַ יֵּצֶר לֹ ו וַ יַּחַץ אֶת  הָ עָם אֲשֶׁר  אִתֹּ ו וְ אֶת  הַ צֹּאן וְ אֶת  הַ בָּקָר וְ הַ גְּמַלִּים לִ שְׁנֵי מַחֲנֹֽות,[0] -> [16] -> [28] -> [29]
וַ יְדַבֵּר יְהוָה אֶל  מֹשֶׁה לֵּ אמֹֽר,וַ יְהוָה יְדַבֵּר אֶל  מֹשֶׁה לֵּ אמֹֽר,[0] -> [16] -> [28] -> [29]
