sen_str,swapped_sen_str,leaf_rule
"Inhinhiã iputurĩ mitekatinhi , inhinhiã ywa nerekary iia ãkiti kene inhinhiãwa ywa .","Inhinhiã iputurĩ mitekatinhi , inhinhiã ywa nerekary kene inhinhiãwa iia ãkiti ywa .",[0] -> [1] -> [3]
"Ywa vĩtxita maky , ywa amutary ykynypuku tiitxi .","Ywa vĩtxita maky , amutary ywa ykynypuku tiitxi .",[0] -> [1] -> [3]
Ywa sykary maky atuku ãa tsupa apakapa ywa amutary tiitxi .,Ywa sykary maky atuku ãa tsupa apakapa amutary ywa tiitxi .,[0] -> [1] -> [3]
"Ywa apaka awa muture , ywa apaka awa tsapyryky kamakyty , ywa pekana awa mapurupuwapekana .","Ywa apaka awa muture , ywa apaka awa tsapyryky kamakyty , pekana awa ywa mapurupuwapekana .",[0] -> [1] -> [3]
"Nynuwa makinhi iãtã awary ũtanyry keku , uwa apaka awary ukeku iãtã , apaka ũimiakury apaka awary ykeku .","Nynuwa makinhi iãtã awary ũtanyry keku , apaka awary uwa ukeku iãtã , apaka ũimiakury apaka awary ykeku .",[0] -> [1] -> [3]
Ywasawaky ywa Kirama kamary xamyna .,Ywasawaky kamary ywa Kirama xamyna .,[0] -> [1] -> [3]
Inhinhiã ywa amutary tirikapikuwana aapukumunhi .,Inhinhiã amutary ywa tirikapikuwana aapukumunhi .,[0] -> [1] -> [3]
"Nynuwa awary ximaky , awa nhipukury ithupa awakary , nynuwa awary iumyary apikumunhi amãnteere .","Nynuwa awary ximaky , awa nhipukury ithupa awakary , awary nynuwa iumyary apikumunhi amãnteere .",[0] -> [1] -> [3]
"Ywa apaka awa muture , ywa apaka awa tsapyryky kamakyty , ywa pekana awa mapurupuwapekana .","Ywa apaka awa muture , apaka awa ywa tsapyryky kamakyty , ywa pekana awa mapurupuwapekana .",[0] -> [1] -> [3]
– Nuta pysykanu awiri yky .,– pysykanu Nuta awiri yky .,[0] -> [1] -> [3]
– Nuta kamary kaiãũpuku ãputa .,– kamary Nuta kaiãũpuku ãputa .,[0] -> [1] -> [3]
– Pitha awa awiri yky ?,– awa Pitha awiri yky ?,[0] -> [1] -> [3]
Kutxi ywa takatary paxupata aiku ãky .,Kutxi takatary ywa paxupata aiku ãky .,[0] -> [1] -> [3]
"Ywa kuna awary ytsupa , txamary nynuwa kaiãapuku nhipukury .","Ywa kuna awary ytsupa , txamary kaiãapuku nynuwa nhipukury .",[0] -> [1] -> [3]
"Ikanapiriãsaaky ywa amutary ysãkirawatinhi , iũkatsupatinhi .","Ikanapiriãsaaky amutary ywa ysãkirawatinhi , iũkatsupatinhi .",[0] -> [1] -> [3]
"Txamary nynuwa kuna kadinhẽrutene , txamary nynuwa kaiãapukury nhipukury awa .","Txamary nynuwa kuna kadinhẽrutene , txamary kaiãapukury nhipukury awa nynuwa .",[0] -> [1] -> [3]
– Nuta awapytyka awiri yky .,– awapytyka Nuta awiri yky .,[0] -> [1] -> [3]
"Ĩkanapyryãkasaaky aapukumunhi , ywa awary inhakytu selula ; inhakytu kũputado awa , i apikumunhi tiitxi amutakita awa ywamunhi .","Ĩkanapyryãkasaaky aapukumunhi , awary ywa inhakytu selula ; inhakytu kũputado awa , i apikumunhi tiitxi amutakita awa ywamunhi .",[0] -> [1] -> [3]
