sen_str,swapped_sen_str,leaf_rule
"- 2019 թվականի յուրաքանչյուր եռամսյակի շրջանառությունը չի գերազանցել տվյալ տարվա շրջանառության գումարի 70 տոկոսը ,","- չի գերազանցել 2019 թվականի յուրաքանչյուր եռամսյակի շրջանառությունը տվյալ տարվա շրջանառության գումարի 70 տոկոսը ,",[0] -> [6] -> [14]
"Վարչապետի հանձնարարականով համագործակցելով ՀՀ գյուղատնտեսության , էներգետիկ ենթակառուցվածքների և բնական պաշարների նախարարությունների հետ , էներգետիկ ենթակառուցվածքների և բնական պաշարների նախարարությունը պետք է հստակեցնի գետերի ցանկը , որտեղ բնապահպանական , գյուղատնտեսական և այլ առանձնահատկություններից ելնելով արգելվում է ՀԷԿ-երի կառուցումը :","Վարչապետի հանձնարարականով համագործակցելով ՀՀ գյուղատնտեսության , էներգետիկ ենթակառուցվածքների և բնական պաշարների նախարարությունների հետ , պետք է հստակեցնի էներգետիկ ենթակառուցվածքների և բնական պաշարների նախարարությունը գետերի ցանկը , որտեղ բնապահպանական , գյուղատնտեսական և այլ առանձնահատկություններից ելնելով արգելվում է ՀԷԿ-երի կառուցումը :",[0] -> [6] -> [14]
"Դատելով Արմեն Աշոտյանի հայտարարություններից ՝ իրենք խաղադրույք են անում Կարապետյանի վրա ՝ պայմանով , որ Սերժ Սարգսյանը կպահպանի իր դերը :","Դատելով Արմեն Աշոտյանի հայտարարություններից ՝ իրենք խաղադրույք են անում Կարապետյանի վրա ՝ պայմանով , որ կպահպանի Սերժ Սարգսյանը իր դերը :",[0] -> [6] -> [14]
"Այդ պահին էլ մեր հայացքը վերջապես սև քարից տունն էլ առավ իր մեջ , և մեր աչքին ներկայացած կերպարանափոխությունը ապշեցրեց մեզ ։","Այդ պահին էլ մեր հայացքը վերջապես սև քարից տունն էլ առավ իր մեջ , և ապշեցրեց մեր աչքին ներկայացած կերպարանափոխությունը մեզ ։",[0] -> [6] -> [14]
"Տղան հա փորձում էր պոկվել , բայց մերունի ոտքերի արանքից ձյութե շիվերը սեղմում էին գլուխը դեպի ներս . սևասև հայացքն իջավ Ռուբենի վրա , ով խորտակվում էր փքվող ճահճուտի ներծուծքի մեջ ։","Տղան հա փորձում էր պոկվել , բայց մերունի ոտքերի արանքից սեղմում ձյութե շիվերը էին գլուխը դեպի ներս . սևասև հայացքն իջավ Ռուբենի վրա , ով խորտակվում էր փքվող ճահճուտի ներծուծքի մեջ ։",[0] -> [6] -> [14]
"Ինչևէ , երբ վերջապես սև տունը բացեց դռները , իր մեջ առավ Մարտինին ու նրա ուղեկցուհուն , մենք մտածեցինք ՝ վերջ , այս անգամ արդեն միջին ճանապարհ չկա . փոշեթավալ մարգարիտը կամ կշողշողա ամբողջ փայլով , կամ կանհետանա մեկընդմիշտ ։","Ինչևէ , երբ վերջապես բացեց սև տունը դռները , իր մեջ առավ Մարտինին ու նրա ուղեկցուհուն , մենք մտածեցինք ՝ վերջ , այս անգամ արդեն միջին ճանապարհ չկա . փոշեթավալ մարգարիտը կամ կշողշողա ամբողջ փայլով , կամ կանհետանա մեկընդմիշտ ։",[0] -> [6] -> [14]
"Եթե ԵԼՔ-ին դնենք մի կողմ , ապա արտախորհրդարանական ճամբարում , բացառությամբ ՀԱԿ-ի , մյուս խմբերն ու գործիչները , որոնց կարելի է անվանել հետծռական ալիքի գործիչներ , ունեն համախմբման մեկ կարևոր առանցք ՝ մարգինալությունը :","Եթե ԵԼՔ-ին դնենք մի կողմ , ապա արտախորհրդարանական ճամբարում , ունեն , բացառությամբ ՀԱԿ-ի , մյուս խմբերն ու գործիչները , որոնց կարելի է անվանել հետծռական ալիքի գործիչներ համախմբման մեկ կարևոր առանցք ՝ մարգինալությունը :",[0] -> [6] -> [14]
"« Պետք է իրատես լինել և հասկանալ , որ միջազգային հանրությունը երկար չի հանդուրժելու Լեռնային Ղարաբաղի շուրջ ստեղծված իրադրությունը , քանի որ այն սպառնում է տարածաշրջանային համագործակցությանն ու անվտանգությանը » ։","« Պետք է իրատես լինել և հասկանալ , որ երկար չի հանդուրժելու միջազգային հանրությունը Լեռնային Ղարաբաղի շուրջ ստեղծված իրադրությունը , քանի որ այն սպառնում է տարածաշրջանային համագործակցությանն ու անվտանգությանը » ։",[0] -> [6] -> [14]
"Ու թեև շատ արվեստաբաններ համաձայն չէին դրան և նշում էին , թե հեղինակի վերաբերյալ ուղղակի ապացույցներ չկան , մյուսները պնդում էին , թե աստվածուհու դիմագծերը շատ նման են իտալացի վարպետի կտավների հերոսուհիներին ։","Ու թեև համաձայն շատ արվեստաբաններ չէին դրան և նշում էին , թե հեղինակի վերաբերյալ ուղղակի ապացույցներ չկան , մյուսները պնդում էին , թե աստվածուհու դիմագծերը շատ նման են իտալացի վարպետի կտավների հերոսուհիներին ։",[0] -> [6] -> [14]
"Ճիշտ է , Հայաստանում , հետխորհրդային տարածքում կրթական համակարգը չի տալիս այն գիտելիքը , գործիքակազմը , որով ուսանողը կարողանա ազատվել դասական մշակույթի կռապաշտությունից և ինքնուրույն հարաբերվել ժամանակակցին ։","Ճիշտ է , Հայաստանում , հետխորհրդային տարածքում չի տալիս կրթական համակարգը այն գիտելիքը , գործիքակազմը , որով ուսանողը կարողանա ազատվել դասական մշակույթի կռապաշտությունից և ինքնուրույն հարաբերվել ժամանակակցին ։",[0] -> [6] -> [14]
"« Արմենպրես » - ի հետ զրույցում տնտեսագետ - պատգամավորը ներկայացրեց տարբերակ , որով եկամտահարկի համահարթեցմանը զուգահեռ կարող է լուծվել սոցիալական անհավասարության խնդիրը :","« Արմենպրես » - ի հետ զրույցում ներկայացրեց տնտեսագետ - պատգամավորը տարբերակ , որով եկամտահարկի համահարթեցմանը զուգահեռ կարող է լուծվել սոցիալական անհավասարության խնդիրը :",[0] -> [6] -> [14]
"Սակայն , մեծ մասը օգտագործում են դրանք մոտավորապես նույն կերպ , ինչպես Թվիթերը ։","Սակայն , օգտագործում մեծ մասը են դրանք մոտավորապես նույն կերպ , ինչպես Թվիթերը ։",[0] -> [6] -> [14]
Դա ինձ հիշեցրեց նացիստի մասին անեկդոտը . մի օր համակենտրոնացման ճամբարի ղեկավարը հավաքում է բոլոր ողջ մնացած բանտարկյալներին և ասում .,Դա ինձ հիշեցրեց նացիստի մասին անեկդոտը . մի օր հավաքում համակենտրոնացման ճամբարի ղեկավարը է բոլոր ողջ մնացած բանտարկյալներին և ասում .,[0] -> [6] -> [14]
"Անցած - գնացած օրերի արթնացած կարոտը սեղմում էր կոկորդը , շտապում էր ժամ առաջ հասնել Կիբոսսա ամրոցը , և միայն բնատուր զգուշությունն էր զսպում անհամբերությունը :","Անցած - գնացած օրերի արթնացած կարոտը սեղմում էր կոկորդը , շտապում էր ժամ առաջ հասնել Կիբոսսա ամրոցը , և էր զսպում միայն բնատուր զգուշությունն անհամբերությունը :",[0] -> [6] -> [14]
"Այս առումով , դիմողի բերած այն փաստարկները , որոնք առնչվում են ՀՀ Նախագահի թեկնածուի գրանցմանը նախորդող գործընթացներին , անմիջականորեն չեն վերաբերում սույն գործով սահմանադրական դատարանին ներկայացված խնդրանքին :","Այս առումով , , անմիջականորեն չեն վերաբերում դիմողի բերած այն փաստարկները , որոնք առնչվում են ՀՀ Նախագահի թեկնածուի գրանցմանը նախորդող գործընթացներին սույն գործով սահմանադրական դատարանին ներկայացված խնդրանքին :",[0] -> [6] -> [14]
"Ես ատում եմ երիտասարդությունը միայն այն բանի համար , որ մի օր նա տրվելու է մտքին , կորցնելու է զգացմունքները և հոգու այդքան ցավոտ ու հաճելի մելամաղձությունը , չնայած , եթե ակնթարթը հավերժություն է , ուրեմն մենք ՓՈՐՁԵԼՈւ ենք ՓՈՐՁԵԼ առանց պատասխանատվության , առանց հեռուն տեսնելու ` զգայուն , ինչպես ծառը և ազատ ինչպես թռչունը :","Ես ատում եմ երիտասարդությունը միայն այն բանի համար , որ տրվելու մի օր նա է մտքին , կորցնելու է զգացմունքները և հոգու այդքան ցավոտ ու հաճելի մելամաղձությունը , չնայած , եթե ակնթարթը հավերժություն է , ուրեմն մենք ՓՈՐՁԵԼՈւ ենք ՓՈՐՁԵԼ առանց պատասխանատվության , առանց հեռուն տեսնելու ` զգայուն , ինչպես ծառը և ազատ ինչպես թռչունը :",[0] -> [6] -> [14]
"Իսկ այդ հասուն , որոշակի սկզբունքների և այսօրվա իրականության տեր քաղաքացին ինչպես և ինչի համար է նախապատրաստում իր հովանու տակ մեծացող վաղվա հասարակության գործուն անդամին , վաղվա իրականության տեր քաղաքացուն , որը տվյալ դեպքում իր որդին է կամ իր աղջիկը ։","Իսկ ինչպես և ինչի համար է նախապատրաստում այդ հասուն , որոշակի սկզբունքների և այսօրվա իրականության տեր քաղաքացին իր հովանու տակ մեծացող վաղվա հասարակության գործուն անդամին , վաղվա իրականության տեր քաղաքացուն , որը տվյալ դեպքում իր որդին է կամ իր աղջիկը ։",[0] -> [6] -> [14]
"1 . Դիմող կողմը գտնում է , որ « 2008 թ . ՀՀ Նախագահի ընտրություններում ՀՀ Նախագահի թեկնածու Լևոն Տեր - Պետրոսյանից անկախ պատճառներով , արդեն իսկ , առաջացած խոչընդոտներն անհնարին են դարձնում նրա հետագա մասնակցությունը ՀՀ ընտրական օրենսդրությամբ սահմանված ընտրական գործընթացներին » :","1 . Դիմող կողմը գտնում է , որ « անհնարին են դարձնում 2008 թ . ՀՀ Նախագահի ընտրություններում ՀՀ Նախագահի թեկնածու Լևոն Տեր - Պետրոսյանից անկախ պատճառներով , արդեն իսկ , առաջացած խոչընդոտներն նրա հետագա մասնակցությունը ՀՀ ընտրական օրենսդրությամբ սահմանված ընտրական գործընթացներին » :",[0] -> [6] -> [14]
"Գնում էին նրանք իրիկնադեմի երկարած ստվերների միջով , և մեր փողոցի փոշին , գումարվելով այն ճանապարհների փոշուն , որոնք նրանք ոտքով չանցնելով հանդերձ ոտքով էին անցել ու այն ճանապարհների փոշուն , որոնք ուրիշներն էին անցել տասնամյակներ ու հազարամյակներ առաջ , բայց որը նրանց վրա էր իջնում , կնոջ մարմնից ջնջում էին Մարտինի համբույրներն ու շոյանքները , Մարտինի շուրթերից ու ափերից ՝ կնոջ համն ու կրծքերի ուռուցիկությունը , կամ էլ , ընդհակառակը , բոլոր տարիների ու ժամանակների փոշիները , գումարվելով մեր փողոցի փոշուն , զմռսում էին նրանց սիրո հետքերը , որպես այրող հիշողություն , որպես կսկծացող վերք թաքցնում , պահում նրանց վրա ընկած բեռան տակ ։","Գնում էին նրանք իրիկնադեմի երկարած ստվերների միջով , և մեր փողոցի փոշին , գումարվելով այն ճանապարհների փոշուն , որոնք նրանք ոտքով չանցնելով հանդերձ ոտքով էին անցել ու այն ճանապարհների փոշուն , որոնք ուրիշներն էին անցել տասնամյակներ ու հազարամյակներ առաջ , բայց որը նրանց վրա էր իջնում , կնոջ մարմնից ջնջում էին Մարտինի համբույրներն ու շոյանքները , Մարտինի շուրթերից ու ափերից ՝ կնոջ համն ու կրծքերի ուռուցիկությունը , կամ էլ , ընդհակառակը , , գումարվելով մեր փողոցի փոշուն , զմռսում բոլոր տարիների ու ժամանակների փոշիները էին նրանց սիրո հետքերը , որպես այրող հիշողություն , որպես կսկծացող վերք թաքցնում , պահում նրանց վրա ընկած բեռան տակ ։",[0] -> [6] -> [14]
"Այդ պատճառով Մուրակամին , Կոելյոն , Բեգբեդերը և մյուսները զբաղեցնում են նույնիսկ այլ հարցերում առաջադեմ երիտասարդության միտքն ու հոգին ։","Այդ պատճառով զբաղեցնում Մուրակամին , Կոելյոն , Բեգբեդերը և մյուսները են նույնիսկ այլ հարցերում առաջադեմ երիտասարդության միտքն ու հոգին ։",[0] -> [6] -> [14]
"Եվ կպարզվի նաև , որ նրանցից ոչ մեկը երբեք և ոչ մեկի հաշվետու չի եղել , թե ինչու է իր տանը պորտաբույծ աճում , ինչու ՞ է իր որդին կամ աղջիկը հանրային կյանքից դուրս , ինչու ՞ է իր զավակը պղտորում հասարակական կյանքի մթնոլորտը ։","Եվ կպարզվի նաև , որ նրանցից ոչ մեկը երբեք և ոչ մեկի հաշվետու չի եղել , թե ինչու է իր տանը պորտաբույծ աճում , ինչու ՞ է իր որդին կամ աղջիկը հանրային կյանքից դուրս , ինչու ՞ է պղտորում իր զավակը հասարակական կյանքի մթնոլորտը ։",[0] -> [6] -> [14]
"Ասենք , պրեմիերա է կամ մրցույթ , միևնույն է այդ լուրը ստանում է հատուկ կարգավիճակ ՝ դառնալով պատերազմի մի մաս ։","Ասենք , պրեմիերա է կամ մրցույթ , միևնույն է ստանում այդ լուրը է հատուկ կարգավիճակ ՝ դառնալով պատերազմի մի մաս ։",[0] -> [6] -> [14]
"« Գերիների վերադարձը կապահովի որոշակի դրական ֆոն , որի վրա հնարավոր կլինի ավելի արդյունավետ հնարավորություններ ստեղծել սահմանազատման և սահմանագծման , ինչպես նաև տարածաշրջանային կոմունիկացիաների և Ղարաբաղյան հակամարտության քաղաքական և համապարփակ կարգավորման շուրջ բանակցությունների համար » , - ասել է Փաշինյանը ։","« կապահովի Գերիների վերադարձը որոշակի դրական ֆոն , որի վրա հնարավոր կլինի ավելի արդյունավետ հնարավորություններ ստեղծել սահմանազատման և սահմանագծման , ինչպես նաև տարածաշրջանային կոմունիկացիաների և Ղարաբաղյան հակամարտության քաղաքական և համապարփակ կարգավորման շուրջ բանակցությունների համար » , - ասել է Փաշինյանը ։",[0] -> [6] -> [14]
"Նախօրեին , ըստ ուկրաինական զլմ - ների , Դոնբասում ուկրաինացի զինվորականներն առաջին անգամ ռուսական հրետանային կետի դեմ կիրառել են « Բայրաղթար » հետախուզական և հարվածային անօդաչու համակարգը ։","Նախօրեին , ըստ ուկրաինական զլմ - ների , Դոնբասում առաջին անգամ ռուսական հրետանային կետի դեմ կիրառել ուկրաինացի զինվորականներն են « Բայրաղթար » հետախուզական և հարվածային անօդաչու համակարգը ։",[0] -> [6] -> [14]
"Դատաքննության մեկնարկին Նիկոլ Փաշինյանի ներկայացուցիչ Դավիթ Հունանյանը դեմ արտահայտվեց նիստի աշխատանքների տեսանկարահանմանը մամուլի ներկայացուցիչների կողմից , որից հետո դատարանի որոշմամբ տեսախցիկները հանվեցին դահլիճից ։","Դատաքննության մեկնարկին դեմ արտահայտվեց Նիկոլ Փաշինյանի ներկայացուցիչ Դավիթ Հունանյանը նիստի աշխատանքների տեսանկարահանմանը մամուլի ներկայացուցիչների կողմից , որից հետո դատարանի որոշմամբ տեսախցիկները հանվեցին դահլիճից ։",[0] -> [6] -> [14]
"Այստեղ ոչինչ չէր փոխվել . ծովն առաջվա նման խաղաղ ծփում էր , ճայերը ետ ու առաջ էին թևածում , բարձրացող արևը տաքացնում էր գիշերվա ընթացքում սառած ավազը , բայց այնուհանդերձ ծովափն արդեն ոչ միայն չէր հրապուրում նրան , այլև վանում ու խրտնեցնում էր ։","Այստեղ ոչինչ չէր փոխվել . ծովն առաջվա նման խաղաղ ծփում էր , ճայերը ետ ու առաջ էին թևածում , տաքացնում բարձրացող արևը էր գիշերվա ընթացքում սառած ավազը , բայց այնուհանդերձ ծովափն արդեն ոչ միայն չէր հրապուրում նրան , այլև վանում ու խրտնեցնում էր ։",[0] -> [6] -> [14]
"Ավելացնենք միայն , որ ռազմական գործողությունների ընթացքում ՌԴ - ն զլմներով ձևական աղմուկ բարձրացնելուց հետո հայտարարեց , որ ահաբեկիչներն այլևս վտանգ չեն ներկայացնում , իսկ նոյեմբերի 9 - ի հայտարարությունից հետո Լավրովը Իրանին հավաստիացնում էր , որ Հայաստանի հարավում « կոմունիկացիաների ապաշրջափակումը » չի հարվածի Իրանի տրանզիտային ու տնտեսական շահերին ։","Ավելացնենք միայն , որ ռազմական գործողությունների ընթացքում ՌԴ - ն զլմներով ձևական աղմուկ բարձրացնելուց հետո հայտարարեց , որ ահաբեկիչներն այլևս վտանգ չեն ներկայացնում , իսկ նոյեմբերի 9 - ի հայտարարությունից հետո Լավրովը Իրանին հավաստիացնում էր , որ Հայաստանի հարավում չի հարվածի « կոմունիկացիաների ապաշրջափակումը » Իրանի տրանզիտային ու տնտեսական շահերին ։",[0] -> [6] -> [14]
"Խոսում էր ինտեգրացիայից , թե ինչպես արևմտյան մշակույթները լրիվ արհամարհում են արաբական մշակույթը , ու Եվրոպայում ծնված արաբ երեխաները մեծանում են անլիարժեքության բարդույթով , որովհետև իրենց ծնողների մշակույթով հնարավոր չէ հպարտանալ ։","Խոսում էր ինտեգրացիայից , թե ինչպես լրիվ արհամարհում արևմտյան մշակույթները են արաբական մշակույթը , ու Եվրոպայում ծնված արաբ երեխաները մեծանում են անլիարժեքության բարդույթով , որովհետև իրենց ծնողների մշակույթով հնարավոր չէ հպարտանալ ։",[0] -> [6] -> [14]
"Կարելի է ենթադրել , որ ադրբեջանական բազմաթիվ բողոքներն ու լոբբինգն է հանգեցրել նման հետևանքների ։","Կարելի է ենթադրել , որ է հանգեցրել ադրբեջանական բազմաթիվ բողոքներն ու լոբբինգն նման հետևանքների ։",[0] -> [6] -> [14]
Եվ դրան հասնելու համար սոցցանցային մարդիկ ու հասարակությանն անընդհատ տագնապների ներարկումներ անող լրատվամիջոցների ներկայացուցիչները գործադրեցին մեծ երևակայություն ու ուժ ։,Եվ դրան հասնելու համար գործադրեցին սոցցանցային մարդիկ ու հասարակությանն անընդհատ տագնապների ներարկումներ անող լրատվամիջոցների ներկայացուցիչները մեծ երևակայություն ու ուժ ։,[0] -> [6] -> [14]
"Մի կողմ թողնենք նաև եղած հնարավորությունների ճիշտ օգտագործումը , ասենք թեկուզ , թե ինչու Երևանի բազմաթիվ արհեստագործական ուսումնարանները , չգիտես ինչու , իրենց սաներին որոնում են Երևան քաղաքից դուրս , թողած փողոցներում և սրճարաններում թափառող , տաղտուկ ու մութ կյանքով ապրող երևանցի պատանիներին ու աղջիկներին , արհեստագործական ուսումնարանները հայտարարություններով , մամուլում , ռադիոյով և հեռուստատեսությամբ վրա - վրա կրկնվող հայտարարություններով և ինչ - ինչ խոստումներ տալով արհեստներ սովորելու են հրավիրում հանրապետության այլ քաղաքների և գյուղերի հազարավոր պատանիների ու աղջիկների ։","Մի կողմ թողնենք նաև եղած հնարավորությունների ճիշտ օգտագործումը , ասենք թեկուզ , թե ինչու Երևանի բազմաթիվ արհեստագործական ուսումնարանները , չգիտես ինչու , իրենց սաներին որոնում են Երևան քաղաքից դուրս , թողած փողոցներում և սրճարաններում թափառող , տաղտուկ ու մութ կյանքով ապրող երևանցի պատանիներին ու աղջիկներին , հայտարարություններով , մամուլում , ռադիոյով և հեռուստատեսությամբ վրա - վրա կրկնվող հայտարարություններով և ինչ - ինչ խոստումներ տալով արհեստներ սովորելու են հրավիրում արհեստագործական ուսումնարանները հանրապետության այլ քաղաքների և գյուղերի հազարավոր պատանիների ու աղջիկների ։",[0] -> [6] -> [14]
"Սկզբում սպասում են լռությամբ ( փոթորիկից առաջ միշտ էլ լռություն է ) , հետո , երբ փոթորիկը շրջանցում է տեղանքը , հաղթանակն իր հիշողության մեջ սղագրում է ևս մեկ պատմական պարտություն :","Սկզբում սպասում են լռությամբ ( փոթորիկից առաջ միշտ էլ լռություն է ) , հետո , շրջանցում երբ փոթորիկը է տեղանքը , հաղթանակն իր հիշողության մեջ սղագրում է ևս մեկ պատմական պարտություն :",[0] -> [6] -> [14]
"Հայաստանում 2018-ին տնտեսական ակտիվության ցուցանիշը կազմել է 5,8 % , սպառողական գների ինդեքսը ՝ 2,5 % . Հայաստանի Հանրապետության վիճակագրական կոմիտեն հրապարակել է ՀՀ սոցիալ - տնտեսական վիճակը բնութագրող ընթացիկ - օպերատիվ ամփոփմամբ ստացված նախնական հիմնական մակրոտնտեսական ցուցանիշները ։","Հայաստանում 2018-ին տնտեսական ակտիվության ցուցանիշը կազմել է 5,8 % , սպառողական գների ինդեքսը ՝ 2,5 % . հրապարակել Հայաստանի Հանրապետության վիճակագրական կոմիտեն է ՀՀ սոցիալ - տնտեսական վիճակը բնութագրող ընթացիկ - օպերատիվ ամփոփմամբ ստացված նախնական հիմնական մակրոտնտեսական ցուցանիշները ։",[0] -> [6] -> [14]
"— Ռադիկալ տրամադրությունների ակտիվացումը դնում է նոր սահմանագիծ , որից այն կողմ որոշ ուժեր կանցնեն , որոշները չեն անցնի :","— դնում Ռադիկալ տրամադրությունների ակտիվացումը է նոր սահմանագիծ , որից այն կողմ որոշ ուժեր կանցնեն , որոշները չեն անցնի :",[0] -> [6] -> [14]
"Այգում աճող նորատունկ ծառը անիծվելուց չի չորանում , արևի շողերը չեն գոլորշիացնում ծովը . պիտի կտրել ծառը , ցամաքեցնել ծովը լցվող բոլոր գետերը :","Այգում աճող նորատունկ ծառը անիծվելուց չի չորանում , չեն գոլորշիացնում արևի շողերը ծովը . պիտի կտրել ծառը , ցամաքեցնել ծովը լցվող բոլոր գետերը :",[0] -> [6] -> [14]
Մի կողմից ՝ 2021 - ի երկրորդ կեսին հայաստանյան լրատվական կայքերի մեծամասնությունն արձանագրել է այցելությունների անկում ։,Մի կողմից ՝ 2021 - ի երկրորդ կեսին արձանագրել հայաստանյան լրատվական կայքերի մեծամասնությունն է այցելությունների անկում ։,[0] -> [6] -> [14]
"Հետո , կրկին մեր ոտքերի տակ դողաց հողը , մենք անծայրածիր , դեղին տափաստանի մեջ իրարից հեռու , ցրված ու ձայնի տաք ելևէջով իրար որոնելով ու իրար տեղ չիմանալով , բարակ փոշին մետաղե թրթուրների տակ ծեծելով ՝ գնացինք առաջ , մտանք Արաքսի հովիտ ՝ մեր երազների ափը , ու մեր տանկերը եռացնում էին ջուրը :","Հետո , կրկին մեր ոտքերի տակ դողաց հողը , մենք անծայրածիր , դեղին տափաստանի մեջ իրարից հեռու , ցրված ու ձայնի տաք ելևէջով իրար որոնելով ու իրար տեղ չիմանալով , բարակ փոշին մետաղե թրթուրների տակ ծեծելով ՝ գնացինք առաջ , մտանք Արաքսի հովիտ ՝ մեր երազների ափը , ու եռացնում մեր տանկերը էին ջուրը :",[0] -> [6] -> [14]
"Բարբարոսները խուճապի մատնվեցին , կախարդական կրակն ապշեցրել էր նրանց :","Բարբարոսները խուճապի մատնվեցին , ապշեցրել կախարդական կրակն էր նրանց :",[0] -> [6] -> [14]
Իսկ նրա հետևում կանգնած պետությունը լավ օգտագործում է մեր մեդիա ռեսուրսը սեփական նպատակների համար ։,Իսկ լավ օգտագործում նրա հետևում կանգնած պետությունը է մեր մեդիա ռեսուրսը սեփական նպատակների համար ։,[0] -> [6] -> [14]
"Նշված ներկայացման մեջ տարբեր կարողություններ ունեցող և տարբեր տարիքի պարողներ բեմում միասին ցուցադրեցին երկու մասից բաղկացած ներկայացում . առաջինը արդի հասարակության մեջ սոցիալական ներառման խնդրի շուրջ էր , երկրորդը ՝ « Ալիսան հրաշքների աշխարհում » հրաշալի հեքիաթի ադապտացիան :","Նշված ներկայացման մեջ բեմում միասին ցուցադրեցին տարբեր կարողություններ ունեցող և տարբեր տարիքի պարողներ երկու մասից բաղկացած ներկայացում . առաջինը արդի հասարակության մեջ սոցիալական ներառման խնդրի շուրջ էր , երկրորդը ՝ « Ալիսան հրաշքների աշխարհում » հրաշալի հեքիաթի ադապտացիան :",[0] -> [6] -> [14]
Հակառակորդի նախահարձակ ակտիվությունը ճնշելու համար ՊԲ առաջապահ զորամասերն իրականացնում են պատասխան գործողություններ :,Հակառակորդի նախահարձակ ակտիվությունը ճնշելու համար իրականացնում ՊԲ առաջապահ զորամասերն են պատասխան գործողություններ :,[0] -> [6] -> [14]
"Բայց միևնույն է Հայաստանի տարվա բառը կարելի է համարել « անվստահություն » - ը , որի պաշարը հատել է կենսական նվազագույն շեմը ։","Բայց միևնույն է Հայաստանի տարվա բառը կարելի է համարել « անվստահություն » - ը , հատել որի պաշարը է կենսական նվազագույն շեմը ։",[0] -> [6] -> [14]
Երեկոյի ավարտին ծննդյան տոնի հյուրերը վայելեցին տարեդարձի խորհրդանշական թխվածքաբլիթները :,Երեկոյի ավարտին վայելեցին ծննդյան տոնի հյուրերը տարեդարձի խորհրդանշական թխվածքաբլիթները :,[0] -> [6] -> [14]
"« Հայաստանի պետական սիմֆոնիկ նվագախումբը պեղել - գտել է Հարո Ստեփանյանի Դաշնամուրի կոնցերտի նոտաները , խմբագրել , հասցրել այսօրվա ելույթին ։","« պեղել Հայաստանի պետական սիմֆոնիկ նվագախումբը - գտել է Հարո Ստեփանյանի Դաշնամուրի կոնցերտի նոտաները , խմբագրել , հասցրել այսօրվա ելույթին ։",[0] -> [6] -> [14]
"Վաղ առավոտ էր , արթնացած ճայերը սուր ճիչերով ակոսում էին վաղորդյան օդը ։","Վաղ առավոտ էր , սուր ճիչերով ակոսում արթնացած ճայերը էին վաղորդյան օդը ։",[0] -> [6] -> [14]
"Ստացվում է , որ այն երկիրը , որի վրա հարձակվել են , ողջունում է մեկ այլ հարձակվողի ։","Ստացվում է , որ , ողջունում այն երկիրը , որի վրա հարձակվել են է մեկ այլ հարձակվողի ։",[0] -> [6] -> [14]
