sen_str,swapped_sen_str,leaf_rule
"a ye a fò a ye ko a nana fura nyini ko a bè taga a fa furakè ni a ye , ko a bòra fo hadamadenyòrò de la ko , ka na yanninnò fura nin nyinini kama .","a ye a fò a ye ko a nana fura nyini ko a bè taga a fa furakè ni a ye , ko bòra a fo hadamadenyòrò de la ko , ka na yanninnò fura nin nyinini kama .",[0]
"a ko n den , Ala ma sira nògòyara !","a ko n den , ma sira nògòyara Ala !",[0]
"u tagara , Amadu Tara tagara fo a kunna tòw la minkè , u sera sira fila sirafara yòrò nin na dòròn , a jòra ka bò a ka so kan , komi i n' a sòrò a bè nyègènè kè .","u tagara , Amadu Tara tagara fo a kunna tòw la minkè , u sera sira fila sirafara yòrò nin na dòròn , a jòra ka bò a ka so kan , komi i n' a sòrò bè nyègènè kè a .",[0]
a ye a sòrò den saba tun bè subagamuso nin yèrè fè .,a ye a sòrò tun bè den saba subagamuso nin yèrè fè .,[0]
"o tuma a ni a kòròkè seegin bèè ye sira minè ko u bè taga u fa bara , fo u selen kungokolonba kònò , o ye a sòrò kòlòn dò bè yen .","o tuma a ni a kòròkè seegin bèè ye sira minè ko u bè taga u fa bara , fo selen u kungokolonba kònò , o ye a sòrò kòlòn dò bè yen .",[0]
"Hali sisan n' i taara , i b' a sɔrɔ a ku ma tunu fɔlɔ ” .","Hali sisan n' i taara , i b' a sɔrɔ ma tunu a ku fɔlɔ ” .",[0]
"jinèmusonin fana tagara , ko a bè jamanatigi de nyini ko ka a ye , a tagara a fè yen ka a fò a ye ko ale ko ale furula dò de ma u ka jinèdugu yenninnò ko o tògò ye Amadu Tara , ko o tigi tun tagara fura nyini , ko ka na a di a fa de ma , ko a ye fura sòrò , ko a nana ko ale nana o tigi de nyini sisanninnò .","jinèmusonin fana tagara , ko a bè jamanatigi de nyini ko ka a ye , a tagara a fè yen ka a fò a ye ko ale ko ale furula dò de ma u ka jinèdugu yenninnò ko o tògò ye Amadu Tara , ko o tigi tun tagara fura nyini , ko ka na a di a fa de ma , ko a ye fura sòrò , ko nana a ko ale nana o tigi de nyini sisanninnò .",[0]
a ko an ka taga nyògòn fè ka kuma ka kuma ka kuma fo ba nin sònna .,a ko an ka taga nyògòn fè ka kuma ka kuma ka kuma fo sònna ba nin .,[0]
"a ye bugu dò ye yen , a jiginna ka taga , a ye tasuma mènèmènè ye o buguda la , a tagara o fan fè , ko a bè taga o tigi lajè dòròn , a nana a sòrò a ba de don .","a ye bugu dò ye yen , a jiginna ka taga , a ye tasuma mènèmènè ye o buguda la , a tagara o fan fè , ko a bè taga o tigi lajè dòròn , a nana a sòrò don a ba de .",[0]
"a tagara jamanatigi nin ka so , a tagara denmuso nyini .","a tagara jamanatigi nin ka so , tagara a denmuso nyini .",[0]
"jaa Jasun ba be maa dun dè , jaa Jasun ba be maa dun dè , jaa Jasun ba ye subaga ye !","jaa Jasun ba be maa dun dè , jaa be maa dun Jasun ba dè , jaa Jasun ba ye subaga ye !",[0]
"ayiwa , a nana , a sera u ka du kònò , u ye a bisimila ka ji di a ma .","ayiwa , a nana , a sera u ka du kònò , ye a bisimila u ka ji di a ma .",[0]
"dugu tilala , a ye bolo kelen wuli ka o tan so sanfè .","dugu tilala , ye bolo kelen wuli a ka o tan so sanfè .",[0]
kala ye a kan tigè .,kala ye kan a tigè .,[0]
"dògònin ko ne kòni tè n ta faga , ne bè taga muso nyini ni n ka kònò ye .","dògònin ko ne kòni tè n ta faga , bè taga ne muso nyini ni n ka kònò ye .",[0]
"a ye Namaramatu kunkolo tigè , Namaramatu ye a kunkolo tigè , a ye Namaramatu kunkolo tigè , Namaramatu ye a kunkolo tigè , a ye Namaramatu kunkolo tigè , Namaramatu ye a kunkolo tigè , a ye Namaramatu kunkolo tigè , Namaramatu ye a kunkolo tigè , Namaramatu ta tora saba .","a ye Namaramatu kunkolo tigè , Namaramatu ye a kunkolo tigè , a ye Namaramatu kunkolo tigè , Namaramatu ye a kunkolo tigè , a ye Namaramatu kunkolo tigè , Namaramatu ye a kunkolo tigè , ye Namaramatu kunkolo tigè a , Namaramatu ye a kunkolo tigè , Namaramatu ta tora saba .",[0]
ko dennin dò bè yen ko a tògò ye Namaramatu ye .,ko bè dennin dò yen ko a tògò ye Namaramatu ye .,[0]
a ko n bada ma nin ye .,a ko bada ma nin ye n .,[0]
"o ko o tulu min filè i bolo , ni i ye o mun n na , n bè fin sisan .","o ko o tulu min filè i bolo , ni i ye o mun n na , bè fin n sisan .",[0]
"u tagara , Amadu Tara tagara fo a kunna tòw la minkè , u sera sira fila sirafara yòrò nin na dòròn , a jòra ka bò a ka so kan , komi i n' a sòrò a bè nyègènè kè .","u tagara , tagara Amadu Tara fo a kunna tòw la minkè , u sera sira fila sirafara yòrò nin na dòròn , a jòra ka bò a ka so kan , komi i n' a sòrò a bè nyègènè kè .",[0]
"ba fana ye kòòrimugu dò dila ka a di a ma , ko u ka taga nyògòn fè , ko ni u sera yòrò la , ko ni u sera sira fila bènyòrò , ko a ka kòòri nin bila yen ko ka a lajè , ko ni kòòrimugu mana taga sira min fè , a ka taga o sira fè , ko o tuma ko a bè taga ko a ka taga o sira fè .","ba fana ye kòòrimugu dò dila ka a di a ma , ko u ka taga nyògòn fè , ko ni sera u yòrò la , ko ni u sera sira fila bènyòrò , ko a ka kòòri nin bila yen ko ka a lajè , ko ni kòòrimugu mana taga sira min fè , a ka taga o sira fè , ko o tuma ko a bè taga ko a ka taga o sira fè .",[0]
"a ko n den , e bè taga min ?","a ko n den , bè taga e min ?",[0]
sosow ye i kanto ko e kòrò San ko a dun kèra cògò di ?,sosow ye i kanto ko e kòrò San ko dun kèra a cògò di ?,[0]
"a bamuso ko a ka taga a nyini , ko a ka taga nyèkili fila nyini ka na .","a bamuso ko a ka taga a nyini , ko ka taga a nyèkili fila nyini ka na .",[0]
"a selen o ma kokura , o ko a ma , ko a ka kɔɲɔmuso tere de bɛ k' a ka ko bɛɛ gɛlɛya tan .","a selen o ma kokura , o ko a ma , bɛ k' a ka ko bɛɛ gɛlɛya ko a ka kɔɲɔmuso tere de tan .",[0]
a ko e bònè mayira .,a ko bònè mayira e .,[0]
"ko den min sera ka a kun li , ko e tè se ka a tògò la ?","ko den min sera ka a kun li , ko tè se e ka a tògò la ?",[0]
"Dugutigi ye mɔgɔ bila ka taga a fɔ sonsannin ye ko ɲɛnajɛ bɔtuma surunyana , ko a ka labɛnw kɛ .","Dugutigi ye mɔgɔ bila ka taga a fɔ sonsannin ye ko surunyana ɲɛnajɛ bɔtuma , ko a ka labɛnw kɛ .",[0]
"n ye nsiirinin sòrò yòrò min , n ye a bila yen .","n ye nsiirinin sòrò yòrò min , ye a bila n yen .",[0]
"a tagara , a ye bere janba tigè a tagara mininyan kan , mininyan ye i kanto ko e ko a dun kèra cogo di ?","a tagara , a ye bere janba tigè a tagara mininyan kan , ye i kanto mininyan ko e ko a dun kèra cogo di ?",[0]
"a ye a fò kònòba bè dugu min na , su tè ko , dugu tè gè .","a ye a fò kònòba bè dugu min na , tè ko su , dugu tè gè .",[0]
"ko ni a ye a sòrò , an dògònin Dawuda yèrè tun bè yan , ko an tun bè nin di a ma wa ?","ko ni ye a sòrò a , an dògònin Dawuda yèrè tun bè yan , ko an tun bè nin di a ma wa ?",[0]
"A denkɛnin dɔ bɛ yen , o ma tɛmɛ daba ɲɛ saba kan , o fana ko : “ Baa n bɛ taa bin na ka na ” .","A denkɛnin dɔ bɛ yen , o ma tɛmɛ daba ɲɛ saba kan , o fana ko : “ Baa bɛ taa n bin na ka na ” .",[0]
"o tuma na jeli ninw fana tagara , a bè sòn jeli min ka kuma ka tèmèn bèè kan , o tagara ka taga kuma nyèfò a fè , fa fana sònna ko a ka na u ka kuma .","o tuma na tagara jeli ninw fana , a bè sòn jeli min ka kuma ka tèmèn bèè kan , o tagara ka taga kuma nyèfò a fè , fa fana sònna ko a ka na u ka kuma .",[0]
"o tuma na , a ko Amadu Tara ka yèlèn a kan , ko a bè taga o bila o jiri nin sanfè .","o tuma na , ko a Amadu Tara ka yèlèn a kan , ko a bè taga o bila o jiri nin sanfè .",[0]
"subagamuso nin mana a fò ko a bè a fa , a bèè bònna .","subagamuso nin mana a fò ko a bè a fa , bònna a bèè .",[0]
"o tuma na , ni a ka so sera yen , a jiginna .","o tuma na , ni a ka so sera yen , jiginna a .",[0]
"ko mògò si ma se i tògò la , dòw nana , dòw ko Fanta .","ko mògò si ma se i tògò la , nana dòw , dòw ko Fanta .",[0]
"o tuma na , a tèmèna sira fè ka taga korokè ninw nyini , a kelen kana taga so , fa ka dimi korokèw kòrò .","o tuma na , a tèmèna sira fè ka taga korokè ninw nyini , kana taga a kelen so , fa ka dimi korokèw kòrò .",[0]
"Amadu Tara tagara , bèè ye Amadu Tara deli ko a kana taga , ko ni o tè , ko a tè segin a faso la tuguni .","Amadu Tara tagara , bèè ye Amadu Tara deli ko kana taga a , ko ni o tè , ko a tè segin a faso la tuguni .",[0]
a ko ko mun kèra ?,a ko ko kèra mun ?,[0]
"ni aw ye o kè tuma min , n bè kegunya n bè dò fara aw ka kegunya kan .","ni ye o kè aw tuma min , n bè kegunya n bè dò fara aw ka kegunya kan .",[0]
e ma a ye fulakè nin bè n gèn wa ?,e ma a ye bè n gèn fulakè nin wa ?,[0]
n bora kònò le n ma ! n ma bòra kalakari wo kalakari .,n bora kònò le n ma ! bòra n ma kalakari wo kalakari .,[0]
"dumuni mòlen minkè , u ye a wele , a ye a dun .","dumuni mòlen minkè , ye a wele u , a ye a dun .",[0]
"bèe nana , u bè a fò ne tè , ne tè , ne tè .","bèe nana , u bè a fò tè ne , ne tè , ne tè .",[0]
"ko sani aw ka si kè aw ka dulòki kònò ka o bèè farafara , segi filè ne bolo .","ko sani ka si kè aw aw ka dulòki kònò ka o bèè farafara , segi filè ne bolo .",[0]
"u bè boli cogo min , u bè boli ten .","u bè boli cogo min , bè boli u ten .",[0]
hali kelen ma den sòrò a ye .,hali ma den sòrò kelen a ye .,[0]
"bòn , denkè ninw tagara mògò nyini , mògò min bè se ka na a lajè , ni o ye a sòrò a bè sa wa a bè kènèya bana nin na .","bòn , denkè ninw tagara mògò nyini , bè se mògò min ka na a lajè , ni o ye a sòrò a bè sa wa a bè kènèya bana nin na .",[0]
"o tuma , jinèmusonin fana ye a fò a ye ko a ka na ko u ka taga a ka so ko , a bè taga dumuni di a ma .","o tuma , ye a fò jinèmusonin fana a ye ko a ka na ko u ka taga a ka so ko , a bè taga dumuni di a ma .",[0]
