sen_str,swapped_sen_str,leaf_rule
"Lossn S' gfälligst Ihr dauernde Feanzerei bleibm , sonst muaß i amoi aundere Seitn aufziagn !","Lossn S' gfälligst Ihr dauernde Feanzerei bleibm , sonst muaß amoi aundere Seitn aufziagn i !",[0] -> [10] -> [11] -> [12]
"Vielleicht hobm die Rema selber des Wort derfuntn , wenn sie die Keltn , dri i n Sidn va n heitign Frankreich besiedlt hobm , als Volcae bezeichnet hobm .","Vielleicht hobm des Wort derfuntn die Rema selber , wenn sie die Keltn , dri i n Sidn va n heitign Frankreich besiedlt hobm , als Volcae bezeichnet hobm .",[0] -> [10] -> [11] -> [12]
"Ois nacha mitn i m Woid akemma san , hod da Vadda gsagt : "" sammets iatzad a Hoiz , Kinda , i mechat a Feier akendn , das ma ned friarn . ""","Ois nacha mitn i m Woid akemma san , hod da Vadda gsagt : "" sammets iatzad a Hoiz , Kinda , mechat a Feier akendn i , das ma ned friarn . """,[0] -> [10] -> [11] -> [12]
"Fia olle fümf Aung , de weja unda n' Ogsagtn is , grejgt oana vo eam a Fümfal , da nada deaf se grod so vui Fümfaln aus Haferl nemma .","Fia olle fümf Aung , de weja unda n' Ogsagtn is , grejgt oana vo eam a Fümfal , deaf se grod so vui Fümfaln aus Haferl nemma da nada .",[0] -> [10] -> [11] -> [12]
"Woar da Wirt mit wenig Gästn gsegnt , hod aa kaana seine Sauschädln gstuin .","Woar da Wirt mit wenig Gästn gsegnt , hod aa seine Sauschädln gstuin kaana .",[0] -> [10] -> [11] -> [12]
"„ Rosi , zu m Denkn san aundere do ! “","„ Rosi , zu m Denkn san do aundere ! “",[0] -> [10] -> [11] -> [12]
"Es hoasst , er houd se decht glai in d' Tiafm vo m See zruckezong und durch s Entwischn vo m Wurm is no mera Unhoae vabundn .","Es hoasst , er houd se decht glai in d' Tiafm vo m See zruckezong und durch s Entwischn vo m Wurm is vabundn no mera Unhoae .",[0] -> [10] -> [11] -> [12]
Is Iguazu a großs oder a gloans Land ?,Is a großs Iguazu oder a gloans Land ?,[0] -> [10] -> [11] -> [12]
"Vielleich ko ma si den Aspekt vo da Buachspraach a so firschdein : Des Problem der lautlichnen Schreibweisn werd per definitionem aus da BB verbannt , wei s ebm grod Aussprache unabhängig sei sollt .","Vielleich ko ma si den Aspekt vo da Buachspraach a so firschdein : werd per definitionem aus da BB verbannt Des Problem der lautlichnen Schreibweisn , wei s ebm grod Aussprache unabhängig sei sollt .",[0] -> [10] -> [11] -> [12]
""" Ham S Eana oghengt ? "" , frogd da Bolizisd .",""" Ham Eana oghengt S ? "" , frogd da Bolizisd .",[0] -> [10] -> [11] -> [12]
Heit hob i goa ned gnapfitzt .,Heit hob goa ned gnapfitzt i .,[0] -> [10] -> [11] -> [12]
Vo Låndshout å bin 'e schnöller gforn .,Vo Låndshout å bin schnöller gforn 'e .,[0] -> [10] -> [11] -> [12]
In Thomas ham s aus da Schui aussigschmissn .,In Thomas ham aus da Schui aussigschmissn s .,[0] -> [10] -> [11] -> [12]
'M Thomas sei Radl ham 's gfladert .,'M Thomas sei Radl ham gfladert 's .,[0] -> [10] -> [11] -> [12]
Zweng dem kennan Laundschneckn grod bei an feichtladn Weeda draussd umanaunda greun .,Zweng dem kennan grod bei an feichtladn Weeda draussd umanaunda greun Laundschneckn .,[0] -> [10] -> [11] -> [12]
Deaffad I was frogn ?,Deaffad was frogn I ?,[0] -> [10] -> [11] -> [12]
Aiso des ethymologische is grod oa ( wenn vielleciht ) aa des oja wichtigerne Konstruktionsprinzip .,Aiso is grod oa ( wenn vielleciht ) aa des oja wichtigerne Konstruktionsprinzip des ethymologische .,[0] -> [10] -> [11] -> [12]
"Waun i du wa , tarat i 'n frogn .","Waun i du wa , tarat 'n frogn i .",[0] -> [10] -> [11] -> [12]
