sen_str,swapped_sen_str,leaf_rule
tuːt tuː= na ti= tifirʔa =jeːt / alif =iː ba= amraːj na / ti= dijja =t =iːb tikati =jeːk // uːn ani naː =t firʔaaːb ka= aki //,tuːt tuː= na ti= tifirʔa =jeːt / ti= dijja =t =iːb tikati alif =iː ba= amraːj na / =jeːk // uːn ani naː =t firʔaaːb ka= aki //,[0] -> [1]
moːkeː moːkeː moːkeː uːn uː= bri / diːseːt ʔitjan =hoːb // tak ʔeːja =heːb ini //,moːkeː moːkeː moːkeː diːseːt ʔitjan uːn uː= bri / =hoːb // tak ʔeːja =heːb ini //,[0] -> [1]
whiː ingadin =eːb oː= doːr / w= haɖa jhaki =t / jaː iraːnaj uːn ani / amʔalaːg =hoːk andi =jeːk / baruːk tikʷeːti ʔeːtnija =heːb han / ani dh =oːk reːwani indi =hoːb / gada indi eːn //,whiː ingadin =eːb oː= doːr / w= haɖa jhaki =t / jaː iraːnaj uːn ani / amʔalaːg =hoːk andi =jeːk / tikʷeːti baruːk ʔeːtnija =heːb han / ani dh =oːk reːwani indi =hoːb / gada indi eːn //,[0] -> [1]
j= ʔar =aːn keːjaːn indi =hoːb / ʔar =eːk ani ka= akan indi =hoːb / t= ʔamaːna =t =aːn keːjaːn indi =hoːb // ka= akan indi eːn //,j= ʔar =aːn keːjaːn indi =hoːb / ʔar =eːk ani ka= akan indi =hoːb / keːjaːn t= ʔamaːna =t =aːn indi =hoːb // ka= akan indi eːn //,[0] -> [1]
oːt ti= tilʔi =t =iː ʃibibeː / oːt ti= tilʔi =t =iː ʃibibeː / doːrhan naː =t baː= ʃuːmaj / ʃibibeː / doːrhan naː =t baː= ʃuːmaj / aːn aːmas / mhaloː =t ʤhali ikatin =hoːb / w= haˈwaːd =i tarab =eːb uːn / i= ɖeːfa kaɖawiːni /,oːt ti= tilʔi =t =iː ʃibibeː / oːt ti= tilʔi =t =iː ʃibibeː / doːrhan baː= ʃuːmaj naː =t / ʃibibeː / doːrhan naː =t baː= ʃuːmaj / aːn aːmas / mhaloː =t ʤhali ikatin =hoːb / w= haˈwaːd =i tarab =eːb uːn / i= ɖeːfa kaɖawiːni /,[0] -> [1]
areː mhasi / baraː ti= dangar dʔitiːt / hinin rhisat =oːk ʔeːnaj // malia rhistin =hoːn eːn =it =heːb //,areː mhasi / ti= dangar dʔitiːt baraː / hinin rhisat =oːk ʔeːnaj // malia rhistin =hoːn eːn =it =heːb //,[0] -> [1]
uː= doːr / ʔasir =u / difa =t / oː= kaːm haːj mʔa idiːn =heːb //,uː= doːr / =u ʔasir / difa =t / oː= kaːm haːj mʔa idiːn =heːb //,[0] -> [1]
ʔiʃti ganaj =hi =wa ta~toːli =hoːb / jina isni =t i= ʃiːtaːn ɖaːbeː dhaːj jʔi =jaːt /,ʔiʃti ganaj =hi =wa ta~toːli =hoːb / jina isni =t ɖaːbeː i= ʃiːtaːn dhaːj jʔi =jaːt /,[0] -> [1]
ani / ahamad i= ragada ki= ibari =ajt / ani diftiːt / eː= jam dhaːj haːj jʔi /,ani / ahamad i= ragada ki= ibari =ajt / diftiːt ani / eː= jam dhaːj haːj jʔi /,[0] -> [1]
lhaweː =t =i =t ʃiha akeːna / lhaweː =t =i =t ʃiha akeːna indi =hoːb / naː =t dhaːj ka= ʔeːta eːn //,lhaweː =t =i =t ʃiha akeːna / lhaweː =t =i =t ʃiha akeːna indi =hoːb / dhaːj ka= ʔeːta naː =t eːn //,[0] -> [1]
igeːsi aː= ʃuːk hoːj itfarʔina eːn //,igeːsi hoːj itfarʔina aː= ʃuːk eːn //,[0] -> [1]
oː= tak han / uː= jaf wi= dhaːj iːfi / guːdjan =eːb oː= doːr / adif ini //,oː= tak han / guːdjan uː= jaf wi= dhaːj iːfi / =eːb oː= doːr / adif ini //,[0] -> [1]
i= ʃaraf // ani geːb iːfi =jeː / ahamad // w= hasan ʔoːr =i =wa / ahamad w= hasan ʔoːr =i naː =ji ʔar =wa / ahamad uː= kna =wa / harnaːjeːt =i =da ʔiːbaːbeːn =ajt / ʔiːbaːbkina giːgeːn /,i= ʃaraf // ani geːb iːfi =jeː / harnaːjeːt =i =da ʔiːbaːbeːn ahamad // w= hasan ʔoːr =i =wa / ahamad w= hasan ʔoːr =i naː =ji ʔar =wa / ahamad uː= kna =wa / =ajt / ʔiːbaːbkina giːgeːn /,[0] -> [1]
faʤil mheːti jʔi =jeːb oː= doːr eːt ti= giɖʔa / t= ʔafa girab ʔiʃaːb iːkti =jeːt / amhajdaːt akajeː =wa / daːwliloːja =t akajeː iseːnn =hoːb // ʔaːwi =t akajeː uː= dhaj jʔeːn =aːt /,faʤil mheːti jʔi =jeːb oː= doːr eːt ti= giɖʔa / t= ʔafa girab ʔiʃaːb iːkti =jeːt / amhajdaːt akajeː =wa / daːwliloːja =t akajeː iseːnn =hoːb // ʔaːwi =t akajeː jʔeːn uː= dhaj =aːt /,[0] -> [1]
igeːsi ti= takat =t =i mijʔat =iːb uː= mijʔat bak itfarʔi /,igeːsi ti= takat =t =i mijʔat =iːb bak itfarʔi uː= mijʔat /,[0] -> [1]
dhaːj jʔeːn =hoːb / ti= nawi dhaːj / bʔaː tindi =jeːb oː= doːr / naweː =t hoːj talʔameːna eːn /,dhaːj jʔeːn =hoːb / ti= nawi dhaːj / bʔaː tindi =jeːb oː= doːr / hoːj talʔameːna naweː =t eːn /,[0] -> [1]
amas / uːn i= gaːdi diwi =jeːb oː= doːr / ti= gijaːma jhaktan =eːb hiːsiːni //,amas / diwi uːn i= gaːdi =jeːb oː= doːr / ti= gijaːma jhaktan =eːb hiːsiːni //,[0] -> [1]
malia doːr adʔi =t rhisan / beːn uː= kaːm // winneːt dagʷaːgʷ kaːm =u =it /,malia doːr adʔi =t rhisan / winneːt dagʷaːgʷ kaːm beːn uː= kaːm // =u =it /,[0] -> [1]
maʔawja i= zamaːn =iːb / tak / nasraːni iːfi /,maʔawja i= zamaːn =iːb / iːfi tak / nasraːni /,[0] -> [1]
oːn aneːb / gaːt deː =t =i tiːfi / tak titdʔaːr /,oːn aneːb / tiːfi gaːt deː =t =i / tak titdʔaːr /,[0] -> [1]
ani / ontʔa uː= mha daːjeːb mhijan =hoːb / t= ʔaba =wa naː =t =ka / daːjeːb aʃbib =t / i= mhiːn =iji =da / j= ʔaraːw =iji =da jʔan //,ani / daːjeːb mhijan ontʔa uː= mha =hoːb / t= ʔaba =wa naː =t =ka / daːjeːb aʃbib =t / i= mhiːn =iji =da / j= ʔaraːw =iji =da jʔan //,[0] -> [1]
igeːsi ontʔa / lhaweː =t =i =dha // lhaweː =t / jhaka tindi eːn,igeːsi ontʔa / lhaweː =t =i =dha // jhaka lhaweː =t / tindi eːn,[0] -> [1]
t= ʔarːbi hoːj sanni =hoːb // t= ʔaːrbi fidinti hoːs =oː geːdti =hoːb / uː= meːk giːgja =t // jam wari eːfeːna =ajt / eː= jam i= raw =eː =da indiːf /,t= ʔarːbi hoːj sanni =hoːb // t= ʔaːrbi fidinti hoːs =oː geːdti =hoːb / giːgja uː= meːk =t // jam wari eːfeːna =ajt / eː= jam i= raw =eː =da indiːf /,[0] -> [1]
