sen_str,swapped_sen_str,leaf_rule
जरूरी ईहो बा कि जवन काम हो रहल बा ओकरा के कम से कम झंडावाला लोग जरूर पढ़सु ।,जरूरी ईहो बा कि जरूर पढ़सु जवन काम हो रहल बा ओकरा के कम से कम झंडावाला लोग ।,[0] -> [1] -> [5] -> [7]
ऊ जब देखलसि कि ई ओने नइखन देखत त अपना बैग में से निडिलवाला मशीन निकललसि आ उनुकर आँखि बचावत बेगवा सी दिहलसि ।,ऊ जब देखलसि कि नइखन देखत ई ओने त अपना बैग में से निडिलवाला मशीन निकललसि आ उनुकर आँखि बचावत बेगवा सी दिहलसि ।,[0] -> [1] -> [5] -> [7]
एकरा के कानूनी रूप से सकार लिहल जाव एह खातिर जरूरी बा कि भोजपुरी में हर तरह के लेखन सामने आवे ।,एकरा के कानूनी रूप से सकार लिहल जाव एह खातिर जरूरी बा कि भोजपुरी में सामने आवे हर तरह के लेखन ।,[0] -> [1] -> [5] -> [7]
उहाँका कहलीं कि आजु - काल्हु एकर झंडा उठाके जेतना लोग चल रहल बा ओहमें ऊहो लोग शामिल बा जे एह समस्या का मूल में बा ।,उहाँका कहलीं कि आजु - काल्हु एकर झंडा उठाके जेतना लोग चल रहल बा शामिल ओहमें ऊहो लोग बा जे एह समस्या का मूल में बा ।,[0] -> [1] -> [5] -> [7]
कार्यक्रम के समापन सांस्कृतिक कार्यक्रम से होखी जवना में भोजपुरी के नामचीन गायक आ जय भोजपुरी के कुछ सदस्यो शामिल होखिहें ।,कार्यक्रम के समापन सांस्कृतिक कार्यक्रम से होखी जवना में आ भोजपुरी के नामचीन गायक जय भोजपुरी के कुछ सदस्यो शामिल होखिहें ।,[0] -> [1] -> [5] -> [7]
सुनतानी कि कहीं - कहीं सरकारी फरमानो जारी होखे लागल बा ।,सुनतानी कि कहीं सरकारी जारी होखे कहीं - फरमानो लागल बा ।,[0] -> [1] -> [5] -> [7]
जसहीं जगह पर छुआइल कि ओकरा मुँह से निकलल - आरे तोर किडनी ?,जसहीं जगह पर छुआइल कि ओकरा किडनी मुँह से निकलल - आरे तोर ?,[0] -> [1] -> [5] -> [7]
"हमरा एह बात पर सभ विश्वास ना कर पाई , ई हम जानतानी बाकिर हमरा विश्वास में आजुओ कवनो कमी नइखे आइल ।","हमरा एह बात पर सभ विश्वास ना कर पाई , ई हम जानतानी बाकिर हमरा विश्वास में आजुओ कवनो नइखे आइल कमी ।",[0] -> [1] -> [5] -> [7]
अलग बाति बा कि एगो फोन क के सुप्रीम कोर्ट से जमानत दिआवे के ताकत उनुका गोल का लगे आजुओ मौजूद बा ।,अलग बाति बा कि एगो फोन क के सुप्रीम कोर्ट से मौजूद बा जमानत दिआवे के ताकत उनुका गोल का लगे आजुओ ।,[0] -> [1] -> [5] -> [7]
ओकरा तीन गो लइकी रही सन आ एकहूँ के अभी बियाह ना भइल रहे ।,ओकरा तीन गो लइकी रही सन आ ना भइल एकहूँ के अभी बियाह रहे ।,[0] -> [1] -> [5] -> [7]
