sen_str,swapped_sen_str,leaf_rule
Tomm eo an amzer met glav a vo .,Tomm eo an amzer met a vo glav .,[0] -> [18] -> [19] -> [20]
Muioc'h-mui a dud a zebr boued bio .,Muioc'h-mui a zebr a dud boued bio .,[0] -> [18] -> [19] -> [20]
Me ' lavar de oc'h ar marc'h -se a oa re gozh .,Me ' lavar de oc'h a oa re gozh ar marc'h -se .,[0] -> [18] -> [19] -> [20]
"Hervez Burev Etrebroadel al Labour , 40 % eus an dud gopret e r bed a zo merc'hed .","Hervez Burev Etrebroadel al Labour , a zo merc'hed 40 % eus an dud gopret e r bed .",[0] -> [18] -> [19] -> [20]
"Disul , goude an oferenn , ar beleg a zo aet da c'hoari c'hartoù .","Disul , goude an oferenn , a zo aet ar beleg da c'hoari c'hartoù .",[0] -> [18] -> [19] -> [20]
Brav e vo an amzer pe glav a vo .,Brav e vo an amzer pe a vo glav .,[0] -> [18] -> [19] -> [20]
"Mard eo bet trec'het Breizh e r brezelioù bras , he yezh a zo bepred ken bev ha biskoazh , he c'halon virvidik a lamm c'hoazh 'n he c'hreiz .","Mard eo bet trec'het Breizh e r brezelioù bras , a zo bepred ken bev he yezh ha biskoazh , he c'halon virvidik a lamm c'hoazh 'n he c'hreiz .",[0] -> [18] -> [19] -> [20]
Gwelomp e r sizhun -mañ peseurt strategiezhioù a vez lakaet e-pleustr gant an embregerezhioù bras -se evit mirout al labourerien-douar en o dalc'h .,Gwelomp e r sizhun -mañ a vez lakaet peseurt strategiezhioù e-pleustr gant an embregerezhioù bras -se evit mirout al labourerien-douar en o dalc'h .,[0] -> [18] -> [19] -> [20]
"Lakaet e oa izili ar sened d' ar marv hag ar "" peurrest "" eus ar bobl a oa gwerzhet evel sklaved .","Lakaet e oa izili ar sened d' ar marv hag a oa gwerzhet ar "" peurrest "" eus ar bobl evel sklaved .",[0] -> [18] -> [19] -> [20]
"Mard eo bet trec'het Breizh e r brezelioù bras , he yezh a zo bepred ken bev ha biskoazh , he c'halon virvidik a lamm c'hoazh 'n he c'hreiz .","Mard eo bet trec'het Breizh e r brezelioù bras , he yezh a zo bepred ken bev ha biskoazh , a lamm he c'halon virvidik c'hoazh 'n he c'hreiz .",[0] -> [18] -> [19] -> [20]
"Yann a rae stamm , Mari a laboure .","Yann a rae stamm , a laboure Mari .",[0] -> [18] -> [19] -> [20]
"Met ne oa nemet penn-kentañ an nozvezh , an traoù a c'helle cheñch buan .","Met ne oa nemet penn-kentañ an nozvezh , a c'helle an traoù cheñch buan .",[0] -> [18] -> [19] -> [20]
"Ur gevezadeg ziaes ha brudet eo an Olimpiadennoù , met ouzhpenn an dra -se ez int .","Ur an Olimpiadennoù gevezadeg ziaes ha brudet eo , met ouzhpenn an dra -se ez int .",[0] -> [1] -> [2] -> [3] -> [4]
Un anv - tiegezh eo Genver ivez .,Un Genver anv - tiegezh eo ivez .,[0] -> [1] -> [2] -> [3] -> [4]
Kalz re hir eo ar film .,Kalz re ar film hir eo .,[0] -> [1] -> [2] -> [3] -> [4]
Ur vro eo Breizh .,Ur Breizh vro eo .,[0] -> [1] -> [2] -> [3] -> [4]
Yaouank eo da c'hoar ?,da c'hoar Yaouank eo ?,[0] -> [1] -> [2] -> [3] -> [4]
Laouen eo kêr Wened o kinnig de oc'h he lec'hienn Internet nevez .,kêr Wened Laouen eo o kinnig de oc'h he lec'hienn Internet nevez .,[0] -> [1] -> [2] -> [3] -> [4]
Tomm eo an amzer met glav a vo .,an amzer Tomm eo met glav a vo .,[0] -> [1] -> [2] -> [3] -> [4]
Buan 'ni e rede dre ar parkeier .,'ni e rede dre ar parkeier . Buan,[0] -> [1] -> [2] -> [3] -> [4]
Setu ul levr na blij ket d in .,ul levr na blij ket d in Setu .,[0] -> [1] -> [2] -> [3] -> [4]
Mat -tre eo an disoc'h .,an disoc'h Mat -tre eo .,[0] -> [1] -> [2] -> [3] -> [4]
Londrez eo kêr-benn Bro-Saoz .,kêr-benn Bro-Saoz Londrez eo .,[0] -> [1] -> [2] -> [3] -> [4]
E n ti emañ ma breur .,E n ma breur ti emañ .,[0] -> [1] -> [2] -> [3] -> [4]
"Krouet e oa ar rannvro Breizh ez-ofisiel e 1943 gant gouarnamant Vichy , enn i pevar departamant eus Breizh istorel hepken .","Krouet e oa ar rannvro Breizh ez-ofisiel e 1943 gant gouarnamant Vichy , enn pevar departamant eus Breizh istorel i hepken .",[0] -> [1] -> [2] -> [3] -> [4]
Setu al levr a blij d in .,al levr a blij d in Setu .,[0] -> [1] -> [2] -> [3] -> [4]
Gant piv emañ Yann ?,Gant Yann piv emañ ?,[0] -> [1] -> [2] -> [3] -> [4]
Fur eo va breur .,va breur Fur eo .,[0] -> [1] -> [2] -> [3] -> [4]
Bras eo ti Herve .,ti Herve Bras eo .,[0] -> [1] -> [2] -> [3] -> [4]
Pelec'h emañ ar vugale ?,ar vugale Pelec'h emañ ?,[0] -> [1] -> [2] -> [3] -> [4]
Gorrek eo al lusk .,al lusk Gorrek eo .,[0] -> [1] -> [2] -> [3] -> [4]
Fur eo ar merc'hed .,ar merc'hed Fur eo .,[0] -> [1] -> [2] -> [3] -> [4]
A-bouez bras eo al livioù .,A-bouez al livioù bras eo .,[0] -> [1] -> [2] -> [3] -> [4]
"Gant al lodenn all ez eus kaoz eus gouzout tout a-fet Mab-Den , anvet douaroniezh denel .","Gant al kaoz eus gouzout tout a-fet Mab-Den , anvet douaroniezh denel lodenn all ez eus .",[0] -> [1] -> [2] -> [3] -> [4]
Yann a chomo e r ger rak fall eo an amzer .,Yann a chomo e r ger rak an amzer fall eo .,[0] -> [1] -> [2] -> [3] -> [4]
Piv eo an den -se ?,an den -se Piv eo ?,[0] -> [1] -> [2] -> [3] -> [4]
