sen_str,swapped_sen_str,leaf_rule
Gisugo niya ang iya -ng bana nga limpyohon ang kotse .,Gisugo niya ang iya -ng bana nga ang kotse limpyohon .,[0] -> [1] -> [2] -> [4]
Nakahukom si Tom nga magpaabot .,si Tom Nakahukom nga magpaabot .,[0] -> [1] -> [2] -> [4]
Gwapa baya to iya -ng uyab .,to iya -ng uyab Gwapa baya .,[0] -> [1] -> [2] -> [4]
Humot kaayo ang pagkaon .,ang pagkaon Humot kaayo .,[0] -> [1] -> [2] -> [4]
Padayona na -ng inyo -ng gibuhat .,-ng inyo -ng gibuhat Padayona na .,[0] -> [1] -> [2] -> [4]
Gipinturahan sa silingan ni Peter ang koral og pula .,ang koral Gipinturahan sa silingan ni Peter og pula .,[0] -> [1] -> [2] -> [4]
May kaislahan sa dagat .,kaislahan May sa dagat .,[0] -> [1] -> [2] -> [4]
"Sam , abrihi ang bintana !","Sam , ang bintana abrihi !",[0] -> [1] -> [2] -> [4]
Gisulayan niya nga mohunong ug panigarilyo ug tagay .,niya Gisulayan nga mohunong ug panigarilyo ug tagay .,[0] -> [1] -> [2] -> [4]
Niay imo -ng bisita .,imo -ng bisita Niay .,[0] -> [1] -> [2] -> [4]
Gusto nimo molakaw na ta ?,nimo Gusto molakaw na ta ?,[0] -> [1] -> [2] -> [4]
Maayo na lang gani nia ang inahan .,Maayo na lang gani ang inahan nia .,[0] -> [1] -> [2] -> [4]
Tagpila ang plete sa dyipni ?,ang plete Tagpila sa dyipni ?,[0] -> [1] -> [2] -> [4]
"Wala nay uso panindotay ug lawas , ang importante busog ta perme .","uso Wala nay panindotay ug lawas , ang importante busog ta perme .",[0] -> [1] -> [2] -> [4]
Duol ba sa eskwelahan ang kapitolyo ?,ang kapitolyo Duol ba sa eskwelahan ?,[0] -> [1] -> [2] -> [4]
Unsay imo -ng ngalan ?,imo -ng ngalan Unsay ?,[0] -> [1] -> [2] -> [4]
Nakalimtan ni Nanay Dionesia nga mokaon ug moinom ug tubig .,ni Nanay Dionesia Nakalimtan nga mokaon ug moinom ug tubig .,[0] -> [1] -> [2] -> [4]
Gidungog nga adis - adis si Tom .,Gidungog nga adis - si Tom adis .,[0] -> [1] -> [2] -> [4]
Kinahanglan may buhaton si Tom .,Kinahanglan si Tom may buhaton .,[0] -> [1] -> [2] -> [4]
Gisugo niya ang iya -ng bana nga limpyohon ang kotse .,ang iya -ng bana Gisugo niya nga limpyohon ang kotse .,[0] -> [1] -> [2] -> [4]
Tua sa Cebu ang ako -ng ginikanan .,ang ako -ng ginikanan Tua sa Cebu .,[0] -> [1] -> [2] -> [4]
Toa ang libro sa lamesa .,ang libro sa lamesa Toa .,[0] -> [1] -> [2] -> [4]
Pila man sad imoha -ng sweldo ?,imoha -ng sweldo Pila man sad ?,[0] -> [1] -> [2] -> [4]
Palihog ipasa ang asin .,Palihog ang asin ipasa .,[0] -> [1] -> [2] -> [4]
Nagsulat ang bata -ng babae ug sulat para sa iya -ng amigo .,ang bata -ng babae Nagsulat ug sulat para sa iya -ng amigo .,[0] -> [1] -> [2] -> [4]
Kugihan si tatay .,si tatay Kugihan .,[0] -> [1] -> [2] -> [4]
"Hapit na man diay Pasko , ingon pa sa mga tiguwang .","Pasko Hapit na man diay , ingon pa sa mga tiguwang .",[0] -> [1] -> [2] -> [4]
Kang Alicia ang libro .,Kang ang libro Alicia .,[0] -> [1] -> [2] -> [4]
Gwapa ang babaye .,ang babaye Gwapa .,[0] -> [1] -> [2] -> [4]
