sen_str,swapped_sen_str,leaf_rule
第一 則 故事 是 ， 海神 波塞冬 欲 娶 海 仙女 安菲特裡忒 為 妻 ， 然而 ， 為 保 貞潔 ， 安菲特裡忒 逃 至 阿特拉斯 山脈 。,第一 則 故事 是 ， 欲 娶 海神 波塞冬 海 仙女 安菲特裡忒 為 妻 ， 然而 ， 為 保 貞潔 ， 安菲特裡忒 逃 至 阿特拉斯 山脈 。,[0]
播客 并 不 强求 使用 iPod 或 iTunes ； 任何 数字 音频 播放 器 或 拥有 适当 软体 的 电脑 都 可以 播放 播客 节目 。,播客 并 不 强求 使用 iPod 或 iTunes ； 都 可以 播放 任何 数字 音频 播放 器 或 拥有 适当 软体 的 电脑 播客 节目 。,[0]
山上 有 一 座 小 亭 ， 名 为 浴日 亭 ， 是 观望 海上 日出 之 地 。,山上 有 一 座 小 亭 ， 为 浴日 亭 名 ， 是 观望 海上 日出 之 地 。,[0]
2004 年 ， 森 大厦 的 旋转 门 发生 clf 意外 死亡 事件 。,2004 年 ， 发生 森 大厦 的 旋转 门 clf 意外 死亡 事件 。,[0]
印尼 海事 暨 漁業 部 海洋 資源 監督 暨 控制 署 署長 夏荷林 （ Syahrin Abdurrahman ） 於 5 月 16 日 對於 台灣 漁船 廣大興 28 號 遭 菲律賓 公務 船 射擊 事件 向 台灣 中央 通訊 社 記者 表示 ， 外交 手段 是 解決 衝突 的 方式 ， 但 若 菲律賓 公務 船 人員 未 遵守 《 聯合 國 海洋 法 公約 》 規定 ， 台灣 官方 應 把 這 起 案件 訴諸 國際 法庭 ， 接受 法律 制裁 。,印尼 海事 暨 漁業 部 海洋 資源 監督 暨 控制 署 署長 夏荷林 （ Syahrin Abdurrahman ） 於 5 月 16 日 對於 台灣 漁船 廣大興 28 號 遭 菲律賓 公務 船 射擊 事件 向 台灣 中央 通訊 社 記者 表示 ， 外交 手段 是 解決 衝突 的 方式 ， 但 若 菲律賓 公務 船 人員 未 遵守 《 聯合 國 海洋 法 公約 》 規定 ， 應 把 這 起 案件 訴諸 台灣 官方 國際 法庭 ， 接受 法律 制裁 。,[0]
当时 的 香港 政府 后来 把 香港 以南 的 航线 分予 国泰 经营 ， 以北 的 则 交予 国泰 唯一 本地 对手 ， 怡和 洋行 属下 的 香港 航空 经营 。,当时 的 香港 政府 后来 把 香港 以南 的 航线 分予 国泰 经营 ， 则 交予 以北 的 国泰 唯一 本地 对手 ， 怡和 洋行 属下 的 香港 航空 经营 。,[0]
所以 我 要 回家 了 ， 可是 走路 也 很 难 。,所以 要 回家 我 了 ， 可是 走路 也 很 难 。,[0]
另 一 个 较小 但是 重要 的 原因 是 河川 的 治水 工程 ， 河岸 边 的 耕地 因为 缺乏 河水 带来 的 泥土 不能 回填 遭 侵蚀 的 部份 ， 耕地 进而 慢慢 流失 。,另 一 个 较小 但是 重要 的 原因 是 河川 的 治水 工程 ， 河岸 边 的 耕地 因为 缺乏 带来 河水 的 泥土 不能 回填 遭 侵蚀 的 部份 ， 耕地 进而 慢慢 流失 。,[0]
自从 她 说 要 给 我 一 个 礼物 ， 我 好奇 得 不得了 。,自从 说 她 要 给 我 一 个 礼物 ， 我 好奇 得 不得了 。,[0]
但是 让 我 出乎意料 的 是 朋友 告诉 我 这 是 西安 的 晴天 ， 当时 我 感 到 大吃一惊 。,但是 让 我 出乎意料 的 是 朋友 告诉 我 是 西安 的 晴天 这 ， 当时 我 感 到 大吃一惊 。,[0]
渠子 鄉 是 中國 陝西 省 咸陽 市 永壽 縣 下轄 的 一 個 鄉 。,渠子 鄉 是 下轄 中國 陝西 省 咸陽 市 永壽 縣 的 一 個 鄉 。,[0]
基 於 懸崖 的 形狀 結構 ， 懸崖 上 的 斜坡 都有 碎石 （ scree ） ， 附近 有 大量 岩屋 （ rock shelters ） 。,基 於 懸崖 的 形狀 結構 ， 都有 懸崖 上 的 斜坡 碎石 （ scree ） ， 附近 有 大量 岩屋 （ rock shelters ） 。,[0]
椎名 林檎 所 开设 的 演唱 会 活动 ， 场场 主题 特别 、 场场 精采 ， 像是 《 下克上高潮 》 特别 将 演唱 会 以 医院 为 主题 布置 ， 此 构思 来 自 于 第四 张 单曲 《 本能 》 。,椎名 林檎 所 开设 的 演唱 会 活动 ， 场场 主题 特别 、 场场 精采 ， 像是 《 下克上高潮 》 特别 将 演唱 会 以 为 主题 布置 医院 ， 此 构思 来 自 于 第四 张 单曲 《 本能 》 。,[0]
在 歐洲人 來到 這 之前 ， 有 數 個 本地 民族 在 阿拉斯加 生活 了 數千 年 。,在 歐洲人 來到 這 之前 ， 有 在 阿拉斯加 生活 數 個 本地 民族 了 數千 年 。,[0]
日本 人 提出 請 夏 繼泉 出任 山東 省 省長 ， 後來 又 提出 請 他 任 教育 督辦 等 職務 ， 均 被 夏 繼泉 拒絕 。,日本 人 提出 請 出任 夏 繼泉 山東 省 省長 ， 後來 又 提出 請 他 任 教育 督辦 等 職務 ， 均 被 夏 繼泉 拒絕 。,[0]
其中 ， 所述 规则 对象 包括 至少 一 个 规则 。,其中 ， 包括 所述 规则 对象 至少 一 个 规则 。,[0]
这 个 电影 我 看 过 两 遍 。,这 个 电影 看 我 过 两 遍 。,[0]
2011 年 1 月 8 日 ， 她 在 亞利桑那 州 圖森 市 的 Safeway 超級 市場 外 舉辦 「 國會 就 在 你 的 街角 」 （ Congress on Your Corner ） 活動 時 遭 槍手 擊中 頭部 受 重 傷 ， 當時 被 槍手 擊中 的 另外 還 有 18 人 。,2011 年 1 月 8 日 ， 她 在 亞利桑那 州 圖森 市 的 Safeway 超級 市場 外 舉辦 「 國會 就 在 你 的 街角 」 （ Congress on Your Corner ） 活動 時 遭 擊中 槍手 頭部 受 重 傷 ， 當時 被 槍手 擊中 的 另外 還 有 18 人 。,[0]
白铜 （ German silver ， white copper ， nickel silver ） ， 又 称 镍银 合金 ， 是 以 镍 为 主要 元素 的 铜 镍 锌 合金 ， 颜色 为 银白 色 ， 具有 银色 的 外观 但 不 包含 银 的 元素 ， 一般 的 成份 是 60% 的 铜 、 20% 的 镍 和 20% 的 锌 。,白铜 （ German silver ， white copper ， nickel silver ） ， 又 称 镍银 合金 ， 是 以 为 主要 元素 镍 的 铜 镍 锌 合金 ， 颜色 为 银白 色 ， 具有 银色 的 外观 但 不 包含 银 的 元素 ， 一般 的 成份 是 60% 的 铜 、 20% 的 镍 和 20% 的 锌 。,[0]
价格 放开 ， 尽管 物价 涨幅 为 25% ， 但是 公会 接受 15% 的 工资 增长 幅度 。,价格 放开 ， 尽管 为 25% 物价 涨幅 ， 但是 公会 接受 15% 的 工资 增长 幅度 。,[0]
除此 之外 ， 天津 市 河东 区 还 管辖 位 于 河北 省 涉县 的 一 块 飞地 ， 即 天津 铁厂 街道 。,除此 之外 ， 还 管辖 天津 市 河东 区 位 于 河北 省 涉县 的 一 块 飞地 ， 即 天津 铁厂 街道 。,[0]
在 任何 選舉 中 ， 最 重要 的 兩 點 就 是 候選人 資格 及 選民 基礎 。,在 任何 選舉 中 ， 就 是 候選人 資格 最 重要 的 兩 點 及 選民 基礎 。,[0]
虽然 车序 一般 而 言 不会 变更 ， 但 如果 有 以下 情况 ， 控制 中心 或 会 要求 部份 或 所有 列车 更换 车序 ， 或 改派 另 一 列车 行走 特定 车序 ， 原有 列车 退出 营运 ： 港铁 列车 （ 东涌 线 、 机场 快线 及 迪士尼 线 除外 ） 会 在 车头 及 车尾 显示 该 列车 的 车序 。,虽然 车序 一般 而 言 不会 变更 ， 但 如果 有 以下 情况 ， 或 会 要求 控制 中心 部份 或 所有 列车 更换 车序 ， 或 改派 另 一 列车 行走 特定 车序 ， 原有 列车 退出 营运 ： 港铁 列车 （ 东涌 线 、 机场 快线 及 迪士尼 线 除外 ） 会 在 车头 及 车尾 显示 该 列车 的 车序 。,[0]
桃 在 亞洲 文化 中 占 很大 的 地位 ， 中國 古代 傳說 經常 提到 桃 是 一 種 可以 延年益壽 的 水果 ， 神仙 多 食用 桃 ， 《 西遊 記 》 中 孫 悟空 看管 的 桃園 ， 出產 的 桃子 人 吃 了 可以 立刻 成仙 。,桃 在 亞洲 文化 中 占 很大 的 地位 ， 中國 古代 傳說 經常 提到 桃 是 一 種 可以 延年益壽 的 水果 ， 多 食用 神仙 桃 ， 《 西遊 記 》 中 孫 悟空 看管 的 桃園 ， 出產 的 桃子 人 吃 了 可以 立刻 成仙 。,[0]
樓頂 有 天文 台 ， 現 為 天文 社 使用 。,樓頂 有 天文 台 ， 現 為 使用 天文 社 。,[0]
另外 ， 这 标签 拥有 的 两 重 特性 ， 使 其 同时 是 同人 文化 也是 兽人 文化 中 一 种 爱好 的 分支 。,另外 ， 使 这 标签 拥有 的 两 重 特性 ， 其 同时 是 同人 文化 也是 兽人 文化 中 一 种 爱好 的 分支 。,[0]
由於 中共 地下 黨 的 宣傳 鼓動 ， 各界 紛紛 聲援 ， 6 月 2 日 ， 武大 學生 自治 會 、 教授 會 和 講助 會 都 分別 發表 宣言 ， 抗議 反動 當局 的 暴行 。,由於 中共 地下 黨 的 宣傳 鼓動 ， 紛紛 聲援 各界 ， 6 月 2 日 ， 武大 學生 自治 會 、 教授 會 和 講助 會 都 分別 發表 宣言 ， 抗議 反動 當局 的 暴行 。,[0]
听说 哪 个 餐厅 的 环境 非常 优雅 ， 而 那里 有 现场 爵士 音乐 演奏 。 ”,听说 非常 优雅 哪 个 餐厅 的 环境 ， 而 那里 有 现场 爵士 音乐 演奏 。 ”,[0]
现在 在 多伦多 的 福清 人 已经 开始 涉及 各行各业 如 ： 冷暖气 行业 ， 室内 和 室外 装修 园艺 景观 工程 ， 屋顶 ， 房地产 等 。,现在 在 多伦多 的 福清 人 已经 开始 涉及 如 各行各业 ： 冷暖气 行业 ， 室内 和 室外 装修 园艺 景观 工程 ， 屋顶 ， 房地产 等 。,[0]
美國 獨立 戰爭 後 ， 新罕布希爾 成 為 美國 最早 的 13 個 州 之 一 ， 1808 年 州 議會 決定 將 首府 定 在 康科德 ， 1819 年 州 議會 首次 在 新建 的 議會 大樓 內 開會 ， 州 議會 大樓 也是 美國 最 古老 議會 大樓 之 一 ， 這 座 議會 大樓 與 位 於 波士頓 的 馬薩諸塞 州 議會 大樓 一樣 ， 以 金頂 聞名 。,美國 獨立 戰爭 後 ， 新罕布希爾 成 為 美國 最早 的 13 個 州 之 一 ， 1808 年 州 議會 決定 將 首府 定 在 康科德 ， 1819 年 州 議會 首次 在 新建 的 議會 大樓 內 開會 ， 州 議會 大樓 也是 美國 最 古老 議會 大樓 之 一 ， 與 位 於 波士頓 的 馬薩諸塞 州 議會 大樓 一樣 ， 以 金頂 聞名 這 座 議會 大樓 。,[0]
平時 見人 時 是 以 雪貂 的 外表 現身 ， 奈葉 一 度 誤認 他 真的 就是 隻 雪貂 。,平時 見人 時 是 以 雪貂 的 外表 現身 ， 一 度 誤認 奈葉 他 真的 就是 隻 雪貂 。,[0]
同样 ， 施力 的 大小 不同 ， 引起 的 加速 度 不同 ， 最终 的 结果 也 不 一样 ， 亦 可以 从 向量 的 加成 性 来 看 。,同样 ， 不同 施力 的 大小 ， 引起 的 加速 度 不同 ， 最终 的 结果 也 不 一样 ， 亦 可以 从 向量 的 加成 性 来 看 。,[0]
