sen_str,swapped_sen_str,leaf_rule
եւ նա երթեալ պատմեաց այնոցիկ որ ընդ նմայ ն լիեալ եին ՝ մինչդեռ լային եւ սգային ՝,եւ նա երթեալ պատմեաց այնոցիկ ընդ նմայ ն լիեալ որ եին ՝ մինչդեռ լային եւ սգային ՝,[0] -> [16] -> [18]
"Եւ ընկալեալ Արշակայ Մեծի զ գիր ն ի ձեռաց Մար Աբայն Կատինայ ՝ մեծաւ լրջմտութեամբ հրամայէ առաջի առնել նմա զ դիւան ն արքունի որ ի Նինուէ , միանգամայն եւ ուրախացեալ ընդ այսպիսի միտս ունել եղբաւր իւրոյ , որում զ կէս թագաւորութեան իւրոյ հաւատացեալ էր :","Եւ ընկալեալ Արշակայ Մեծի զ գիր ն ի ձեռաց Մար Աբայն Կատինայ ՝ մեծաւ լրջմտութեամբ հրամայէ առաջի առնել նմա զ դիւան ն արքունի ի Նինուէ որ , միանգամայն եւ ուրախացեալ ընդ այսպիսի միտս ունել եղբաւր իւրոյ , որում զ կէս թագաւորութեան իւրոյ հաւատացեալ էր :",[0] -> [16] -> [18]
Եւ ունեին պահակ զ Սիմովն Կիւրենացի ՝ որ ընդ այն անցանէր եկեալ յ ագարակէ ՝ զ հայր ն Աղեքսանդրի եւ Ռուփայ . զի բարձցէ զ խաչափայտ ն նորա :,Եւ ունեին պահակ զ Սիմովն Կիւրենացի ՝ ընդ այն անցանէր որ եկեալ յ ագարակէ ՝ զ հայր ն Աղեքսանդրի եւ Ռուփայ . զի բարձցէ զ խաչափայտ ն նորա :,[0] -> [16] -> [18]
էր որ հարիւրաւոր ՝ եւ էր որ վաթսնաւոր ՝ եւ էր որ երեսնաւոր :,էր որ հարիւրաւոր ՝ եւ էր որ վաթսնաւոր ՝ եւ էր երեսնաւոր որ :,[0] -> [16] -> [18]
Եւ ասէ Յիսուս ՝ ի դատաստանս եկի յ աշխարհ յ այս ՝ զի որ ոչ ն տեսանեն տեսցեն ՝ եւ որք տեսանեն ն կուրասցին :,Եւ ասէ Յիսուս ՝ ի դատաստանս եկի յ աշխարհ յ այս ՝ զի ոչ տեսանեն որ ն տեսցեն ՝ եւ որք տեսանեն ն կուրասցին :,[0] -> [16] -> [18]
նման են մանկտւոյ որ ի հրապարակս նստիցին ՝ կարդայցեն զ միմեանս եւ ասիցեն ՝ փողս հարաք ձեզ . եւ ոչ կաքաւեցէք ՝ ողբացաք . եւ ոչ լացէք :,նման են մանկտւոյ ի հրապարակս նստիցին որ ՝ կարդայցեն զ միմեանս եւ ասիցեն ՝ փողս հարաք ձեզ . եւ ոչ կաքաւեցէք ՝ ողբացաք . եւ ոչ լացէք :,[0] -> [16] -> [18]
ամէն ամէն ասեմ ձեզ ՝ ոչ մնասցէ այդր քար ի քարի վերայ . որ ոչ քակտեսցի :,ամէն ամէն ասեմ ձեզ ՝ ոչ մնասցէ այդր քար ի քարի վերայ . ոչ քակտեսցի որ :,[0] -> [16] -> [18]
Եւ որ երդուաւ յ երկինս . երդնու յ աթոռ ն Աստուածոյ ՝ եւ յ այն որ նստի ն ի վերայ նորա :,Եւ երդուաւ որ յ երկինս . երդնու յ աթոռ ն Աստուածոյ ՝ եւ յ այն որ նստի ն ի վերայ նորա :,[0] -> [16] -> [18]
Յետ այսորիկ երկուց ի նոցանէ երեւեցաւ այլովք կերպարանաւք . որք երթային յ անդաստան ն ՝,Յետ այսորիկ երկուց ի նոցանէ երեւեցաւ այլովք կերպարանաւք . երթային որք յ անդաստան ն ՝,[0] -> [16] -> [18]
Վայ ձեզ որ ծիծաղիք դ այժմ ՝ զի սգայցէք եւ լայցէք :,Վայ ձեզ ծիծաղիք որ դ այժմ ՝ զի սգայցէք եւ լայցէք :,[0] -> [16] -> [18]
"Եւ ձգեալ զ ձեռն իւր յ աշակերտս ն , ասէ , ահա մայր իմ եւ եղբարք իմ , զի որ առնիցէ զ կամս հաւր իմոյ որ յ երկինս ն է . նա է իմ եղբայր եւ քոյր եւ մայր :","Եւ ձգեալ զ ձեռն իւր յ աշակերտս ն , ասէ , ահա մայր իմ եւ եղբարք իմ , զի որ առնիցէ զ կամս հաւր իմոյ յ երկինս որ ն է . նա է իմ եղբայր եւ քոյր եւ մայր :",[0] -> [16] -> [18]
Եւ ահա իցեն յետինք որ եղիցին առաջինք ՝ եւ իցեն առաջինք . որ լինիցին յետինք :,Եւ ահա իցեն յետինք եղիցին առաջինք որ ՝ եւ իցեն առաջինք . որ լինիցին յետինք :,[0] -> [16] -> [18]
