sen_str,swapped_sen_str,leaf_rule
碧 闌 干 外 繡 簾 垂,碧 闌 干 外 垂 繡 簾,[0]
鬚 如 蝟 毛 磔,鬚 如 磔 蝟 毛,[0]
是 君 破 齊 以 為 功,是 破 君 齊 以 為 功,[0]
且 割 而 從 其 所 不 強,且 割 而 從 所 不 強 其,[0]
商 君 吳 起 大 夫 種 其 可 願,商 君 吳 起 大 夫 種 可 願 其,[0]
天 寒 夢 澤 深,天 寒 深 夢 澤,[0]
而 老 窮 不 遺,而 不 遺 老 窮,[0]
大 夫 官 代 哭 不 縣 壺,大 夫 代 哭 官 不 縣 壺,[0]
是 地 利 不 如 人 和 也,是 不 如 地 利 人 和 也,[0]
樂正子 二 之 中 四 之 下 也,樂正子 中 二 之 四 之 下 也,[0]
受 物 之 汶 汶 者 乎,受 汶 物 之 汶 者 乎,[0]
趙 聞 韓 不 能 守 上黨,趙 聞 不 能 守 韓 上黨,[0]
而 侂冑 弄 兵 之 意 猶 未 已,而 猶 未 已 侂冑 弄 兵 之 意,[0]
而 賞 爵 刑 罰 窮 矣,而 窮 賞 爵 刑 罰 矣,[0]
至 是 兀良哈歹 以 太 祖 諸 孫,至 是 以 兀良哈歹 太 祖 諸 孫,[0]
幸 檜 病 已 不 能 書,幸 病 檜 已 不 能 書,[0]
笑 罵 從 佗 笑 罵,笑 罵 從 笑 佗 罵,[0]
喟 然 歎 赤 子 無 罪 而 死,喟 然 歎 無 赤 子 罪 而 死,[0]
車 既 覆 而 馬 顛 兮,車 既 覆 而 顛 馬 兮,[0]
而 民 莫 不 承 聽,而 莫 不 承 民 聽,[0]
相 下 女 之 可 詒,相 可 詒 下 女 之,[0]
今 宋 王 射 天 笞 地,今 射 宋 王 天 笞 地,[0]
故 先 王 著 其 教 焉,故 著 先 王 其 教 焉,[0]
此 燕 之 所 以 不 犯 難 也,此 所 以 不 犯 燕 之 難 也,[0]
賈 疑 雎 以 國 陰 事 告 齊,賈 疑 以 國 陰 事 告 雎 齊,[0]
此 臣 之 所 以 為 山 東 之 患,此 所 以 為 山 東 之 患 臣 之,[0]
寒 林 空 見 日 斜 時,寒 林 空 見 斜 日 時,[0]
男 兒 本 自 重 橫 行,男 兒 本 重 自 橫 行,[0]
心 鬱 邑 余 佗 傺 兮,心 鬱 邑 佗 傺 余 兮,[0]
上 田 毎 畝 稅 三 升,上 田 稅 三 毎 畝 升,[0]
舍利弗 北 方 世 界 有 焰肩 佛 最勝音 佛 難沮 佛 日生 佛 網明 佛 如 是 等 恒 河 沙 數 諸 佛,舍利弗 有 北 方 世 界 焰肩 佛 最勝音 佛 難沮 佛 日生 佛 網明 佛 如 是 等 恒 河 沙 數 諸 佛,[0]
其 趨 一 也,其 一 趨 也,[0]
祭 之 明 日 明 發 不 寐,祭 之 明 日 發 明 不 寐,[0]
今 子 一 朝 而 見 七 士,今 一 朝 而 見 子 七 士,[0]
不 足 煩 上 聽,不 足 煩 聽 上,[0]
今 君 聽 讒 臣 之 言,今 聽 君 讒 臣 之 言,[0]
王 如 知 此 則 無 望 民 之 多 於 鄰 國 也,王 如 知 此 則 無 望 多 民 之 於 鄰 國 也,[0]
惶 愧 汗 出 沾 背,惶 愧 出 汗 沾 背,[0]
猶 不 能 恃 無 功 之 尊 無 勞 之 奉 而 守 金 玉 之 重 也,猶 不 能 恃 無 功 之 尊 無 勞 之 奉 而 守 重 金 玉 之 也,[0]
未 有 上 好 仁 而 下 不 好 義 者 也,未 有 好 上 仁 而 下 不 好 義 者 也,[0]
爲 吏 所 匿,爲 所 匿 吏,[0]
樂 歲 粒 米 狼 戾,樂 歲 狼 粒 米 戾,[0]
此 順 之 至 也,此 至 順 之 也,[0]
今 公叔 怨 齊,今 怨 公叔 齊,[0]
欲 言 政 者 君 就 之 可 也,欲 言 政 者 就 君 之 可 也,[0]
