sen_str,swapped_sen_str,leaf_rule
ⲡⲉϫⲁ ϥ ϫⲉ ⲧ ⲙⲛⲧⲁⲧⲟⲡⲕ ϩⲛ ⲟⲩ ⲥⲟⲟⲩⲛ ·,ϥ ⲡⲉϫⲁ ϫⲉ ⲧ ⲙⲛⲧⲁⲧⲟⲡⲕ ϩⲛ ⲟⲩ ⲥⲟⲟⲩⲛ ·,[0] -> [12]
ⲡⲉϫⲁ ⲓ ⲛⲁ ϥ ⲁⲛⲟⲕ ⲡⲁⲙⲃⲱ ϫⲉ ⲡⲁ ⲙⲉⲣⲓⲧ ⲛ ⲉⲓⲱⲧ ⲉ ϣⲁ ⲕ ϭⲛⲣⲱⲙⲉ ⲧⲱⲛ ϩⲛ ⲧⲉⲓ ⲉⲣⲏⲙⲁ · ⲛ ϥ ⲥⲗⲥⲱⲗ ⲕ ϩⲛ ⲛⲉⲕ ϩⲓⲥⲉ ·,ⲓ ⲡⲉϫⲁ ⲛⲁ ϥ ⲁⲛⲟⲕ ⲡⲁⲙⲃⲱ ϫⲉ ⲡⲁ ⲙⲉⲣⲓⲧ ⲛ ⲉⲓⲱⲧ ⲉ ϣⲁ ⲕ ϭⲛⲣⲱⲙⲉ ⲧⲱⲛ ϩⲛ ⲧⲉⲓ ⲉⲣⲏⲙⲁ · ⲛ ϥ ⲥⲗⲥⲱⲗ ⲕ ϩⲛ ⲛⲉⲕ ϩⲓⲥⲉ ·,[0] -> [12]
ⲡⲉϫⲁ ϥ ⲛⲁ ⲓ ϫⲉ ⲙⲁ ⲧⲥⲁⲃⲟ ⲓ ⲉ ⲡ ⲙⲁ ⲉⲧ ⲕ ϣⲱⲛⲉ ⲉⲣⲟ ϥ ·,ϥ ⲡⲉϫⲁ ⲛⲁ ⲓ ϫⲉ ⲙⲁ ⲧⲥⲁⲃⲟ ⲓ ⲉ ⲡ ⲙⲁ ⲉⲧ ⲕ ϣⲱⲛⲉ ⲉⲣⲟ ϥ ·,[0] -> [12]
ⲡⲉϫⲁ ϥ ϫⲉ ϣⲁ ⲛ ϫⲟ ⲟⲩ ⲉⲃⲟⲗ ⲉ ⲡⲉⲓ ⲥⲁ ⲙⲛ ⲡⲁⲓ ·,ϥ ⲡⲉϫⲁ ϫⲉ ϣⲁ ⲛ ϫⲟ ⲟⲩ ⲉⲃⲟⲗ ⲉ ⲡⲉⲓ ⲥⲁ ⲙⲛ ⲡⲁⲓ ·,[0] -> [12]
ⲡⲉϫⲁ ϥ ⲛⲁ ⲓ ϫⲉ ⲉ ⲕ ϣⲱⲛⲉ ⲉ ⲟⲩ ·,ϥ ⲡⲉϫⲁ ⲛⲁ ⲓ ϫⲉ ⲉ ⲕ ϣⲱⲛⲉ ⲉ ⲟⲩ ·,[0] -> [12]
ⲡⲉϫⲉ ⲡⲓ ⲣⲱⲙⲓ ⲛⲁ ϥ ϫⲉ ⲁ ⲥ ϣⲱⲡⲓ ⲙⲙⲟ ⲓ ⲛ ⲟⲩ ⲉϩⲟⲟⲩ ⲉ ⲓ ϩⲉⲙⲥⲓ ϣⲁⲧⲉⲛ ⲡⲓ ϭⲛⲱⲟⲩ ⲛⲧⲉ ⲡⲁ ϯⲙⲓ ⲁ ⲟⲩ ⲣⲱⲙⲓ ⲥⲓⲛⲓ ⲙⲙⲟ ⲓ ⲉⲣⲉ ⲟⲩⲟⲛ ⲟⲩ ⲁⲥⲟⲩⲓ ϧⲉⲛ ⲡⲉϥ ⲙⲟⲩⲧ,ⲡⲓ ⲣⲱⲙⲓ ⲡⲉϫⲉ ⲛⲁ ϥ ϫⲉ ⲁ ⲥ ϣⲱⲡⲓ ⲙⲙⲟ ⲓ ⲛ ⲟⲩ ⲉϩⲟⲟⲩ ⲉ ⲓ ϩⲉⲙⲥⲓ ϣⲁⲧⲉⲛ ⲡⲓ ϭⲛⲱⲟⲩ ⲛⲧⲉ ⲡⲁ ϯⲙⲓ ⲁ ⲟⲩ ⲣⲱⲙⲓ ⲥⲓⲛⲓ ⲙⲙⲟ ⲓ ⲉⲣⲉ ⲟⲩⲟⲛ ⲟⲩ ⲁⲥⲟⲩⲓ ϧⲉⲛ ⲡⲉϥ ⲙⲟⲩⲧ,[0] -> [12]
ⲡⲉϫⲉ ⲡ ϩⲗⲗⲟ ⲛⲁ ϥ ϫⲉ ⲉ ⲧⲣⲉ ⲕ ⲣ ⲡ ⲡⲉⲧⲛⲁⲛⲟⲩϥ ⲡⲉ ⲛ ⲛ ⲉⲧ ⲣⲡⲉⲑⲟⲟⲩ ⲛⲁ ⲕ ·,ⲡ ϩⲗⲗⲟ ⲡⲉϫⲉ ⲛⲁ ϥ ϫⲉ ⲉ ⲧⲣⲉ ⲕ ⲣ ⲡ ⲡⲉⲧⲛⲁⲛⲟⲩϥ ⲡⲉ ⲛ ⲛ ⲉⲧ ⲣⲡⲉⲑⲟⲟⲩ ⲛⲁ ⲕ ·,[0] -> [12]
ⲟⲩⲟϩ ⲡⲓ ⲍ ⲉϩⲣⲉⲛ ⲡⲓ ⲇ ⲛ ϣⲟ ϫⲉ ⲁ ⲧⲉⲧⲉⲛ ⲉⲗ ⲟⲩⲏⲣ ⲙ ⲃⲓⲣ ⲉ ⲩ ⲙⲉϩ ⲛ ⲗⲁⲕϩ ⲟⲩⲟϩ ⲡⲉϫⲱ ⲟⲩ ⲛⲁ ϥ ϫⲉ ⲍ .,ⲟⲩⲟϩ ⲡⲓ ⲍ ⲉϩⲣⲉⲛ ⲡⲓ ⲇ ⲛ ϣⲟ ϫⲉ ⲁ ⲧⲉⲧⲉⲛ ⲉⲗ ⲟⲩⲏⲣ ⲙ ⲃⲓⲣ ⲉ ⲩ ⲙⲉϩ ⲛ ⲗⲁⲕϩ ⲟⲩⲟϩ ⲟⲩ ⲡⲉϫⲱ ⲛⲁ ϥ ϫⲉ ⲍ .,[0] -> [12]
ⲡⲉϫⲁ ϥ ϫⲉ ⲁ ⲛ ϫⲉ ⲡ ⲣⲱϣⲉ ·,ϥ ⲡⲉϫⲁ ϫⲉ ⲁ ⲛ ϫⲉ ⲡ ⲣⲱϣⲉ ·,[0] -> [12]
ⲡⲉϫⲁ ϥ ϫⲉ ϯ ⲉⲙⲓ ⲁⲛ .,ϥ ⲡⲉϫⲁ ϫⲉ ϯ ⲉⲙⲓ ⲁⲛ .,[0] -> [12]
ⲟⲩⲟϩ ⲁ ϥ ϣⲉⲛϩⲏⲧ ϧⲁⲣⲟ ϥ ⲁ ϥ ⲥⲟⲩⲧⲉⲛ ⲧⲉϥ ϫⲓϫ ⲉⲃⲟⲗ ⲁ ϥ ϭⲓ ⲛⲉⲙⲁ ϥ ⲟⲩⲟϩ ⲡⲉϫⲁ ϥ ⲛⲁ ϥ ϫⲉ ϯ ⲟⲩⲱϣ ⲙⲁⲧⲟⲩⲃⲟ .,ⲟⲩⲟϩ ⲁ ϥ ϣⲉⲛϩⲏⲧ ϧⲁⲣⲟ ϥ ⲁ ϥ ⲥⲟⲩⲧⲉⲛ ⲧⲉϥ ϫⲓϫ ⲉⲃⲟⲗ ⲁ ϥ ϭⲓ ⲛⲉⲙⲁ ϥ ⲟⲩⲟϩ ϥ ⲡⲉϫⲁ ⲛⲁ ϥ ϫⲉ ϯ ⲟⲩⲱϣ ⲙⲁⲧⲟⲩⲃⲟ .,[0] -> [12]
ⲡⲉϫⲉ ⲡ ϩⲗⲗⲟ ϫⲉ ⲙⲁⲣⲉ ϥ ⲥⲱⲧⲡ ⲛⲁ ϥ ⲙ ⲡ ⲕⲁⲣⲱϥ ⲻ,ⲡ ϩⲗⲗⲟ ⲡⲉϫⲉ ϫⲉ ⲙⲁⲣⲉ ϥ ⲥⲱⲧⲡ ⲛⲁ ϥ ⲙ ⲡ ⲕⲁⲣⲱϥ ⲻ,[0] -> [12]
