sen_str,swapped_sen_str,leaf_rule
""" Vy jste , Flajšmánku , velký lunatik .",""" jste , Flajšmánku , velký lunatik Vy .",[0] -> [1] -> [2] -> [3] -> [5]
""" To je ale praktické , "" pomyslel si rolník , "" takhle snadno jsem ještě k zaječí pečínce nepřišel . """,""" je ale praktické To , "" pomyslel si rolník , "" takhle snadno jsem ještě k zaječí pečínce nepřišel . """,[0] -> [1] -> [2] -> [3] -> [5]
Je to překrásná zahrada uprostřed velkoměsta ve velkém parku .,Je překrásná zahrada to uprostřed velkoměsta ve velkém parku .,[0] -> [1] -> [2] -> [3] -> [5]
"taková věta , to byl nečekaný dar .","taková věta , byl nečekaný dar to .",[0] -> [1] -> [2] -> [3] -> [5]
Co když to není Neurol ?,Co když není Neurol to ?,[0] -> [1] -> [2] -> [3] -> [5]
"Pouštím si třeba píseň a říkám si , to je výborná věc , ale při druhém , třetím nebo desátém poslechu zjistím , že je to vlastně něco úplně plytkého a povrchního , ale že právě aranžmá z celé té věci udělalo trhák .","Pouštím si třeba píseň a říkám si , je výborná věc to , ale při druhém , třetím nebo desátém poslechu zjistím , že je to vlastně něco úplně plytkého a povrchního , ale že právě aranžmá z celé té věci udělalo trhák .",[0] -> [1] -> [2] -> [3] -> [5]
""" Věci děláme , "" řekl mi mistr a zahleděl se daleko za obzor , jako by chtěl dohlédnout až na to místo , kde žijí mrtví , kterým je všechno už jasné , "" věci děláme ne jen kvůli lidem , chlapče , děláme je kvůli tomu , aby bychom se za sebe nemuseli stydět . """,""" Věci děláme , "" řekl mi mistr a zahleděl se daleko za obzor , jako by chtěl dohlédnout až na to místo , kde žijí mrtví , kterým je už jasné všechno , "" věci děláme ne jen kvůli lidem , chlapče , děláme je kvůli tomu , aby bychom se za sebe nemuseli stydět . """,[0] -> [1] -> [2] -> [3] -> [5]
"Jsou to neobyčejně ostré anilinové a skoro jedovaté barvy , zářivé a oslňující .","Jsou neobyčejně ostré anilinové a skoro jedovaté barvy to , zářivé a oslňující .",[0] -> [1] -> [2] -> [3] -> [5]
"Byl to dar , a nebyl to dar .","Byl dar to , a nebyl to dar .",[0] -> [1] -> [2] -> [3] -> [5]
"Pokud je to pravda , tak doufám , že některé z těch léků nezkouší Filip na Valentýně , nebo na mně .","Pokud je pravda to , tak doufám , že některé z těch léků nezkouší Filip na Valentýně , nebo na mně .",[0] -> [1] -> [2] -> [3] -> [5]
"Stařeček si vzal hůl a prozradil pocestnému , že to není obyčejný pytel s obuškem .","Stařeček si vzal hůl a prozradil pocestnému , že není obyčejný pytel to s obuškem .",[0] -> [1] -> [2] -> [3] -> [5]
"Jsou to elektrické sporáky a pečící trouby , tepelné spotřebiče k přihřívání nebo vytápění místnosti , chladničky k uchování potravin .","Jsou elektrické sporáky to a pečící trouby , tepelné spotřebiče k přihřívání nebo vytápění místnosti , chladničky k uchování potravin .",[0] -> [1] -> [2] -> [3] -> [5]
