sen_str,swapped_sen_str,leaf_rule
ḫpr ⸗k ḥnꜥ ꞽt(ꞽ) ⸗k (Ꞽ)tm(.w),⸗k ḫpr ḥnꜥ ꞽt(ꞽ) ⸗k (Ꞽ)tm(.w),[0] -> [12] -> [14] -> [15]
ꞽw ⸗k ḫr (⸗ꞽ) ꞽw ⸗k ḫr (⸗ꞽ) ꞽw ⸗k ꜣ ḫr (⸗ꞽ) Ḥr.w ꞽś nč̣.n ⸗f ꞽt(ꞽ) ⸗f Wśr(.w) Ttꞽ pw wt(.ꞽ) Ꞽnp.w ⸗k,ꞽw ⸗k ḫr (⸗ꞽ) ꞽw ⸗k ḫr (⸗ꞽ) ꞽw ⸗k ꜣ ḫr (⸗ꞽ) Ḥr.w ꞽś ⸗f nč̣.n ꞽt(ꞽ) ⸗f Wśr(.w) Ttꞽ pw wt(.ꞽ) Ꞽnp.w ⸗k,[0] -> [12] -> [14] -> [15]
č̣i̯ ⸗č mrw.t Wnꞽś pn mr mrw.t ⸗č,⸗č č̣i̯ mrw.t Wnꞽś pn mr mrw.t ⸗č,[0] -> [12] -> [14] -> [15]
ꞽn Šsm.w rḫś ⸗f śn n Wnꞽś fśś n ⸗f ꞽḫ.t ꞽm ⸗śn m ktꞽ.(w)t ⸗f mšr.wt,ꞽn Šsm.w ⸗f rḫś śn n Wnꞽś fśś n ⸗f ꞽḫ.t ꞽm ⸗śn m ktꞽ.(w)t ⸗f mšr.wt,[0] -> [12] -> [14] -> [15]
ꞽ:ś:ḫꜣ.n św mꜥwḥ.w ⸗f gm.n Ttꞽ nś.t ⸗f šw.t m wnč̣.wt ꜣtꞽ Rꜥw n(.ꞽ) nbw,mꜥwḥ.w ⸗f ꞽ:ś:ḫꜣ.n św gm.n Ttꞽ nś.t ⸗f šw.t m wnč̣.wt ꜣtꞽ Rꜥw n(.ꞽ) nbw,[0] -> [12] -> [14] -> [15]
[č̣(ṭ)] [mṭw] ꞽ Wr kꜣ ⸗f wṭp.w n(.ꞽ) Ḥr.w ḫrp sḥ n(.ꞽ) Rꜥw śmś.w ꞽs.t n(.ꞽ) Ptḥ č̣i̯ <⸗k> n Ttꞽ wr wnm Ttꞽ ꞽr č̣č̣ ⸗k,[č̣(ṭ)] [mṭw] ꞽ Wr kꜣ ⸗f wṭp.w n(.ꞽ) Ḥr.w ḫrp sḥ n(.ꞽ) Rꜥw śmś.w ꞽs.t n(.ꞽ) Ptḥ č̣i̯ <⸗k> n Ttꞽ wr Ttꞽ wnm ꞽr č̣č̣ ⸗k,[0] -> [12] -> [14] -> [15]
nḥb ⸗f kꜣ(.w) m čn.t ⸗f nb.t,⸗f nḥb kꜣ(.w) m čn.t ⸗f nb.t,[0] -> [12] -> [14] -> [15]
šꜣś Wnꞽś Šw nmt ⸗f ꜣkr śn ⸗f n.t ḳmꜣ.w nčr,Wnꞽś šꜣś Šw nmt ⸗f ꜣkr śn ⸗f n.t ḳmꜣ.w nčr,[0] -> [12] -> [14] -> [15]
ꞽr tm ⸗k ṭr čw ḥr ś.t ⸗k [wꜣḥ] [⸗k] [śꜥḥ] [⸗k] [r] [tꜣ] ꞽw.kꜣ Wnꞽś ḥr ⸗f m Wr pw nb ꜣ.t wśr m nkn.t ꞽm ⸗f rč̣.kꜣ [⸗f] [nśr] [n] [ꞽr.t] [⸗f] pẖr ⸗ś ḥꜣ ⸗čn (w)ṭ ⸗ś nšn m ꞽr.w ꞽr.wt ḫfḫf<.t> ⸗ś m pꜣw.t(ꞽ)w pw sḫ.kꜣ [⸗f] [ꜥw](.wꞽ) [Šw] [ẖr](.ꞽ) [Nw.t] wṭ.kꜣ Wnꞽś rmn ⸗f m snb.t tw rmn.t ⸗k ꞽr ⸗ś,ꞽr tm ⸗k ṭr čw ḥr ś.t ⸗k [⸗k] [wꜣḥ] [śꜥḥ] [⸗k] [r] [tꜣ] ꞽw.kꜣ Wnꞽś ḥr ⸗f m Wr pw nb ꜣ.t wśr m nkn.t ꞽm ⸗f rč̣.kꜣ [⸗f] [nśr] [n] [ꞽr.t] [⸗f] pẖr ⸗ś ḥꜣ ⸗čn (w)ṭ ⸗ś nšn m ꞽr.w ꞽr.wt ḫfḫf<.t> ⸗ś m pꜣw.t(ꞽ)w pw sḫ.kꜣ [⸗f] [ꜥw](.wꞽ) [Šw] [ẖr](.ꞽ) [Nw.t] wṭ.kꜣ Wnꞽś rmn ⸗f m snb.t tw rmn.t ⸗k ꞽr ⸗ś,[0] -> [12] -> [14] -> [15]
č̣(ṭ) mṭw hꜣ Wśr(.w) Ttꞽ pw rč̣.n n ⸗k Gbb ꞽr.t(ꞽ) ⸗k ḥtp ⸗k m ꞽr.t(ꞽ) wr pn ꞽm ⸗k,č̣(ṭ) mṭw hꜣ Wśr(.w) Ttꞽ pw Gbb rč̣.n n ⸗k ꞽr.t(ꞽ) ⸗k ḥtp ⸗k m ꞽr.t(ꞽ) wr pn ꞽm ⸗k,[0] -> [12] -> [14] -> [15]
ꞽ:śk ⸗f ꞽ(w)f n kꜣ n(.ꞽ) Wnꞽś pn n(.ꞽ) č̣.t{n} ⸗f m nw ḥr(.ꞽ) rmn(.wꞽ) Rꜥw m ꜣḫ.t šsp.w ⸗f pśč̣ tꜣ(.wꞽ) ꞽ:wn ⸗f ḥr nčr(.w),ꞽ:śk ⸗f ꞽ(w)f n kꜣ n(.ꞽ) Wnꞽś pn n(.ꞽ) č̣.t{n} ⸗f m nw ḥr(.ꞽ) rmn(.wꞽ) Rꜥw m ꜣḫ.t ⸗f šsp.w pśč̣ tꜣ(.wꞽ) ꞽ:wn ⸗f ḥr nčr(.w),[0] -> [12] -> [14] -> [15]
č̣(ṭ) mṭw ꞽ:ḫr Wr ḥr gś ⸗f nmnm ꞽm(.ꞽ) Nṭꞽ.t čs(.w) ṭp ⸗f ꞽn Rꜥw,č̣(ṭ) mṭw ꞽ:ḫr Wr ḥr gś ⸗f ꞽm(.ꞽ) Nṭꞽ.t nmnm čs(.w) ṭp ⸗f ꞽn Rꜥw,[0] -> [12] -> [14] -> [15]
[šm] [⸗f] [mṭw] [⸗f] [č̣.t] [⸗f] [ḫr] [pśč̣.t] [ꜥꜣ.t] [m] [Ḥw.t] [śr] [ꞽm.t] Ꞽwn.w,[⸗f] [šm] [mṭw] [⸗f] [č̣.t] [⸗f] [ḫr] [pśč̣.t] [ꜥꜣ.t] [m] [Ḥw.t] [śr] [ꞽm.t] Ꞽwn.w,[0] -> [12] -> [14] -> [15]
šwꜣ ꞽwꜥ.w nꞽ wn.t ḫr ⸗f sš(ꜣ.w),šwꜣ ꞽwꜥ.w nꞽ sš(ꜣ.w) wn.t ḫr ⸗f,[0] -> [12] -> [14] -> [15]
