sen_str,swapped_sen_str,leaf_rule
"Ni asertas ke lingva malegaleco sekvigas komunikan malegalecon je ĉiuj niveloj , inkluzive de la internacia nivelo .","Ni asertas ke sekvigas lingva malegaleco komunikan malegalecon je ĉiuj niveloj , inkluzive de la internacia nivelo .",[0]
"Nek la tutmonda uzado de kelkaj naciaj lingvoj , nek progresoj en la komunikad-tekniko , nek la malkovro de novaj metodoj de lingvo-instruado verŝajne realigos jenajn principojn , kiujn ni konsideras esencaj por justa kaj efika lingva ordo .","Nek la tutmonda uzado de kelkaj naciaj lingvoj , nek progresoj en la komunikad-tekniko , nek la malkovro de novaj metodoj de lingvo-instruado verŝajne realigos jenajn principojn , kiujn konsideras ni esencaj por justa kaj efika lingva ordo .",[0]
"Mi ne povis daŭrigi , ĉar li kuris tro rapide .","Mi ne povis daŭrigi , ĉar kuris li tro rapide .",[0]
"Ni asertas , ke la ekskluziva uzado de naciaj lingvoj neeviteble starigas barojn al la liberecoj de sinesprimado , komunikado kaj asociiĝo .","Ni asertas , ke neeviteble starigas la ekskluziva uzado de naciaj lingvoj barojn al la liberecoj de sinesprimado , komunikado kaj asociiĝo .",[0]
"Ni asertas , ke la edukado per iu ajn etna lingvo estas ligita al difinita perspektivo pri la mondo .","Ni asertas , ke estas ligita la edukado per iu ajn etna lingvo al difinita perspektivo pri la mondo .",[0]
Ŝi devus esti faranta sian hararon sed ial ŝi ne farus tiun tagon .,Ŝi devus esti faranta sian hararon sed ial ne farus ŝi tiun tagon .,[0]
Multokaze tio kondukas al la scio de kaj amo al pluraj lingvoj kaj ĝenerale al pli vasta persona horizonto .,Multokaze kondukas tio al la scio de kaj amo al pluraj lingvoj kaj ĝenerale al pli vasta persona horizonto .,[0]
"La lernejano kiu studas Esperanton lernas pri mondo sen limoj , en kiu ĉiu lando prezentiĝas kiel hejmo .","La lernejano studas kiu Esperanton lernas pri mondo sen limoj , en kiu ĉiu lando prezentiĝas kiel hejmo .",[0]
"Ni asertas , ke la malfacileco de la etnaj lingvoj ĉiam prezentos obstaklon por multaj lernantoj , kiuj tamen profitus el la scio de dua lingvo .","Ni asertas , ke ĉiam prezentos la malfacileco de la etnaj lingvoj obstaklon por multaj lernantoj , kiuj tamen profitus el la scio de dua lingvo .",[0]
"Ni asertas , ke la politiko de komunikado kaj evoluigo , se ĝi ne estas bazita sur respekto al kaj subteno de ĉiuj lingvoj , kondamnas al formorto la plimulton de la lingvoj de la mondo .","Ni asertas , ke , kondamnas la politiko de komunikado kaj evoluigo , se ĝi ne estas bazita sur respekto al kaj subteno de ĉiuj lingvoj al formorto la plimulton de la lingvoj de la mondo .",[0]
"Ni asertas , ke la malfacileco de la etnaj lingvoj ĉiam prezentos obstaklon por multaj lernantoj , kiuj tamen profitus el la scio de dua lingvo .","Ni asertas , ke la malfacileco de la etnaj lingvoj ĉiam prezentos obstaklon por multaj lernantoj , tamen profitus kiuj el la scio de dua lingvo .",[0]
"Por la esperanto-komunumo , tamen , la lingva diverseco estas konstanta kaj nemalhavebla fonto de riĉeco .","Por la esperanto-komunumo , tamen , estas konstanta kaj nemalhavebla fonto la lingva diverseco de riĉeco .",[0]
Kion vi rigardas ?,Kion rigardas vi ?,[0]
"Sekve , ĉiu lingvo , kiel ĉiu vivaĵospecio , estas valora jam pro si mem kaj inda je protektado kaj subtenado .","Sekve , estas valora , ĉiu lingvo , kiel ĉiu vivaĵospecio jam pro si mem kaj inda je protektado kaj subtenado .",[0]
"Ili ne havas ideon , kiu skribis ĝin .","Ili ne havas ideon , skribis kiu ĝin .",[0]
Ĉu Iguazu estas granda aŭ malgranda lando ?,Ĉu estas granda aŭ malgranda lando Iguazu ?,[0]
"Komunika sistemo kiu tutvive privilegias iujn homojn sed postulas de aliaj ke ili investu jarojn da penoj por atingi malpli altan gradon de kapablo , estas fundamente maldemokratia .","Komunika sistemo tutvive privilegias kiu iujn homojn sed postulas de aliaj ke ili investu jarojn da penoj por atingi malpli altan gradon de kapablo , estas fundamente maldemokratia .",[0]
"Kvankam , kiel ĉiu lingvo , Esperanto ne estas perfekta , ĝi ege superas ĉiun rivalon en la sfero de egaleca tutmonda komunikado .","Kvankam , kiel ĉiu lingvo , ne estas perfekta Esperanto , ĝi ege superas ĉiun rivalon en la sfero de egaleca tutmonda komunikado .",[0]
"La lernejano kiu studas Esperanton lernas pri mondo sen limoj , en kiu ĉiu lando prezentiĝas kiel hejmo .","La lernejano kiu studas Esperanton lernas pri mondo sen limoj , en kiu prezentiĝas ĉiu lando kiel hejmo .",[0]
