sen_str,swapped_sen_str,leaf_rule
Har eru eisini stór margarin- og sápuvirki .,stór margarin- og sápuvirki Har eru eisini .,[0] -> [12]
"Mitt í Moskva er Kreml , russiska tinginum .","Mitt í Kreml , russiska tinginum Moskva er .",[0] -> [12]
Har er nógv gull og kopar .,nógv gull og kopar Har er .,[0] -> [12]
Í sjálvum fjøllunum er eisini nógvur seyður .,Í sjálvum nógvur seyður fjøllunum er eisini .,[0] -> [12]
Í bygdini eru 26 hús .,Í 26 hús bygdini eru .,[0] -> [12]
Í Føroyum eru í dag 70 kirkjur .,Í 70 kirkjur Føroyum eru í dag .,[0] -> [12]
Í stórbýum sum Keypmannahavn er nógv fartan aftur og fram .,Í nógv fartan aftur og fram . stórbýum sum Keypmannahavn er,[0] -> [12]
Í Mississippi eru nógvar áir .,Í nógvar áir Mississippi eru .,[0] -> [12]
Her eru høg fjøll og fruktagóðar fløtur .,høg fjøll og fruktagóðar fløtur Her eru .,[0] -> [12]
"Stórir partar av Minnesota eru skógvaksnir - uml. 32 % , og har eru mong vøtn .","Stórir partar av Minnesota eru skógvaksnir - uml. 32 % , og mong vøtn har eru .",[0] -> [12]
"Her er ein sperra , sum eg havi funnið .","ein sperra , sum eg havi funnið Her er .",[0] -> [12]
"Har er nógvur og góður slættur bøur , ið hevur verið grundarlagið undir góðum landbúnaði .","nógvur og góður slættur bøur , ið hevur verið grundarlagið undir góðum landbúnaði Har er .",[0] -> [12]
Í bókini Eyguni - Søgur og yrkingar eru 13 stuttsøgur og 42 yrkingar .,Í 13 stuttsøgur og 42 yrkingar bókini Eyguni - Søgur og yrkingar eru .,[0] -> [12]
Í Tinganesi eru gamlir bygningar .,Í gamlir bygningar Tinganesi eru .,[0] -> [12]
Í Føroyum eru fleiri trúarsamfeløg og fríkirkjur .,Í fleiri trúarsamfeløg og fríkirkjur Føroyum eru .,[0] -> [12]
Í kjallaranum er barnagarður og frítíðarskúli .,Í barnagarður kjallaranum er og frítíðarskúli .,[0] -> [12]
Gráhvít er hon undir búkinum .,hon Gráhvít er undir búkinum .,[0] -> [12]
Aðrastaðni í Bíbliuni eru profetaorðini .,Aðrastaðni í profetaorðini Bíbliuni eru .,[0] -> [12]
Í kommununi eru tveir bóndagarðar .,Í tveir bóndagarðar kommununi eru .,[0] -> [12]
Í 2013 eru trý kór :,Í trý kór 2013 eru :,[0] -> [12]
Á framkroppinum eru 10 bein .,Á 10 bein framkroppinum eru .,[0] -> [12]
Í Benin er deyðadómur .,Í deyðadómur Benin er .,[0] -> [12]
Í tubbaksroyki eru 4000 ymisk evni .,Í 4000 ymisk evni tubbaksroyki eru .,[0] -> [12]
Oyggin er vøkur og har er nógvur heiðafuglur .,Oyggin er vøkur og nógvur heiðafuglur har er .,[0] -> [12]
Har eru mangir býir og nógv gistingarhús .,mangir býir og nógv gistingarhús Har eru .,[0] -> [12]
Við í leikinum eru bara kongurin og annar rókurin .,Við í bara kongurin og annar rókurin leikinum eru .,[0] -> [12]
Á sandi er sandur við einastu mølheyggjum í Føroyum .,Á sandur við einastu mølheyggjum í Føroyum sandi er .,[0] -> [12]
Í Panama eru nógvar áir .,Í nógvar áir Panama eru .,[0] -> [12]
Men í bygdini er eisini ein nýggj útstykking .,Men í ein nýggj útstykking bygdini er eisini .,[0] -> [12]
Har eru eisini stórir garðar við sukurrørum og gummitrøum .,stórir garðar við sukurrørum og gummitrøum Har eru eisini .,[0] -> [12]
"Býurin er eisini høvuðsstaður , har býr drotningin , og har eru Fólkatingið og stjórnin .","Býurin er eisini høvuðsstaður , har býr drotningin , og Fólkatingið og stjórnin har eru .",[0] -> [12]
Í t.d. Nevada eru 23 ymisk sløg av sporðdrekum .,Í t.d. 23 ymisk sløg av sporðdrekum Nevada eru .,[0] -> [12]
Á afturlabbunum eru fitjur .,Á fitjur afturlabbunum eru .,[0] -> [12]
Til hetta var tónleikurin ov sýrutur .,Til tónleikurin ov sýrutur hetta var .,[0] -> [12]
Í Egyptalandi eru mong fornminni .,Í mong fornminni Egyptalandi eru .,[0] -> [12]
"Í motorinum er ein snælda , sum situr í einum sigulsøki .","Í ein snælda , sum situr í einum sigulsøki motorinum er .",[0] -> [12]
Miðskeiðis á oynni er flogvøllur .,flogvøllur Miðskeiðis á oynni er .,[0] -> [12]
Á tunguni eru smáar tenn .,Á smáar tenn tunguni eru .,[0] -> [12]
Á mongum oyggjum eru amerikanskar hernaðarstøðir .,Á mongum amerikanskar hernaðarstøðir oyggjum eru .,[0] -> [12]
"Í Arizona vóru fleiri ættarbólkar , sum dyrkaðu jørðina .","Í fleiri ættarbólkar , sum dyrkaðu jørðina Arizona vóru .",[0] -> [12]
Har eru 32 lið við í NFL .,32 lið Har eru við í NFL .,[0] -> [12]
Í Nýsælandi eru 20 ferðir so nógvir seyðir sum fólk .,Í 20 ferðir so nógvir seyðir sum fólk Nýsælandi eru .,[0] -> [12]
Á mongum oyggjum eru amerikanskar hernaðarstøðir .,Á mongum amerikanskar hernaðarstøðir oyggjum eru .,[0] -> [12]
Oftast eru 5 egg .,5 egg Oftast eru .,[0] -> [12]
Í býnum er eitt fótbóltsfelag sum eitur Stjarnan .,Í eitt fótbóltsfelag sum eitur Stjarnan býnum er .,[0] -> [12]
Í trygdarráðnum eru fimtan limir .,Í fimtan limir . trygdarráðnum eru,[0] -> [12]
Á savninum eru oljumálningar og blýantstekningar eftir Ruth Smith .,Á oljumálningar og blýantstekningar eftir Ruth Smith savninum eru .,[0] -> [12]
Har eru heilt djúpir áarósar sum firðir .,heilt djúpir áarósar sum firðir Har eru .,[0] -> [12]
Har er eisini frítíðarskúli .,frítíðarskúli Har er eisini .,[0] -> [12]
"Í Føroyum er ein felagsskapur til fyri gudloysingar , sum eitur "" Gudloysi "" .","Í ein felagsskapur til fyri gudloysingar , sum eitur "" Gudloysi "" Føroyum er .",[0] -> [12]
Í Kina eru mong mál .,Í mong mál Kina eru .,[0] -> [12]
"Í Namibia eru nógv steinsløg , og nógvur fiskur er fram við strondini .","Í nógv steinsløg Namibia eru , og nógvur fiskur er fram við strondini .",[0] -> [12]
Í 2014 eru 164 130 menn og 162 920 kvinnur .,Í 164 130 menn 2014 eru og 162 920 kvinnur .,[0] -> [12]
Men her er annað enn fiskur .,Men annað enn fiskur her er .,[0] -> [12]
Eisini staðfestir heimastýrislógin hvat ein føroyingur er .,Eisini staðfestir heimastýrislógin ein føroyingur hvat er .,[0] -> [12]
Í Nepal eru mong fólkasløg .,Í mong fólkasløg Nepal eru .,[0] -> [12]
Í býnum er ein stórur flogvøllur .,Í ein stórur flogvøllur býnum er .,[0] -> [12]
Fram við strondini eru mong stór oljureinsiverk .,Fram við mong stór oljureinsiverk strondini eru .,[0] -> [12]
"Í lofthavinum eru eisini saltsýra , svávulsýra og flusssýra .","Í saltsýra , svávulsýra og flusssýra lofthavinum eru eisini .",[0] -> [12]
Har eru 62 fólkasløg .,62 fólkasløg Har eru .,[0] -> [12]
Í Ulster eru nýggju sýslur .,Í nýggju sýslur Ulster eru .,[0] -> [12]
Á høvdinum eru 4 liðilig horn .,Á 4 liðilig horn høvdinum eru .,[0] -> [12]
Í bakkanum eru 9 byrgingar .,Í 9 byrgingar bakkanum eru .,[0] -> [12]
Undir skorpuni er kápan .,Undir kápan skorpuni er .,[0] -> [12]
Í miðjuni er vanliga stórt tún .,Í vanliga stórt tún miðjuni er .,[0] -> [12]
Niðri í dalinum kann vera skógarveðurlag .,Niðri í skógarveðurlag dalinum kann vera .,[0] -> [12]
Í Mariehamn er landsstýrishúsið .,Í landsstýrishúsið Mariehamn er .,[0] -> [12]
Á norðursíðuni er bygdin Kollafjørður .,Á bygdin Kollafjørður norðursíðuni er .,[0] -> [12]
Í Kansas er deyðadómur .,Í deyðadómur Kansas er .,[0] -> [12]
Í Syðradali eru tvey festi .,Í tvey festi Syðradali eru .,[0] -> [12]
Í býnum er eisini skipasmiðja .,Í skipasmiðja býnum er eisini .,[0] -> [12]
Í dølunum er veðurgott og góður bøur .,Í veðurgott og góður bøur dølunum er .,[0] -> [12]
Í Kalifornia er deyðarevsing .,Í deyðarevsing Kalifornia er .,[0] -> [12]
Tveir tímar vóru teir um at sløkkja eldin .,Tveir teir tímar vóru um at sløkkja eldin .,[0] -> [12]
Í Gásadali er ongin kirkja .,Í ongin kirkja Gásadali er .,[0] -> [12]
Undir skelini báðumegin eru táknur .,Undir táknur skelini báðumegin eru .,[0] -> [12]
Í Nigeria eru mangir átrúnaðir .,Í mangir átrúnaðir Nigeria eru .,[0] -> [12]
Endamálið hjá FUR er : Um Føroya Ungdómsráð .,: Um Føroya Ungdómsráð Endamálið hjá FUR er .,[0] -> [12]
Í Kvívík er ein krambúð .,Í ein krambúð Kvívík er .,[0] -> [12]
Í Bíbliuni eru 66 bøkur .,Í 66 bøkur Bíbliuni eru .,[0] -> [12]
Í Manilla er stórt fjall .,Í stórt fjall Manilla er .,[0] -> [12]
