sen_str,swapped_sen_str,leaf_rule
"გენეტიკური კოდი — ნუკლეოტიდების თანმიმდევრობის მეშვეობით ცილების ამინომჟავური თანმიმდევრობის კოდირების ხერხი , რომელიც დამახასიათებელი ა ყველა ცოცხალი ორგანიზმის თვის .","გენეტიკური კოდი — ნუკლეოტიდების თანმიმდევრობის მეშვეობით ცილების ამინომჟავური თანმიმდევრობის კოდირების ხერხი , დამახასიათებელი რომელიც ა ყველა ცოცხალი ორგანიზმის თვის .",[0] -> [1] -> [5]
"XIX საუკუნე ში ჩამოყალიბდა კავკასიის სასოფლო-სამეურნეო საზოგადოება , რომელიც მეცხოველეობისა და საკვებწარმოების დარგ ში სამეცნიერო-კვლევით საქმიანობას ეწეოდნენ , თუმცა მაშინ ამას დიდი გაქანება არ ჰქონია .","XIX საუკუნე ში ჩამოყალიბდა კავკასიის სასოფლო-სამეურნეო საზოგადოება , მეცხოველეობისა და საკვებწარმოების დარგ ში სამეცნიერო-კვლევით საქმიანობას ეწეოდნენ რომელიც , თუმცა მაშინ ამას დიდი გაქანება არ ჰქონია .",[0] -> [1] -> [5]
"ელექტროქიმია — მეცნიერების დარგი , რომელიც შეისწავლის იონური სისტემების ( ხსნარი , ნალხობი , მყარი ელექტროლიტი ) ფიზიკურ-ქიმიურ თვისებებს , აგრეთვე ორი ფაზის საზღვრის აგებულებას და მას ზე დამუხტული ნაწილაკების გადატანით გამოწვეულ მოვლენებს .","ელექტროქიმია — მეცნიერების დარგი , შეისწავლის რომელიც იონური სისტემების ( ხსნარი , ნალხობი , მყარი ელექტროლიტი ) ფიზიკურ-ქიმიურ თვისებებს , აგრეთვე ორი ფაზის საზღვრის აგებულებას და მას ზე დამუხტული ნაწილაკების გადატანით გამოწვეულ მოვლენებს .",[0] -> [1] -> [5]
"ბიოლოგიური დეფინიციისა გან განსხვავებით , სოციოლოგები რასას განსაზღვრავენ , როგორც ადამიანთა კატეგორიას , რომელიც მეტნაკლებად გამოირჩევა ისეთი ფიზიკური მახასიათებლებით , როგორიცა ა კანის ფერი , თმის ტექსტურა და თვალის ფორმა .","ბიოლოგიური დეფინიციისა გან განსხვავებით , სოციოლოგები რასას განსაზღვრავენ , როგორც ადამიანთა კატეგორიას , მეტნაკლებად გამოირჩევა რომელიც ისეთი ფიზიკური მახასიათებლებით , როგორიცა ა კანის ფერი , თმის ტექსტურა და თვალის ფორმა .",[0] -> [1] -> [5]
"ელენ გეიტის თან ერთად ის არის ამერიკის შეერთებული შტატების პირველი ახალშენის თანადამფუძნებელი , ჩიკაგოს ჰული სახლი , რომელიც მოგვიანებით ცნობილი გახდა , როგორც ერთ-ერთი ყველა ზე ცნობილი ახალშენი ამერიკა ში .","ელენ გეიტის თან ერთად ის არის ამერიკის შეერთებული შტატების პირველი ახალშენის თანადამფუძნებელი , ჩიკაგოს ჰული სახლი , მოგვიანებით ცნობილი გახდა რომელიც , როგორც ერთ-ერთი ყველა ზე ცნობილი ახალშენი ამერიკა ში .",[0] -> [1] -> [5]
"მონათესავედ მიაჩნიათ ისეთი ენები , რომლებიც ერთი ენის გან მომდინარეობენ , ერთი ენის დიალექტთა დიფერენციაციის პროცეს ში გაჩნდნენ .","მონათესავედ მიაჩნიათ ისეთი ენები , ერთი ენის გან მომდინარეობენ რომლებიც , ერთი ენის დიალექტთა დიფერენციაციის პროცეს ში გაჩნდნენ .",[0] -> [1] -> [5]
"ინტერპოლმა პარიზ ში გადაინაცვლა 1956 წელს ინტერპოლმა 25-ე სესია ზე მიიღო ორგანიზაციის კონსტიტუცია , რომელიც დღესაც ძალა ში ა და რომლის შესაბამისადაც , ორგანიზაციას კრიმინალური პოლიციის საერთაშორისო ორგანიზაციას ინტერპოლი ეწოდა .","ინტერპოლმა პარიზ ში გადაინაცვლა 1956 წელს ინტერპოლმა 25-ე სესია ზე მიიღო ორგანიზაციის კონსტიტუცია , დღესაც ძალა რომელიც ში ა და რომლის შესაბამისადაც , ორგანიზაციას კრიმინალური პოლიციის საერთაშორისო ორგანიზაციას ინტერპოლი ეწოდა .",[0] -> [1] -> [5]
"სოციოლინგვისტიკა — ენათმეცნიერების ნაწილი , რომელიც სწავლობს საზოგადოების ერთი რომელიმე ან ზოგადად ყველა ასპექტის გავლენას მეტყველების გამოყენება ზე .","სოციოლინგვისტიკა — ენათმეცნიერების ნაწილი , სწავლობს რომელიც საზოგადოების ერთი რომელიმე ან ზოგადად ყველა ასპექტის გავლენას მეტყველების გამოყენება ზე .",[0] -> [1] -> [5]
"პოლიმერული ქიმიის წარმატებული განვითარების შედეგად შეიქმნა და იქმნება მრავალი ახალი მასალა , რომლებმაც გამოყენება ჰპოვეს მედიცინა ში , მრეწველობის მრავალ დარგ ში და ადამიანის ყოფაცხოვრება ში .","პოლიმერული ქიმიის წარმატებული განვითარების შედეგად შეიქმნა და იქმნება მრავალი ახალი მასალა , გამოყენება რომლებმაც ჰპოვეს მედიცინა ში , მრეწველობის მრავალ დარგ ში და ადამიანის ყოფაცხოვრება ში .",[0] -> [1] -> [5]
"კავკასიის სოფლის მეურნეობის საზოგადოებას თავდაპირველად სახელმწიფო მოხელეები მეთაურობდნენ , რომლებიც ნაკლებად იცნობდნენ ადგილობრივ პირობებს და სოფლის მოსახლეობის ძირითადი მასის ინტერესებს , ამიტომაც დასავლეთის რაციონალური მეურნეობის მიღწევების გადმონერგვის მათი „ კაზიონური “ ცდები მეტწილად არაეფექტური იყო .","კავკასიის სოფლის მეურნეობის საზოგადოებას თავდაპირველად სახელმწიფო მოხელეები მეთაურობდნენ , ნაკლებად იცნობდნენ რომლებიც ადგილობრივ პირობებს და სოფლის მოსახლეობის ძირითადი მასის ინტერესებს , ამიტომაც დასავლეთის რაციონალური მეურნეობის მიღწევების გადმონერგვის მათი „ კაზიონური “ ცდები მეტწილად არაეფექტური იყო .",[0] -> [1] -> [5]
