sen_str,swapped_sen_str,leaf_rule
jah wesun sitandans Fareisaieis jah witodalaisarjos þaiei wesun gaqumanai us allamma haimo Galeilaias jah Iudaias jah Iairusaulwmon,jah wesun sitandans Fareisaieis jah witodalaisarjos wesun þaiei gaqumanai us allamma haimo Galeilaias jah Iudaias jah Iairusaulwmon,[0] -> [14] -> [20]
sind auk managai ungaƕairbai lausaiwaurdai lutondans þishun þai us bimaita þanzei skal gasakan þaiei gardins allans uswaltjand laisjandans þatei ni skuld ist in faihugairneins,sind auk managai ungaƕairbai lausaiwaurdai lutondans þishun þai us bimaita þanzei skal gasakan gardins allans uswaltjand þaiei laisjandans þatei ni skuld ist in faihugairneins,[0] -> [14] -> [20]
ƕas sa ist saei jah frawaurhtins afletai,ƕas sa ist jah frawaurhtins afletai saei,[0] -> [14] -> [20]
sai þaiei hnasqjaim wasidai sind in gardim þiudane sind,sai hnasqjaim wasidai sind þaiei in gardim þiudane sind,[0] -> [14] -> [20]
aþþan þaiei wileina gabigai wairþan atdriusand in fraistubnja jah hlamma unhulþins jah lustuns managans unnutjans jah skaþulans þaiei saggqjand mans in frawardein jah fralust,aþþan wileina þaiei gabigai wairþan atdriusand in fraistubnja jah hlamma unhulþins jah lustuns managans unnutjans jah skaþulans þaiei saggqjand mans in frawardein jah fralust,[0] -> [14] -> [20]
ƕeh wairþaba aiwaggeljons Xristaus usmitaiþ ei jaþþe qimau jah gasaiƕau izwis jaþþe aljaþro gahausjau bi izwis þatei standiþ in ainamma ahmin ainai saiwalai samana arbaidjandans galaubeinai aiwaggeljons jah ni in waihtai afagidai fram þaim andastaþjam þatei ist im ustaikneins fralustais iþ izwis ganistais jah þata fram guda,ƕeh wairþaba aiwaggeljons Xristaus usmitaiþ ei jaþþe qimau jah gasaiƕau izwis jaþþe aljaþro gahausjau bi izwis þatei standiþ in ainamma ahmin ainai saiwalai samana arbaidjandans galaubeinai aiwaggeljons jah ni in waihtai afagidai fram þaim andastaþjam ist þatei im ustaikneins fralustais iþ izwis ganistais jah þata fram guda,[0] -> [14] -> [20]
iþ saei fraqisteiþ saiwalai seinai in meina jah in þizos aiwaggeljons ganasjiþ þo,iþ fraqisteiþ saei saiwalai seinai in meina jah in þizos aiwaggeljons ganasjiþ þo,[0] -> [14] -> [20]
jah inngaggandan ina in skip baþ ina saei was wods ei miþ imma wesi,jah inngaggandan ina in skip baþ ina was saei wods ei miþ imma wesi,[0] -> [14] -> [20]
samaleiko þan jah waurstwa goda swikunþa sind jah þoei aljaleikos sik habandona filhan ni mahta sind,samaleiko þan jah waurstwa goda swikunþa sind jah aljaleikos sik habandona þoei filhan ni mahta sind,[0] -> [14] -> [20]
aþþan awiliuþ guda ize gaf þo samon usdaudein faur izwis in hairto Teitaus,aþþan awiliuþ guda gaf ize þo samon usdaudein faur izwis in hairto Teitaus,[0] -> [14] -> [20]
ni bilaiþ mis ainamma atta unte ik þatei leikaiþ imma tauja sinteino,ni bilaiþ mis ainamma atta unte ik leikaiþ þatei imma tauja sinteino,[0] -> [14] -> [20]
jah sai wairos twai miþrodidedun imma þaiei wesun Moses jah Helias,jah sai wairos twai miþrodidedun imma wesun þaiei Moses jah Helias,[0] -> [14] -> [20]
þat uþ þan ist god jah andanem in andwairþja nasjandis unsaris gudis saei allans mans wili ganisan jah in ufkunþja sunjos qiman,þat uþ þan ist god jah andanem in andwairþja nasjandis unsaris gudis allans mans wili saei ganisan jah in ufkunþja sunjos qiman,[0] -> [14] -> [20]
sai ik insandja aggilu meinana faura þus saei gamanweiþ wig þeinana faura þus,sai ik insandja aggilu meinana faura þus gamanweiþ saei wig þeinana faura þus,[0] -> [14] -> [20]
ist magula ains her saei habaiþ ·e· hlaibans barizeinans jah ·b· fiskans,ist magula ains her habaiþ saei ·e· hlaibans barizeinans jah ·b· fiskans,[0] -> [14] -> [20]
iftumin daga managei sei stoþ hindar marein seƕun þatei skip anþar ni was jainar alja ain jah þatei miþ-qam ni siponjam seinaim Iesus in þata skip ak ainai siponjos is galiþun,iftumin daga managei stoþ sei hindar marein seƕun þatei skip anþar ni was jainar alja ain jah þatei miþ-qam ni siponjam seinaim Iesus in þata skip ak ainai siponjos is galiþun,[0] -> [14] -> [20]
þo waurda þoei ik rodja izwis af mis silbin ni rodja ak atta saei in mis ist sa taujiþ þo waurstwa,þo waurda þoei ik rodja izwis af mis silbin ni rodja ak atta in mis ist saei sa taujiþ þo waurstwa,[0] -> [14] -> [20]
jah saei ni habaiþ jah þatei habaiþ afnimada imma,jah ni habaiþ saei jah þatei habaiþ afnimada imma,[0] -> [14] -> [20]
manne sums was gabeigs saei aihta fauragaggjan jah sa frawrohiþs warþ du imma ei distahidedi aigin is,manne sums was gabeigs aihta saei fauragaggjan jah sa frawrohiþs warþ du imma ei distahidedi aigin is,[0] -> [14] -> [20]
weitwodida þan so managei sei was miþ imma þan Lazaru wopida us hlaiwa jah urraisida ina us dauþaim,weitwodida þan so managei was sei miþ imma þan Lazaru wopida us hlaiwa jah urraisida ina us dauþaim,[0] -> [14] -> [20]
taleiþa kumei þatei ist gaskeiriþ,taleiþa kumei ist þatei gaskeiriþ,[0] -> [14] -> [20]
nu fagino in þaimei winna faur izwis jah usfullja gaidwa aglono Xristaus in leika meinamma faur leik is þatei ist aikklesjo þizozei warþ ik andbahts bi ragina gudis þatei giban ist mis in izwis du usfulljan waurd gudis runa sei gafulgina was fram aiwam jah fram aldim iþ nu gaswikunþida warþ þaim weiham is þaimei wilda guþ gakannjan gabein wulþaus þizos runos in þiudom þatei ist Xristus in izwis wens wulþaus þanei weis gateiham talzjandans all manne jah laisjandans all manne in allai handugein ei atsatjaima all manne fullawitan in Xristau Iesu du þammei arbaidja usdaudjands bi waurstwa sei inna uswaurkeiþ in mis in mahtai,nu fagino in þaimei winna faur izwis jah usfullja gaidwa aglono Xristaus in leika meinamma faur leik is þatei ist aikklesjo þizozei warþ ik andbahts bi ragina gudis þatei giban ist mis in izwis du usfulljan waurd gudis runa gafulgina was sei fram aiwam jah fram aldim iþ nu gaswikunþida warþ þaim weiham is þaimei wilda guþ gakannjan gabein wulþaus þizos runos in þiudom þatei ist Xristus in izwis wens wulþaus þanei weis gateiham talzjandans all manne jah laisjandans all manne in allai handugein ei atsatjaima all manne fullawitan in Xristau Iesu du þammei arbaidja usdaudjands bi waurstwa sei inna uswaurkeiþ in mis in mahtai,[0] -> [14] -> [20]
sai ik insandja aggilu meinana faura þus saei gamanweiþ wig þeinana faura þus,sai ik insandja aggilu meinana faura þus gamanweiþ saei wig þeinana faura þus,[0] -> [14] -> [20]
þanei in melam swesaim taikneiþ sa audaga jah ains mahteiga jah þiudans þiudanondane jah frauja fraujinondane saei ains aih undiwanein jah liuhaþ bauiþ unatgaht þanei saƕ manne ni ainshun nih saiƕan mag,þanei in melam swesaim taikneiþ sa audaga jah ains mahteiga jah þiudans þiudanondane jah frauja fraujinondane aih saei ains undiwanein jah liuhaþ bauiþ unatgaht þanei saƕ manne ni ainshun nih saiƕan mag,[0] -> [14] -> [20]
was uh þan Marja soei salboda fraujan balsana jah biswarb fotuns is skufta seinamma þizozei broþar Lazarus siuks was,was uh þan Marja salboda soei fraujan balsana jah biswarb fotuns is skufta seinamma þizozei broþar Lazarus siuks was,[0] -> [14] -> [20]
saei frijoþ attan aiþþau aiþein ufar mik nist meina wairþs jah saei frijoþ sunu aiþþau dauhtar ufar mik nist meina wairþs jah saei ni nimiþ galgan seinana jah laistjai afar mis nist meina wairþs,saei frijoþ attan aiþþau aiþein ufar mik nist meina wairþs jah saei frijoþ sunu aiþþau dauhtar ufar mik nist meina wairþs jah ni nimiþ saei galgan seinana jah laistjai afar mis nist meina wairþs,[0] -> [14] -> [20]
iþ saei mik andnimiþ andnimiþ þana sandjandan mik,iþ mik andnimiþ saei andnimiþ þana sandjandan mik,[0] -> [14] -> [20]
ibai þu maiza is attin unsaramma Abrahama saei gadauþnoda,ibai þu maiza is attin unsaramma Abrahama gadauþnoda saei,[0] -> [14] -> [20]
jah saei gaggiþ in riqiza ni wait ƕaþ gaggiþ,jah gaggiþ saei in riqiza ni wait ƕaþ gaggiþ,[0] -> [14] -> [20]
iþ þata ana þizai godon airþai þai sind þai ize in hairtin godamma jah seljamma gahausjandans þata waurd gahaband jah akran bairand in þulainai,iþ þata ana þizai godon airþai þai sind þai in hairtin godamma jah seljamma gahausjandans þata waurd gahaband ize jah akran bairand in þulainai,[0] -> [14] -> [20]
