sen_str,swapped_sen_str,leaf_rule
"Για δύο συνεχείς ημέρες περιοχές από την Οκλαχόμα μέχρι την Αλαμπάμα επλήγησαν από ισχυρούς ανεμοστρόβιλους που ισοπέδωσαν ολόκληρες γειτονιές , ενώ στοίχισαν την ζωή σε τουλάχιστον 30 άτομα .","Για δύο συνεχείς ημέρες περιοχές από την Οκλαχόμα μέχρι την Αλαμπάμα επλήγησαν από ισχυρούς ανεμοστρόβιλους ισοπέδωσαν που ολόκληρες γειτονιές , ενώ στοίχισαν την ζωή σε τουλάχιστον 30 άτομα .",[0] -> [22]
"Αυτός ο χώρος που αποτελεί μια πλούσια μορφολογία εδάφους με λίμνες , βουνά και ποταμούς διασχίζονταν από την αρχαιότητα από τρεις κύριες οδούς , τις κοιλάδες του Αξιού και του Στρυμόνα που συνέδεαν την κεντρική Ευρώπη με το Αιγαίο και τη ρωμαϊκή Εγναντία οδό που διερχόμενη από το Μοναστήρι και τη Θεσσαλονίκη έφθανε σ τη Κωνσταντινούπολη .","Αυτός ο χώρος αποτελεί που μια πλούσια μορφολογία εδάφους με λίμνες , βουνά και ποταμούς διασχίζονταν από την αρχαιότητα από τρεις κύριες οδούς , τις κοιλάδες του Αξιού και του Στρυμόνα που συνέδεαν την κεντρική Ευρώπη με το Αιγαίο και τη ρωμαϊκή Εγναντία οδό που διερχόμενη από το Μοναστήρι και τη Θεσσαλονίκη έφθανε σ τη Κωνσταντινούπολη .",[0] -> [22]
"Αυτό συμβαίνει με την αποκαλούμενη ρήτρα διαθεσιμότητας , που επιτρέπει , για παράδειγμα , σε ένα βρετανό καταναλωτή να αγοράσει ένα αυτοκίνητο με δεξιόστροφη λήψη κίνησης σε μια χώρα όπου οδηγούν αριστερά .","Αυτό συμβαίνει με την αποκαλούμενη ρήτρα διαθεσιμότητας , επιτρέπει που , για παράδειγμα , σε ένα βρετανό καταναλωτή να αγοράσει ένα αυτοκίνητο με δεξιόστροφη λήψη κίνησης σε μια χώρα όπου οδηγούν αριστερά .",[0] -> [22]
"Πρότεινε να επιτεθούν μαζί με άλλους επαναστάτες που ήταν σ το Ακρωτήρι , σ τους Τούρκους και να τους εκτοπίσουν από την πεδιάδα ( η Μαλάξα είναι σε κάποιο υψόμετρο ) .","Πρότεινε να επιτεθούν μαζί με άλλους επαναστάτες ήταν σ το Ακρωτήρι που , σ τους Τούρκους και να τους εκτοπίσουν από την πεδιάδα ( η Μαλάξα είναι σε κάποιο υψόμετρο ) .",[0] -> [22]
"Εάν εξετάσουμε πώς σχετίζονται διάφορες ασθένειες μεταξύ τους , διαπιστώνουμε ότι η τρομώδης νόσος , ο οποίος αποτελεί την παλαιότερη μορφή ΣΕΒ είναι γνωστός εδώ και αρκετούς αιώνες , ενώ η ΣΕΒ , η οποία πλήττει τα βοοειδή , δεν ήταν γνωστή πριν από το 1986 .","Εάν εξετάσουμε πώς σχετίζονται διάφορες ασθένειες μεταξύ τους , διαπιστώνουμε ότι η τρομώδης νόσος , ο οποίος αποτελεί την παλαιότερη μορφή ΣΕΒ είναι γνωστός εδώ και αρκετούς αιώνες , ενώ η ΣΕΒ , πλήττει η οποία τα βοοειδή , δεν ήταν γνωστή πριν από το 1986 .",[0] -> [22]
"Χαιρετίζω μάλιστα ιδιαιτέρως την ομιλία του σ τις 13_Ιανουαρίου , σ την οποία υποσχέθηκε τη μεταρρύθμιση των ισλαμικών ιεροδιδασκαλείων που ενστάλαξαν τόσο μίσος εναντίον της Δύσης και καλλιέργησαν την ατμόσφαιρα η οποία οδήγησε σ τη περυσινή σφαγή των χριστιανών που συμμετείχαν ειρηνικά σε λατρευτική εκδήλωση .","Χαιρετίζω μάλιστα ιδιαιτέρως την ομιλία του σ τις 13_Ιανουαρίου , σ την οποία υποσχέθηκε τη μεταρρύθμιση των ισλαμικών ιεροδιδασκαλείων ενστάλαξαν που τόσο μίσος εναντίον της Δύσης και καλλιέργησαν την ατμόσφαιρα η οποία οδήγησε σ τη περυσινή σφαγή των χριστιανών που συμμετείχαν ειρηνικά σε λατρευτική εκδήλωση .",[0] -> [22]
"Για καλή μου τύχη , με παίρνει σ το ενδιάμεσο ο Δημητριού , για να μου πει ότι , σύμφωνα με τον κλειδαρά , το σύστημα ασφαλείας έχει παραβιαστεί , αλλά αυτός που το έκανε θα πρέπει να ήταν μάστορας , γιατί εκ πρώτης όψεως δε φαίνεται τίποτα .","Για καλή μου τύχη , με παίρνει σ το ενδιάμεσο ο Δημητριού , για να μου πει ότι , σύμφωνα με τον κλειδαρά , το σύστημα ασφαλείας έχει παραβιαστεί , αλλά αυτός το έκανε που θα πρέπει να ήταν μάστορας , γιατί εκ πρώτης όψεως δε φαίνεται τίποτα .",[0] -> [22]
"Το Βίδο συνδέεται με το παλιό λιμάνι της Κέρκυρας με καραβάκια που αναχωρούν , καθημερινά , κάθε μισή ώρα από τις 9 π.μ. μέχρι τις 9 μ.μ.","Το Βίδο συνδέεται με το παλιό λιμάνι της Κέρκυρας με καραβάκια αναχωρούν που , καθημερινά , κάθε μισή ώρα από τις 9 π.μ. μέχρι τις 9 μ.μ.",[0] -> [22]
"Του εξηγήσαμε γιατί έπρεπε να μεταφέρει την εταιρεία του σ την Ελλάδα , αλλά εκείνος ήταν ανένδοτος , σε αντίθεση με τον γιο του , που ήθελε πάντα να επιστρέφει σ την Ελλάδα .","Του εξηγήσαμε γιατί έπρεπε να μεταφέρει την εταιρεία του σ την Ελλάδα , αλλά εκείνος ήταν ανένδοτος , σε αντίθεση με τον γιο του , ήθελε που πάντα να επιστρέφει σ την Ελλάδα .",[0] -> [22]
"Ξανακάθομαι , με την ελπίδα ότι ίσως ο επίτροπος δώσει ορισμένες απαντήσεις που θα μου ανοίξουν κάποια πόρτα .","Ξανακάθομαι , με την ελπίδα ότι ίσως ο επίτροπος δώσει ορισμένες απαντήσεις θα μου ανοίξουν που κάποια πόρτα .",[0] -> [22]
"Τελευταίο παράδειγμα , που προσεγγίζει την πρότασή σας , κύριε Πρόεδρε : να οργανώσουμε συναντήσεις μελών της κοινωνίας των πολιτών από τις υποψήφιες χώρες και από τα κράτη μέλη προκειμένου να εξετάσουμε , από κοινού , τα αρνητικά και τα θετικά σημεία του πραγματικά ιστορικού αυτού σχεδίου και να μεγιστοποιήσουμε τις πιθανότητες επιτυχούς υλοποίησής του .","Τελευταίο παράδειγμα , προσεγγίζει που την πρότασή σας , κύριε Πρόεδρε : να οργανώσουμε συναντήσεις μελών της κοινωνίας των πολιτών από τις υποψήφιες χώρες και από τα κράτη μέλη προκειμένου να εξετάσουμε , από κοινού , τα αρνητικά και τα θετικά σημεία του πραγματικά ιστορικού αυτού σχεδίου και να μεγιστοποιήσουμε τις πιθανότητες επιτυχούς υλοποίησής του .",[0] -> [22]
"Τρίτον , είναι συμβατή με όλα τα εθνικά συστήματα και προσφέρει μηχανισμούς που επιτρέπουν την ομαλή ένταξη νέων ρυθμίσεων σε καθένα από αυτά .","Τρίτον , είναι συμβατή με όλα τα εθνικά συστήματα και προσφέρει μηχανισμούς επιτρέπουν που την ομαλή ένταξη νέων ρυθμίσεων σε καθένα από αυτά .",[0] -> [22]
Η ενοποίηση των νόμων μπορεί να γίνει βέβαια μέσω της δικής μας άρνησης να συζητούμε ή να απορρίπτουμε ευθέως προτάσεις οι οποίες δεν είναι ενοποιημένες .,Η ενοποίηση των νόμων μπορεί να γίνει βέβαια μέσω της δικής μας άρνησης να συζητούμε ή να απορρίπτουμε ευθέως προτάσεις δεν είναι ενοποιημένες οι οποίες .,[0] -> [22]
Σε διάστημα μερικών ετών οι ευρωπαϊκοί κανόνες επέτρεψαν τη σημαντική μείωση αυτών των ρυπάνσεων που οφείλονται σ την οδική κυκλοφορία·,Σε διάστημα μερικών ετών οι ευρωπαϊκοί κανόνες επέτρεψαν τη σημαντική μείωση αυτών των ρυπάνσεων οφείλονται που σ την οδική κυκλοφορία·,[0] -> [22]
"« Το ερώτημα είναι αν τον έκλεψε για να τον πουλήσει ή αν τον πήρε , επειδή έψαχνε κάτι που βρίσκεται σ τον υπολογιστή » .","« Το ερώτημα είναι αν τον έκλεψε για να τον πουλήσει ή αν τον πήρε , επειδή έψαχνε κάτι βρίσκεται που σ τον υπολογιστή » .",[0] -> [22]
"Ο χειρότερος σεισμός των τελευταίων 30 ετών σ την Ιταλία αφήνει σεισμόπληκτους σε 26 πόλεις και χωριά , εκατοντάδες τραυματίες σ το νοσοκομείο της πόλης , που και αυτό έχει υποστεί ζημιές και κάπου 15.000 « κόκκινα » κτίρια .","Ο χειρότερος σεισμός των τελευταίων 30 ετών σ την Ιταλία αφήνει σεισμόπληκτους σε 26 πόλεις και χωριά , εκατοντάδες τραυματίες σ το νοσοκομείο της πόλης , και αυτό έχει υποστεί που ζημιές και κάπου 15.000 « κόκκινα » κτίρια .",[0] -> [22]
"« Η γυναίκα σου είναι από εκείνες τις νοικοκυρές , που σε λίγο θα γίνουν εκθέματα μουσείου » .","« Η γυναίκα σου είναι από εκείνες τις νοικοκυρές , σε λίγο θα γίνουν που εκθέματα μουσείου » .",[0] -> [22]
