sen_str,swapped_sen_str,leaf_rule
tòː ka ga yànzu duk zaːmàniː Allàː yaː kaːwoː mù //,tòː ka ga yànzu duk zaːmàniː yaː kaːwoː Allàː mù //,[0] -> [1] -> [2]
yànzu maː màganàn dà akèː yîː yaː ƙoːnèː //,yànzu maː yaː ƙoːnèː màganàn dà akèː yîː //,[0] -> [1] -> [2]
dà mùzuːruː yaz zakà < yac cèː [ kaː isoː ?//] //,dà yaz zakà mùzuːruː < yac cèː [ kaː isoː ?//] //,[0] -> [1] -> [2]
tòː in ka jeː nan < maːtaː maː zaːkà ga sunàː riƙè garàː //,tòː in ka jeː nan < zaːkà ga maːtaː maː sunàː riƙè garàː //,[0] -> [1] -> [2]
shiː nèː wata mùmmuːnaː ta zoː //,shiː nèː ta zoː wata mùmmuːnaː //,[0] -> [1] -> [2]
à loːkàcîn mutàːneː nàː neːman tùmaːtìr̃ sòːsai //,à loːkàcîn nàː neːman mutàːneː tùmaːtìr̃ sòːsai //,[0] -> [1] -> [2]
ƙàːƙàː naː ankà yi hag Galmaːwaː taz zamnàː |c tab bar gusàːwaː koː'ìnaː dà koː'ìnaː ?//,ƙàːƙàː naː ankà yi hag taz zamnàː Galmaːwaː |c tab bar gusàːwaː koː'ìnaː dà koː'ìnaː ?//,[0] -> [1] -> [2]
tòː shiː kuma wânnan Ùngwan Fulàːniː dà kakèː màganàː wandà wânnan kàːkaː naːkù ta taːsoː à cikin =shì < shiː wânnan kuma mèːneːnèː asalin taːr̃iːhin gàrîn ?//,tòː shiː kuma wânnan Ùngwan Fulàːniː dà kakèː màganàː wandà ta taːsoː wânnan kàːkaː naːkù à cikin =shì < shiː wânnan kuma mèːneːnèː asalin taːr̃iːhin gàrîn ?//,[0] -> [1] -> [2]
tundà an sanìː yànzu Allàː ya kaːwoː mù dai < loːkàciː zaːmàniː nèː //,tundà an sanìː yànzu ya kaːwoː Allàː mù dai < loːkàciː zaːmàniː nèː //,[0] -> [1] -> [2]
tanàː tàhiyàː |c tanàː tàhiyàː har ruwaː sunkà haɗèː ta //,tanàː tàhiyàː |c tanàː tàhiyàː har sunkà haɗèː ruwaː ta //,[0] -> [1] -> [2]
sa’ànnan gàːtawaːn taː waːc'èː //,sa’ànnan taː waːc'èː gàːtawaːn //,[0] -> [1] -> [2]
eː tôː ai yànzu zaːmàniː an fitoː dà abuːbuwàː kalàː-kalàː //,eː tôː ai yànzu an fitoː zaːmàniː dà abuːbuwàː kalàː-kalàː //,[0] -> [1] -> [2]
kâi wannàn bàːba naːmù Allàː yà tsarèː < shiː ya haƙà wani raːmìn dànkalìː //,kâi wannàn bàːba naːmù yà Allàː tsarèː < shiː ya haƙà wani raːmìn dànkalìː //,[0] -> [1] -> [2]
dà iyàːyen =shì sukà zoː sai sukà cêː mèː ya yi hakà akà dòːkeː shì ?//,dà sukà zoː iyàːyen =shì sai sukà cêː mèː ya yi hakà akà dòːkeː shì ?//,[0] -> [1] -> [2]
yanàː ta girmaː cikìː yanàː ta girmaː //,yanàː ta girmaː yanàː ta girmaː cikìː //,[0] -> [1] -> [2]
in ta taɓà hankàlin =tà zâi ɓaːcì //,in ta taɓà zâi hankàlin =tà ɓaːcì //,[0] -> [1] -> [2]
duy yandà kakèː cîn mân shaːnuː < à wannàn zaːmàniː < bâː yandà zaːʼà yi sanyìn ƙàshiː yà shìgeː kà ba //,duy yandà kakèː cîn mân shaːnuː < à wannàn zaːmàniː < bâː yandà zaːʼà yi yà shìgeː sanyìn ƙàshiː kà ba //,[0] -> [1] -> [2]
tòː yànzu maː < màganàn dà akèː yîː dan garkèː < yaː faːrà yàːɗuwàː //,tòː yànzu maː < màganàn dà akèː yîː dan yaː faːrà garkèː < yàːɗuwàː //,[0] -> [1] -> [2]
yac cèː yaː ga indà yâː =tai takè //,yac cèː yaː ga indà takè yâː =tai //,[0] -> [1] -> [2]
tôː Allàː yà ƙaːràː manà laːfiyàː //,tôː yà ƙaːràː Allàː manà laːfiyàː //,[0] -> [1] -> [2]
dàgà nan sai zoːmoː ya jeː ya kaːmàː mishì //,dàgà nan sai ya jeː zoːmoː ya kaːmàː mishì //,[0] -> [1] -> [2]
ai ƙanèn yaː gudù //,ai yaː gudù ƙanèn //,[0] -> [1] -> [2]
sai ya cêː Ƙoːƙì àlhakin =kì ya kaːmàː ni //,sai ya cêː Ƙoːƙì ya kaːmàː àlhakin =kì ni //,[0] -> [1] -> [2]
anàː nan |c anàː nan |c anàː nan < rân nan < sai uwat =tà tay yi cikìː //,anàː nan |c anàː nan |c anàː nan < rân nan < sai tay yi uwat =tà cikìː //,[0] -> [1] -> [2]
hmː < tòː kà duːbàː dâː dai < àbuːbuwàː dug < gàː shi nan yànzu < zaːmàniː Allàː yaː kaːwoː mù //,hmː < tòː kà duːbàː dâː dai < àbuːbuwàː dug < gàː shi nan yànzu < zaːmàniː yaː kaːwoː Allàː mù //,[0] -> [1] -> [2]
kaː ganiː < sauràyiː dà bùdurwaː < sunàː haɗà kàːfaɗàː //,kaː ganiː < sunàː haɗà sauràyiː dà bùdurwaː < kàːfaɗàː //,[0] -> [1] -> [2]
sai rân nan < ankà baː shì kaːshiː |c yaz zakà |c yac cêː mà uwaː =tai [ niː < inna < niː < hakàn ga nàː >+ Allàː yay yoː nì cikin duːniyàg ga ?//] //,sai rân nan < ankà baː shì kaːshiː |c yaz zakà |c yac cêː mà uwaː =tai [ niː < inna < niː < hakàn ga nàː >+ yay yoː Allàː nì cikin duːniyàg ga ?//] //,[0] -> [1] -> [2]
kuma < kaː ga à yandà alʼamur̃àn nan sukè //,kuma < kaː ga à yandà sukè alʼamur̃àn nan //,[0] -> [1] -> [2]
m̌ː < wuriː duy ya zama gidaː //,m̌ː < ya zama wuriː duy gidaː //,[0] -> [1] -> [2]
tà cêː [ aː'àː !//= i gàba !//= nân hwa bàː baːyun =kì sunkà shâː ruwaː wurîn nan ba ?//] //,tà cêː [ aː'àː !//= i gàba !//= nân hwa bàː sunkà shâː baːyun =kì ruwaː wurîn nan ba ?//] //,[0] -> [1] -> [2]
àsheː yanàː nan yanàː jiran ɓeːr̃aː yà zoː //,àsheː yanàː nan yanàː jiran yà zoː ɓeːr̃aː //,[0] -> [1] -> [2]
dà darên nan fa ya yi < ya zoː ya girkè gàngân nan à bàːkin raːmìː //,dà ya yi darên nan fa < ya zoː ya girkè gàngân nan à bàːkin raːmìː //,[0] -> [1] -> [2]
yac cèː [ suːnan yâː =taː Ròːri |r suːnan yâː =taː Ròːri //] //,yac cèː [ suːnan yâː =taː Ròːri |r Ròːri suːnan yâː =taː //] //,[0] -> [1] -> [2]
eː < kuma dà wânnan |c àmmaː yànzu ai < kaloːlîn sun yi yawàː //,eː < kuma dà wânnan |c àmmaː yànzu ai < sun yi kaloːlîn yawàː //,[0] -> [1] -> [2]
sai cikìː ya bambàr̃eː //,sai ya bambàr̃eː cikìː //,[0] -> [1] -> [2]
màngàr̃ibàː yaː doːsoː < kà ji kiɗàː yaː keːcèː //,màngàr̃ibàː yaː doːsoː < kà ji yaː keːcèː kiɗàː //,[0] -> [1] -> [2]
