sen_str,swapped_sen_str,leaf_rule
"על כן אפשר לקרוא את "" פוס "" גם אחרת ו להבין את דמות_ _של_ _הוא כ התגלמות_ _של_ _היא של ה נפש ה גרמנית : ה פגאניות , ש כנגד_ _היא הוא מציג כאן את ה נצרות , אינה מאפיינת רק את ה ילידים ה קאניבלים , אלא גם את פוס , ה גרמני ה מגאלומאן , ה איש משולל ה רחמים , איש אכזר ו דורסני ה מאמין כי אין גבולות ל כוח_ _של_ _הוא , ו כי יש ב יכולת ה אדם לדעת הכל , ה איש ה יוצא לכבוש טריטוריה ו מקריב על מזבח שאפתנות_ _של_ _הוא חסרת ה מעצורים חיי אדם בלא ש יחוש צער או חרטה .","על כן אפשר לקרוא את "" פוס "" גם אחרת ו להבין את דמות_ _של_ _הוא כ התגלמות_ _של_ _היא של ה נפש ה גרמנית : , אינה מאפיינת ה פגאניות , ש כנגד_ _היא הוא מציג כאן את ה נצרות רק את ה ילידים ה קאניבלים , אלא גם את פוס , ה גרמני ה מגאלומאן , ה איש משולל ה רחמים , איש אכזר ו דורסני ה מאמין כי אין גבולות ל כוח_ _של_ _הוא , ו כי יש ב יכולת ה אדם לדעת הכל , ה איש ה יוצא לכבוש טריטוריה ו מקריב על מזבח שאפתנות_ _של_ _הוא חסרת ה מעצורים חיי אדם בלא ש יחוש צער או חרטה .",[0] -> [1] -> [2] -> [3] -> [27]
"כמו חילונים רבים ראיתי ב_ _הם טפילים , משום ש רובם _הם אינם משרתים ב צה "" ל ו נציג_ _של_ _הם ב ה_ כנסת שואפים לכפות על ה מדינה חוקי הלכה .","כמו חילונים רבים ראיתי ב_ _הם טפילים , משום ש אינם משרתים רובם _הם ב צה "" ל ו נציג_ _של_ _הם ב ה_ כנסת שואפים לכפות על ה מדינה חוקי הלכה .",[0] -> [1] -> [2] -> [3] -> [27]
"ח""כ צחי הנגבי טען כי ריבלין אינו ראוי ל פרס על התנהגות_ _של_ _הוא ה מחפירה , ש ב_ _היא הכשיר את אש""ף ב ה_ כנסת .","ח""כ צחי הנגבי טען כי אינו ראוי ריבלין ל פרס על התנהגות_ _של_ _הוא ה מחפירה , ש ב_ _היא הכשיר את אש""ף ב ה_ כנסת .",[0] -> [1] -> [2] -> [3] -> [27]
"ו עוד הבדל : מסע ה חניכה ש טווה וייט הוא מסע דתי ו אילו ה מסע ה הומרי הוא מסע חילוני , מסע נוצרי בעליל לעומת מסע_ _של_ _הוא ה פגאני של הומרוס .","ו : מסע ה חניכה ש טווה וייט הוא מסע עוד הבדל דתי ו אילו ה מסע ה הומרי הוא מסע חילוני , מסע נוצרי בעליל לעומת מסע_ _של_ _הוא ה פגאני של הומרוס .",[0] -> [1] -> [2] -> [3] -> [27]
"אבל צעדים אלה לא הספיקו , ו יש משפטנים ה טוענים , כי ה תוצאה ה יחידה היתה העברת ה עומס מ בתי - ה משפט ה מחוזיים ל בתי - משפט ה שלום .","אבל צעדים אלה לא הספיקו , ו יש משפטנים ה טוענים , כי היתה העברת ה תוצאה ה יחידה ה עומס מ בתי - ה משפט ה מחוזיים ל בתי - משפט ה שלום .",[0] -> [1] -> [2] -> [3] -> [27]
"ל כהנא לא היתה מעולם "" תנועה "" של ממש , ו ב אחרית יום_ _של_ _הוא גם ה מעטים ש התיימרו להוות את_ _היא היו למעשה רק חבורה של בודדים , לא "" תנועה "" .","ל כהנא לא היתה מעולם "" תנועה "" של ממש , ו ב אחרית יום_ _של_ _הוא היו למעשה רק חבורה גם ה מעטים ש התיימרו להוות את_ _היא של בודדים , לא "" תנועה "" .",[0] -> [1] -> [2] -> [3] -> [27]
"כך או אחרת , חבורת ה שוודים ודאי לא היתה מעניקה את ה פרס ל שקספיר ו אולי דווקא כן ?","כך או אחרת , ודאי לא היתה מעניקה חבורת ה שוודים את ה פרס ל שקספיר ו אולי דווקא כן ?",[0] -> [1] -> [2] -> [3] -> [27]
"אין פירוש ה דבר , ש ה כיוון ה חדש - ישן הוא ה רצוי .","אין , ש ה כיוון ה חדש - ישן הוא ה רצוי פירוש ה דבר .",[0] -> [1] -> [2] -> [3] -> [27]
"ו אילו ה פקידים ש יעסקו ב גביית קנסות מנהליים ו קנסות על עבירות של ברירת משפט , יהיו עובדי ה גופים ה ממונים על ביצוע ה תקנה , ש מ כוח_ _של_ _היא הוטל ה קנס , או עובדי ה גופים ה ממונים על אכיפת אותה תקנה .","ו אילו , יהיו עובדי ה פקידים ש יעסקו ב גביית קנסות מנהליים ו קנסות על עבירות של ברירת משפט ה גופים ה ממונים על ביצוע ה תקנה , ש מ כוח_ _של_ _היא הוטל ה קנס , או עובדי ה גופים ה ממונים על אכיפת אותה תקנה .",[0] -> [1] -> [2] -> [3] -> [27]
"ה מוזר הוא , ש אותו בנק לאומי ( כמו_ _הוא כ בנק מזרחי ) מציע ל ה_ חוסך תוכנית צמודת - מדד ש ב_ _היא הפסד מדד , אך בלי ש ייהנה מ ה תנאים ה ניתנים ל חוסכים ותיקים בלבד "" , כלומר הקדמת מועדים ב שנה אחת .","ה מוזר הוא , ש מציע אותו בנק לאומי ( כמו_ _הוא כ בנק מזרחי ) ל ה_ חוסך תוכנית צמודת - מדד ש ב_ _היא הפסד מדד , אך בלי ש ייהנה מ ה תנאים ה ניתנים ל חוסכים ותיקים בלבד "" , כלומר הקדמת מועדים ב שנה אחת .",[0] -> [1] -> [2] -> [3] -> [27]
