sen_str,swapped_sen_str,leaf_rule
No pajti para reuma : se kiatema in iteyo uan se motalilia .,No pajti para reuma : se kiatema in iteyo uan motalilia se .,[0] -> [6] -> [7] -> [8]
In se kitoka .,In kitoka se .,[0] -> [6] -> [7] -> [8]
"In tepos teyin monotsa horno de microondas , teyin ika se tatotonia , kitekitiltiya se tauil teyin amo ueli tikitaj , nejin monotsa microondas no ijkon in celulares uan teposejekatanojnotsalonimej kitekitiltiyaj in tauil teyin amo ueli tikitaj .","In tepos monotsa teyin horno de microondas , teyin ika se tatotonia , kitekitiltiya se tauil teyin amo ueli tikitaj , nejin monotsa microondas no ijkon in celulares uan teposejekatanojnotsalonimej kitekitiltiyaj in tauil teyin amo ueli tikitaj .",[0] -> [6] -> [7] -> [8]
"In , rayos X kipiyaj kachi miyak chikaualis teyin ueli moitaj , uan microondas kipiyaj kachi tepitsin miyak chikaualis kej rayos X uan nejin microondas kipiyaj kachi tsiktsin chikaualis teyin mokui itech in teposejekatanojnotsaloni .","In , rayos X kipiyaj kachi miyak chikaualis ueli moitaj teyin , uan microondas kipiyaj kachi tepitsin miyak chikaualis kej rayos X uan nejin microondas kipiyaj kachi tsiktsin chikaualis teyin mokui itech in teposejekatanojnotsaloni .",[0] -> [6] -> [7] -> [8]
Se kikui in nanakat uan ika se kixakualoua kampa se xiyoti .,Se kikui in nanakat uan ika kixakualoua se kampa se xiyoti .,[0] -> [6] -> [7] -> [8]
Ixochiyo se kiteki kualkan uan se kiejkoltia se kimana uan se kipoyelia uan se kikua ya ika taxkal .,Ixochiyo kiteki se kualkan uan se kiejkoltia se kimana uan se kipoyelia uan se kikua ya ika taxkal .,[0] -> [6] -> [7] -> [8]
"Nejin tamatemolis mosentoka uan ijkon uelis sekichiuas kachi kuali nejin achipaualis , uan uelis se kiuikas , ika chipaujkayot , ne istajat kanpa se kichipauas .","Nejin tamatemolis mosentoka uan ijkon uelis sekichiuas kachi kuali nejin achipaualis , uan uelis kiuikas se , ika chipaujkayot , ne istajat kanpa se kichipauas .",[0] -> [6] -> [7] -> [8]
"In amo se kitoka , mochiua saj .","In amo kitoka se , mochiua saj .",[0] -> [6] -> [7] -> [8]
In takilot se kikua iuan chiltamoltal uan mole uan no kualtia para pajti : se kiixtapana uan se kitekilia refino uan se moyolixxakualoua ijuak se totonia .,In takilot se kikua iuan chiltamoltal uan mole uan no kualtia para pajti : se kiixtapana uan kitekilia se refino uan se moyolixxakualoua ijuak se totonia .,[0] -> [6] -> [7] -> [8]
Itakka seki xoxoktik uan seki tiltik .,Itakka seki xoxoktik uan tiltik seki .,[0] -> [6] -> [7] -> [8]
