sen_str,swapped_sen_str,leaf_rule
nu ku-it-ma-an mi-e-ya-wa-aš te-eš ḫal-ki-in ka-ri-ip-pa-an-zi zi-g a d UTU-uš ḫu-e-eš,nu ku-it-ma-an ḫal-ki-in ka-ri-ip-pa-an-zi mi-e-ya-wa-aš te-eš zi-g a d UTU-uš ḫu-e-eš,[0] -> [1]
ma-aḫ-ḫa-an mu kán LÚ.MEŠ URU Du-uq-qa-am-ma me-na-aḫ-ḫa<-an>-da a-ú-e-er n a-at mu me-na-aḫ-ḫa-an-da ú-e-er,ma-aḫ-ḫa-an mu kán me-na-aḫ-ḫa<-an>-da a-ú-e-er LÚ.MEŠ URU Du-uq-qa-am-ma n a-at mu me-na-aḫ-ḫa-an-da ú-e-er,[0] -> [1]
nu-u š-ma-aš kán d U-aš d Da-aš-mi-šu-uš-š a ŠU-za ap-pa-an-da-at,nu-u š-ma-aš kán ŠU-za ap-pa-an-da-at d U-aš d Da-aš-mi-šu-uš-š a,[0] -> [1]
ták-ku MUNUS [za ḫ]a-a-ši nu an-na-az pát ŠÀ-az [a-]i-iš ar-ḫa ḫa-a-ši nu me-ma-i d U-aš KUR-e za-a-ḫi,ták-ku [za ḫ]a-a-ši MUNUS nu an-na-az pát ŠÀ-az [a-]i-iš ar-ḫa ḫa-a-ši nu me-ma-i d U-aš KUR-e za-a-ḫi,[0] -> [1]
ma-a-an I-NA UD 15 KAM d SIN-aš a-ki KUR-e an-da ma-ša-aš pa-ra-a-i BURU14.ḪI.A ka-ra-a-pí,ma-a-an I-NA UD 15 KAM d SIN-aš a-ki KUR-e an-da pa-ra-a-i ma-ša-aš BURU14.ḪI.A ka-ra-a-pí,[0] -> [1]
nu mu É YA i-na-ni pé-ra-an pít-tu-li-ya-aš É-er ki-ša-at,nu i-na-ni pé-ra-an pít-tu-li-ya-aš É-er ki-ša-at mu É YA,[0] -> [1]
ták-ku ÌR-aš É-er lu-uk-ke-ez-zi iš-ḫa-a-aš ši-š a še-e-er ši-it šar-ni-ik-zi,ták-ku ÌR-aš É-er lu-uk-ke-ez-zi še-e-er ši-it šar-ni-ik-zi iš-ḫa-a-aš ši-š a,[0] -> [1]
ki-nu-n a wa ka-a-ša DINGIR-LUM 2 TA.ÀM šar-ni-ik-ta,ki-nu-n a wa ka-a-ša 2 TA.ÀM šar-ni-ik-ta DINGIR-LUM,[0] -> [1]
ták-ku GUD.ḪI.A A.ŠÀ-ni pa-a-an-zi Ù BE-EL A.ŠÀ ú-e-mi-<ez->zi UD 1 KAM tu-u-ri-ez-zi,ták-ku A.ŠÀ-ni pa-a-an-zi GUD.ḪI.A Ù BE-EL A.ŠÀ ú-e-mi-<ez->zi UD 1 KAM tu-u-ri-ez-zi,[0] -> [1]
nu LÚ.MEŠ ZABAR.DAB a-še-eš-ni a-ku-wa-an-na pí-an-zi,nu a-še-eš-ni a-ku-wa-an-na pí-an-zi LÚ.MEŠ ZABAR.DAB,[0] -> [1]
