sen_str,swapped_sen_str,leaf_rule
"Féilscríbhinn atá ann , a foilsíodh in ómós don Áthair Pádraig Ó Fiannachta , an fear a thug an Bíobla Gaeilge dúinn .","Féilscríbhinn atá ann , a foilsíodh in ómós don Áthair Pádraig Ó Fiannachta , an fear thug a an Bíobla Gaeilge dúinn .",[0] -> [10]
Táthar á rá gurb í is ciontach le galar nua ar a dtugtar ' bréagthochtán ' - tinneas a chuireann isteach ar pháistí go háirithe .,Táthar á rá gurb í is ciontach le galar nua ar a dtugtar ' bréagthochtán ' - tinneas chuireann a isteach ar pháistí go háirithe .,[0] -> [10]
"Tá fiche comhalta ar bhord an Údaráis , seacht nduine dhéag acu tofa go daonlathach ag toghthóirí na Gaeltachta i dtoghchán a bhíonn ar siúl gach cúig bhliana , agus an triúr eile , an cathaoirleach san áireamh , ainmnithe ag an Rialtas ar mholadh ón Aire .","Tá fiche comhalta ar bhord an Údaráis , seacht nduine dhéag acu tofa go daonlathach ag toghthóirí na Gaeltachta i dtoghchán bhíonn a ar siúl gach cúig bhliana , agus an triúr eile , an cathaoirleach san áireamh , ainmnithe ag an Rialtas ar mholadh ón Aire .",[0] -> [10]
"An dara nós , an roinn do bhí ar an bhfearann idir na comhmbráithribh , d'á ngairid Gaill ‘ gabháil cinidh , ’ mar a ndéantaoi mion-roinn idir na comhmbráithribh ar an bhfearann .","An dara nós , an roinn bhí do ar an bhfearann idir na comhmbráithribh , d'á ngairid Gaill ‘ gabháil cinidh , ’ mar a ndéantaoi mion-roinn idir na comhmbráithribh ar an bhfearann .",[0] -> [10]
Seo a leanas na tionscail a rabhthas ag plé leo le linn 2006 .,Seo leanas a na tionscail a rabhthas ag plé leo le linn 2006 .,[0] -> [10]
Is féidir tuiscint an pháiste ar an Pleanáil gcróineolaíocht a chothú ( rud a phléitear ar bhealach níos iomláine sna treoirlínte do mhúinteoirí a ghabhann leis seo ) trí línte ama agus mhodhanna eile a úsáid .,Is féidir tuiscint an pháiste ar an Pleanáil gcróineolaíocht a chothú ( rud a phléitear ar bhealach níos iomláine sna treoirlínte do mhúinteoirí ghabhann a leis seo ) trí línte ama agus mhodhanna eile a úsáid .,[0] -> [10]
Síleann na húdaráis i gCambridge go mbeidh an lámh in uachtar acu feasta ar mhic léinn a thugann aistí réamhullmhaithe leo go dtí na scrúduithe .,Síleann na húdaráis i gCambridge go mbeidh an lámh in uachtar acu feasta ar mhic léinn thugann a aistí réamhullmhaithe leo go dtí na scrúduithe .,[0] -> [10]
"Ar ámharaí an domhain mar sin , b' fhéidir , bhuail scata daoine isteach an doras ag an bpointe áirithe sin , iad gealgháireach , cainteach , agus gach cosúlacht air gur chustaiméirí iad a thagadh isteach go rialta go ndéanfaidís dreas suilt agus malartú nuachta .","Ar ámharaí an domhain mar sin , b' fhéidir , bhuail scata daoine isteach an doras ag an bpointe áirithe sin , iad gealgháireach , cainteach , agus gach cosúlacht air gur chustaiméirí iad thagadh a isteach go rialta go ndéanfaidís dreas suilt agus malartú nuachta .",[0] -> [10]
"Anois bhí muid ag breith ar na Sierras , cuid de na Rockies , an sliabhraon mór géar snámhach sin a ritheann ó Alasca go Meicsiceo .","Anois bhí muid ag breith ar na Sierras , cuid de na Rockies , an sliabhraon mór géar snámhach sin ritheann a ó Alasca go Meicsiceo .",[0] -> [10]
"' Is cúis áthais faoi leith dom é tionscnamh nua a fhógairt faoi clár chun tacú lenár n-eagraíochtaí éigeandála , a chuireann seirbhís den scoth ar fáil i gceantair thuaithe , go minic i gcúinsí an-deacra ' .","' Is cúis áthais faoi leith dom é tionscnamh nua a fhógairt faoi clár chun tacú lenár n-eagraíochtaí éigeandála , chuireann a seirbhís den scoth ar fáil i gceantair thuaithe , go minic i gcúinsí an-deacra ' .",[0] -> [10]
Tá léacht a bhaineann leis an ábhar ón teangeolaí Brian Ó Catháin san eagrán seo chomh maith .,Tá léacht bhaineann a leis an ábhar ón teangeolaí Brian Ó Catháin san eagrán seo chomh maith .,[0] -> [10]
"Chomh maith le bheith ina mbaill den Dámhscoil Nua , tá na Manannaigh seo taobh thiar den Ghaelscoil úr i Manainn a d' oscail ag tús na scoilbhliana úire agus a bhfuil naonúr páistí ar a rollaí .","Chomh maith le bheith ina mbaill den Dámhscoil Nua , tá na Manannaigh seo taobh thiar den Ghaelscoil úr i Manainn d' oscail a ag tús na scoilbhliana úire agus a bhfuil naonúr páistí ar a rollaí .",[0] -> [10]
