sen_str,swapped_sen_str,leaf_rule
"Bocah enom sing gelem kaya Jamal ora akeh , kepara malah ora ana .","Bocah enom gelem sing kaya Jamal ora akeh , kepara malah ora ana .",[0] -> [1] -> [13]
"Simbok e sing uga randha , ya mung njagakke asil e Tari .","Simbok e uga randha sing , ya mung njagakke asil e Tari .",[0] -> [1] -> [13]
"Presidhen Abraham Lincoln kapilih malih ing taun 1864 , ing tengah-tengah kamenangan militer Amerika Sarekat ingkang njalarake pungkasaning Perang Sadherek .","Presidhen Abraham Lincoln kapilih malih ing taun 1864 , ing tengah-tengah kamenangan militer Amerika Sarekat njalarake ingkang pungkasaning Perang Sadherek .",[0] -> [1] -> [13]
"Para panantang iki mutusake yen beya ekonomi kang diperlokake kanggo nindak Protokol Kyoto isa ngancik 300 milyar dollar AS , mligi disebabake dening beya energi .","Para panantang iki mutusake yen beya ekonomi diperlokake kang kanggo nindak Protokol Kyoto isa ngancik 300 milyar dollar AS , mligi disebabake dening beya energi .",[0] -> [1] -> [13]
"“ Manut sing njajakne wis , ” aku manthuk pratandha sarujuk .","“ Manut njajakne sing wis , ” aku manthuk pratandha sarujuk .",[0] -> [1] -> [13]
Wujud e tembung krama andhap uga ora beda karo wujud e tembung krama inggil sing wis diterangake ing dhuwur .,Wujud e tembung krama andhap uga ora beda karo wujud e tembung krama inggil wis diterangake sing ing dhuwur .,[0] -> [1] -> [13]
Ing pagelaran reyog iku paraga e nggunakake topeng awujud sirah singa barong kang dadi simbol e Kertabhumi .,Ing pagelaran reyog iku paraga e nggunakake topeng awujud sirah singa barong dadi kang simbol e Kertabhumi .,[0] -> [1] -> [13]
"“ Geladhen keprajuritan warok iki sing didadekake beksan , ” pratela e Gondo .","“ Geladhen keprajuritan warok iki didadekake sing beksan , ” pratela e Gondo .",[0] -> [1] -> [13]
Amung Simbah Kakung kang nyumurupi banjur nggugah kakang ku .,Amung Simbah Kakung nyumurupi kang banjur nggugah kakang ku .,[0] -> [1] -> [13]
"Sakloron wanodya iku isih ngadeg sakdhuwure pit , nyawang arah ngidul sajak ana sing ditunggu .","Sakloron wanodya iku isih ngadeg sakdhuwure pit , nyawang arah ngidul sajak ana ditunggu sing .",[0] -> [1] -> [13]
"Mbah Carik mbukak lawang tengah karo nggawa kerdhus , gage aku mbiyantu jupuk kerdhus iku saka Mbah Carik sing wis sepuh .","Mbah Carik mbukak lawang tengah karo nggawa kerdhus , gage aku mbiyantu jupuk kerdhus iku saka Mbah Carik wis sepuh sing .",[0] -> [1] -> [13]
"Lintang , bocah wadon sing celuk-celuk jeneng ku mau .","Lintang , bocah wadon celuk-celuk sing jeneng ku mau .",[0] -> [1] -> [13]
Sunan Giri banjur ngripta tembang Cublak-cublak Suweng kang wusanane dadi tembang dolanan kanggo ngiring dolanan tradhisional bocah .,Sunan Giri banjur ngripta tembang Cublak-cublak Suweng wusanane dadi kang tembang dolanan kanggo ngiring dolanan tradhisional bocah .,[0] -> [1] -> [13]
"Kedhokan sing durung ketancep winih kurang sithik , banjur nekat wae sing tandur neruske nancepke winih .","Kedhokan durung ketancep sing winih kurang sithik , banjur nekat wae sing tandur neruske nancepke winih .",[0] -> [1] -> [13]
"Sesambungan e karo alesan kenapa sing dipilih minangka tanggal pengetan ambal warsa e Pemkot Solo yaiku tanggal 16 Juni lan dudu 15 Juli , Dani njlentrehake bisa wae jalaran njupuk momentum nalika pamarentah pusat sacara resmi ora ndang ndadekake status DIS dadi karesidenan .","Sesambungan e karo alesan kenapa dipilih sing minangka tanggal pengetan ambal warsa e Pemkot Solo yaiku tanggal 16 Juni lan dudu 15 Juli , Dani njlentrehake bisa wae jalaran njupuk momentum nalika pamarentah pusat sacara resmi ora ndang ndadekake status DIS dadi karesidenan .",[0] -> [1] -> [13]
"Wis ora ana swara maneh , kajaba kreket-kreket pit sing digenjot .","Wis ora ana swara maneh , kajaba kreket-kreket pit digenjot sing .",[0] -> [1] -> [13]
