sen_str,swapped_sen_str,leaf_rule
तिस पर कन्ध ढेई पेई ।,तिस पर ढेई कन्ध पेई ।,[0] -> [2] -> [4]
क्या तुसां खाणा खांहगे ।,क्या खाणा खांहगे तुसां ।,[0] -> [2] -> [4]
हुण तां तिसजो कोई अजूबा ही बचाई सकदा है ।,हुण तां तिसजो बचाई कोई अजूबा ही सकदा है ।,[0] -> [2] -> [4]
तिसदा तिसदिया सस्सू मज़ाक उडाया ।,तिसदा मज़ाक उडाया तिसदिया सस्सू ।,[0] -> [2] -> [4]
बल्कि मंत्रिमंडले विच एह हिस्सेदारी 40 प्रतिशत होई सकदी है ।,बल्कि मंत्रिमंडले विच 40 प्रतिशत होई एह हिस्सेदारी सकदी है ।,[0] -> [2] -> [4]
मेरिया गाई बैह्ड़ू दित्तेया है ।,मेरिया बैह्ड़ू दित्तेया गाई है ।,[0] -> [2] -> [4]
इह्नां रुक्खां दे कारण हर रोज़ हवा औंदी है ।,इह्नां रुक्खां दे कारण हर रोज़ औंदी हवा है ।,[0] -> [2] -> [4]
"जाह्लू तिसदी हाख खुल्ली , सैह पताळे विच पुज्जी गेया था ।","जाह्लू तिसदी हाख खुल्ली , पताळे विच पुज्जी सैह गेया था ।",[0] -> [2] -> [4]
हुण मन्दरे कने मस्जिदा दे मुद्दे जो लोक महत्त्व नी दिंदे ।,हुण मन्दरे कने मस्जिदा दे मुद्दे जो महत्त्व नी दिंदे लोक ।,[0] -> [2] -> [4]
यानिकि दोयो माहणू रुक्खे दिया छांवां विच हन ।,यानिकि रुक्खे दिया छांवां दोयो माहणू विच हन ।,[0] -> [2] -> [4]
इसा गल्ला सुणी के पटवारिए दा मुंह उतरी गिया ।,इसा गल्ला सुणी के उतरी पटवारिए दा मुंह गिया ।,[0] -> [2] -> [4]
तित्थू बाज़ारां विच भी साल भर भीड़ रैहंदी है ।,तित्थू बाज़ारां विच भी साल भर रैहंदी भीड़ है ।,[0] -> [2] -> [4]
जिञा ही सैह रुकी तफान भी थमी गेया ।,जिञा ही सैह रुकी थमी तफान भी गेया ।,[0] -> [2] -> [4]
8 मैम्बरी इसा सभा दी प्रधानी राजकुमार शर्मा ने कित्ती ।,8 मैम्बरी इसा सभा दी प्रधानी कित्ती राजकुमार शर्मा ने ।,[0] -> [2] -> [4]
कटोचां दी राजधानी होणे दे कारण प्राचीनकाल विच इसा जगह दी बड़ी महत्ता थी ।,कटोचां दी राजधानी होणे दे कारण प्राचीनकाल विच थी इसा जगह दी बड़ी महत्ता ।,[0] -> [2] -> [4]
इस मन्दरे विच दो दरवाज़े हन ।,इस मन्दरे विच हन दो दरवाज़े ।,[0] -> [2] -> [4]
तित्थू सैह् किस्मां - किस्मा दे पकवान त्यार करना लग्गी ।,तित्थू किस्मां - किस्मा दे पकवान त्यार करना लग्गी सैह् ।,[0] -> [2] -> [4]
ग्लान्दे हन प्रीता कने लड़ाइया विच सब कुछ जायज़ है ।,ग्लान्दे हन प्रीता कने लड़ाइया विच जायज़ सब कुछ है ।,[0] -> [2] -> [4]
