sen_str,swapped_sen_str,leaf_rule
mãygãra cú ẽn iwĩm ahyə,mãygãra cú iwĩm ẽn ahyə,[0] -> [1]
tər iʔke õn aʔtop,tər iʔke aʔtop õn,[0] -> [1]
kɨganapət ahyə at etop,kɨganapət ahyə etop at,[0] -> [1]
wat owã ŋa õn ibɨyap,wat owã ŋa ibɨyap õn,[0] -> [1]
tẽna iʔke maʔpəy icɨ arap,tẽna iʔke icɨ arap maʔpəy,[0] -> [1]
kõm co iʔyat ip ʔɨy nãnin menə,kõm co ip ʔɨy iʔyat nãnin menə,[0] -> [1]
ip tokõna õn yɨy,ip tokõna yɨy õn,[0] -> [1]
taykir at aʔtoy iga,taykir aʔtoy at iga,[0] -> [1]
kanãy péŋ ʔet (...),kanãy ʔet péŋ (...),[0] -> [1]
mãygãra wĩa wat owẽ kay,mãygãra wĩa kay wat owẽ,[0] -> [1]
maʔwɨt at kaʔa õn itop,maʔwɨt at kaʔa itop õn,[0] -> [1]
cúrem at towirup ʔop,cúrem towirup ʔop at,[0] -> [1]
mĩm mãm iʔke péŋ yowarap,mĩm mãm iʔke yowarap péŋ,[0] -> [1]
kõm ahyə igu ẽn ip yapít,kõm ahyə igu ip yapít ẽn,[0] -> [1]
móa rokõna ẽn ibeʔtɨn ahyə,móa rokõna ibeʔtɨn ẽn ahyə,[0] -> [1]
təgana peʔ õn mãygãra wĩm,təgana peʔ mãygãra wĩm õn,[0] -> [1]
kõm ar otoy yahmãm,kõm otoy ar yahmãm,[0] -> [1]
maʔpəy bát tokõna at ipɨy,maʔpəy bát tokõna ipɨy at,[0] -> [1]
kanãy yét péŋ ʔet,kanãy ʔet yét péŋ,[0] -> [1]
ʔittem õn aʔtop,ʔittem aʔtop õn,[0] -> [1]
kõm ahyə mãygãra etóp,kõm ahyə etóp mãygãra,[0] -> [1]
kõm péŋ ʔet nyahmãm apik,kõm ʔet péŋ nyahmãm apik,[0] -> [1]
kɨgomət ĩyá naká mã at yate wĩm,kɨgomət ĩyá naká mã yate wĩm at,[0] -> [1]
tokera iʔke maʔwɨt ʔet,tokera iʔke ʔet maʔwɨt,[0] -> [1]
mẽganape õn ameko top matet,mẽganape ameko top õn matet,[0] -> [1]
wayo gáp ar iʔop,wayo gáp iʔop ar,[0] -> [1]
