sen_str,swapped_sen_str,leaf_rule
"Бірқатар археолог - ғалымдардың пікірлері бойынша , бұл жерде үлкен қорым болған , егер бұл расталса , онда қаланың пайда болған мерзімі қайта қаралуы мүмкін .","Бірқатар археолог - ғалымдардың пікірлері бойынша , бұл жерде үлкен қорым болған , егер расталса бұл , онда қаланың пайда болған мерзімі қайта қаралуы мүмкін .",[0] -> [2] -> [4]
"Бала сұрады , қалай да бала болмады .","Бала сұрады , қалай да болмады бала .",[0] -> [2] -> [4]
"224 ж. Парфия мемлекеті құлап , орнына Сасани әулеті мемлекеті құрылды .","224 ж. Парфия мемлекеті құлап , орнына құрылды Сасани әулеті мемлекеті .",[0] -> [2] -> [4]
Мүмкін бұл Азамат шығар ?,Мүмкін Азамат бұл шығар ?,[0] -> [2] -> [4]
– Қазір біз іске асыра алмайтындай жоба жоқ .,– Қазір жоқ біз іске асыра алмайтындай жоба .,[0] -> [2] -> [4]
— Мен білмеймін .,— білмеймін Мен .,[0] -> [2] -> [4]
"Олардың арасында Қытай , Түркия , Корея , Жапония бар .","Олардың арасында бар Қытай , Түркия , Корея , Жапония .",[0] -> [2] -> [4]
"Енді 2018 жылдың чемпионатын өткізу құқығына қатысатын кандидаттар додасына , соңғы екі чемпионатты ( КАФ және КОНМЕБОЛ ) өткізген елдерден басқа , барлық конфедерациялардан елдер сынға түседі .","Енді 2018 жылдың чемпионатын өткізу құқығына қатысатын кандидаттар додасына , сынға түседі соңғы екі чемпионатты ( КАФ және КОНМЕБОЛ ) өткізген елдерден басқа , барлық конфедерациялардан елдер .",[0] -> [2] -> [4]
"Көл болып төгілген көздің жасы жерге сіңді , тілек тозды , өмір озды , Шолпан бала көтермеді .","Көл болып төгілген көздің жасы жерге сіңді , тілек тозды , озды өмір , Шолпан бала көтермеді .",[0] -> [2] -> [4]
Кейбір қоралардың қасында қарауытқан мал көрінеді .,Кейбір қоралардың қасында көрінеді қарауытқан мал .,[0] -> [2] -> [4]
"Бес жылдың ішінде үш баласы бар еді : екеуі ұл , біреуі қыз .","Бес жылдың ішінде үш баласы бар еді : ұл екеуі , біреуі қыз .",[0] -> [2] -> [4]
