sen_str,swapped_sen_str,leaf_rule
"mâti ta nî mî , spook-i ge ra ǀkhīǀkhā te","mâti ta nî mî , ge ra ǀkhīǀkhā spook-i te",[0] -> [16] -> [17] -> [18]
ǃGoaxa tsēdi ǃnâ ta ge Washingtoni ǃnâ nî hâ .,ǃGoaxa tsēdi ǃnâ ge Washingtoni ǃnâ nî hâ ta .,[0] -> [16] -> [17] -> [18]
"So nēb ge doe-ommi hîa n ra "" tsōǂgâ ǁoa a "" ti mî ba .","So ge doe-ommi nēb hîa n ra "" tsōǂgâ ǁoa a "" ti mî ba .",[0] -> [16] -> [17] -> [18]
"Khoeb hîa sa klient-i xa ra ǂnoabahe b ge ǀgawi daob khoeseǀab ai ǃnari , tsî audosa ǃnari s di ǂgaeǂguisa ra ǂoaǃnâ , tsî koro khoegu ti ga ra ǂgâu , nē koro khoegu ge tita go ǃgae î ta ǁîga ǂnûǁkhaeba sats sa mîǁguiba ǂanǃgâ tama hâ xui-ao .","Khoeb hîa sa klient-i xa ra ǂnoabahe b ge ǀgawi daob khoeseǀab ai ǃnari , tsî audosa ǃnari s di ǂgaeǂguisa ra ǂoaǃnâ , tsî koro khoegu ti ga ra ǂgâu , ge tita go ǃgae nē koro khoegu î ta ǁîga ǂnûǁkhaeba sats sa mîǁguiba ǂanǃgâ tama hâ xui-ao .",[0] -> [16] -> [17] -> [18]
Tsî ǁnās ge a kai khao .,Tsî ge a kai khao ǁnās .,[0] -> [16] -> [17] -> [18]
ǀAse da ge nî ǁkhami-oa tsi .,ǀAse ge nî ǁkhami-oa da tsi .,[0] -> [16] -> [17] -> [18]
"Sas ge ǁîb ǃoagu hâ , tita ge ǁîb ǀkha ra mâǀhao .","Sas ge ǁîb ǃoagu hâ , ge ǁîb ǀkha ra mâǀhao tita .",[0] -> [16] -> [17] -> [18]
Khoe-e ts a ǂan ?,Khoe-e a ǂan ts ?,[0] -> [16] -> [17] -> [18]
Tare-i xa ts ǃhūǂhanuba tita ǀkha ra ǀgauǀgau ?,Tare-i xa ǃhūǂhanuba tita ǀkha ra ǀgauǀgau ts ?,[0] -> [16] -> [17] -> [18]
"Uh , tita ge ra ǂâi …","Uh , ge ra ǂâi tita …",[0] -> [16] -> [17] -> [18]
"Xawe da ge hoada a ǀū tari a tari ǃkhaisa xawe n ge ǃnāsase hoana a Russianǁî , ama tama-e ?","Xawe da ge hoada a ǀū tari a tari ǃkhaisa xawe n ge ǃnāsase a Russianǁî hoana , ama tama-e ?",[0] -> [16] -> [17] -> [18]
Omaheke ǃhūb ǃnâ ǀgui ta ge ǁnā ǀkhāb ai ǀgui ǁnā xūna ra mû ǁnain tsî ǁhawan,Omaheke ǃhūb ǃnâ ǀgui ge ǁnā ǀkhāb ai ǀgui ǁnā xūna ra mû ta ǁnain tsî ǁhawan,[0] -> [16] -> [17] -> [18]
Tsî s ge khaosǀkhāba ǂhause ra ǁnā .,Tsî ge khaosǀkhāba ǂhause ra ǁnā s .,[0] -> [16] -> [17] -> [18]
tsî i ge koma plastic ǁaeb di kai tama-e,tsî ge koma plastic ǁaeb di kai i tama-e,[0] -> [16] -> [17] -> [18]
"Xawe da ge hoada a ǀū tari a tari ǃkhaisa xawe n ge ǃnāsase hoana a Russianǁî , ama tama-e ?","Xawe da ge a ǀū hoada tari a tari ǃkhaisa xawe n ge ǃnāsase hoana a Russianǁî , ama tama-e ?",[0] -> [16] -> [17] -> [18]
"Nēti ta ge ra ǂâibasen , ǁnāpa i ge tita tsî ti sîsenǁare-aob tsî n ǀguina hâ .","Nēti ta ge ra ǂâibasen , ǁnāpa ge tita tsî ti sîsenǁare-aob tsî n ǀguina hâ i .",[0] -> [16] -> [17] -> [18]
xawe n ge ǁnā ǁaeb di kaikhoena gere ǁnā sōǀôa-e au da,xawe n ge gere ǁnā sōǀôa-e au ǁnā ǁaeb di kaikhoena da,[0] -> [16] -> [17] -> [18]
Hiltons di combos ǀkha ta ge nî tsoatsoa tsî American ǁgoaǂûs .,Hiltons di combos ǀkha ge nî tsoatsoa ta tsî American ǁgoaǂûs .,[0] -> [16] -> [17] -> [18]
Gangan tsi da ge gangansa anu tama hâ sîsen-e ts go ū ǃkhais ǃaroma .,Gangan tsi da ge gangansa anu tama hâ sîsen-e go ū ts ǃkhais ǃaroma .,[0] -> [16] -> [17] -> [18]
Kaise i ge a ǂoaǂamsa .,Kaise ge a ǂoaǂamsa i .,[0] -> [16] -> [17] -> [18]
