sen_str,swapped_sen_str,leaf_rule
남북 핫라인은 박철언 정책보좌관의 바로 앞방에 방음장치가 된 회의실 겸 밀폐된 방에 가설되어 있었고 지금도 그 흔적이 남아 있다 .,남북 핫라인은 박철언 정책보좌관의 바로 앞방에 된 방음장치가 회의실 겸 밀폐된 방에 가설되어 있었고 지금도 그 흔적이 남아 있다 .,[0] -> [1]
호텔 종업원과 택시기사 중에 한국 말을 엿듣는 기관원이 있으므로 주의하라고 어느 선배가 충고한다 .,호텔 종업원과 택시기사 중에 있으므로 한국 말을 엿듣는 기관원이 주의하라고 어느 선배가 충고한다 .,[0] -> [1]
2 천 년 전 특정 일자를 기준으로 달의 기울기를 계산할 수 있지만 구름이나 연무로 인해 방해를 받는 경우는 불가능하다 .,2 천 년 전 특정 일자를 기준으로 달의 기울기를 계산할 수 있지만 불가능하다 구름이나 연무로 인해 방해를 받는 경우는 .,[0] -> [1]
그런데 다음 강떼바구에 이르러서는 정말 아이들 말장난이 놀랍습니다 .,그런데 다음 강떼바구에 이르러서는 정말 놀랍습니다 아이들 말장난이 .,[0] -> [1]
"아쇼카왕이 고승들을 파견한 나라들의 왕 이름은 9명이 열거되어 있고 , 스님들의 이름은 11명이 나와 있습니다 .","아쇼카왕이 고승들을 파견한 나라들의 왕 이름은 9명이 열거되어 있고 , 스님들의 이름은 나와 11명이 있습니다 .",[0] -> [1]
"충청남도 논산군에서 가난한 소작농의 아들로 태어난 것으로 알려져 있으나 , 1910년 또는 1914년에 태어났다는 설도 있어 생년을 특정할 수 없는 등 어린 시절과 문단 데뷔 무렵에 대한 자료가 거의 남아있지 않다 .","충청남도 논산군에서 가난한 소작농의 아들로 태어난 것으로 알려져 있으나 , 1910년 또는 1914년에 태어났다는 설도 있어 생년을 특정할 수 없는 등 거의 남아있지 어린 시절과 문단 데뷔 무렵에 대한 자료가 않다 .",[0] -> [1]
87 년 노동가요가 본격적으로 등장하면서 민중가요는 그 향유층을 실질적인 생산대중에까지 폭을 넓혔다 .,87 년 본격적으로 등장하면서 노동가요가 민중가요는 그 향유층을 실질적인 생산대중에까지 폭을 넓혔다 .,[0] -> [1]
"< 그래 , 별들을 보면 언제나 웃음이 나오거든 ! >","< 그래 , 별들을 보면 언제나 나오거든 웃음이 ! >",[0] -> [1]
감독님은 소설의 내용을 좀 바꿔서 현실성이 점 떨어졌는데 배우들이 연기를 뛰어나게 한 덕분에 깊은 감동을 얻을 수 있다 .,감독님은 소설의 내용을 좀 바꿔서 현실성이 점 떨어졌는데 연기를 뛰어나게 한 배우들이 덕분에 깊은 감동을 얻을 수 있다 .,[0] -> [1]
86년부터 88년까지 사상초유의 흑자경제가 실현되었을 때 경영인들이 오늘의 사태를 예견하고 미리 대비했더라면 우리 경제가 이처럼 되지는 않았을 것이다 .,86년부터 88년까지 사상초유의 흑자경제가 실현되었을 때 경영인들이 오늘의 사태를 예견하고 미리 대비했더라면 이처럼 되지는 우리 경제가 않았을 것이다 .,[0] -> [1]
