sen_str,swapped_sen_str,leaf_rule
Êdî divêt em ji hev veqetin .,Êdî divêt ji hev veqetin em .,[0] -> [1]
Ji aliyê wateyê ve tu cudatî di navbera her du gotinan de tune ye .,Ji aliyê wateyê ve di navbera her du gotinan de tune tu cudatî ye .,[0] -> [1]
Niho divêt em li odeyên din hûr bibin .,Niho divêt li odeyên din hûr bibin em .,[0] -> [1]
Ji xwe xelkê malbata wî tev de welê bûn .,Ji xwe tev de welê xelkê malbata wî bûn .,[0] -> [1]
Dema Komara Tirkiyê ava dibe dewlet biryarekê distîne ku sirûdeke neteweyî were çêkirin .,Dema ava dibe Komara Tirkiyê dewlet biryarekê distîne ku sirûdeke neteweyî were çêkirin .,[0] -> [1]
"Lê herwekî tu dizanî , min li serê mêr xist , mar bi sûn de vegeriya û ji ber êşa xwe bi xwediyê xwe , bi Dr. Rweylot ve da û li serê wî pêçand .","Lê herwekî tu dizanî , li serê mêr xist min , mar bi sûn de vegeriya û ji ber êşa xwe bi xwediyê xwe , bi Dr. Rweylot ve da û li serê wî pêçand .",[0] -> [1]
"Lê te xêr e , ez dibînim ko tu direcifî , gelo te sar e ; em agir dadin .","Lê te xêr e , dibînim ez ko tu direcifî , gelo te sar e ; em agir dadin .",[0] -> [1]
Di salên 1960 da li Tirkiyeyê di hin kovaran da - ew jî gelek kêm - nivîsên kurdî xwe nîsan dan û çend kitêbên Kurdî derketin .,Di salên 1960 da li Tirkiyeyê di hin kovaran da - jî gelek kêm ew - nivîsên kurdî xwe nîsan dan û çend kitêbên Kurdî derketin .,[0] -> [1]
"Bi wê re jî , karê hijmartinê û hwd pirr pêşxistin .","Bi wê re jî , pirr pêşxistin karê hijmartinê û hwd .",[0] -> [1]
"Min da xwe , ez rabûm û di çend deqîqan de min cilên xwe wergirtin û bi Holmes re bi darî xanimê ketim .","Min da xwe , ez rabûm û di çend deqîqan de cilên xwe wergirtin min û bi Holmes re bi darî xanimê ketim .",[0] -> [1]
"Di serdemên nû de , kurd , ew cara pêşî bû ku parlamena xwe ava kiribûn .","Di serdemên nû de , kurd , cara ew pêşî bû ku parlamena xwe ava kiribûn .",[0] -> [1]
Holmes : Xanimeke ciwan desta me kiriye .,Holmes : desta me kiriye Xanimeke ciwan .,[0] -> [1]
"Holmes : ( bi xwînsariyê ) Ecêb , dinya sar e , di vî çaxî de ev serma ne dihate bîrê .","Holmes : ( bi xwînsariyê ) Ecêb , sar dinya e , di vî çaxî de ev serma ne dihate bîrê .",[0] -> [1]
Bajarê ku ji aliyê persan ve hatiye çêkirin tê hilweşandin û kevirên wê ji bo bajarê nû dibin .,Bajarê ku ji aliyê persan ve hatiye çêkirin tê hilweşandin û ji bo bajarê nû dibin kevirên wê .,[0] -> [1]
Li ser erdhejê dengbêjên herêmê stran çêkirine .,Li ser erdhejê stran çêkirine dengbêjên herêmê .,[0] -> [1]
Tenê dengbêjên mezin dikarin hemî destanê bêjin .,Tenê dikarin dengbêjên mezin hemî destanê bêjin .,[0] -> [1]
"Heke te ez ji tariya ko ez tê _ de pûyan im , derêxistim , şalê ez dê bikarim ji bin barê te rabim .","Heke ez ji tariya ko ez tê _ de pûyan im , derêxistim te , şalê ez dê bikarim ji bin barê te rabim .",[0] -> [1]
Bi vê yekê re mirov karê bêje navê wan hebû .,Bi vê yekê re mirov karê bêje hebû navê wan .,[0] -> [1]
Heke Dr. Rweylot em bi hev re dîtin îşê me ji serî heta binî xerab dibe .,Heke Dr. Rweylot em bi hev re dîtin ji serî heta binî xerab dibe îşê me .,[0] -> [1]
"Holmes ji hevalê xwe pirsî : Çi dikeve serê te Wetsin , ez dibînim , işekî kûr û xeternak e .","Holmes ji hevalê xwe pirsî : Çi dikeve serê te Wetsin , dibînim ez , işekî kûr û xeternak e .",[0] -> [1]
"Stonêrê : Ji xwe ev kulek jî vê paşiyê hate çêkirin , berê nîn bû .","Stonêrê : Ji xwe jî vê paşiyê hate çêkirin ev kulek , berê nîn bû .",[0] -> [1]
"Lê herwekî tu dizanî , min li serê mêr xist , mar bi sûn de vegeriya û ji ber êşa xwe bi xwediyê xwe , bi Dr. Rweylot ve da û li serê wî pêçand .","Lê herwekî dizanî tu , min li serê mêr xist , mar bi sûn de vegeriya û ji ber êşa xwe bi xwediyê xwe , bi Dr. Rweylot ve da û li serê wî pêçand .",[0] -> [1]
"Lê dema ku di şer de Danimarka winda dike , êdî Norwec ji Danîmarkayê tê veqetandin û bi Swêdê ve tê girêdan .","Lê dema ku di şer de winda dike Danimarka , êdî Norwec ji Danîmarkayê tê veqetandin û bi Swêdê ve tê girêdan .",[0] -> [1]
"Stonêrê : Belê , min ji we re ne goti bû ko Dr. Rweylot şîp û meymûnek hebû û ew serbest digeriyan .","Stonêrê : Belê , ji we re ne goti bû min ko Dr. Rweylot şîp û meymûnek hebû û ew serbest digeriyan .",[0] -> [1]
Vê paşiyê dostekî me bi navê Persî Êrmîtag ji min pirsî heke ez dixwazim bibim jina wî .,Vê paşiyê ji min pirsî dostekî me bi navê Persî Êrmîtag heke ez dixwazim bibim jina wî .,[0] -> [1]
"Ji bo nimûne , Keyaniya Yekbûyî jî wekî yekeyeke hesab dikirin dema welatên nifûsê ji Keyaniya Holendayê bi hev cûda hatin nirxandin .","Ji bo nimûne , jî wekî yekeyeke hesab dikirin Keyaniya Yekbûyî dema welatên nifûsê ji Keyaniya Holendayê bi hev cûda hatin nirxandin .",[0] -> [1]
"Em gihaşti bûn lîwana ko deriyên her sê odan li ew vedibûn , Holmes li wan nihêrt , oda pêjîn şanî wê da û gote Stonêrê : Ev oda te ye , a navîn oda xweha te a rehmetî , a siseyan jî oda Dr. e , ne we ye ?","Em gihaşti bûn lîwana ko deriyên her sê odan li ew vedibûn , Holmes li wan nihêrt , oda pêjîn şanî wê da û gote Stonêrê : Ev oda te ye , navîn oda a xweha te a rehmetî , a siseyan jî oda Dr. e , ne we ye ?",[0] -> [1]
Stonêrê : Li cem me tu pising nînin .,Stonêrê : Li cem me nînin tu pising .,[0] -> [1]
Ewçend bi kerb û xezeb bûn ko xelkê ji wan re digot dînin .,Ewçend bi kerb û xezeb bûn ko ji wan re digot xelkê dînin .,[0] -> [1]
Li ser masê qendîlek hebû ; şewqa xwe dida dolaba vekirî .,Li ser masê hebû qendîlek ; şewqa xwe dida dolaba vekirî .,[0] -> [1]
"Fêkiya wê pir tirş e , jê _ tirşê simaqê çêdibe .","Fêkiya wê pir tirş e , jê _ tirşê çêdibe simaqê .",[0] -> [1]
Li dijî Özal çalakiyên kuştinê tên organîzekirin .,Li dijî Özal tên organîzekirin çalakiyên kuştinê .,[0] -> [1]
Gonê Stonêrê guhêrî û bi dengekî heyecanamîz got : Xwedê min ji şerê wî bisitirîne .,Gonê Stonêrê guhêrî û bi dengekî heyecanamîz got : min ji şerê wî bisitirîne Xwedê .,[0] -> [1]
Lê ew jî di bin barê rehneke giran de ye .,Lê jî di bin barê ew rehneke giran de ye .,[0] -> [1]
Ev Nûner heta Hukumeta Iraqê hat avakirin li Duhokê ma .,Ev Nûner heta hat avakirin Hukumeta Iraqê li Duhokê ma .,[0] -> [1]
Baniwê got : Ne ji ber sermayê ez direcifim,Baniwê got : Ne ji ber sermayê direcifim ez,[0] -> [1]
Heke ji mirina Dr. Rweylot berpirsiyarek hebe ; ew jî ez im .,Heke ji mirina Dr. Rweylot hebe berpirsiyarek ; ew jî ez im .,[0] -> [1]
"Rweylot : Min navê ez rûnim , ka ji min re bibêje ; zirkeça min niho ji bire derket .","Rweylot : Min navê rûnim ez , ka ji min re bibêje ; zirkeça min niho ji bire derket .",[0] -> [1]
Di heman demê de bavê wi jî ji ber nêrînên xwe di heman zîndanê de ye .,Di heman demê de jî ji ber nêrînên xwe di heman zîndanê bavê wi de ye .,[0] -> [1]
"Herwiha , stranên xebatê , govendê , yên dîlanê û pîrozbahiyên din jî gelek tên hezkirin .","Herwiha , jî gelek tên hezkirin stranên xebatê , govendê , yên dîlanê û pîrozbahiyên din .",[0] -> [1]
Di destê wê ê rastê de kibrîteke şewitî û di destê wê ê çepê de elbika kibrîtê hebû .,Di destê wê ê rastê de kibrîteke şewitî û di destê wê ê çepê de hebû elbika kibrîtê .,[0] -> [1]
"Heger dixwazin tîr nemîne , bi avê ron bikin , li ser daxwazê ye .","Heger dixwazin nemîne tîr , bi avê ron bikin , li ser daxwazê ye .",[0] -> [1]
Jinikê : Navê min Hêlên Stonêr e .,Jinikê : Hêlên Navê min Stonêr e .,[0] -> [1]
An ev tamîrat hêncet in da ko çendakê ez di oda xweha xwe de rakevim .,An ev tamîrat hêncet in da ko çendakê di oda xweha xwe de rakevim ez .,[0] -> [1]
Çavên min yên ko hînî tariyê bû bûn bi kibrîta ko Holmes vêxisti bû ji nû ve şevreş bû bûn .,Çavên min yên ko hînî tariyê bû bûn bi kibrîta ko vêxisti bû Holmes ji nû ve şevreş bû bûn .,[0] -> [1]
Ji aliyê desthilatdariya leşkerî ya Sûriyê hukmê îdamê ya xeyabî ji bo Mamoste Wanlî derçû .,Ji aliyê desthilatdariya leşkerî ya Sûriyê ji bo Mamoste Wanlî derçû hukmê îdamê ya xeyabî .,[0] -> [1]
Wextê ew rakir me zanî ko mêvana me jinikekê sih salî bû û ji niho de spî bi pora wê keti bû û ji qermîçekên rûyê wê xuya dikir ko jinik di heycaneke mezin de bû .,Wextê ew rakir me zanî ko jinikekê mêvana me sih salî bû û ji niho de spî bi pora wê keti bû û ji qermîçekên rûyê wê xuya dikir ko jinik di heycaneke mezin de bû .,[0] -> [1]
Hûr - mûrên me bide hev ; em bi rê bikevin .,Hûr - mûrên me bide hev ; bi rê bikevin em .,[0] -> [1]
Di navên erdnîgariya Kurdistanê de dar jî cihekê mezin digirin .,Di navên erdnîgariya Kurdistanê de jî cihekê mezin digirin dar .,[0] -> [1]
"Wetsin : Belê îşekî kûr û zehmet e , her der girtî , dengekî fîkandinê , zencîrek dikeve erdê .","Wetsin : Belê îşekî kûr û zehmet e , her der girtî , dengekî fîkandinê , dikeve zencîrek erdê .",[0] -> [1]
"Holmes : Baş e , emê dê tev de herin Stokmoranê .","Holmes : Baş e , dê tev de herin emê Stokmoranê .",[0] -> [1]
"Di lîwanê de fîkandinek wek fîkandina ko xweha min wesfê wê da bû , bi gûhê min ve bû .","Di lîwanê de bi gûhê min ve bû fîkandinek wek fîkandina ko xweha min wesfê wê da bû , .",[0] -> [1]
Armanc ew bûye ku çîrok ji hemî nivîskarên bi kurdî dinivîsin di vê antolojiyê de hebin .,Armanc ew bûye ku di vê antolojiyê de hebin çîrok ji hemî nivîskarên bi kurdî dinivîsin .,[0] -> [1]
Bi spêdê ve ez hişyar bû bûm .,Bi spêdê ve hişyar bû ez bûm .,[0] -> [1]
"Em li trênê siwar bûn û gava em gihaştin gund , em li otêla gund a tekane peya bûn û piştî ko me bihna xwe da , otêlçî ji me re erebeyek anî ; em lê _ siwar bûn û me berê xwe da qesra Dr. Rweylot .","Em li trênê siwar bûn û gava em gihaştin gund , em li otêla gund a tekane peya bûn û piştî ko bihna xwe da me , otêlçî ji me re erebeyek anî ; em lê _ siwar bûn û me berê xwe da qesra Dr. Rweylot .",[0] -> [1]
Holmes ştexaliya wê birî û jê _ pirsî : Tu ji xwe ewle yî ko te dengekî fîkandinê û yê zencîrê bihîst ?,Holmes ştexaliya wê birî û jê _ pirsî : ji xwe ewle Tu yî ko te dengekî fîkandinê û yê zencîrê bihîst ?,[0] -> [1]
Saet bû bû yanzdeh ; xweha min dikir vegerê oda xwe .,Saet bû bû yanzdeh ; dikir xweha min vegerê oda xwe .,[0] -> [1]
"Piştî ko pê _ ve da , ew ji mir lê hêj rih pê _ heye .","Piştî ko pê _ ve da , ji mir ew lê hêj rih pê _ heye .",[0] -> [1]
Wextê ko Cûlyayê kir bizewice Rweylot rabû qulek di navbera oda xwe û oda Cûlyayê de da çêkir û bi hênceta zengil di wê qulê re werîsek jî bi ser texte keçikê daxist .,Wextê ko Cûlyayê kir bizewice rabû Rweylot qulek di navbera oda xwe û oda Cûlyayê de da çêkir û bi hênceta zengil di wê qulê re werîsek jî bi ser texte keçikê daxist .,[0] -> [1]
Bi biharan û havînan xweza xwe li vir bêhempa dixemilîne .,Bi biharan û havînan xwe li vir bêhempa dixemilîne xweza .,[0] -> [1]
"Stonêrê : Belê , min ji we re ne goti bû ko Dr. Rweylot şîp û meymûnek hebû û ew serbest digeriyan .","Stonêrê : Belê , min ji we re ne goti bû ko Dr. Rweylot hebû şîp û meymûnek û ew serbest digeriyan .",[0] -> [1]
Di dema derketine Îslamê de Amed di bin destê Bizansan de bû .,Di dema derketine Îslamê de di bin destê Amed Bizansan de bû .,[0] -> [1]
"Lê dema ku mirov bêje Mîrê Botan , hingî jî , mirov behsa mîrê ku li Cizîra Botan mîr e dike .","Lê dema ku mirov bêje Mîrê Botan , hingî jî , behsa mîrê ku li Cizîra Botan mîr e dike mirov .",[0] -> [1]
"Stonêrê : Belê , min ji we re ne goti bû ko Dr. Rweylot şîp û meymûnek hebû û ew serbest digeriyan .","Stonêrê : Belê , min ji we re ne goti bû ko Dr. Rweylot şîp û meymûnek hebû û serbest digeriyan ew .",[0] -> [1]
"Seranser Brîtanyayê dagir kiriye , serhildanên navxweyî têk biriye .","Seranser dagir kiriye Brîtanyayê , serhildanên navxweyî têk biriye .",[0] -> [1]
Stonêrê : Ez di bin emirê te de me .,Stonêrê : di bin emirê Ez te de me .,[0] -> [1]
Lewra ev gund di nav daristana darên mêşe de cih digire .,Lewra di nav daristana darên mêşe de cih digire ev gund .,[0] -> [1]
Ji xwe şîp ji pisingê hinek meztir e .,Ji xwe ji pisingê hinek meztir şîp e .,[0] -> [1]
Piştî gavekê gote keçikê : Divêt îro em herin Stokmoranê û bêî ko zirbavê te bi me bihese em wan odan bibinin .,Piştî gavekê gote keçikê : Divêt îro em herin Stokmoranê û bêî ko zirbavê te bi me bihese wan odan bibinin em .,[0] -> [1]
"Wextê zirbavê te hat bi hênceta ko serê te têxe , divêt tu jê _ xatir bixwazî û herî oda ko berê tu tê _ de radiketî û li zirbavê xwe guhdar bibî .","Wextê zirbavê te hat bi hênceta ko serê te têxe , divêt tu jê _ xatir bixwazî û herî oda ko berê tê _ de radiketî tu û li zirbavê xwe guhdar bibî .",[0] -> [1]
Holmes : Min ji te tu tişt navê .,Holmes : Min ji te navê tu tişt .,[0] -> [1]
Jinikê got : Mîrza tu nizanî ez di çi halî de me ; tiştê ko hate serê min ne hate serê tukesî .,Jinikê got : Mîrza nizanî tu ez di çi halî de me ; tiştê ko hate serê min ne hate serê tukesî .,[0] -> [1]
Di salên 1960'î de sîstema îro heye hatiye rûniştin .,Di salên 1960'î de hatiye rûniştin sîstema îro heye .,[0] -> [1]
"Di destpêka vê sedsalê de gelek kar û xebatên siyasî , wêjeyî û civakî hatine kirin .","Di destpêka vê sedsalê de hatine kirin gelek kar û xebatên siyasî , wêjeyî û civakî .",[0] -> [1]
Silêman dibîne ku text li ber serê wî sekiniye .,Silêman dibîne ku li ber serê wî sekiniye text .,[0] -> [1]
