sen_str,swapped_sen_str,leaf_rule
Tutto o giorno che ti m' angosci con quella sunnetta !,Tutto o giorno che m' angosci ti con quella sunnetta !,[0] -> [1] -> [2] -> [3] -> [5]
"Quande t' â finisci ti m' avvisi , eh ?","Quande â finisci t' ti m' avvisi , eh ?",[0] -> [1] -> [2] -> [3] -> [5]
""" Ti che t' ê zoeno "" , a me diva in pignasco streito , "" ti te porriësci piggiâ unna figgia chì e vegnî ghe à stâ .",""" Ti che t' ê zoeno "" , a me diva in pignasco streito , "" te porriësci piggiâ ti unna figgia chì e vegnî ghe à stâ .",[0] -> [1] -> [2] -> [3] -> [5]
Se ti te â piggi con chi o l' é ciù piccin ti fæ mâ .,Se ti te â piggi con chi o l' é ciù piccin fæ ti mâ .,[0] -> [1] -> [2] -> [3] -> [5]
Mæ pai ti m' æ piggiou pe Fregoli !,Mæ pai m' æ piggiou ti pe Fregoli !,[0] -> [1] -> [2] -> [3] -> [5]
"Quande t' â finisci ti m' avvisi , eh ?","Quande t' â finisci m' avvisi ti , eh ?",[0] -> [1] -> [2] -> [3] -> [5]
Quande ti pensi de poei vegnî ?,Quande pensi ti de poei vegnî ?,[0] -> [1] -> [2] -> [3] -> [5]
"Oua se ti ghe væ , inte quelli paixi , ti t' accòrzi che da quelli tempi e cöse van pezo .","Oua se ghe væ ti , inte quelli paixi , ti t' accòrzi che da quelli tempi e cöse van pezo .",[0] -> [1] -> [2] -> [3] -> [5]
No te ô daggo pe a raxon che no veuggio che ti ô perdi .,No te ô daggo pe a raxon che no veuggio che ô perdi ti .,[0] -> [1] -> [2] -> [3] -> [5]
"E ti capivi che sti paixi cian cianin moivan , e che e gente se ne rendeivan conto , ma che no renonçiavan à ëse quello ch' ean .","E capivi ti che sti paixi cian cianin moivan , e che e gente se ne rendeivan conto , ma che no renonçiavan à ëse quello ch' ean .",[0] -> [1] -> [2] -> [3] -> [5]
"L' é vegnuo da lê un leproso : ô pregava in zenoggion e o ghe diva : « Se ti veu , ti ti me peu fâ stâ ben ! » .","L' é vegnuo da lê un leproso : ô pregava in zenoggion e o ghe diva : « Se veu ti , ti ti me peu fâ stâ ben ! » .",[0] -> [1] -> [2] -> [3] -> [5]
Mi ô sò chi t' ê : o santo de o Segnô » .,Mi ô sò chi ê t' : o santo de o Segnô » .,[0] -> [1] -> [2] -> [3] -> [5]
O l' ea ciù addescio de quante no ti te creddesci .,O l' ea ciù addescio de quante no te creddesci ti .,[0] -> [1] -> [2] -> [3] -> [5]
"Leva te de chì , che ti me fæ perde o segno !","Leva te de chì , che me fæ ti perde o segno !",[0] -> [1] -> [2] -> [3] -> [5]
Comm' a l' é che no t' ê vegnua ?,Comm' a l' é che no ê vegnua t' ?,[0] -> [1] -> [2] -> [3] -> [5]
"E se sente unna voxe da o çê : « Ti t' ê o mæ figgio , quello ch' o m' é cao , e inte de ti me compiaxo » .","E se sente unna voxe da o çê : « t' ê o mæ figgio Ti , quello ch' o m' é cao , e inte de ti me compiaxo » .",[0] -> [1] -> [2] -> [3] -> [5]
Cöse t' ammii ?,Cöse ammii t' ?,[0] -> [1] -> [2] -> [3] -> [5]
Vëi t' ëi torna imbriægo !,Vëi ëi torna imbriægo t' !,[0] -> [1] -> [2] -> [3] -> [5]
Ti gh' æ visto che o bibin che t' æ accattou o l' à o göscio pin d' ænin ?,Ti gh' æ visto che o bibin che æ accattou t' o l' à o göscio pin d' ænin ?,[0] -> [1] -> [2] -> [3] -> [5]
Beseugna che ti sacci ch' o l' aveiva bevuo .,Beseugna che sacci ti ch' o l' aveiva bevuo .,[0] -> [1] -> [2] -> [3] -> [5]
