sen_str,swapped_sen_str,leaf_rule
"Hänel olis pidänyh olla prichoskua luadimas , ga häi erähien syylöin periä ei voinnuh sinä piän .","Hänel olis pidänyh olla prichoskua luadimas , erähien syylöin periä ei voinnuh ga häi sinä piän .",[0] -> [4]
"Midä se bobuli-briha sanoi , sidäi net saldatat sanottih saaril .","Midä se bobuli-briha sanoi , sidäi sanottih net saldatat saaril .",[0] -> [4]
"– Matkustamizen piätavoittehennu on se , ku matkustajat eletäh ainos perehis , muga hyö tuttavutah tverinkarjalazien elaigah , sanou Mustonen .","– Matkustamizen piätavoittehennu on se , ku matkustajat eletäh ainos perehis , muga tuttavutah hyö tverinkarjalazien elaigah , sanou Mustonen .",[0] -> [4]
Uvvessah vojennoit mendih saarilloo .,Uvvessah mendih vojennoit saarilloo .,[0] -> [4]
– Virtaranta “ paloi ” tverinkarjalan kieleh .,– “ paloi Virtaranta ” tverinkarjalan kieleh .,[0] -> [4]
"Tämänpäiväzile linnan lapsile perindöllizet arbaitukset ollah vähäelendettävänny , ku hyö nikonzu ei nähty suurdu vuittii nämmis veššilöis .","Tämänpäiväzile linnan lapsile perindöllizet arbaitukset ollah vähäelendettävänny , ku nikonzu ei nähty hyö suurdu vuittii nämmis veššilöis .",[0] -> [4]
"Sit oli häkki , seičče virstaa oli sarvet piduhuttu , paimoi istui sarvel , toine toizel ; torvittih , ga toine toizen ei kuulluh torvindaa .","Sit oli häkki , seičče virstaa oli sarvet piduhuttu , paimoi istui sarvel , toine toizel ; torvittih , toizen ei kuulluh ga toine torvindaa .",[0] -> [4]
Tansijes da pajattajes rahvas ei kylmetty viluhkos kul’tuurutalois .,Tansijes da pajattajes ei kylmetty rahvas viluhkos kul’tuurutalois .,[0] -> [4]
"Sit oli häkki – seičče virstaa oli sarvet piduhuttu , paimoi istui sarvel , toine toizel ; torvittih , ga toine toizen ei kuulluh torvindaa .","Sit oli häkki – seičče virstaa oli sarvet piduhuttu , istui paimoi sarvel , toine toizel ; torvittih , ga toine toizen ei kuulluh torvindaa .",[0] -> [4]
"Sen ližäkse lapset hyvin tiettih kai vešit , kudamat kuvattih tekstois , gu net kuuluttih jogapäiväzeh elaigah .","Sen ližäkse lapset hyvin tiettih kai vešit , kuvattih kudamat tekstois , gu net kuuluttih jogapäiväzeh elaigah .",[0] -> [4]
"Sen ližäkse lapset hyvin tiettih kai vešit , kudamat kuvattih tekstois , gu net kuuluttih jogapäiväzeh elaigah .","Sen ližäkse lapset hyvin tiettih kai vešit , kudamat kuvattih tekstois , gu kuuluttih net jogapäiväzeh elaigah .",[0] -> [4]
Muga briha sai saaris kaksi puččii d’engaa da vie kolmas d’äi vellakse .,Muga sai briha saaris kaksi puččii d’engaa da vie kolmas d’äi vellakse .,[0] -> [4]
"Murginan jälles kai matkuniekat lähtiettih Kotkatjärvele , sigäläzes kul’tuurutalois ezityttih jo kaksi joukkuo .","Murginan jälles lähtiettih kai matkuniekat Kotkatjärvele , sigäläzes kul’tuurutalois ezityttih jo kaksi joukkuo .",[0] -> [4]
"On äijy nuordu tutkijua , kuduat kirjutetah väitöskirjoi tverinkarjalan kieles eniten Helsinkis , Jovensuus da Petroskois , sanou Mustonen .","On äijy nuordu tutkijua , kirjutetah kuduat väitöskirjoi tverinkarjalan kieles eniten Helsinkis , Jovensuus da Petroskois , sanou Mustonen .",[0] -> [4]
"Sit oli häkki , seičče virstaa oli sarvet piduhuttu , paimoi istui sarvel , toine toizel ; torvittih , ga toine toizen ei kuulluh torvindaa .","Sit oli häkki , seičče virstaa oli sarvet piduhuttu , istui paimoi sarvel , toine toizel ; torvittih , ga toine toizen ei kuulluh torvindaa .",[0] -> [4]
Tämän festivualin hantuzis järjestetäh kaksi matkua Petroskoispäi Anuksen piirih : nuorien pajo- da tansijoukot lähtietäh ezittymäh Anuksen piirin kylih .,Tämän festivualin hantuzis järjestetäh kaksi matkua Petroskoispäi Anuksen piirih : da lähtietäh nuorien pajo- tansijoukot ezittymäh Anuksen piirin kylih .,[0] -> [4]
"Illal ei suannuh arbailla – varattih Arbaituksen akkua , ku häi tulou yön aigua da ähkiäy bokkah .","Illal ei suannuh arbailla – varattih Arbaituksen akkua , ku tulou häi yön aigua da ähkiäy bokkah .",[0] -> [4]
"– Matkustamizen piätavoittehennu on se , ku matkustajat eletäh ainos perehis , muga hyö tuttavutah tverinkarjalazien elaigah , sanou Mustonen .","– Matkustamizen piätavoittehennu on se , ku eletäh matkustajat ainos perehis , muga hyö tuttavutah tverinkarjalazien elaigah , sanou Mustonen .",[0] -> [4]
