sen_str,swapped_sen_str,leaf_rule
"Asse myne dochter , segge ek , my dat toreyp , sou düchte my dat eaven sou veale to syn , as wän dår steit : Mannig wysneasige kumpane möchte hyr seggen : ‘ Wat preddigt unse pastoor ?","Asse myne dochter , segge ek , my dat toreyp , sou düchte my dat eaven sou veale to syn , as wän steit dår : Mannig wysneasige kumpane möchte hyr seggen : ‘ Wat preddigt unse pastoor ?",[0] -> [1] -> [27]
"Now , ik wul dat ik see ouk kreyg ; mår by my is et de eyne middag koffy med roggentönnis en de andere middag tönnis med koffy , - see nömen et te 'n minste koffy , mår ik segge et is apennat .","Now , ik wul dat see ouk kreyg ik ; mår by my is et de eyne middag koffy med roggentönnis en de andere middag tönnis med koffy , - see nömen et te 'n minste koffy , mår ik segge et is apennat .",[0] -> [1] -> [27]
"Dee vadder sülvenst het juw leev , wyl jy my leev hevvet un löyvet , dat ik van God kuamen sen .","Dee vadder sülvenst het juw leev , wyl my leev hevvet jy un löyvet , dat ik van God kuamen sen .",[0] -> [1] -> [27]
"Wo rask doch de tyd vorgeit un wo kort doch de jåre werden , wän man an sik sülvenst vöölt , det det ölder vöär de döäre is .","Wo rask doch de tyd vorgeit un wo kort doch de jåre werden , wän an sik sülvenst vöölt man , det det ölder vöär de döäre is .",[0] -> [1] -> [27]
"Wän jy vorsammelinge hevvet , dan kuame jy nich dårto , dem heyren syn mål richtig to vyren .","Wän vorsammelinge hevvet jy , dan kuame jy nich dårto , dem heyren syn mål richtig to vyren .",[0] -> [1] -> [27]
"To ik haar de ofspråke med meneyr vortelde , see , to kreyg see de trånen in de ougen en sei see , dat ik yder keyre mår by haar te hüüs kommen muste , as ik des maargens trek kreyg nå jenever .","To ik haar de ofspråke med meneyr vortelde , see , to kreyg see de trånen in de ougen en sei see , dat ik yder keyre mår by haar te hüüs kommen muste , as des maargens trek kreyg ik nå jenever .",[0] -> [1] -> [27]
"Seg et toch glad üüt , wat jy teagen my hebbet , dat jy my as en olde lappe up syde smytet .","Seg et toch glad üüt , wat jy teagen my hebbet , dat my as en olde lappe up syde smytet jy .",[0] -> [1] -> [27]
"En ander lüüd nam den haspel un haspele dat gaarn af un band dat bind mid der fitsen to houpe , wän et knakke .","En ander lüüd nam den haspel un haspele dat gaarn af un band dat bind mid der fitsen to houpe , wän knakke et .",[0] -> [1] -> [27]
"De kinder bleyven gesund , kunnen good leyren un bleyven sou lange by den skoolmeyster , bet see uut de skole weren , un de skoolmeyster haal alle jår syn tweyhunderd daler , as dat in den breev skreaven stund , un syn kostgeld van den buur , un de lüde wunderen sik alle , dat de skoolmeyster sou up de beyne kaem , un vöärher hadde hee doch niks had , man see wussen nich , dat hee up sou en aard by dat geld kaem .","De kinder bleyven gesund , kunnen good leyren un bleyven sou lange by den skoolmeyster , bet see uut de skole weren , un de skoolmeyster haal alle jår syn tweyhunderd daler , as dat in den breev skreaven stund , un syn kostgeld van den buur , un de lüde wunderen sik alle , dat sou up de beyne kaem de skoolmeyster , un vöärher hadde hee doch niks had , man see wussen nich , dat hee up sou en aard by dat geld kaem .",[0] -> [1] -> [27]
"Äver as hee to huus kam , dun was dat gans anders , as vöärdeam .","Äver as to huus kam hee , dun was dat gans anders , as vöärdeam .",[0] -> [1] -> [27]
"Syn gesicht weer dårby as in steyn uuthauwd ; blout as de justityråd ümmer naeger nåvråg un andüden dea , dat hee meyr wüs , sprung syn ouge nå Detelt Rolff röäver un skuul em an , dat man bange warden kun .","Syn gesicht weer dårby as in steyn uuthauwd ; blout as de justityråd ümmer naeger nåvråg un andüden dea , dat meyr wüs hee , sprung syn ouge nå Detelt Rolff röäver un skuul em an , dat man bange warden kun .",[0] -> [1] -> [27]
"Kasper oum saeg seyr kontenteerd uut , do hee al wedder recht hadde un dat de grout toornklokke up Sante Marigen sik sou prompt nå syn repetüres richten dead .","Kasper oum saeg seyr kontenteerd uut , do al wedder recht hadde hee un dat de grout toornklokke up Sante Marigen sik sou prompt nå syn repetüres richten dead .",[0] -> [1] -> [27]
"– Hüde morgen , as ik voordreisde , weerst du sou stil , dat du my knap › adjüüs ‹ seadst , un nu büst du wedder sou un segst knap › wilkoamen ‹ ? «« –","– Hüde morgen , as voordreisde ik , weerst du sou stil , dat du my knap › adjüüs ‹ seadst , un nu büst du wedder sou un segst knap › wilkoamen ‹ ? «« –",[0] -> [1] -> [27]
"As dat jår bolde to ende güng , köf de snyder en grout stük tüüg , dat sneyd hee mid syne grouten skaere twei in luter fitskes un fetskes .","As bolde to ende güng dat jår , köf de snyder en grout stük tüüg , dat sneyd hee mid syne grouten skaere twei in luter fitskes un fetskes .",[0] -> [1] -> [27]
"Ho ik et ouk mid u söke te rygen en te plooien , ik kryge et mår neet sou as ik et gaerne had .","Ho ik et ouk mid u söke te rygen en te plooien , ik kryge et mår neet sou as et gaerne had ik .",[0] -> [1] -> [27]
"Hameren höyren see em jümmer , wän see nå borg odder to huus reyden , dat dea hee de stad an , as de dörskers dat würklike land , wän see wedder heruut kaemen .","Hameren höyren see em jümmer , wän see nå borg odder to huus reyden , dat dea hee de stad an , as de dörskers dat würklike land , wän wedder heruut kaemen see .",[0] -> [1] -> [27]
"Wat gelöyvet See wol , wat en louse tunge dårvan segt , wän en jung mäden mid en lütenant up de heide rümdammelt ? «","Wat gelöyvet See wol , wat en louse tunge dårvan segt , wän mid en lütenant up de heide rümdammelt en jung mäden ? «",[0] -> [1] -> [27]
